date,cases
2020/3/13,6
2020/3/14,12
2020/3/15,23
2020/3/16,29
2020/3/17,39
2020/3/18,51
2020/3/19,78
2020/3/20,106
2020/3/21,131
2020/3/22,157
2020/3/23,196
2020/3/24,242
2020/3/25,386
2020/3/26,538
2020/3/27,639
2020/3/28,720
2020/3/29,830
2020/3/30,947
2020/3/31,999
2020/4/1,1108
2020/4/2,1270
2020/4/3,1535
2020/4/4,1632
2020/4/5,1840
2020/4/6,2005
2020/4/7,2197
2020/4/8,2498
2020/4/9,2838
2020/4/10,3008
2020/4/11,3262
2020/4/12,3583
2020/4/13,3805
2020/4/14,3953
2020/4/15,4241
2020/4/16,4404
2020/4/17,4572
2020/4/18,4723
2020/4/19,4903
2020/4/20,5078
2020/4/21,5327
2020/4/22,5610
2020/4/23,5832
2020/4/24,6026
2020/4/25,6213
2020/4/26,6421
2020/4/27,6539
2020/4/28,6750
2020/4/29,6925
2020/4/30,7068
2020/5/1,7294
2020/5/2,7611
2020/5/3,7888
2020/5/4,8112
2020/5/5,8437
2020/5/6,8691
2020/5/7,9046
2020/5/8,9385
2020/5/9,9668
2020/5/10,9889
2020/5/11,10164
2020/5/12,10464
2020/5/13,10700
2020/5/14,11101
2020/5/15,11373
2020/5/16,11674
2020/5/17,11771
2020/5/18,12086
2020/5/19,12376
2020/5/20,13052
2020/5/21,13414
2020/5/22,13670
2020/5/23,14149
2020/5/24,14478
2020/5/25,14986
2020/5/26,15650
2020/5/27,16032
2020/5/28,16530
2020/5/29,17031
2020/5/30,17359
2020/5/31,17952
2020/6/1,18534
2020/6/2,18771
2020/6/3,18851
2020/6/4,19072
2020/6/5,19387
2020/6/6,20043
2020/6/7,20500
2020/6/8,20925
2020/6/9,21422
2020/6/10,21989
2020/6/11,22845
2020/6/12,23710
2020/6/13,24601
2020/6/14,25615
2020/6/15,26272
2020/6/16,26912
2020/6/17,27312
2020/6/18,28206
2020/6/19,29002
2020/6/20,29549
2020/6/21,30021
