date,cases
2020/3/12,1
2020/3/13,1
2020/3/14,1
2020/3/15,1
2020/3/16,3
2020/3/17,6
2020/3/18,9
2020/3/19,12
2020/3/20,14
2020/3/21,21
2020/3/22,22
2020/3/23,36
2020/3/24,42
2020/3/25,59
2020/3/26,69
2020/3/27,85
2020/3/28,102
2020/3/29,114
2020/3/30,120
2020/3/31,133
2020/4/1,143
2020/4/2,146
2020/4/3,156
2020/4/4,169
2020/4/5,183
2020/4/6,189
2020/4/7,211
2020/4/8,224
2020/4/9,233
2020/4/10,244
2020/4/11,255
2020/4/12,270
2020/4/13,275
2020/4/14,283
2020/4/15,291
2020/4/16,298
2020/4/17,307
2020/4/18,312
2020/4/19,317
2020/4/20,319
2020/4/21,327
2020/4/22,333
2020/4/23,335
2020/4/24,337
2020/4/25,337
2020/4/26,339
2020/4/27,343
2020/4/28,349
2020/4/29,353
2020/4/30,353
2020/5/1,362
2020/5/2,363
2020/5/3,366
2020/5/4,368
2020/5/5,369
2020/5/6,370
2020/5/7,373
2020/5/8,376
2020/5/9,377
2020/5/10,378
2020/5/11,380
2020/5/12,383
2020/5/13,383
2020/5/14,387
2020/5/15,388
2020/5/16,392
2020/5/17,396
2020/5/18,399
2020/5/19,399
2020/5/20,402
2020/5/21,402
2020/5/22,404
2020/5/23,409
2020/5/24,409
2020/5/25,412
2020/5/26,416
2020/5/27,417
2020/5/28,430
2020/5/29,436
2020/5/30,441
2020/5/31,469
2020/6/1,476
2020/6/2,497
2020/6/3,516
2020/6/4,542
2020/6/5,565
2020/6/6,579
2020/6/7,588
2020/6/8,607
2020/6/9,620
2020/6/10,642
2020/6/11,666
2020/6/12,688
2020/6/13,722
2020/6/14,734
2020/6/15,738
2020/6/16,751
2020/6/17,776
2020/6/18,795
2020/6/19,821
2020/6/20,845
2020/6/21,859
2020/6/22,869
2020/6/23,905
2020/6/24,926
2020/6/25,971
2020/6/26,1001
2020/6/27,1027
2020/6/28,1060
2020/6/29,1085
2020/6/30,1132
2020/7/1,1174
2020/7/2,1224
2020/7/3,1284
2020/7/4,1339
2020/7/5,1371
2020/7/6,1401
2020/7/7,1423
2020/7/8,1472
2020/7/9,1521
2020/7/10,1579
2020/7/11,1656
2020/7/12,1772
2020/7/13,1843
2020/7/14,1897
2020/7/15,1958
2020/7/16,2034
2020/7/17,2083
2020/7/18,2157
2020/7/19,2275
2020/7/20,2412
2020/7/21,2523
2020/7/22,2617
2020/7/23,2682
2020/7/24,2746
2020/7/25,2866
2020/7/26,3100
2020/7/27,3204
2020/7/28,3348
2020/7/29,3440
2020/7/30,3557
2020/7/31,3675
2020/8/1,3825
2020/8/2,3982
2020/8/3,4062
2020/8/4,4123
2020/8/5,4181
2020/8/6,4221
2020/8/7,4286
2020/8/8,4371
2020/8/9,4471
2020/8/10,4537
2020/8/11,4587
2020/8/12,4653
2020/8/13,4748
2020/8/14,4867
2020/8/15,4952
2020/8/16,5058
2020/8/17,5108
2020/8/18,5175
2020/8/19,5245
2020/8/20,5330
2020/8/21,5401
2020/8/22,5492
2020/8/23,5556
2020/8/24,5626
2020/8/25,5621
2020/8/26,5671
2020/8/27,5752
2020/8/28,5874
2020/8/29,5985
2020/8/30,6036
2020/8/31,6075
2020/9/1,6109
2020/9/2,6181
2020/9/3,6287
2020/9/4,6416
2020/9/5,6514
2020/9/6,6603
2020/9/7,6637
2020/9/8,6670
2020/9/9,6735
2020/9/10,6860
2020/9/11,6968
2020/9/12,7074
2020/9/13,7136
2020/9/14,7213
2020/9/15,7256
2020/9/16,7308
2020/9/17,7413
2020/9/18,7528
2020/9/19,7613
2020/9/20,7704
2020/9/21,7775
2020/9/22,7821
2020/9/23,7875
2020/9/24,8015
2020/9/25,8133
2020/9/26,8244
2020/9/27,8359
2020/9/28,8477
2020/9/29,8602
2020/9/30,8707
2020/10/1,8838
2020/10/2,8964
2020/10/3,9111
2020/10/4,9300
2020/10/5,9511
2020/10/6,9656
2020/10/7,9784
2020/10/8,9919
2020/10/9,10099
2020/10/10,10350
2020/10/11,10608
2020/10/12,10805
2020/10/13,10960
2020/10/14,11103
2020/10/15,11268
2020/10/16,11496
2020/10/17,11710
2020/10/18,11934
2020/10/19,12138
2020/10/20,12349
2020/10/21,12559
2020/10/22,12790
2020/10/23,13067
2020/10/24,13439
2020/10/25,13968
2020/10/26,14316
2020/10/27,14699
2020/10/28,15053
2020/10/29,15417
2020/10/30,15803
2020/10/31,16247
2020/11/1,16597
2020/11/2,16948
2020/11/3,17339
2020/11/4,17750
2020/11/5,18064
2020/11/6,18589
2020/11/7,19194
2020/11/8,19712
2020/11/9,20185
2020/11/10,20715
2020/11/11,21211
2020/11/12,21689
2020/11/13,22282
2020/11/14,23029
2020/11/15,23688
2020/11/16,24268
2020/11/17,24909
2020/11/18,25454
2020/11/19,25946
2020/11/20,26403
2020/11/21,27079
2020/11/22,27629
2020/11/23,28128
2020/11/24,28708
2020/11/25,29386
2020/11/26,29940
2020/11/27,30612
2020/11/28,31279
2020/11/29,31896
2020/11/30,32407
2020/12/1,32911
2020/12/2,33614
2020/12/3,34377
2020/12/4,35138
2020/12/5,36083
2020/12/6,36847
2020/12/7,37350
2020/12/8,37923
2020/12/9,38510
2020/12/10,39146
2020/12/11,39773
2020/12/12,40293
2020/12/13,40934
2020/12/14,41363
2020/12/15,41645
2020/12/16,42256
2020/12/17,42639
2020/12/18,43132
2020/12/19,43468
2020/12/20,43649
2020/12/21,43801
2020/12/22,44241
2020/12/23,44602
2020/12/24,44876
2020/12/25,44876
2020/12/26,45247
2020/12/27,45547
2020/12/28,45674
2020/12/29,45856
2020/12/30,46241
2020/12/31,46740
2021/1/1,46740
2021/1/2,47549
2021/1/3,47846
2021/1/4,48110
2021/1/5,48302
2021/1/6,48636
2021/1/7,48961
2021/1/8,49366
2021/1/9,49681
2021/1/10,49935
2021/1/11,50111
2021/1/12,50243
2021/1/13,50526
2021/1/14,50861
2021/1/15,51163
2021/1/16,51347
2021/1/17,51630
2021/1/18,51785
2021/1/19,51914
2021/1/20,52081
2021/1/21,52282
2021/1/22,52572
2021/1/23,52820
2021/1/24,52982
2021/1/25,53061
2021/1/26,53143
2021/1/27,53322
2021/1/28,53524
2021/1/29,53705
2021/1/30,53851
2021/1/31,53985
2021/2/1,54091
2021/2/2,54223
2021/2/3,54447
2021/2/4,54631
2021/2/5,54880
2021/2/6,54880
2021/2/7,54880
2021/2/8,55374
2021/2/9,55500
2021/2/10,55701
2021/2/11,55850
2021/2/12,56008
2021/2/13,56008
2021/2/14,56008
2021/2/15,56008
2021/2/16,56504
2021/2/17,56559
2021/2/18,56768
2021/2/19,56979
2021/2/20,56979
2021/2/21,56979
2021/2/22,57316
2021/2/23,57371
2021/2/24,57550
2021/2/25,57735
2021/2/26,57846
2021/2/27,57846
2021/2/28,57846
2021/3/1,58229
2021/3/2,58383
2021/3/3,58574
2021/3/4,58722
2021/3/5,58870
2021/3/6,58870
2021/3/7,58870
2021/3/8,59210
2021/3/9,59299
2021/3/10,59451
2021/3/11,59689
2021/3/12,59796
2021/3/13,59796
2021/3/14,59796
2021/3/15,60174
2021/3/16,60277
2021/3/17,60451
2021/3/18,60606
2021/3/19,60683
2021/3/20,60683
2021/3/21,60683
2021/3/22,61034
2021/3/23,61212
2021/3/24,61411
2021/3/25,61558
2021/3/26,61744
2021/3/27,61744
2021/3/28,61744
2021/3/29,61744
2021/3/30,62395
2021/3/31,62559
2021/4/1,62785
2021/4/2,62987
2021/4/3,62987
2021/4/4,62987
2021/4/5,63486
2021/4/6,63566
2021/4/7,63785
2021/4/8,64013
2021/4/9,64259
2021/4/10,64259
2021/4/11,64259
2021/4/12,64655
2021/4/13,64809
2021/4/14,65008
2021/4/15,65201
2021/4/16,65390
2021/4/17,65390
2021/4/18,65390
2021/4/19,65835
2021/4/20,65944
2021/4/21,66142
2021/4/22,66370
2021/4/23,66518
2021/4/24,66518
2021/4/25,66518
2021/4/26,66967
2021/4/27,67104
2021/4/28,67290
2021/4/29,67458
2021/4/30,67598
2021/5/1,67598
2021/5/2,67598
2021/5/3,67872
2021/5/4,67964
2021/5/5,68112
2021/5/6,68208
2021/5/7,68324
2021/5/8,68324
2021/5/9,68324
2021/5/10,68559
2021/5/11,68617
2021/5/12,68705
2021/5/13,68785
2021/5/14,68897
2021/5/15,68897
2021/5/16,68897
2021/5/17,69032
2021/5/18,69088
2021/5/19,69186
2021/5/20,69263
2021/5/21,69329
2021/5/22,69329
2021/5/23,69329
2021/5/24,69424
2021/5/25,69476
2021/5/26,69542
