date,cases
2020/1/22,1
2020/1/23,9
2020/1/24,15
2020/1/25,39
2020/1/26,60
2020/1/27,70
2020/1/28,106
2020/1/29,152
2020/1/30,200
2020/1/31,237
2020/2/1,297
2020/2/2,340
2020/2/3,408
2020/2/4,480
2020/2/5,530
2020/2/6,591
2020/2/7,665
2020/2/8,733
2020/2/9,779
2020/2/10,830
2020/2/11,860
2020/2/12,889
2020/2/13,910
2020/2/14,934
2020/2/15,950
2020/2/16,962
2020/2/17,973
2020/2/18,982
2020/2/19,986
2020/2/20,987
2020/2/21,988
2020/2/22,989
2020/2/23,989
2020/2/24,989
2020/2/25,989
2020/2/26,989
2020/2/27,989
2020/2/28,990
2020/2/29,990
2020/3/1,990
2020/3/2,990
2020/3/3,990
2020/3/4,990
2020/3/5,990
2020/3/6,990
2020/3/7,990
2020/3/8,990
2020/3/9,990
2020/3/10,990
2020/3/11,990
2020/3/12,990
2020/3/13,990
2020/3/14,990
2020/3/15,990
2020/3/16,990
2020/3/17,990
2020/3/18,990
2020/3/19,990
2020/3/20,990
2020/3/21,990
2020/3/22,990
2020/3/23,990
2020/3/24,990
2020/3/25,990
2020/3/26,990
2020/3/27,990
2020/3/28,990
2020/3/29,990
2020/3/30,990
2020/3/31,990
2020/4/1,990
2020/4/2,990
2020/4/3,990
2020/4/4,990
2020/4/5,990
2020/4/6,990
2020/4/7,990
2020/4/8,990
2020/4/9,991
2020/4/10,991
2020/4/11,991
2020/4/12,991
2020/4/13,991
2020/4/14,991
2020/4/15,991
2020/4/16,991
2020/4/17,991
2020/4/18,991
2020/4/19,991
2020/4/20,991
2020/4/21,991
2020/4/22,991
2020/4/23,991
2020/4/24,991
2020/4/25,991
2020/4/26,991
2020/4/27,991
2020/4/28,991
2020/4/29,991
2020/4/30,991
2020/5/1,991
2020/5/2,991
2020/5/3,991
2020/5/4,991
2020/5/5,991
2020/5/6,991
2020/5/7,991
2020/5/8,991
2020/5/9,991
2020/5/10,991
2020/5/11,991
2020/5/12,991
2020/5/13,991
2020/5/14,991
2020/5/15,991
2020/5/16,991
2020/5/17,991
2020/5/18,991
2020/5/19,991
2020/5/20,991
2020/5/21,991
2020/5/22,991
2020/5/23,991
2020/5/24,991
2020/5/25,991
2020/5/26,991
2020/5/27,991
2020/5/28,991
2020/5/29,991
2020/5/30,991
2020/5/31,991
2020/6/1,991
2020/6/2,991
2020/6/3,991
2020/6/4,991
2020/6/5,991
2020/6/6,991
2020/6/7,991
2020/6/8,991
2020/6/9,991
2020/6/10,991
2020/6/11,991
2020/6/12,991
2020/6/13,991
2020/6/14,991
2020/6/15,991
2020/6/16,991
2020/6/17,991
2020/6/18,991
2020/6/19,991
2020/6/20,991
2020/6/21,991
2020/6/22,991
2020/6/23,991
2020/6/24,991
2020/6/25,991
2020/6/26,991
2020/6/27,991
2020/6/28,991
2020/6/29,991
2020/6/30,991
2020/7/1,991
2020/7/2,991
2020/7/3,991
2020/7/4,991
2020/7/5,991
2020/7/6,991
2020/7/7,991
2020/7/8,991
2020/7/9,991
2020/7/10,991
2020/7/11,991
2020/7/12,991
2020/7/13,991
2020/7/14,991
2020/7/15,991
2020/7/16,991
2020/7/17,991
2020/7/18,991
2020/7/19,991
2020/7/20,991
2020/7/21,991
2020/7/22,991
2020/7/23,991
2020/7/24,991
2020/7/25,991
2020/7/26,991
2020/7/27,991
2020/7/28,991
2020/7/29,991
2020/7/30,991
2020/7/31,991
2020/8/1,991
2020/8/2,991
2020/8/3,991
2020/8/4,991
