date,cases
2020/1/26,1
2020/1/27,1
2020/1/28,1
2020/1/29,1
2020/1/30,1
2020/1/31,1
2020/2/1,1
2020/2/2,1
2020/2/3,1
2020/2/4,1
2020/2/5,1
2020/2/6,1
2020/2/7,1
2020/2/8,1
2020/2/9,1
2020/2/10,1
2020/2/11,1
2020/2/12,1
2020/2/13,1
2020/2/14,1
2020/2/15,1
2020/2/16,1
2020/2/17,1
2020/2/18,1
2020/2/19,1
2020/2/20,1
2020/2/21,1
2020/2/22,1
2020/2/23,1
2020/2/24,1
2020/2/25,1
2020/2/26,1
2020/2/27,1
2020/2/28,1
2020/2/29,1
2020/3/1,1
2020/3/2,1
2020/3/3,2
2020/3/4,2
2020/3/5,2
2020/3/6,3
2020/3/7,5
2020/3/8,5
2020/3/9,6
2020/3/10,6
2020/3/11,9
2020/3/12,9
2020/3/13,9
2020/3/14,12
2020/3/15,13
2020/3/16,18
2020/3/17,20
2020/3/18,28
2020/3/19,47
2020/3/20,70
2020/3/21,104
2020/3/22,153
2020/3/23,234
2020/3/24,326
2020/3/25,402
2020/3/26,508
2020/3/27,665
2020/3/28,773
2020/3/29,930
2020/3/30,1169
2020/3/31,1298
2020/4/1,1413
2020/4/2,1600
2020/4/3,1769
2020/4/4,2019
2020/4/5,2269
2020/4/6,2466
2020/4/7,2577
2020/4/8,2726
2020/4/9,3018
2020/4/10,3112
2020/4/11,3393
2020/4/12,3539
2020/4/13,3702
2020/4/14,3806
2020/4/15,3962
2020/4/16,4234
2020/4/17,4507
2020/4/18,4719
2020/4/19,4929
2020/4/20,5064
2020/4/21,5251
2020/4/22,5459
2020/4/23,5769
2020/4/24,6045
2020/4/25,6280
2020/4/26,6526
2020/4/27,6716
2020/4/28,6948
2020/4/29,7202
2020/4/30,7648
2020/5/1,7962
2020/5/2,8364
2020/5/3,8640
2020/5/4,8919
2020/5/5,9305
2020/5/6,9707
2020/5/7,9945
2020/5/8,10526
2020/5/9,10960
2020/5/10,11119
2020/5/11,11380
2020/5/12,11736
2020/5/13,12176
2020/5/14,12674
2020/5/15,13169
2020/5/16,13631
2020/5/17,13937
2020/5/18,14170
2020/5/19,14566
2020/5/20,14897
2020/5/21,15315
2020/5/22,15608
2020/5/23,16040
2020/5/24,16339
2020/5/25,16561
2020/5/26,16783
