date,cases
2020/3/11,1
2020/3/12,6
2020/3/13,7
2020/3/14,9
2020/3/15,16
2020/3/16,22
2020/3/17,22
2020/3/18,33
2020/3/19,62
2020/3/20,100
2020/3/21,118
2020/3/22,165
2020/3/23,201
2020/3/24,231
2020/3/25,307
2020/3/26,350
2020/3/27,385
2020/3/28,409
2020/3/29,449
2020/3/30,508
2020/3/31,564
2020/4/1,624
2020/4/2,683
2020/4/3,738
2020/4/4,743
2020/4/5,853
2020/4/6,927
2020/4/7,997
2020/4/8,1077
2020/4/9,1146
2020/4/10,1202
2020/4/11,1228
2020/4/12,1280
2020/4/13,1475
2020/4/14,1498
2020/4/15,1599
2020/4/16,1620
2020/4/17,1695
2020/4/18,1777
2020/4/19,1781
2020/4/20,1971
2020/4/21,2262
2020/4/22,2392
2020/4/23,2599
2020/4/24,2810
2020/4/25,2909
2020/4/26,3001
2020/4/27,3069
2020/4/28,3127
2020/4/29,3207
2020/4/30,3281
2020/5/1,3310
2020/5/2,3372
2020/5/3,3431
2020/5/4,3469
2020/5/5,3525
2020/5/6,3611
2020/5/7,3694
2020/5/8,3747
2020/5/9,3747
2020/5/10,4012
2020/5/11,4043
2020/5/12,4164
2020/5/13,4236
2020/5/14,4366
2020/5/15,4463
2020/5/16,4578
2020/5/17,4759
2020/5/18,4813
2020/5/19,4923
2020/5/20,5003
2020/5/21,5458
2020/5/22,5612
2020/5/23,5775
2020/5/24,5922
2020/5/25,6029
2020/5/26,6180
2020/5/27,6277
2020/5/28,6538
2020/5/29,6777
2020/5/30,7013
2020/5/31,7253
2020/6/1,7443
2020/6/2,7818
2020/6/3,8067
2020/6/4,8425
2020/6/5,8651
2020/6/6,9101
2020/6/7,9426
2020/6/8,9740
2020/6/9,10080
2020/6/10,10368
2020/6/11,10816
2020/6/12,11547
2020/6/13,12095
2020/6/14,12501
2020/6/15,12917
2020/6/16,13191
2020/6/17,13606
2020/6/18,13928
2020/6/19,14631
2020/6/20,15142
2020/6/21,15561
2020/6/22,16083
2020/6/23,16678
2020/6/24,17375
2020/6/25,18062
2020/6/26,18740
2020/6/27,19310
2020/6/28,19818
2020/6/29,20257
2020/6/30,20777
2020/7/1,21197
2020/7/2,22075
2020/7/3,22622
2020/7/4,23209
2020/7/5,23814
2020/7/6,24253
2020/7/7,24512
2020/7/8,25246
2020/7/9,26052
2020/7/10,26803
2020/7/11,27864
2020/7/12,28367
2020/7/13,28939
2020/7/14,29733
2020/7/15,30297
2020/7/16,31114
2020/7/17,31762
2020/7/18,32533
2020/7/19,33228
2020/7/20,33927
2020/7/21,34655
2020/7/22,35246
2020/7/23,36259
2020/7/24,37249
2020/7/25,37981
2020/7/26,38623
2020/7/27,39447
2020/7/28,40181
2020/7/29,40968
2020/7/30,41759
2020/7/31,42511
2020/8/1,43173
2020/8/2,43810
2020/8/3,44597
2020/8/4,45381
2020/8/5,46293
2020/8/6,47028
2020/8/7,48039
2020/8/8,48811
2020/8/9,49383
2020/8/10,50028
2020/8/11,50411
2020/8/12,51114
2020/8/13,51766
2020/8/14,52392
2020/8/15,51992
2020/8/16,52665
2020/8/17,53077
2020/8/18,53487
2020/8/19,54216
2020/8/20,54765
2020/8/21,55652
2020/8/22,56199
2020/8/23,56574
2020/8/24,56894
2020/8/25,57374
2020/8/26,58023
2020/8/27,58745
2020/8/28,59583
2020/8/29,60378
2020/8/30,60856
2020/8/31,61224
2020/9/1,61497
2020/9/2,62112
2020/9/3,63504
2020/9/4,64678
2020/9/5,65226
2020/9/6,65924
2020/9/7,66280
2020/9/8,66757
2020/9/9,67255
2020/9/10,67803
2020/9/11,68987
2020/9/12,69710
2020/9/13,70219
2020/9/14,70627
2020/9/15,71497
2020/9/16,72219
2020/9/17,73211
2020/9/18,74082
2020/9/19,75160
2020/9/20,75723
2020/9/21,76364
2020/9/22,76981
2020/9/23,77963
2020/9/24,79049
