date,cases
2020/1/22,14
2020/1/23,22
2020/1/24,36
2020/1/25,41
2020/1/26,68
2020/1/27,80
2020/1/28,91
2020/1/29,111
2020/1/30,114
2020/1/31,139
2020/2/1,168
2020/2/2,191
2020/2/3,212
2020/2/4,228
2020/2/5,253
2020/2/6,274
2020/2/7,297
2020/2/8,315
2020/2/9,326
2020/2/10,337
2020/2/11,342
2020/2/12,352
2020/2/13,366
2020/2/14,372
2020/2/15,375
2020/2/16,380
2020/2/17,381
2020/2/18,387
2020/2/19,393
2020/2/20,395
2020/2/21,396
2020/2/22,399
2020/2/23,399
2020/2/24,399
2020/2/25,400
2020/2/26,400
2020/2/27,410
2020/2/28,410
2020/2/29,411
2020/3/1,413
2020/3/2,414
2020/3/3,414
2020/3/4,418
2020/3/5,418
2020/3/6,422
2020/3/7,426
2020/3/8,428
2020/3/9,428
2020/3/10,429
2020/3/11,435
2020/3/12,435
2020/3/13,436
2020/3/14,437
2020/3/15,442
2020/3/16,452
2020/3/17,456
2020/3/18,469
2020/3/19,480
2020/3/20,491
2020/3/21,504
2020/3/22,522
2020/3/23,537
2020/3/24,558
2020/3/25,561
2020/3/26,566
2020/3/27,569
2020/3/28,573
2020/3/29,577
2020/3/30,577
2020/3/31,580
2020/4/1,580
2020/4/2,582
2020/4/3,584
2020/4/4,585
2020/4/5,586
2020/4/6,587
2020/4/7,587
2020/4/8,588
2020/4/9,588
2020/4/10,588
2020/4/11,589
2020/4/12,589
2020/4/13,589
2020/4/14,589
2020/4/15,590
2020/4/16,593
2020/4/17,593
2020/4/18,593
2020/4/19,593
2020/4/20,593
2020/4/21,593
2020/4/22,593
2020/4/23,593
2020/4/24,593
2020/4/25,593
2020/4/26,593
2020/4/27,593
2020/4/28,593
2020/4/29,593
2020/4/30,593
2020/5/1,593
2020/5/2,593
2020/5/3,593
2020/5/4,593
2020/5/5,593
2020/5/6,593
2020/5/7,593
2020/5/8,593
2020/5/9,593
2020/5/10,593
2020/5/11,593
2020/5/12,593
2020/5/13,593
2020/5/14,593
2020/5/15,593
2020/5/16,593
2020/5/17,593
2020/5/18,593
2020/5/19,593
2020/5/20,593
2020/5/21,593
2020/5/22,593
2020/5/23,593
2020/5/24,593
2020/5/25,593
2020/5/26,593
2020/5/27,593
2020/5/28,593
2020/5/29,593
2020/5/30,593
2020/5/31,593
2020/6/1,593
2020/6/2,593
2020/6/3,594
2020/6/4,594
2020/6/5,594
2020/6/6,594
2020/6/7,594
2020/6/8,594
2020/6/9,594
2020/6/10,594
2020/6/11,595
2020/6/12,601
2020/6/13,637
2020/6/14,673
2020/6/15,700
2020/6/16,731
2020/6/17,752
2020/6/18,777
2020/6/19,777
2020/6/20,821
2020/6/21,830
2020/6/22,843
2020/6/23,850
2020/6/24,863
2020/6/25,874
2020/6/26,891
2020/6/27,905
2020/6/28,912
2020/6/29,919
2020/6/30,922
2020/7/1,923
2020/7/2,925
2020/7/3,926
2020/7/4,928
2020/7/5,929
2020/7/6,929
2020/7/7,929
2020/7/8,929
2020/7/9,929
2020/7/10,929
2020/7/11,929
2020/7/12,929
2020/7/13,929
2020/7/14,929
2020/7/15,929
2020/7/16,929
2020/7/17,929
2020/7/18,929
2020/7/19,929
2020/7/20,929
2020/7/21,929
2020/7/22,929
2020/7/23,929
2020/7/24,929
2020/7/25,929
2020/7/26,929
2020/7/27,931
2020/7/28,932
2020/7/29,933
2020/7/30,933
2020/7/31,933
2020/8/1,933
2020/8/2,933
2020/8/3,933
2020/8/4,934
2020/8/5,934
2020/8/6,935
2020/8/7,935
2020/8/8,935
2020/8/9,935
2020/8/10,935
2020/8/11,935
2020/8/12,935
2020/8/13,935
2020/8/14,935
2020/8/15,935
2020/8/16,935
2020/8/17,935
2020/8/18,935
2020/8/19,935
2020/8/20,935
2020/8/21,935
2020/8/22,935
2020/8/23,935
2020/8/24,935
2020/8/25,935
2020/8/26,935
2020/8/27,935
2020/8/28,935
2020/8/29,935
2020/8/30,935
2020/8/31,935
2020/9/1,935
2020/9/2,935
2020/9/3,935
2020/9/4,935
2020/9/5,935
2020/9/6,935
2020/9/7,935
2020/9/8,935
2020/9/9,935
2020/9/10,935
2020/9/11,935
2020/9/12,935
2020/9/13,935
2020/9/14,935
2020/9/15,935
2020/9/16,935
2020/9/17,935
2020/9/18,935
2020/9/19,935
2020/9/20,935
2020/9/21,935
2020/9/22,935
2020/9/23,935
2020/9/24,936
2020/9/25,936
2020/9/26,936
2020/9/27,936
2020/9/28,936
2020/9/29,936
2020/9/30,936
2020/10/1,936
2020/10/2,936
2020/10/3,936
2020/10/4,936
2020/10/5,936
2020/10/6,936
2020/10/7,936
2020/10/8,936
2020/10/9,936
2020/10/10,936
2020/10/11,937
2020/10/12,937
2020/10/13,937
2020/10/14,937
2020/10/15,937
2020/10/16,937
2020/10/17,937
2020/10/18,937
2020/10/19,938
2020/10/20,938
2020/10/21,938
2020/10/22,938
2020/10/23,940
2020/10/24,940
2020/10/25,940
2020/10/26,941
2020/10/27,941
2020/10/28,942
2020/10/29,942
2020/10/30,942
2020/10/31,942
2020/11/1,942
2020/11/2,944
2020/11/3,944
2020/11/4,945
2020/11/5,945
2020/11/6,945
2020/11/7,945
2020/11/8,945
2020/11/9,947
2020/11/10,947
2020/11/11,947
2020/11/12,947
2020/11/13,947
2020/11/14,947
2020/11/15,947
2020/11/16,947
2020/11/17,947
2020/11/18,947
2020/11/19,948
2020/11/20,948
2020/11/21,949
2020/11/22,950
2020/11/23,950
2020/11/24,950
2020/11/25,950
2020/11/26,950
2020/11/27,950
2020/11/28,950
2020/11/29,950
2020/11/30,951
2020/12/1,951
2020/12/2,951
2020/12/3,951
2020/12/4,952
2020/12/5,952
2020/12/6,952
2020/12/7,952
2020/12/8,952
2020/12/9,952
2020/12/10,952
2020/12/11,952
2020/12/12,954
2020/12/13,955
2020/12/14,956
2020/12/15,957
2020/12/16,957
2020/12/17,957
2020/12/18,959
2020/12/19,961
2020/12/20,961
2020/12/21,961
2020/12/22,961
2020/12/23,961
2020/12/24,961
2020/12/25,963
2020/12/26,971
2020/12/27,972
2020/12/28,979
2020/12/29,980
2020/12/30,982
2020/12/31,987
2021/1/1,988
2021/1/2,990
2021/1/3,992
2021/1/4,993
2021/1/5,994
2021/1/6,994
2021/1/7,995
2021/1/8,995
2021/1/9,996
2021/1/10,997
2021/1/11,998
2021/1/12,998
2021/1/13,999
2021/1/14,999
2021/1/15,1001
2021/1/16,1003
2021/1/17,1006
2021/1/18,1007
2021/1/19,1014
2021/1/20,1017
2021/1/21,1020
2021/1/22,1023
2021/1/23,1025
2021/1/24,1028
2021/1/25,1030
2021/1/26,1034
2021/1/27,1034
2021/1/28,1035
2021/1/29,1036
2021/1/30,1036
2021/1/31,1038
2021/2/1,1039
2021/2/2,1039
2021/2/3,1044
2021/2/4,1044
2021/2/5,1044
2021/2/6,1046
2021/2/7,1046
2021/2/8,1046
2021/2/9,1046
2021/2/10,1046
2021/2/11,1046
2021/2/12,1046
2021/2/13,1046
2021/2/14,1046
2021/2/15,1046
2021/2/16,1046
2021/2/17,1046
2021/2/18,1046
2021/2/19,1046
2021/2/20,1046
2021/2/21,1047
2021/2/22,1047
2021/2/23,1047
2021/2/24,1047
2021/2/25,1047
2021/2/26,1047
2021/2/27,1047
2021/2/28,1049
2021/3/1,1049
2021/3/2,1049
2021/3/3,1049
2021/3/4,1049
2021/3/5,1049
2021/3/6,1049
2021/3/7,1049
2021/3/8,1049
2021/3/9,1049
2021/3/10,1049
2021/3/11,1049
2021/3/12,1049
2021/3/13,1049
2021/3/14,1049
2021/3/15,1049
2021/3/16,1049
2021/3/17,1049
2021/3/18,1049
2021/3/19,1049
2021/3/20,1049
2021/3/21,1049
2021/3/22,1049
2021/3/23,1049
2021/3/24,1049
2021/3/25,1049
2021/3/26,1049
2021/3/27,1049
2021/3/28,1049
2021/3/29,1049
2021/3/30,1049
2021/3/31,1049
2021/4/1,1049
2021/4/2,1050
2021/4/3,1050
2021/4/4,1052
2021/4/5,1052
2021/4/6,1053
2021/4/7,1053
2021/4/8,1054
2021/4/9,1055
2021/4/10,1056
2021/4/11,1057
2021/4/12,1057
2021/4/13,1057
2021/4/14,1057
2021/4/15,1057
2021/4/16,1057
2021/4/17,1057
2021/4/18,1057
2021/4/19,1057
2021/4/20,1057
2021/4/21,1057
2021/4/22,1057
2021/4/23,1057
2021/4/24,1057
2021/4/25,1057
2021/4/26,1057
2021/4/27,1057
2021/4/28,1057
2021/4/29,1057
2021/4/30,1057
2021/5/1,1057
2021/5/2,1057
2021/5/3,1057
2021/5/4,1057
2021/5/5,1057
2021/5/6,1057
2021/5/7,1057
2021/5/8,1057
2021/5/9,1057
2021/5/10,1057
2021/5/11,1057
2021/5/12,1057
2021/5/13,1057
2021/5/14,1057
2021/5/15,1057
2021/5/16,1057
2021/5/17,1057
2021/5/18,1057
2021/5/19,1057
2021/5/20,1057
2021/5/21,1057
2021/5/22,1058
2021/5/23,1058
2021/5/24,1058
