date,cases
2020/1/25,1
2020/1/26,2
2020/1/27,2
2020/1/28,2
2020/1/29,2
2020/1/30,2
2020/1/31,3
2020/2/1,3
2020/2/2,6
2020/2/3,6
2020/2/4,6
2020/2/5,6
2020/2/6,6
2020/2/7,6
2020/2/8,6
2020/2/9,6
2020/2/10,7
2020/2/11,7
2020/2/12,7
2020/2/13,7
2020/2/14,7
2020/2/15,7
2020/2/16,7
2020/2/17,7
2020/2/18,7
2020/2/19,7
2020/2/20,8
2020/2/21,9
2020/2/22,9
2020/2/23,9
2020/2/24,11
2020/2/25,11
2020/2/26,26
2020/2/27,26
2020/2/28,27
2020/2/29,28
2020/3/1,33
2020/3/2,38
2020/3/3,45
2020/3/4,55
2020/3/5,67
2020/3/6,81
2020/3/7,100
2020/3/8,112
2020/3/9,172
2020/3/10,179
2020/3/11,202
2020/3/12,252
2020/3/13,320
2020/3/14,381
2020/3/15,478
2020/3/16,588
2020/3/17,732
2020/3/18,893
2020/3/19,1067
2020/3/20,1283
2020/3/21,1544
2020/3/22,1851
2020/3/23,2240
2020/3/24,2644
2020/3/25,3183
2020/3/26,4060
2020/3/27,4915
2020/3/28,5566
2020/3/29,6321
2020/3/30,7421
2020/3/31,8583
2020/4/1,9857
2020/4/2,11190
2020/4/3,12569
2020/4/4,13796
2020/4/5,15202
2020/4/6,16361
2020/4/7,17540
2020/4/8,19043
2020/4/9,20191
2020/4/10,21366
2020/4/11,22421
2020/4/12,23323
2020/4/13,24334
2020/4/14,25758
2020/4/15,27107
2020/4/16,28142
2020/4/17,29398
2020/4/18,30829
2020/4/19,31544
2020/4/20,33862
2020/4/21,35844
2020/4/22,37573
2020/4/23,39534
2020/4/24,41368
2020/4/25,42590
2020/4/26,43691
2020/4/27,45208
2020/4/28,46570
2020/4/29,48904
2020/4/30,50470
2020/5/1,52318
2020/5/2,53753
2020/5/3,55072
2020/5/4,56333
2020/5/5,58848
2020/5/6,60787
2020/5/7,62481
2020/5/8,64616
2020/5/9,66824
2020/5/10,68051
2020/5/11,69514
2020/5/12,71150
2020/5/13,73218
2020/5/14,74947
2020/5/15,77015
2020/5/16,78933
2020/5/17,80366
2020/5/18,81943
2020/5/19,83981
2020/5/20,86125
2020/5/21,88488
2020/5/22,90801
2020/5/23,92815
2020/5/24,94743
2020/5/25,97017
2020/5/26,99924
2020/5/27,101873
2020/5/28,104071
2020/5/29,107043
2020/5/30,110100
2020/5/31,113114
2020/6/1,115643
2020/6/2,118081
2020/6/3,120407
2020/6/4,122917
2020/6/5,126510
2020/6/6,129147
2020/6/7,131997
2020/6/8,134287
2020/6/9,137245
2020/6/10,140139
2020/6/11,143709
2020/6/12,147285
2020/6/13,150434
2020/6/14,152953
2020/6/15,155662
2020/6/16,159131
2020/6/17,163381
2020/6/18,167135
2020/6/19,170843
2020/6/20,174854
2020/6/21,178807
2020/6/22,184620
2020/6/23,191039
2020/6/24,195889
2020/6/25,201413
2020/6/26,207027
2020/6/27,211453
2020/6/28,216955
2020/6/29,223995
2020/6/30,232153
2020/7/1,239764
2020/7/2,248198
2020/7/3,256298
2020/7/4,265176
2020/7/5,271587
2020/7/6,277869
2020/7/7,287766
2020/7/8,296304
2020/7/9,303516
2020/7/10,311505
2020/7/11,320030
2020/7/12,327676
2020/7/13,336206
2020/7/14,346593
2020/7/15,355497
2020/7/16,364761
2020/7/17,374922
2020/7/18,383194
2020/7/19,391460
2020/7/20,400195
2020/7/21,410366
2020/7/22,422528
2020/7/23,433175
2020/7/24,443096
2020/7/25,453327
2020/7/26,459338
2020/7/27,467103
2020/7/28,474951
2020/7/29,486039
2020/7/30,494269
2020/7/31,502273
2020/8/1,509507
2020/8/2,515937
2020/8/3,522235
2020/8/4,527258
2020/8/5,532776
2020/8/6,541013
2020/8/7,548142
2020/8/8,556158
2020/8/9,563244
2020/8/10,574267
2020/8/11,586078
2020/8/12,595097
2020/8/13,603212
2020/8/14,613243
2020/8/15,621981
2020/8/16,628508
2020/8/17,634991
2020/8/18,640499
2020/8/19,646742
2020/8/20,653401
2020/8/21,659991
2020/8/22,665325
2020/8/23,669944
2020/8/24,676236
2020/8/25,682320
2020/8/26,687612
2020/8/27,692964
2020/8/28,698391
2020/8/29,702500
2020/8/30,706589
2020/8/31,712543
2020/9/1,716630
2020/9/2,722037
2020/9/3,727403
2020/9/4,732693
2020/9/5,737074
2020/9/6,740233
2020/9/7,742689
2020/9/8,746114
