date,cases
2020/1/22,6
2020/1/23,9
2020/1/24,27
2020/1/25,57
2020/1/26,75
2020/1/27,110
2020/1/28,132
2020/1/29,147
2020/1/30,182
2020/1/31,211
2020/2/1,247
2020/2/2,300
2020/2/3,337
2020/2/4,366
2020/2/5,389
2020/2/6,411
2020/2/7,426
2020/2/8,428
2020/2/9,468
2020/2/10,486
2020/2/11,505
2020/2/12,518
2020/2/13,529
2020/2/14,537
2020/2/15,544
2020/2/16,551
2020/2/17,553
2020/2/18,555
2020/2/19,560
2020/2/20,567
2020/2/21,572
2020/2/22,573
2020/2/23,575
2020/2/24,576
2020/2/25,576
2020/2/26,576
2020/2/27,576
2020/2/28,576
2020/2/29,576
2020/3/1,576
2020/3/2,576
2020/3/3,576
2020/3/4,576
2020/3/5,576
2020/3/6,576
2020/3/7,576
2020/3/8,576
2020/3/9,576
2020/3/10,576
2020/3/11,576
2020/3/12,576
2020/3/13,576
2020/3/14,576
2020/3/15,576
2020/3/16,576
2020/3/17,576
2020/3/18,576
2020/3/19,576
2020/3/20,576
2020/3/21,576
2020/3/22,577
2020/3/23,578
2020/3/24,578
2020/3/25,578
2020/3/26,578
2020/3/27,578
2020/3/28,578
2020/3/29,579
2020/3/30,579
2020/3/31,579
2020/4/1,579
2020/4/2,579
2020/4/3,579
2020/4/4,579
2020/4/5,579
2020/4/6,579
2020/4/7,579
2020/4/8,579
2020/4/9,579
2020/4/10,579
2020/4/11,579
2020/4/12,579
2020/4/13,579
2020/4/14,579
2020/4/15,579
2020/4/16,579
2020/4/17,579
2020/4/18,579
2020/4/19,579
2020/4/20,579
2020/4/21,579
2020/4/22,579
2020/4/23,579
2020/4/24,579
2020/4/25,579
2020/4/26,579
2020/4/27,579
2020/4/28,579
2020/4/29,579
2020/4/30,579
2020/5/1,579
2020/5/2,579
2020/5/3,579
2020/5/4,579
2020/5/5,579
2020/5/6,579
2020/5/7,579
2020/5/8,579
2020/5/9,579
2020/5/10,579
2020/5/11,579
2020/5/12,579
2020/5/13,579
2020/5/14,579
2020/5/15,579
2020/5/16,579
2020/5/17,579
2020/5/18,579
2020/5/19,579
2020/5/20,579
2020/5/21,579
2020/5/22,579
2020/5/23,579
2020/5/24,579
2020/5/25,579
2020/5/26,579
2020/5/27,579
2020/5/28,579
2020/5/29,579
2020/5/30,579
2020/5/31,579
2020/6/1,579
2020/6/2,579
2020/6/3,579
2020/6/4,579
2020/6/5,579
2020/6/6,579
2020/6/7,579
2020/6/8,579
2020/6/9,579
2020/6/10,579
2020/6/11,579
2020/6/12,579
2020/6/13,580
2020/6/14,582
2020/6/15,582
2020/6/16,582
2020/6/17,582
2020/6/18,582
2020/6/19,582
2020/6/20,582
2020/6/21,582
2020/6/22,582
2020/6/23,582
2020/6/24,582
2020/6/25,582
2020/6/26,582
2020/6/27,582
2020/6/28,582
2020/6/29,582
2020/6/30,582
2020/7/1,582
2020/7/2,582
2020/7/3,582
2020/7/4,582
2020/7/5,582
2020/7/6,582
2020/7/7,582
2020/7/8,582
2020/7/9,582
2020/7/10,582
2020/7/11,582
2020/7/12,582
2020/7/13,582
2020/7/14,583
2020/7/15,583
2020/7/16,583
2020/7/17,583
2020/7/18,583
2020/7/19,583
2020/7/20,583
2020/7/21,583
2020/7/22,583
2020/7/23,583
2020/7/24,583
2020/7/25,583
2020/7/26,583
2020/7/27,583
2020/7/28,583
2020/7/29,583
2020/7/30,583
2020/7/31,583
2020/8/1,583
2020/8/2,583
2020/8/3,583
2020/8/4,583
2020/8/5,583
2020/8/6,583
2020/8/7,583
2020/8/8,583
2020/8/9,583
2020/8/10,583
2020/8/11,583
2020/8/12,583
2020/8/13,583
2020/8/14,583
2020/8/15,583
2020/8/16,583
2020/8/17,583
2020/8/18,583
2020/8/19,583
2020/8/20,583
2020/8/21,583
2020/8/22,583
2020/8/23,583
2020/8/24,583
2020/8/25,583
2020/8/26,583
2020/8/27,583
2020/8/28,583
2020/8/29,583
2020/8/30,583
2020/8/31,583
2020/9/1,583
2020/9/2,583
2020/9/3,583
2020/9/4,583
2020/9/5,583
2020/9/6,584
2020/9/7,584
2020/9/8,584
2020/9/9,584
2020/9/10,584
2020/9/11,584
2020/9/12,584
2020/9/13,584
2020/9/14,584
2020/9/15,584
2020/9/16,584
2020/9/17,584
