date,cases
2020/3/5,2
2020/3/6,8
2020/3/7,8
2020/3/8,8
2020/3/9,12
2020/3/10,17
2020/3/11,34
2020/3/12,49
2020/3/13,78
2020/3/14,103
2020/3/15,136
2020/3/16,161
2020/3/17,183
2020/3/18,216
2020/3/19,278
2020/3/20,364
2020/3/21,475
2020/3/22,591
2020/3/23,721
2020/3/24,912
2020/3/25,1086
2020/3/26,1432
2020/3/27,1735
2020/3/28,2061
2020/3/29,2315
2020/3/30,2628
2020/3/31,2990
2020/4/1,3346
2020/4/2,3728
2020/4/3,4182
2020/4/4,4574
2020/4/5,4950
2020/4/6,5172
2020/4/7,5429
2020/4/8,5655
2020/4/9,6202
2020/4/10,6510
2020/4/11,6893
2020/4/12,7303
2020/4/13,7691
2020/4/14,7941
2020/4/15,8280
2020/4/16,8675
2020/4/17,9047
2020/4/18,9433
2020/4/19,9730
2020/4/20,10106
2020/4/21,10447
2020/4/22,10878
2020/4/23,11262
2020/4/24,12255
2020/4/25,12967
2020/4/26,13440
2020/4/27,13804
2020/4/28,14239
2020/4/29,14680
2020/4/30,15207
2020/5/1,15661
2020/5/2,16118
2020/5/3,16527
2020/5/4,16799
2020/5/5,17256
2020/5/6,17720
2020/5/7,18264
2020/5/8,18719
2020/5/9,19267
2020/5/10,19595
2020/5/11,19793
2020/5/12,20103
2020/5/13,20442
2020/5/14,20813
2020/5/15,21207
2020/5/16,21604
2020/5/17,21909
2020/5/18,22174
2020/5/19,22454
2020/5/20,22769
2020/5/21,23161
2020/5/22,23456
2020/5/23,23932
2020/5/24,24140
2020/5/25,24256
2020/5/26,24553
2020/5/27,24775
2020/5/28,25116
2020/5/29,25602
2020/5/30,26084
2020/5/31,26364
2020/6/1,26563
2020/6/2,26774
2020/6/3,27046
2020/6/4,27346
2020/6/5,27601
2020/6/6,27834
2020/6/7,27987
2020/6/8,28169
2020/6/9,28333
2020/6/10,28484
2020/6/11,28632
2020/6/12,28807
2020/6/13,29002
2020/6/14,29115
2020/6/15,29284
2020/6/16,29427
2020/6/17,29658
2020/6/18,29886
2020/6/19,30172
2020/6/20,30334
2020/6/21,30524
2020/6/22,30689
2020/6/23,30877
2020/6/24,31139
2020/6/25,31463
2020/6/26,31780
2020/6/27,32006
2020/6/28,32290
2020/6/29,32495
2020/6/30,32698
2020/7/1,33012
2020/7/2,33335
2020/7/3,33607
2020/7/4,33900
2020/7/5,34100
2020/7/6,34316
2020/7/7,34717
2020/7/8,35185
2020/7/9,35604
2020/7/10,36210
2020/7/11,36633
2020/7/12,36933
2020/7/13,37303
2020/7/14,37761
2020/7/15,38240
2020/7/16,38817
2020/7/17,39409
2020/7/18,39811
2020/7/19,40182
2020/7/20,40649
2020/7/21,41152
2020/7/22,41747
2020/7/23,42409
2020/7/24,43098
2020/7/25,43847
2020/7/26,44364
2020/7/27,44723
2020/7/28,45420
2020/7/29,45885
2020/7/30,46338
2020/7/31,46948
2020/8/1,47357
2020/8/2,47799
2020/8/3,48119
2020/8/4,48492
2020/8/5,49143
2020/8/6,49633
2020/8/7,50081
2020/8/8,50491
2020/8/9,50799
2020/8/10,51104
2020/8/11,51487
2020/8/12,51847
2020/8/13,52242
2020/8/14,52587
2020/8/15,52868
2020/8/16,53188
2020/8/17,53391
2020/8/18,53674
2020/8/19,53943
2020/8/20,54285
2020/8/21,54658
2020/8/22,54939
2020/8/23,55441
2020/8/24,55700
2020/8/25,56176
2020/8/26,56346
2020/8/27,56706
2020/8/28,57158
2020/8/29,57326
2020/8/30,57515
2020/8/31,57797
2020/9/1,58118
2020/9/2,58392
2020/9/3,58680
2020/9/4,59021
2020/9/5,59362
2020/9/6,59626
2020/9/7,59823
2020/9/8,60003
2020/9/9,60291
2020/9/10,60576
2020/9/11,60881
2020/9/12,61311
2020/9/13,61641
2020/9/14,62032
2020/9/15,62575
2020/9/16,63068
2020/9/17,63613
2020/9/18,64277
2020/9/19,64694
2020/9/20,65248
2020/9/21,65936
2020/9/22,66552
2020/9/23,67186
2020/9/24,67745
2020/9/25,68506
2020/9/26,68973
2020/9/27,69472
2020/9/28,69967
2020/9/29,70458
2020/9/30,71090
2020/10/1,71723
2020/10/2,72454
2020/10/3,72929
2020/10/4,73389
2020/10/5,74029
2020/10/6,74535
2020/10/7,75410
2020/10/8,76186
2020/10/9,77068
2020/10/10,78047
2020/10/11,78752
2020/10/12,79499
2020/10/13,80414
2020/10/14,81205
2020/10/15,82443
2020/10/16,83712
2020/10/17,84804
2020/10/18,85803
2020/10/19,86727
2020/10/20,87966
2020/10/21,89245
2020/10/22,90639
2020/10/23,92067
2020/10/24,93989
2020/10/25,95742
2020/10/26,97686
2020/10/27,99111
2020/10/28,100614
2020/10/29,102665
2020/10/30,104927
2020/10/31,107844
2020/11/1,110640
2020/11/2,112821
2020/11/3,115364
2020/11/4,118356
2020/11/5,122170
2020/11/6,125397
2020/11/7,128611
2020/11/8,131870
2020/11/9,135747
2020/11/10,139246
2020/11/11,143553
2020/11/12,149262
2020/11/13,155761
2020/11/14,160459
2020/11/15,164408
2020/11/16,168890
2020/11/17,173220
2020/11/18,178224
2020/11/19,184260
2020/11/20,190100
2020/11/21,195220
2020/11/22,199296
2020/11/23,203578
2020/11/24,207882
2020/11/25,212416
2020/11/26,217655
2020/11/27,222544
2020/11/28,226567
2020/11/29,230057
2020/11/30,234502
2020/12/1,238779
2020/12/2,243324
2020/12/3,248779
2020/12/4,252960
2020/12/5,258124
2020/12/6,262460
2020/12/7,266670
2020/12/8,270381
2020/12/9,274354
2020/12/10,278916
2020/12/11,283571
2020/12/12,287364
2020/12/13,289679
2020/12/14,291645
2020/12/15,295558
2020/12/16,298492
2020/12/17,302086
2020/12/18,305622
2020/12/19,308350
2020/12/20,310522
2020/12/21,312713
2020/12/22,315397
2020/12/23,318027
2020/12/24,320714
2020/12/25,323329
2020/12/26,324869
2020/12/27,326276
2020/12/28,328249
2020/12/29,330118
2020/12/30,332686
2020/12/31,335579
2021/1/1,338357
2021/1/2,340454
2021/1/3,342494
2021/1/4,345239
2021/1/5,348483
2021/1/6,350560
2021/1/7,354998
2021/1/8,357465
2021/1/9,360857
2021/1/10,363019
2021/1/11,364815
2021/1/12,366385
2021/1/13,368775
2021/1/14,371362
2021/1/15,373647
2021/1/16,375463
2021/1/17,376921
2021/1/18,378311
2021/1/19,379999
2021/1/20,381414
2021/1/21,382918
2021/1/22,385153
2021/1/23,386432
2021/1/24,387960
2021/1/25,389227
2021/1/26,390662
2021/1/27,392448
2021/1/28,394668
2021/1/29,395772
2021/1/30,396120
2021/1/31,397138
2021/2/1,399384
2021/2/2,400383
2021/2/3,401751
2021/2/4,403412
2021/2/5,405200
2021/2/6,406577
2021/2/7,407701
2021/2/8,408793
2021/2/9,409652
2021/2/10,410384
2021/2/11,411997
2021/2/12,414171
2021/2/13,415261
2021/2/14,415857
2021/2/15,416905
2021/2/16,417688
2021/2/17,418822
2021/2/18,420094
2021/2/19,421327
2021/2/20,422240
2021/2/21,423208
2021/2/22,424097
2021/2/23,425155
2021/2/24,426281
2021/2/25,427499
2021/2/26,428475
2021/2/27,430129
2021/2/28,430970
2021/3/1,432186
2021/3/2,432939
2021/3/3,434143
2021/3/4,435448
2021/3/5,436848
2021/3/6,437650
2021/3/7,437726
2021/3/8,439609
2021/3/9,440479
2021/3/10,441611
2021/3/11,442599
2021/3/12,443842
2021/3/13,445139
2021/3/14,445953
2021/3/15,446827
2021/3/16,447149
2021/3/17,447840
2021/3/18,449206
2021/3/19,450349
2021/3/20,452174
2021/3/21,452727
2021/3/22,453045
2021/3/23,453976
2021/3/24,456069
2021/3/25,457010
2021/3/26,458106
2021/3/27,460114
2021/3/28,460827
2021/3/29,461969
2021/3/30,462991
2021/3/31,464782
2021/4/1,466368
2021/4/2,468002
2021/4/3,469052
2021/4/4,470757
2021/4/5,471702
2021/4/6,472941
2021/4/7,473913
2021/4/8,476630
2021/4/9,478535
2021/4/10,479514
2021/4/11,481331
2021/4/12,482471
2021/4/13,484079
2021/4/14,486277
2021/4/15,488151
2021/4/16,490164
2021/4/17,491130
2021/4/18,491968
2021/4/19,493933
2021/4/20,495815
2021/4/21,497299
2021/4/22,499513
2021/4/23,501502
2021/4/24,502704
2021/4/25,504495
2021/4/26,505526
2021/4/27,508108
2021/4/28,508930
2021/4/29,511914
2021/4/30,513752
2021/5/1,515125
2021/5/2,516337
2021/5/3,517439
2021/5/4,518530
2021/5/5,519693
2021/5/6,521743
2021/5/7,523758
2021/5/8,524782
2021/5/9,526228
2021/5/10,527186
2021/5/11,528405
2021/5/12,529632
2021/5/13,531417
2021/5/14,532922
2021/5/15,533999
2021/5/16,534685
2021/5/17,535375
2021/5/18,536087
