date,cases
2020/3/8,1
2020/3/9,2
2020/3/10,2
2020/3/11,3
2020/3/12,6
2020/3/13,11
2020/3/14,20
2020/3/15,26
2020/3/16,41
2020/3/17,68
2020/3/18,96
2020/3/19,159
2020/3/20,194
2020/3/21,223
2020/3/22,327
2020/3/23,415
2020/3/24,618
2020/3/25,875
2020/3/26,1012
2020/3/27,1291
2020/3/28,1524
2020/3/29,1993
2020/3/30,2571
2020/3/31,3128
2020/4/1,3557
2020/4/2,3824
2020/4/3,4915
2020/4/4,5276
2020/4/5,5675
2020/4/6,6906
2020/4/7,7781
2020/4/8,8781
2020/4/9,9784
2020/4/10,10538
2020/4/11,11510
2020/4/12,12035
2020/4/13,13381
2020/4/14,13989
2020/4/15,14755
2020/4/16,15884
2020/4/17,16809
2020/4/18,17550
2020/4/19,17962
2020/4/20,19815
2020/4/21,20360
2020/4/22,22469
2020/4/23,23100
2020/4/24,23921
2020/4/25,24582
2020/4/26,25269
2020/4/27,25997
2020/4/28,26312
2020/4/29,26767
2020/4/30,27700
2020/5/1,28764
2020/5/2,29287
2020/5/3,29287
2020/5/4,29973
2020/5/5,30621
2020/5/6,30995
2020/5/7,31784
2020/5/8,32411
2020/5/9,32984
2020/5/10,33554
2020/5/11,33765
2020/5/12,34333
2020/5/13,34855
2020/5/14,35464
2020/5/15,36085
2020/5/16,36703
2020/5/17,37419
2020/5/18,38116
2020/5/19,38430
2020/5/20,39017
2020/5/21,39208
2020/5/22,39640
2020/5/23,40022
2020/5/24,40468
2020/5/25,40873
2020/5/26,41303
2020/5/27,41288
2020/5/28,41559
2020/5/29,41762
2020/5/30,42022
2020/5/31,42201
2020/6/1,42740
2020/6/2,42979
2020/6/3,43091
2020/6/4,43239
2020/6/5,43460
2020/6/6,43818
2020/6/7,43968
2020/6/8,44092
2020/6/9,44179
2020/6/10,44347
2020/6/11,44461
2020/6/12,44689
2020/6/13,44994
2020/6/14,45088
2020/6/15,45235
2020/6/16,45349
2020/6/17,45429
2020/6/18,45440
2020/6/19,45557
2020/6/20,45715
2020/6/21,45755
2020/6/22,45782
2020/6/23,45899
2020/6/24,45913
2020/6/25,45994
2020/6/26,46059
2020/6/27,46206
2020/6/28,46303
2020/6/29,46362
2020/6/30,46514
2020/7/1,46572
2020/7/2,46646
2020/7/3,46717
2020/7/4,46717
2020/7/5,46717
2020/7/6,46976
2020/7/7,47033
2020/7/8,47108
2020/7/9,47209
2020/7/10,47287
2020/7/11,47287
2020/7/12,47287
2020/7/13,47510
2020/7/14,47530
2020/7/15,47636
2020/7/16,47750
2020/7/17,47893
2020/7/18,47893
2020/7/19,47893
2020/7/20,48055
2020/7/21,48096
2020/7/22,48223
2020/7/23,48232
2020/7/24,48776
2020/7/25,48776
2020/7/26,48776
2020/7/27,48983
2020/7/28,49077
2020/7/29,49540
2020/7/30,49670
2020/7/31,49810
2020/8/1,49810
2020/8/2,49810
2020/8/3,50062
2020/8/4,50110
2020/8/5,50225
2020/8/6,50245
2020/8/7,50320
2020/8/8,50320
2020/8/9,50320
2020/8/10,50567
2020/8/11,50684
2020/8/12,50706
2020/8/13,50782
2020/8/14,50897
2020/8/15,50897
2020/8/16,50897
2020/8/17,51267
2020/8/18,51255
2020/8/19,51314
2020/8/20,51432
2020/8/21,51519
2020/8/22,51519
2020/8/23,51519
2020/8/24,52011
2020/8/25,52040
2020/8/26,52220
2020/8/27,52350
2020/8/28,52495
2020/8/29,52495
2020/8/30,52495
2020/8/31,52879
2020/9/1,53006
2020/9/2,53108
2020/9/3,53209
2020/9/4,53365
2020/9/5,53365
2020/9/6,53365
2020/9/7,53365
2020/9/8,53782
2020/9/9,53871
2020/9/10,54093
2020/9/11,54326
2020/9/12,54326
2020/9/13,54326
2020/9/14,54895
2020/9/15,55031
2020/9/16,55166
2020/9/17,55386
2020/9/18,55527
2020/9/19,55527
2020/9/20,55527
2020/9/21,56024
2020/9/22,56160
2020/9/23,56315
2020/9/24,56472
2020/9/25,56587
2020/9/26,56587
2020/9/27,56587
2020/9/28,57147
2020/9/29,57329
2020/9/30,57550
2020/10/1,57742
2020/10/2,58297
2020/10/3,58297
2020/10/4,58297
2020/10/5,59120
2020/10/6,59241
2020/10/7,59364
2020/10/8,59748
2020/10/9,60038
2020/10/10,60038
2020/10/11,60038
2020/10/12,61377
2020/10/13,61697
2020/10/14,61861
2020/10/15,62028
2020/10/16,62830
2020/10/17,62830
2020/10/18,62830
2020/10/19,64021
2020/10/20,64455
2020/10/21,64871
2020/10/22,65373
2020/10/23,66052
2020/10/24,66052
2020/10/25,66052
2020/10/26,68099
2020/10/27,68637
2020/10/28,69127
2020/10/29,70446
2020/10/30,71207
2020/10/31,71207
2020/11/1,71207
2020/11/2,73858
2020/11/3,74843
2020/11/4,75373
2020/11/5,77060
2020/11/6,78125
2020/11/7,78125
2020/11/8,78125
2020/11/9,81463
2020/11/10,82987
2020/11/11,84741
2020/11/12,85899
2020/11/13,88645
2020/11/14,88645
2020/11/15,88645
2020/11/16,93284
2020/11/17,94986
2020/11/18,97028
2020/11/19,99381
2020/11/20,101469
2020/11/21,101469
2020/11/22,101469
2020/11/23,106740
2020/11/24,107280
2020/11/25,109152
2020/11/26,109152
2020/11/27,112581
2020/11/28,112581
2020/11/29,112581
2020/11/30,117295
2020/12/1,118754
2020/12/2,121426
2020/12/3,126177
2020/12/4,127715
2020/12/5,127715
2020/12/6,127715
2020/12/7,135844
2020/12/8,138258
2020/12/9,140548
2020/12/10,142979
2020/12/11,146761
2020/12/12,146761
2020/12/13,146761
2020/12/14,153992
2020/12/15,155462
2020/12/16,157781
2020/12/17,160102
2020/12/18,162782
2020/12/19,162782
2020/12/20,162782
2020/12/21,167377
2020/12/22,168960
2020/12/23,170705
2020/12/24,172743
