date,cases
2020/3/7,1
2020/3/8,1
2020/3/9,4
2020/3/10,4
2020/3/11,10
2020/3/12,10
2020/3/13,10
2020/3/14,16
2020/3/15,17
2020/3/16,22
2020/3/17,31
2020/3/18,36
2020/3/19,39
2020/3/20,71
2020/3/21,77
2020/3/22,98
2020/3/23,116
2020/3/24,137
2020/3/25,183
2020/3/26,231
2020/3/27,267
2020/3/28,304
2020/3/29,342
2020/3/30,401
2020/3/31,495
2020/4/1,586
2020/4/2,653
2020/4/3,757
2020/4/4,902
2020/4/5,998
2020/4/6,1097
2020/4/7,1211
2020/4/8,1440
2020/4/9,1523
2020/4/10,1660
2020/4/11,1778
2020/4/12,1875
2020/4/13,1955
2020/4/14,2058
2020/4/15,2197
2020/4/16,2350
2020/4/17,2476
2020/4/18,2666
2020/4/19,2793
2020/4/20,2927
2020/4/21,3098
2020/4/22,3206
2020/4/23,3361
2020/4/24,3528
2020/4/25,3699
2020/4/26,3841
2020/4/27,3892
2020/4/28,3994
2020/4/29,4106
2020/4/30,4323
2020/5/1,4658
2020/5/2,4797
2020/5/3,5016
2020/5/4,5170
2020/5/5,5322
2020/5/6,5461
2020/5/7,5654
2020/5/8,5899
2020/5/9,6102
2020/5/10,6272
2020/5/11,6389
2020/5/12,6485
2020/5/13,6584
2020/5/14,6736
2020/5/15,6871
2020/5/16,7042
2020/5/17,7123
2020/5/18,7270
2020/5/19,7434
2020/5/20,7551
2020/5/21,7788
2020/5/22,7893
2020/5/23,7966
2020/5/24,8110
2020/5/25,8225
2020/5/26,8334
2020/5/27,8406
2020/5/28,8492
2020/5/29,8538
2020/5/30,8717
2020/5/31,8801
2020/6/1,8857
2020/6/2,8886
2020/6/3,9016
2020/6/4,9120
2020/6/5,9199
2020/6/6,9269
2020/6/7,9332
2020/6/8,9389
2020/6/9,9474
2020/6/10,9537
2020/6/11,9589
2020/6/12,9654
2020/6/13,9709
2020/6/14,9767
2020/6/15,9799
2020/6/16,9818
2020/6/17,9847
2020/6/18,9903
2020/6/19,9952
2020/6/20,9984
2020/6/21,10020
2020/6/22,10058
2020/6/23,10094
2020/6/24,10128
2020/6/25,10159
2020/6/26,10185
2020/6/27,10216
2020/6/28,10248
2020/6/29,10292
2020/6/30,10327
2020/7/1,10365
2020/7/2,10390
2020/7/3,10435
2020/7/4,10447
2020/7/5,10482
2020/7/6,10515
2020/7/7,10569
2020/7/8,10642
2020/7/9,10679
2020/7/10,10743
2020/7/11,10801
2020/7/12,10847
2020/7/13,10906
2020/7/14,10946
2020/7/15,11026
2020/7/16,11076
2020/7/17,11115
2020/7/18,11194
2020/7/19,11261
2020/7/20,11339
2020/7/21,11427
2020/7/22,11529
2020/7/23,11571
2020/7/24,11649
2020/7/25,11717
2020/7/26,11780
2020/7/27,11858
2020/7/28,11945
2020/7/29,11999
2020/7/30,12057
2020/7/31,12126
2020/8/1,12205
2020/8/2,12274
2020/8/3,12313
2020/8/4,12398
2020/8/5,12443
2020/8/6,12518
2020/8/7,12589
2020/8/8,12653
2020/8/9,12753
2020/8/10,12807
2020/8/11,12896
2020/8/12,12959
2020/8/13,13024
2020/8/14,13118
2020/8/15,13159
2020/8/16,13220
2020/8/17,13273
2020/8/18,13325
2020/8/19,13354
2020/8/20,13409
2020/8/21,13469
2020/8/22,13534
2020/8/23,13590
2020/8/24,13639
2020/8/25,13684
2020/8/26,13722
2020/8/27,13794
2020/8/28,13851
2020/8/29,13925
2020/8/30,13959
2020/8/31,13992
2020/9/1,14049
2020/9/2,14077
2020/9/3,14135
2020/9/4,14186
2020/9/5,14238
2020/9/6,14279
2020/9/7,14315
2020/9/8,14362
2020/9/9,14387
2020/9/10,14412
2020/9/11,14493
2020/9/12,14552
2020/9/13,14592
2020/9/14,14622
2020/9/15,14687
2020/9/16,14743
2020/9/17,14790
2020/9/18,14852
2020/9/19,14902
2020/9/20,14955
2020/9/21,14978
2020/9/22,15021
2020/9/23,15050
2020/9/24,15106
2020/9/25,15163
2020/9/26,15215
2020/9/27,15250
2020/9/28,15264
2020/9/29,15300
2020/9/30,15326
2020/10/1,15358
2020/10/2,15423
2020/10/3,15473
2020/10/4,15519
2020/10/5,15547
2020/10/6,15652
2020/10/7,15697
2020/10/8,15765
2020/10/9,15843
2020/10/10,15918
2020/10/11,15984
2020/10/12,16022
2020/10/13,16068
2020/10/14,16132
2020/10/15,16166
2020/10/16,16255
2020/10/17,16334
2020/10/18,16370
2020/10/19,16395
2020/10/20,16445
2020/10/21,16498
2020/10/22,16537
2020/10/23,16609
2020/10/24,16706
2020/10/25,16767
2020/10/26,16812
2020/10/27,16906
2020/10/28,16973
2020/10/29,17074
2020/10/30,17144
2020/10/31,17266
2020/11/1,17369
2020/11/2,17438
2020/11/3,17524
2020/11/4,17601
2020/11/5,17682
2020/11/6,17792
2020/11/7,17891
2020/11/8,18001
2020/11/9,18087
2020/11/10,18173
2020/11/11,18379
2020/11/12,18507
2020/11/13,18666
2020/11/14,18814
2020/11/15,18977
2020/11/16,19064
2020/11/17,19309
2020/11/18,19465
2020/11/19,19678
2020/11/20,19808
2020/11/21,19961
2020/11/22,20151
2020/11/23,20290
2020/11/24,20409
2020/11/25,20516
2020/11/26,20736
2020/11/27,20937
2020/11/28,21308
2020/11/29,21448
2020/11/30,21552
2020/12/1,21685
2020/12/2,21842
2020/12/3,22164
2020/12/4,22480
2020/12/5,22872
2020/12/6,23136
2020/12/7,23319
2020/12/8,23589
2020/12/9,23854
2020/12/10,24098
2020/12/11,24357
2020/12/12,24643
2020/12/13,24874
2020/12/14,25038
2020/12/15,25339
2020/12/16,25602
2020/12/17,25830
2020/12/18,26104
2020/12/19,26342
2020/12/20,26601
2020/12/21,26740
2020/12/22,26900
2020/12/23,27226
2020/12/24,27436
2020/12/25,27436
2020/12/26,27710
2020/12/27,28202
2020/12/28,28342
2020/12/29,28535
2020/12/30,28758
2020/12/31,28983
2021/1/1,29252
2021/1/2,29509
2021/1/3,29764
2021/1/4,29904
2021/1/5,30166
2021/1/6,30482
2021/1/7,30750
2021/1/8,31107
2021/1/9,31457
2021/1/10,31791
2021/1/11,31993
2021/1/12,32423
2021/1/13,32600
2021/1/14,32820
2021/1/15,33140
2021/1/16,33537
2021/1/17,33851
2021/1/18,34033
2021/1/19,34259
2021/1/20,34403
2021/1/21,34612
2021/1/22,34905
2021/1/23,35077
2021/1/24,35301
2021/1/25,35505
2021/1/26,35700
2021/1/27,35865
2021/1/28,36132
2021/1/29,36414
2021/1/30,36662
2021/1/31,36872
2021/2/1,37008
2021/2/2,37138
2021/2/3,37199
2021/2/4,37365
2021/2/5,37634
2021/2/6,37877
2021/2/7,38035
2021/2/8,38136
2021/2/9,38281
2021/2/10,38348
2021/2/11,38533
2021/2/12,38670
2021/2/13,38796
2021/2/14,38918
2021/2/15,39001
2021/2/16,39131
2021/2/17,39180
2021/2/18,39301
2021/2/19,39461
2021/2/20,39553
2021/2/21,39648
2021/2/22,39755
2021/2/23,39844
2021/2/24,39943
2021/2/25,40122
2021/2/26,40284
2021/2/27,40478
2021/2/28,40598
2021/3/1,40684
2021/3/2,40767
2021/3/3,40818
2021/3/4,41014
2021/3/5,41122
2021/3/6,41273
2021/3/7,41419
2021/3/8,41579
2021/3/9,41910
2021/3/10,42006
2021/3/11,42128
2021/3/12,42282
2021/3/13,42432
2021/3/14,42511
2021/3/15,42623
2021/3/16,42730
2021/3/17,42811
2021/3/18,42892
2021/3/19,43034
2021/3/20,43175
2021/3/21,43229
2021/3/22,43383
2021/3/23,43488
2021/3/24,43595
2021/3/25,43669
2021/3/26,43825
2021/3/27,44051
2021/3/28,44175
2021/3/29,44248
2021/3/30,44413
2021/3/31,44513
2021/4/1,44656
2021/4/2,44807
2021/4/3,44932
2021/4/4,45037
2021/4/5,45112
2021/4/6,45234
2021/4/7,45328
2021/4/8,45498
2021/4/9,45634
2021/4/10,45762
2021/4/11,45830
2021/4/12,45903
2021/4/13,46016
2021/4/14,46209
2021/4/15,46315
2021/4/16,46449
2021/4/17,46579
2021/4/18,46662
2021/4/19,46740
2021/4/20,46869
2021/4/21,46941
2021/4/22,47040
2021/4/23,47141
2021/4/24,47219
2021/4/25,47323
2021/4/26,47378
2021/4/27,47471
2021/4/28,47533
2021/4/29,47614
2021/4/30,47697
2021/5/1,47800
2021/5/2,47855
2021/5/3,47903
2021/5/4,47986
2021/5/5,48041
2021/5/6,48080
2021/5/7,48136
2021/5/8,48164
2021/5/9,48180
2021/5/10,48195
2021/5/11,48282
2021/5/12,48336
2021/5/13,48404
2021/5/14,48424
2021/5/15,48530
2021/5/16,48545
2021/5/17,48590
2021/5/18,48616
2021/5/19,48634
2021/5/20,48662
2021/5/21,48689
2021/5/22,48727
2021/5/23,48748
2021/5/24,48762
2021/5/25,48803
2021/5/26,48822
2021/5/27,48844
2021/5/28,48898
2021/5/29,48898
2021/5/30,48898
2021/5/31,48898
2021/6/1,49000
2021/6/2,49011
2021/6/3,49041
2021/6/4,49068
2021/6/5,49068
2021/6/6,49068
2021/6/7,49110
2021/6/8,49119
2021/6/9,49127
2021/6/10,49151
2021/6/11,49158
2021/6/12,49158
2021/6/13,49158
2021/6/14,49179
2021/6/15,49213
2021/6/16,49223
2021/6/17,49232
2021/6/18,49243
2021/6/19,49243
2021/6/20,49243
2021/6/21,49248
2021/6/22,49275
2021/6/23,49284
2021/6/24,49297
2021/6/25,49305
2021/6/26,49305
2021/6/27,49305
2021/6/28,49315
2021/6/29,49347
2021/6/30,49335
2021/7/1,49362
2021/7/2,49378
2021/7/3,49378
2021/7/4,49378
2021/7/5,49378
2021/7/6,49417
2021/7/7,49423
2021/7/8,49434
2021/7/9,49455
2021/7/10,49455
2021/7/11,49455
2021/7/12,49526
2021/7/13,49536
2021/7/14,49574
2021/7/15,49615
2021/7/16,49652
2021/7/17,49652
2021/7/18,49652
2021/7/19,49793
2021/7/20,49827
2021/7/21,49858
2021/7/22,49930
2021/7/23,49973
2021/7/24,49973
2021/7/25,49973
2021/7/26,50160
2021/7/27,50160
2021/7/28,50268
2021/7/29,50329
2021/7/30,50398
2021/7/31,50398
2021/8/1,50398
2021/8/2,50716
2021/8/3,50800
2021/8/4,50858
2021/8/5,50975
2021/8/6,51103
2021/8/7,51103
2021/8/8,51103
2021/8/9,51589
2021/8/10,51726
2021/8/11,51853
2021/8/12,52005
2021/8/13,52201
2021/8/14,52201
2021/8/15,52201
2021/8/16,52777
2021/8/17,52843
2021/8/18,52843
2021/8/19,53162
2021/8/20,53342
2021/8/21,53342
2021/8/22,53342
2021/8/23,53898
2021/8/24,54031
2021/8/25,54156
2021/8/26,54366
2021/8/27,54556
2021/8/28,54556
2021/8/29,54556
2021/8/30,55253
2021/8/31,55431
2021/9/1,55570
2021/9/2,55718
2021/9/3,55918
2021/9/4,55918
2021/9/5,55918
2021/9/6,55918
2021/9/7,56569
2021/9/8,56694
2021/9/9,56859
2021/9/10,56966
2021/9/11,56966
2021/9/12,56966
2021/9/13,57771
2021/9/14,58146
2021/9/15,58440
2021/9/16,58649
2021/9/17,58851
2021/9/18,58851
2021/9/19,58851
2021/9/20,59563
2021/9/21,59712
2021/9/22,59849
2021/9/23,60018
2021/9/24,60205
2021/9/25,60205
2021/9/26,60205
2021/9/27,60772
2021/9/28,60898
2021/9/29,60996
2021/9/30,61153
2021/10/1,61331
2021/10/2,61331
2021/10/3,61331
2021/10/4,61791
2021/10/5,61863
2021/10/6,61978
2021/10/7,62098
2021/10/8,62266
2021/10/9,62266
2021/10/10,62266
2021/10/11,62266
2021/10/12,62702
2021/10/13,62750
2021/10/14,62852
2021/10/15,62976
2021/10/16,62976
2021/10/17,62976
2021/10/18,63305
2021/10/19,63345
2021/10/20,63400
2021/10/21,63474
2021/10/22,63588
2021/10/23,63588
2021/10/24,63588
2021/10/25,63879
2021/10/26,63919
2021/10/27,63990
2021/10/28,64108
2021/10/29,64240
2021/10/30,64240
2021/10/31,64240
2021/11/1,64470
2021/11/2,64541
2021/11/3,64602
2021/11/4,64708
2021/11/5,64799
2021/11/6,64799
2021/11/7,64799
2021/11/8,65050
2021/11/9,65094
2021/11/10,65159
2021/11/11,65159
2021/11/12,65371
2021/11/13,65371
2021/11/14,65371
2021/11/15,65623
2021/11/16,65707
2021/11/17,65793
2021/11/18,65889
2021/11/19,66028
2021/11/20,66028
2021/11/21,66028
2021/11/22,66347
2021/11/23,66433
2021/11/24,66510
2021/11/25,66510
2021/11/26,66510
2021/11/27,66510
2021/11/28,66510
2021/11/29,66857
2021/11/30,66912
2021/12/1,67047
2021/12/2,67173
2021/12/3,67430
2021/12/4,67430
2021/12/5,67430
2021/12/6,67996
2021/12/7,68134
2021/12/8,68262
2021/12/9,68460
2021/12/10,68702
2021/12/11,68702
2021/12/12,68702
2021/12/13,68702
2021/12/14,69540
2021/12/15,69867
2021/12/16,70375
2021/12/17,71219
2021/12/18,71219
2021/12/19,71219
2021/12/20,74982
2021/12/21,76137
2021/12/22,77661
2021/12/23,79565
2021/12/24,79565
2021/12/25,79565
2021/12/26,79565
2021/12/27,88765
2021/12/28,90633
2021/12/29,92045
2021/12/30,94286
2021/12/31,94286
2022/1/1,94286
2022/1/2,94286
2022/1/3,103487
2022/1/4,105493
2022/1/5,106819
2022/1/6,108112
2022/1/7,110040
2022/1/8,110040
2022/1/9,110040
2022/1/10,116278
2022/1/11,117586
2022/1/12,118802
2022/1/13,120327
2022/1/14,121871
