date,state,cases
2020/3/11,Delaware,1
2020/3/12,Delaware,4
2020/3/13,Delaware,4
2020/3/14,Delaware,4
2020/3/15,Delaware,7
2020/3/16,Delaware,8
2020/3/17,Delaware,16
2020/3/18,Delaware,26
2020/3/19,Delaware,30
2020/3/20,Delaware,39
2020/3/21,Delaware,45
2020/3/22,Delaware,56
2020/3/23,Delaware,87
2020/3/24,Delaware,104
2020/3/25,Delaware,119
2020/3/26,Delaware,143
2020/3/27,Delaware,165
2020/3/28,Delaware,214
2020/3/29,Delaware,232
2020/3/30,Delaware,264
2020/3/31,Delaware,319
2020/4/1,Delaware,368
2020/4/2,Delaware,393
2020/4/3,Delaware,450
2020/4/4,Delaware,593
2020/4/5,Delaware,673
2020/4/6,Delaware,783
2020/4/7,Delaware,928
2020/4/8,Delaware,1116
2020/4/9,Delaware,1209
2020/4/10,Delaware,1326
2020/4/11,Delaware,1479
2020/4/12,Delaware,1625
2020/4/13,Delaware,1761
2020/4/14,Delaware,1926
2020/4/15,Delaware,2014
2020/4/16,Delaware,2075
2020/4/17,Delaware,2323
2020/4/18,Delaware,2538
2020/4/19,Delaware,2538
2020/4/20,Delaware,2745
2020/4/21,Delaware,2931
2020/4/22,Delaware,3200
2020/4/23,Delaware,3308
2020/4/24,Delaware,3442
2020/4/25,Delaware,3576
2020/4/26,Delaware,4034
2020/4/27,Delaware,4162
2020/4/28,Delaware,4575
2020/4/29,Delaware,4655
2020/4/30,Delaware,4734
2020/5/1,Delaware,4918
2020/5/2,Delaware,5038
2020/5/3,Delaware,5208
2020/5/4,Delaware,5288
2020/5/5,Delaware,5371
2020/5/6,Delaware,5778
2020/5/7,Delaware,5939
2020/5/8,Delaware,6083
2020/5/9,Delaware,6277
2020/5/10,Delaware,6447
2020/5/11,Delaware,6565
2020/5/12,Delaware,6741
2020/5/13,Delaware,6952
2020/5/14,Delaware,7223
2020/5/15,Delaware,7373
2020/5/16,Delaware,7547
2020/5/17,Delaware,7670
2020/5/18,Delaware,7869
2020/5/19,Delaware,8037
