date,cases
2020/3/1,2
2020/3/2,2
2020/3/3,3
2020/3/4,3
2020/3/5,4
2020/3/6,7
2020/3/7,12
2020/3/8,13
2020/3/9,14
2020/3/10,23
2020/3/11,26
2020/3/12,46
2020/3/13,70
2020/3/14,70
2020/3/15,109
2020/3/16,141
2020/3/17,210
2020/3/18,326
2020/3/19,434
2020/3/20,564
2020/3/21,764
2020/3/22,1000
2020/3/23,1222
2020/3/24,1467
2020/3/25,1971
2020/3/26,2478
2020/3/27,3198
2020/3/28,4038
2020/3/29,4943
2020/3/30,5695
2020/3/31,6742
2020/4/1,7769
2020/4/2,9000
2020/4/3,10260
2020/4/4,11537
2020/4/5,12342
2020/4/6,13621
2020/4/7,14739
2020/4/8,15690
2020/4/9,16819
2020/4/10,17960
2020/4/11,18978
2020/4/12,19855
2020/4/13,21011
2020/4/14,21620
2020/4/15,22526
2020/4/16,23332
2020/4/17,24745
2020/4/18,25484
2020/4/19,26306
2020/4/20,27050
2020/4/21,27861
2020/4/22,28301
2020/4/23,29640
2020/4/24,30525
2020/4/25,30831
2020/4/26,31520
2020/4/27,32130
2020/4/28,32838
2020/4/29,33185
2020/4/30,33683
2020/5/1,34720
2020/5/2,35455
2020/5/3,36070
2020/5/4,36889
2020/5/5,37431
2020/5/6,37994
2020/5/7,38820
2020/5/8,39191
2020/5/9,39993
2020/5/10,40588
2020/5/11,40974
2020/5/12,41915
2020/5/13,42394
2020/5/14,43202
2020/5/15,44130
2020/5/16,44803
2020/5/17,45580
2020/5/18,46434
2020/5/19,46936
2020/5/20,47463
2020/5/21,48667
2020/5/22,49443
2020/5/23,50119
2020/5/24,50859
2020/5/25,51738
2020/5/26,52247
2020/5/27,52626
2020/5/28,53277
2020/5/29,54489
2020/5/30,55416
2020/5/31,56155
2020/6/1,56822
2020/6/2,57439
2020/6/3,58756
2020/6/4,60175
2020/6/5,61480
2020/6/6,62750
2020/6/7,63930
2020/6/8,64896
2020/6/9,65992
2020/6/10,67363
2020/6/11,69061
2020/6/12,70963
2020/6/13,73544
2020/6/14,75560
2020/6/15,77318
2020/6/16,80101
2020/6/17,82711
2020/6/18,85918
2020/6/19,89740
2020/6/20,93789
2020/6/21,97283
2020/6/22,100209
2020/6/23,103495
2020/6/24,109006
2020/6/25,114010
2020/6/26,122952
2020/6/27,132537
2020/6/28,141067
2020/6/29,146333
2020/6/30,152426
2020/7/1,158989
2020/7/2,169098
2020/7/3,178586
2020/7/4,190044
2020/7/5,200103
2020/7/6,206439
2020/7/7,213786
2020/7/8,223775
2020/7/9,232710
2020/7/10,244143
2020/7/11,254503
2020/7/12,269803
