date,cases
2020/1/22,1
2020/1/23,5
2020/1/24,10
2020/1/25,18
2020/1/26,35
2020/1/27,59
2020/1/28,80
2020/1/29,84
2020/1/30,101
2020/1/31,120
2020/2/1,144
2020/2/2,159
2020/2/3,179
2020/2/4,194
2020/2/5,205
2020/2/6,215
2020/2/7,224
2020/2/8,239
2020/2/9,250
2020/2/10,261
2020/2/11,267
2020/2/12,272
2020/2/13,279
2020/2/14,281
2020/2/15,285
2020/2/16,287
2020/2/17,290
2020/2/18,292
2020/2/19,293
2020/2/20,293
2020/2/21,293
2020/2/22,293
2020/2/23,293
2020/2/24,293
2020/2/25,294
2020/2/26,294
2020/2/27,296
2020/2/28,296
2020/2/29,296
2020/3/1,296
2020/3/2,296
2020/3/3,296
2020/3/4,296
2020/3/5,296
2020/3/6,296
2020/3/7,296
2020/3/8,296
2020/3/9,296
2020/3/10,296
2020/3/11,296
2020/3/12,296
2020/3/13,296
2020/3/14,296
2020/3/15,296
2020/3/16,296
2020/3/17,296
2020/3/18,296
2020/3/19,296
2020/3/20,299
2020/3/21,303
2020/3/22,313
2020/3/23,313
2020/3/24,318
2020/3/25,322
2020/3/26,328
2020/3/27,331
2020/3/28,337
2020/3/29,338
2020/3/30,340
2020/3/31,343
2020/4/1,345
2020/4/2,345
2020/4/3,349
2020/4/4,350
2020/4/5,350
2020/4/6,350
2020/4/7,351
2020/4/8,351
2020/4/9,351
2020/4/10,351
2020/4/11,351
2020/4/12,352
2020/4/13,352
2020/4/14,353
2020/4/15,353
2020/4/16,353
2020/4/17,354
2020/4/18,355
2020/4/19,355
2020/4/20,355
2020/4/21,355
2020/4/22,355
2020/4/23,355
2020/4/24,355
2020/4/25,355
2020/4/26,355
2020/4/27,355
2020/4/28,355
2020/4/29,355
2020/4/30,356
2020/5/1,356
2020/5/2,356
2020/5/3,356
2020/5/4,356
2020/5/5,356
2020/5/6,356
2020/5/7,356
2020/5/8,356
2020/5/9,356
2020/5/10,356
2020/5/11,356
2020/5/12,356
2020/5/13,356
2020/5/14,356
2020/5/15,356
2020/5/16,356
2020/5/17,356
2020/5/18,356
2020/5/19,356
2020/5/20,356
2020/5/21,356
2020/5/22,356
2020/5/23,356
2020/5/24,356
2020/5/25,357
2020/5/26,357
2020/5/27,358
2020/5/28,358
2020/5/29,358
2020/5/30,358
2020/5/31,358
2020/6/1,358
2020/6/2,358
2020/6/3,358
2020/6/4,358
2020/6/5,358
2020/6/6,359
2020/6/7,359
2020/6/8,359
2020/6/9,359
2020/6/10,360
2020/6/11,361
2020/6/12,361
2020/6/13,361
2020/6/14,362
2020/6/15,362
2020/6/16,362
2020/6/17,362
2020/6/18,362
2020/6/19,362
2020/6/20,363
2020/6/21,363
2020/6/22,363
2020/6/23,363
2020/6/24,363
2020/6/25,363
2020/6/26,363
2020/6/27,363
2020/6/28,363
2020/6/29,363
2020/6/30,363
2020/7/1,363
2020/7/2,363
2020/7/3,363
2020/7/4,363
2020/7/5,363
2020/7/6,363
2020/7/7,363
2020/7/8,363
2020/7/9,363
2020/7/10,363
2020/7/11,363
2020/7/12,363
2020/7/13,363
2020/7/14,363
2020/7/15,363
