date,cases
2020/3/2,2
2020/3/3,2
2020/3/4,2
2020/3/5,2
2020/3/6,3
2020/3/7,7
2020/3/8,11
2020/3/9,17
2020/3/10,22
2020/3/11,31
2020/3/12,31
2020/3/13,41
2020/3/14,65
2020/3/15,97
2020/3/16,118
2020/3/17,142
2020/3/18,193
2020/3/19,282
2020/3/20,482
2020/3/21,552
2020/3/22,620
2020/3/23,800
2020/3/24,1095
2020/3/25,1385
2020/3/26,1641
2020/3/27,2198
2020/3/28,2447
2020/3/29,2683
2020/3/30,3032
2020/3/31,4116
2020/4/1,4747
2020/4/2,5444
2020/4/3,5967
2020/4/4,6383
2020/4/5,6742
2020/4/6,7558
2020/4/7,9156
2020/4/8,10204
2020/4/9,10885
2020/4/10,11859
2020/4/11,12261
2020/4/12,12103
2020/4/13,13125
2020/4/14,13913
2020/4/15,14583
2020/4/16,15644
2020/4/17,16658
2020/4/18,17014
2020/4/19,17619
2020/4/20,18447
2020/4/21,19189
2020/4/22,20099
2020/4/23,20905
2020/4/24,21575
2020/4/25,22225
2020/4/26,22459
2020/4/27,23229
2020/4/28,23607
2020/4/29,24300
2020/4/30,25431
2020/5/1,26436
2020/5/2,27268
2020/5/3,27618
2020/5/4,28350
2020/5/5,28876
2020/5/6,29724
2020/5/7,30524
2020/5/8,31089
2020/5/9,31481
2020/5/10,32267
2020/5/11,32448
2020/5/12,33311
2020/5/13,33866
2020/5/14,34422
2020/5/15,35242
2020/5/16,35655
2020/5/17,35954
2020/5/18,36634
2020/5/19,37214
2020/5/20,38162
2020/5/21,38969
2020/5/22,39734
2020/5/23,40408
2020/5/24,40989
2020/5/25,41414
2020/5/26,42066
2020/5/27,42713
2020/5/28,43363
2020/5/29,43888
2020/5/30,44336
2020/5/31,45051
2020/6/1,45757
2020/6/2,46063
2020/6/3,46711
2020/6/4,47528
2020/6/5,48280
2020/6/6,48943
2020/6/7,49371
2020/6/8,49995
2020/6/9,50769
2020/6/10,51465
2020/6/11,52332
2020/6/12,53201
2020/6/13,54178
2020/6/14,54874
2020/6/15,55505
2020/6/16,56302
2020/6/17,57217
2020/6/18,58040
2020/6/19,59117
2020/6/20,60669
2020/6/21,61493
2020/6/22,62705
2020/6/23,64577
2020/6/24,66290
2020/6/25,67796
2020/6/26,69542
2020/6/27,71066
2020/6/28,72800
2020/6/29,74816
2020/6/30,77280
2020/7/1,79589
2020/7/2,82475
2020/7/3,85079
2020/7/4,87592
2020/7/5,89489
2020/7/6,91015
2020/7/7,93707
2020/7/8,96538
2020/7/9,98693
2020/7/10,103597
2020/7/11,106574
2020/7/12,108389
2020/7/13,111937
2020/7/14,114579
2020/7/15,118147
2020/7/16,120848
2020/7/17,124267
2020/7/18,128341
2020/7/19,130794
2020/7/20,132788
2020/7/21,135865
2020/7/22,139120
2020/7/23,143857
2020/7/24,147732
2020/7/25,151262
2020/7/26,153476
2020/7/27,155907
2020/7/28,160038
2020/7/29,163547
2020/7/30,167545
2020/7/31,171342
2020/8/1,174834
2020/8/2,177556
2020/8/3,179510
2020/8/4,182462
2020/8/5,186395
2020/8/6,189300
2020/8/7,193276
2020/8/8,197308
2020/8/9,200147
2020/8/10,202276
2020/8/11,205920
2020/8/12,209683
2020/8/13,212009
2020/8/14,215328
2020/8/15,218344
2020/8/16,220165
2020/8/17,221841
2020/8/18,224681
2020/8/19,227255
2020/8/20,230288
2020/8/21,233169
2020/8/22,235783
2020/8/23,237402
2020/8/24,239612
2020/8/25,241865
2020/8/26,244494
2020/8/27,247017
2020/8/28,249317
2020/8/29,251676
2020/8/30,252813
2020/8/31,254238
2020/9/1,256544
2020/9/2,258482
2020/9/3,261056
2020/9/4,263047
2020/9/5,265215
2020/9/6,266707
2020/9/7,267238
2020/9/8,268684
2020/9/9,270624
2020/9/10,272588
2020/9/11,274242
2020/9/12,276319
2020/9/13,277715
2020/9/14,278699
2020/9/15,280356
2020/9/16,282363
2020/9/17,284219
2020/9/18,286170
2020/9/19,288059
2020/9/20,289096
2020/9/21,289975
2020/9/22,290930
2020/9/23,292797
2020/9/24,294334
2020/9/25,296089
2020/9/26,297553
2020/9/27,298321
2020/9/28,298963
2020/9/29,300019
2020/9/30,301485
2020/10/1,303010
2020/10/2,304406
2020/10/3,305941
2020/10/4,306778
2020/10/5,328127
2020/10/6,329101
2020/10/7,330769
2020/10/8,332142
2020/10/9,333934
2020/10/10,335351
2020/10/11,336586
2020/10/12,339577
2020/10/13,340758
2020/10/14,342302
2020/10/15,344093
2020/10/16,345879
2020/10/17,347468
2020/10/18,348773
2020/10/19,350654
2020/10/20,351990
2020/10/21,353449
2020/10/22,355156
2020/10/23,357319
2020/10/24,359001
2020/10/25,360344
2020/10/26,364275
2020/10/27,365498
2020/10/28,367126
2020/10/29,368840
2020/10/30,370157
2020/10/31,372631
2020/11/1,373700
2020/11/2,377261
2020/11/3,378894
2020/11/4,382113
2020/11/5,384531
2020/11/6,387202
2020/11/7,389257
2020/11/8,390617
2020/11/9,392246
2020/11/10,396498
2020/11/11,398769
2020/11/12,401750
2020/11/13,404577
2020/11/14,407596
2020/11/15,409504
2020/11/16,410581
2020/11/17,414821
2020/11/18,417934
2020/11/19,421381
2020/11/20,424759
2020/11/21,430687
2020/11/22,432954
2020/11/23,434916
2020/11/24,438441
2020/11/25,441737
2020/11/26,445204
2020/11/27,447942
2020/11/28,450627
2020/11/29,452322
2020/11/30,454328
2020/12/1,458985
2020/12/2,464417
2020/12/3,469955
2020/12/4,476181
2020/12/5,481126
2020/12/6,483106
2020/12/7,488225
2020/12/8,493558
2020/12/9,499299
2020/12/10,506802
2020/12/11,512715
2020/12/12,518973
2020/12/13,523580
2020/12/14,527157
2020/12/15,534488
2020/12/16,541086
2020/12/17,548646
2020/12/18,556615
2020/12/19,562479
2020/12/20,567654
2020/12/21,571301
2020/12/22,579957
2020/12/23,587472
2020/12/24,597753
2020/12/25,603246
2020/12/26,607133
2020/12/27,610574
2020/12/28,614716
2020/12/29,623901
2020/12/30,632861
2020/12/31,644065
2021/1/1,654950
2021/1/2,662077
2021/1/3,667705
2021/1/4,672849
2021/1/5,682749
2021/1/6,690137
2021/1/7,699806
2021/1/8,712785
2021/1/9,724317
2021/1/10,732121
2021/1/11,740078
2021/1/12,749417
2021/1/13,757993
2021/1/14,766917
2021/1/15,776485
2021/1/16,785048
2021/1/17,791322
2021/1/18,796307
2021/1/19,804508
2021/1/20,812454
2021/1/21,820513
2021/1/22,829023
2021/1/23,838057
2021/1/24,842798
2021/1/25,847036
2021/1/26,855488
2021/1/27,861830
2021/1/28,869165
2021/1/29,875514
2021/1/30,881740
2021/1/31,885249
2021/2/1,888462
2021/2/2,893441
2021/2/3,898639
2021/2/4,904450
2021/2/5,909170
