date,cases,
2020/1/22,26,
2020/1/23,32,
2020/1/24,53,
2020/1/25,78,
2020/1/26,111,
2020/1/27,151,
2020/1/28,207,
2020/1/29,277,
2020/1/30,354,
2020/1/31,436,
2020/2/1,535,
2020/2/2,632,
2020/2/3,725,
2020/2/4,813,
2020/2/5,895,
2020/2/6,970,
2020/2/7,1034,
2020/2/8,1095,
2020/2/9,1131,
2020/2/10,1159,
2020/2/11,1177,
2020/2/12,1219,
2020/2/13,1241,
2020/2/14,1261,
2020/2/15,1294,
2020/2/16,1316,
2020/2/17,1322,
2020/2/18,1328,
2020/2/19,1331,
2020/2/20,1332,
2020/2/21,1333,
2020/2/22,1339,
2020/2/23,1342,
2020/2/24,1345,
2020/2/25,1347,
2020/2/26,1347,
2020/2/27,1347,
2020/2/28,1348,
2020/2/29,1349,
2020/3/1,1349,
2020/3/2,1350,
2020/3/3,1350,
2020/3/4,1350,
2020/3/5,1351,
2020/3/6,1352,
2020/3/7,1352,
2020/3/8,1352,
2020/3/9,1352,
2020/3/10,1353,
2020/3/11,1356,
2020/3/12,1356,
2020/3/13,1356,
2020/3/14,1356,
2020/3/15,1360,
2020/3/16,1361,
2020/3/17,1364,
2020/3/18,1370,
2020/3/19,1378,
2020/3/20,1395,
2020/3/21,1400,
2020/3/22,1413,
2020/3/23,1415,
2020/3/24,1428,
2020/3/25,1433,
2020/3/26,1448,
2020/3/27,1456,
2020/3/28,1467,
2020/3/29,1475,
2020/3/30,1484,
2020/3/31,1494,
2020/4/1,1501,
2020/4/2,1507,
2020/4/3,1514,
2020/4/4,1516,
2020/4/5,1524,
2020/4/6,1532,
2020/4/7,1533,
2020/4/8,1536,
2020/4/9,1539,
2020/4/10,1544,
2020/4/11,1548,
2020/4/12,1552,
2020/4/13,1555,
2020/4/14,1564,
2020/4/15,1566,
2020/4/16,1571,
2020/4/17,1577,
2020/4/18,1579,
2020/4/19,1580,
2020/4/20,1581,
2020/4/21,1582,
2020/4/22,1582,
2020/4/23,1585,
2020/4/24,1585,
2020/4/25,1586,
