date,cases
2020/1/22,2
2020/1/23,5
2020/1/24,23
2020/1/25,23
2020/1/26,36
2020/1/27,46
2020/1/28,51
2020/1/29,58
2020/1/30,78
2020/1/31,87
2020/2/1,100
2020/2/2,111
2020/2/3,127
2020/2/4,139
2020/2/5,150
2020/2/6,168
2020/2/7,172
2020/2/8,183
2020/2/9,195
2020/2/10,210
2020/2/11,215
2020/2/12,222
2020/2/13,222
2020/2/14,226
2020/2/15,235
2020/2/16,237
2020/2/17,238
2020/2/18,242
2020/2/19,244
2020/2/20,245
2020/2/21,246
2020/2/22,249
2020/2/23,249
2020/2/24,251
2020/2/25,252
2020/2/26,252
2020/2/27,252
2020/2/28,252
2020/2/29,252
2020/3/1,252
2020/3/2,252
2020/3/3,252
2020/3/4,252
2020/3/5,252
2020/3/6,252
2020/3/7,252
2020/3/8,252
2020/3/9,252
2020/3/10,252
2020/3/11,252
2020/3/12,252
2020/3/13,252
2020/3/14,252
2020/3/15,252
2020/3/16,252
2020/3/17,253
2020/3/18,253
2020/3/19,253
2020/3/20,254
2020/3/21,254
2020/3/22,254
2020/3/23,254
2020/3/24,254
2020/3/25,254
2020/3/26,254
2020/3/27,254
2020/3/28,254
2020/3/29,254
2020/3/30,254
2020/3/31,254
2020/4/1,254
2020/4/2,254
2020/4/3,254
2020/4/4,254
2020/4/5,254
2020/4/6,254
2020/4/7,254
2020/4/8,254
2020/4/9,254
2020/4/10,254
2020/4/11,254
2020/4/12,254
2020/4/13,254
2020/4/14,254
2020/4/15,254
2020/4/16,254
2020/4/17,254
2020/4/18,254
2020/4/19,254
2020/4/20,254
2020/4/21,254
2020/4/22,254
2020/4/23,254
2020/4/24,254
2020/4/25,254
2020/4/26,254
2020/4/27,254
2020/4/28,254
2020/4/29,254
2020/4/30,254
2020/5/1,254
2020/5/2,254
2020/5/3,254
2020/5/4,254
2020/5/5,254
2020/5/6,254
2020/5/7,254
2020/5/8,254
2020/5/9,254
2020/5/10,254
2020/5/11,254
2020/5/12,254
2020/5/13,254
2020/5/14,254
2020/5/15,254
2020/5/16,254
2020/5/17,254
2020/5/18,254
2020/5/19,254
2020/5/20,254
2020/5/21,254
2020/5/22,254
2020/5/23,254
2020/5/24,254
2020/5/25,254
2020/5/26,254
2020/5/27,254
2020/5/28,254
2020/5/29,254
2020/5/30,254
2020/5/31,254
2020/6/1,254
2020/6/2,254
2020/6/3,254
2020/6/4,254
2020/6/5,254
2020/6/6,254
2020/6/7,254
2020/6/8,254
2020/6/9,254
2020/6/10,254
2020/6/11,254
2020/6/12,254
2020/6/13,254
2020/6/14,254
2020/6/15,254
2020/6/16,254
2020/6/17,254
2020/6/18,254
2020/6/19,254
2020/6/20,254
2020/6/21,254
2020/6/22,254
2020/6/23,254
2020/6/24,254
2020/6/25,254
2020/6/26,254
2020/6/27,254
2020/6/28,254
2020/6/29,254
2020/6/30,254
2020/7/1,254
2020/7/2,254
2020/7/3,254
2020/7/4,254
2020/7/5,254
2020/7/6,254
2020/7/7,254
2020/7/8,254
2020/7/9,254
2020/7/10,254
2020/7/11,254
2020/7/12,254
2020/7/13,254
2020/7/14,254
2020/7/15,254
2020/7/16,255
2020/7/17,255
2020/7/18,255
2020/7/19,255
2020/7/20,255
2020/7/21,255
2020/7/22,255
2020/7/23,255
2020/7/24,255
2020/7/25,255
2020/7/26,255
2020/7/27,255
2020/7/28,255
2020/7/29,255
2020/7/30,255
2020/7/31,255
2020/8/1,255
2020/8/2,255
2020/8/3,255
2020/8/4,255
2020/8/5,255
2020/8/6,255
2020/8/7,255
2020/8/8,255
2020/8/9,255
2020/8/10,255
2020/8/11,255
2020/8/12,255
2020/8/13,255
2020/8/14,255
2020/8/15,255
2020/8/16,255
2020/8/17,255
2020/8/18,255
2020/8/19,255
2020/8/20,255
2020/8/21,255
2020/8/22,255
2020/8/23,255
2020/8/24,255
2020/8/25,255
2020/8/26,255
2020/8/27,255
2020/8/28,255
2020/8/29,255
2020/8/30,255
2020/8/31,255
2020/9/1,255
2020/9/2,255
2020/9/3,257
2020/9/4,257
2020/9/5,257
2020/9/6,257
2020/9/7,257
2020/9/8,257
2020/9/9,257
2020/9/10,257
2020/9/11,257
2020/9/12,258
2020/9/13,258
2020/9/14,258
2020/9/15,258
2020/9/16,258
2020/9/17,258
2020/9/18,258
2020/9/19,258
2020/9/20,258
2020/9/21,258
2020/9/22,258
2020/9/23,259
2020/9/24,259
2020/9/25,259
2020/9/26,259
2020/9/27,259
2020/9/28,259
2020/9/29,259
2020/9/30,259
2020/10/1,259
2020/10/2,259
2020/10/3,260
2020/10/4,260
2020/10/5,260
2020/10/6,260
2020/10/7,260
2020/10/8,260
2020/10/9,260
2020/10/10,260
2020/10/11,260
2020/10/12,260
2020/10/13,260
2020/10/14,260
