date,cases
2020/1/22,1
2020/1/23,3
2020/1/24,3
2020/1/25,4
2020/1/26,5
2020/1/27,7
2020/1/28,9
2020/1/29,9
2020/1/30,12
2020/1/31,29
2020/2/1,29
2020/2/2,38
2020/2/3,46
2020/2/4,58
2020/2/5,64
2020/2/6,71
2020/2/7,81
2020/2/8,89
2020/2/9,99
2020/2/10,109
2020/2/11,127
2020/2/12,133
2020/2/13,135
2020/2/14,140
2020/2/15,143
2020/2/16,144
2020/2/17,146
2020/2/18,146
2020/2/19,146
2020/2/20,146
2020/2/21,146
2020/2/22,146
2020/2/23,146
2020/2/24,146
2020/2/25,146
2020/2/26,146
2020/2/27,146
2020/2/28,146
2020/2/29,146
2020/3/1,146
2020/3/2,146
2020/3/3,146
2020/3/4,146
2020/3/5,146
2020/3/6,146
2020/3/7,146
2020/3/8,146
2020/3/9,146
2020/3/10,146
2020/3/11,146
2020/3/12,146
2020/3/13,146
2020/3/14,146
2020/3/15,146
2020/3/16,146
2020/3/17,147
2020/3/18,146
2020/3/19,146
2020/3/20,146
2020/3/21,146
2020/3/22,146
2020/3/23,146
2020/3/24,146
2020/3/25,146
2020/3/26,146
2020/3/27,146
2020/3/28,146
2020/3/29,146
2020/3/30,146
2020/3/31,146
2020/4/1,146
2020/4/2,146
2020/4/3,146
2020/4/4,146
2020/4/5,146
2020/4/6,146
2020/4/7,146
2020/4/8,146
2020/4/9,146
2020/4/10,146
2020/4/11,146
2020/4/12,146
2020/4/13,146
2020/4/14,146
2020/4/15,146
2020/4/16,146
2020/4/17,146
2020/4/18,146
2020/4/19,147
2020/4/20,147
2020/4/21,147
2020/4/22,147
2020/4/23,147
2020/4/24,147
2020/4/25,147
2020/4/26,147
2020/4/27,147
2020/4/28,147
2020/4/29,147
2020/4/30,147
2020/5/1,147
2020/5/2,147
2020/5/3,147
2020/5/4,147
2020/5/5,147
2020/5/6,147
2020/5/7,147
2020/5/8,147
2020/5/9,147
2020/5/10,147
2020/5/11,147
2020/5/12,147
2020/5/13,147
2020/5/14,147
2020/5/15,147
2020/5/16,147
2020/5/17,147
2020/5/18,147
2020/5/19,147
2020/5/20,147
2020/5/21,147
2020/5/22,147
2020/5/23,147
2020/5/24,147
2020/5/25,147
2020/5/26,147
2020/5/27,147
2020/5/28,147
2020/5/29,147
2020/5/30,147
2020/5/31,147
2020/6/1,147
2020/6/2,147
2020/6/3,147
2020/6/4,147
2020/6/5,147
2020/6/6,147
2020/6/7,147
2020/6/8,147
2020/6/9,147
2020/6/10,147
2020/6/11,147
2020/6/12,147
2020/6/13,147
2020/6/14,147
2020/6/15,147
2020/6/16,147
2020/6/17,147
2020/6/18,147
2020/6/19,147
2020/6/20,147
2020/6/21,147
2020/6/22,147
2020/6/23,147
2020/6/24,147
2020/6/25,147
2020/6/26,147
2020/6/27,147
2020/6/28,147
2020/6/29,147
2020/6/30,147
2020/7/1,147
2020/7/2,147
2020/7/3,147
2020/7/4,147
2020/7/5,147
2020/7/6,147
2020/7/7,147
2020/7/8,147
2020/7/9,147
2020/7/10,147
2020/7/11,147
2020/7/12,147
2020/7/13,147
2020/7/14,147
2020/7/15,147
2020/7/16,147
2020/7/17,147
2020/7/18,147
2020/7/19,147
2020/7/20,147
2020/7/21,147
2020/7/22,147
2020/7/23,147
2020/7/24,147
2020/7/25,147
2020/7/26,147
2020/7/27,147
2020/7/28,147
2020/7/29,147
2020/7/30,147
2020/7/31,147
2020/8/1,147
2020/8/2,147
2020/8/3,147
2020/8/4,147
2020/8/5,147
