date,state,cases
2020/3/6,Hawaii,1
2020/3/7,Hawaii,1
2020/3/8,Hawaii,2
2020/3/9,Hawaii,2
2020/3/10,Hawaii,2
2020/3/11,Hawaii,2
2020/3/12,Hawaii,2
2020/3/13,Hawaii,2
2020/3/14,Hawaii,4
2020/3/15,Hawaii,7
2020/3/16,Hawaii,10
2020/3/17,Hawaii,14
2020/3/18,Hawaii,16
2020/3/19,Hawaii,26
2020/3/20,Hawaii,37
2020/3/21,Hawaii,48
2020/3/22,Hawaii,56
2020/3/23,Hawaii,77
2020/3/24,Hawaii,90
2020/3/25,Hawaii,95
2020/3/26,Hawaii,106
2020/3/27,Hawaii,120
2020/3/28,Hawaii,151
2020/3/29,Hawaii,175
2020/3/30,Hawaii,204
2020/3/31,Hawaii,224
2020/4/1,Hawaii,258
2020/4/2,Hawaii,283
2020/4/3,Hawaii,317
2020/4/4,Hawaii,349
2020/4/5,Hawaii,369
2020/4/6,Hawaii,385
2020/4/7,Hawaii,408
2020/4/8,Hawaii,433
2020/4/9,Hawaii,440
2020/4/10,Hawaii,463
2020/4/11,Hawaii,484
2020/4/12,Hawaii,497
2020/4/13,Hawaii,502
2020/4/14,Hawaii,511
2020/4/15,Hawaii,524
2020/4/16,Hawaii,535
2020/4/17,Hawaii,547
2020/4/18,Hawaii,568
2020/4/19,Hawaii,574
2020/4/20,Hawaii,578
2020/4/21,Hawaii,580
2020/4/22,Hawaii,586
2020/4/23,Hawaii,590
2020/4/24,Hawaii,595
2020/4/25,Hawaii,597
2020/4/26,Hawaii,599
2020/4/27,Hawaii,600
2020/4/28,Hawaii,602
2020/4/29,Hawaii,605
2020/4/30,Hawaii,609
2020/5/1,Hawaii,610
2020/5/2,Hawaii,611
2020/5/3,Hawaii,611
2020/5/4,Hawaii,612
2020/5/5,Hawaii,615
2020/5/6,Hawaii,616
2020/5/7,Hawaii,619
2020/5/8,Hawaii,619
2020/5/9,Hawaii,620
2020/5/10,Hawaii,621
2020/5/11,Hawaii,623
2020/5/12,Hawaii,624
2020/5/13,Hawaii,627
2020/5/14,Hawaii,627
2020/5/15,Hawaii,628
2020/5/16,Hawaii,629
2020/5/17,Hawaii,630
2020/5/18,Hawaii,630
2020/5/19,Hawaii,631
2020/5/20,Hawaii,633
2020/5/21,Hawaii,637
2020/5/22,Hawaii,632
2020/5/23,Hawaii,633
2020/5/24,Hawaii,633
2020/5/25,Hawaii,633
2020/5/26,Hawaii,633
2020/5/27,Hawaii,634
2020/5/28,Hawaii,637
2020/5/29,Hawaii,639
2020/5/30,Hawaii,641
2020/5/31,Hawaii,642
2020/6/1,Hawaii,642
2020/6/2,Hawaii,643
2020/6/3,Hawaii,643
2020/6/4,Hawaii,644
2020/6/5,Hawaii,653
2020/6/6,Hawaii,661
2020/6/7,Hawaii,663
2020/6/8,Hawaii,664
2020/6/9,Hawaii,670
2020/6/10,Hawaii,673
2020/6/11,Hawaii,680
2020/6/12,Hawaii,694
2020/6/13,Hawaii,711
2020/6/14,Hawaii,716
2020/6/15,Hawaii,724
2020/6/16,Hawaii,728
2020/6/17,Hawaii,732
2020/6/18,Hawaii,750
2020/6/19,Hawaii,777
2020/6/20,Hawaii,791
2020/6/21,Hawaii,802
2020/6/22,Hawaii,804
2020/6/23,Hawaii,807
2020/6/24,Hawaii,821
2020/6/25,Hawaii,836
2020/6/26,Hawaii,850
2020/6/27,Hawaii,856
2020/6/28,Hawaii,883
2020/6/29,Hawaii,884
2020/6/30,Hawaii,901
2020/7/1,Hawaii,909
2020/7/2,Hawaii,929
2020/7/3,Hawaii,957
2020/7/4,Hawaii,981
2020/7/5,Hawaii,1005
2020/7/6,Hawaii,1012
2020/7/7,Hawaii,1053
2020/7/8,Hawaii,1076
2020/7/9,Hawaii,1112
2020/7/10,Hawaii,1139
2020/7/11,Hawaii,1181
2020/7/12,Hawaii,1201
2020/7/13,Hawaii,1222
2020/7/14,Hawaii,1243
2020/7/15,Hawaii,1271
2020/7/16,Hawaii,1290
2020/7/17,Hawaii,1312
2020/7/18,Hawaii,1332
2020/7/19,Hawaii,1359
2020/7/20,Hawaii,1371
2020/7/21,Hawaii,1396
2020/7/22,Hawaii,1413
2020/7/23,Hawaii,1468
2020/7/24,Hawaii,1526
2020/7/25,Hawaii,1597
2020/7/26,Hawaii,1660
2020/7/27,Hawaii,1688
2020/7/28,Hawaii,1734
2020/7/29,Hawaii,1842
2020/7/30,Hawaii,1966
2020/7/31,Hawaii,2088
2020/8/1,Hawaii,2174
2020/8/2,Hawaii,2219
2020/8/3,Hawaii,2425
2020/8/4,Hawaii,2568
2020/8/5,Hawaii,2740
2020/8/6,Hawaii,2891
2020/8/7,Hawaii,3092
2020/8/8,Hawaii,3323
2020/8/9,Hawaii,3475
2020/8/10,Hawaii,3615
2020/8/11,Hawaii,3733
2020/8/12,Hawaii,3935
2020/8/13,Hawaii,4289
2020/8/14,Hawaii,4520
2020/8/15,Hawaii,4802
2020/8/16,Hawaii,5019
2020/8/17,Hawaii,5192
2020/8/18,Hawaii,5326
2020/8/19,Hawaii,5586
2020/8/20,Hawaii,5821
2020/8/21,Hawaii,6049
2020/8/22,Hawaii,6333
2020/8/23,Hawaii,6577
2020/8/24,Hawaii,6746
2020/8/25,Hawaii,6961
2020/8/26,Hawaii,7236
2020/8/27,Hawaii,7542
2020/8/28,Hawaii,7806
2020/8/29,Hawaii,8115
2020/8/30,Hawaii,8315
2020/8/31,Hawaii,8447
2020/9/1,Hawaii,8628
2020/9/2,Hawaii,8966
2020/9/3,Hawaii,9177
2020/9/4,Hawaii,9448
2020/9/5,Hawaii,9667
2020/9/6,Hawaii,9829
2020/9/7,Hawaii,9933
2020/9/8,Hawaii,10130
2020/9/9,Hawaii,10228
2020/9/10,Hawaii,10397
2020/9/11,Hawaii,10567
2020/9/12,Hawaii,10696
2020/9/13,Hawaii,10808
2020/9/14,Hawaii,10887
2020/9/15,Hawaii,10951
2020/9/16,Hawaii,11052
2020/9/17,Hawaii,11211
2020/9/18,Hawaii,11348
2020/9/19,Hawaii,11457
2020/9/20,Hawaii,11534
2020/9/21,Hawaii,11590
2020/9/22,Hawaii,11653
2020/9/23,Hawaii,11820
2020/9/24,Hawaii,11908
2020/9/25,Hawaii,12039
2020/9/26,Hawaii,12166
2020/9/27,Hawaii,12264
2020/9/28,Hawaii,12351
2020/9/29,Hawaii,12436
2020/9/30,Hawaii,12555
2020/10/1,Hawaii,12660
2020/10/2,Hawaii,12754
2020/10/3,Hawaii,12887
2020/10/4,Hawaii,12957
2020/10/5,Hawaii,13007
2020/10/6,Hawaii,13090
2020/10/7,Hawaii,13196
2020/10/8,Hawaii,13297
2020/10/9,Hawaii,13461
2020/10/10,Hawaii,13532
2020/10/11,Hawaii,13633
2020/10/12,Hawaii,13675
2020/10/13,Hawaii,13736
2020/10/14,Hawaii,13834
2020/10/15,Hawaii,13922
2020/10/16,Hawaii,14007
