date,cases
2020/1/22,1
2020/1/23,1
2020/1/24,2
2020/1/25,8
2020/1/26,13
2020/1/27,18
2020/1/28,33
2020/1/29,48
2020/1/30,65
2020/1/31,82
2020/2/1,96
2020/2/2,104
2020/2/3,113
2020/2/4,126
2020/2/5,135
2020/2/6,157
2020/2/7,172
2020/2/8,195
2020/2/9,206
2020/2/10,218
2020/2/11,239
2020/2/12,251
2020/2/13,265
2020/2/14,283
2020/2/15,291
2020/2/16,300
2020/2/17,301
2020/2/18,306
2020/2/19,306
2020/2/20,307
2020/2/21,308
2020/2/22,309
2020/2/23,311
2020/2/24,311
2020/2/25,311
2020/2/26,312
2020/2/27,317
2020/2/28,318
2020/2/29,318
2020/3/1,318
2020/3/2,318
2020/3/3,318
2020/3/4,318
2020/3/5,318
2020/3/6,318
2020/3/7,318
2020/3/8,318
2020/3/9,318
2020/3/10,318
2020/3/11,318
2020/3/12,318
2020/3/13,318
2020/3/14,318
2020/3/15,318
2020/3/16,318
2020/3/17,318
2020/3/18,318
2020/3/19,318
2020/3/20,318
2020/3/21,318
2020/3/22,319
2020/3/23,319
2020/3/24,319
2020/3/25,319
2020/3/26,319
2020/3/27,319
2020/3/28,319
2020/3/29,319
2020/3/30,321
2020/3/31,321
2020/4/1,323
2020/4/2,325
2020/4/3,326
2020/4/4,326
2020/4/5,327
2020/4/6,327
2020/4/7,327
2020/4/8,327
2020/4/9,327
2020/4/10,327
2020/4/11,327
2020/4/12,327
2020/4/13,327
2020/4/14,327
2020/4/15,327
2020/4/16,328
2020/4/17,328
2020/4/18,328
2020/4/19,328
2020/4/20,328
2020/4/21,328
2020/4/22,328
2020/4/23,328
2020/4/24,328
2020/4/25,328
2020/4/26,328
2020/4/27,328
2020/4/28,328
2020/4/29,328
2020/4/30,328
2020/5/1,328
2020/5/2,328
2020/5/3,328
2020/5/4,328
2020/5/5,328
2020/5/6,328
2020/5/7,328
2020/5/8,328
2020/5/9,328
2020/5/10,328
2020/5/11,328
2020/5/12,328
2020/5/13,328
2020/5/14,328
2020/5/15,328
2020/5/16,328
2020/5/17,328
2020/5/18,328
2020/5/19,328
2020/5/20,328
2020/5/21,328
2020/5/22,328
2020/5/23,328
2020/5/24,328
2020/5/25,328
2020/5/26,328
2020/5/27,328
2020/5/28,328
2020/5/29,328
2020/5/30,328
2020/5/31,328
2020/6/1,328
2020/6/2,328
2020/6/3,328
2020/6/4,328
2020/6/5,328
2020/6/6,328
2020/6/7,328
2020/6/8,328
2020/6/9,328
2020/6/10,328
2020/6/11,328
2020/6/12,328
2020/6/13,328
2020/6/14,331
2020/6/15,335
2020/6/16,336
2020/6/17,338
2020/6/18,340
2020/6/19,340
2020/6/20,344
2020/6/21,346
2020/6/22,346
2020/6/23,348
2020/6/24,349
2020/6/25,349
2020/6/26,349
2020/6/27,349
2020/6/28,349
2020/6/29,349
2020/6/30,349
2020/7/1,349
2020/7/2,349
2020/7/3,349
2020/7/4,349
2020/7/5,349
2020/7/6,349
2020/7/7,349
2020/7/8,349
2020/7/9,349
2020/7/10,349
2020/7/11,349
2020/7/12,349
2020/7/13,349
2020/7/14,349
2020/7/15,349
2020/7/16,349
2020/7/17,349
2020/7/18,349
2020/7/19,349
2020/7/20,349
2020/7/21,349
2020/7/22,349
2020/7/23,349
2020/7/24,349
2020/7/25,349
2020/7/26,349
2020/7/27,349
2020/7/28,349
2020/7/29,349
2020/7/30,349
2020/7/31,349
2020/8/1,349
2020/8/2,349
2020/8/3,349
2020/8/4,349
2020/8/5,349
2020/8/6,349
2020/8/7,349
2020/8/8,349
2020/8/9,349
2020/8/10,350
2020/8/11,350
2020/8/12,351
2020/8/13,351
2020/8/14,351
2020/8/15,351
2020/8/16,351
2020/8/17,351
2020/8/18,351
2020/8/19,351
2020/8/20,351
2020/8/21,354
2020/8/22,359
2020/8/23,359
2020/8/24,360
2020/8/25,360
2020/8/26,362
2020/8/27,362
2020/8/28,362
2020/8/29,362
2020/8/30,362
2020/8/31,365
2020/9/1,365
2020/9/2,365
2020/9/3,365
2020/9/4,365
2020/9/5,365
2020/9/6,365
2020/9/7,365
2020/9/8,365
2020/9/9,365
2020/9/10,365
2020/9/11,365
2020/9/12,365
2020/9/13,365
2020/9/14,365
2020/9/15,365
2020/9/16,365
2020/9/17,365
2020/9/18,365
2020/9/19,365
2020/9/20,365
2020/9/21,365
2020/9/22,365
2020/9/23,365
2020/9/24,365
2020/9/25,365
2020/9/26,365
2020/9/27,365
2020/9/28,365
2020/9/29,365
2020/9/30,365
2020/10/1,365
2020/10/2,365
2020/10/3,365
2020/10/4,365
2020/10/5,365
2020/10/6,365
2020/10/7,365
2020/10/8,365
2020/10/9,365
2020/10/10,365
2020/10/11,367
2020/10/12,367
2020/10/13,367
2020/10/14,368
2020/10/15,368
2020/10/16,368
2020/10/17,368
2020/10/18,368
2020/10/19,368
2020/10/20,368
2020/10/21,368
2020/10/22,368
2020/10/23,368
2020/10/24,368
2020/10/25,369
2020/10/26,371
2020/10/27,372
2020/10/28,372
2020/10/29,372
2020/10/30,373
2020/10/31,373
2020/11/1,373
2020/11/2,373
2020/11/3,373
2020/11/4,373
2020/11/5,373
2020/11/6,373
2020/11/7,373
2020/11/8,373
2020/11/9,373
2020/11/10,373
2020/11/11,373
2020/11/12,373
2020/11/13,373
2020/11/14,373
2020/11/15,373
2020/11/16,373
2020/11/17,373
2020/11/18,373
2020/11/19,373
2020/11/20,373
2020/11/21,373
2020/11/22,373
2020/11/23,373
2020/11/24,373
2020/11/25,373
2020/11/26,373
2020/11/27,373
2020/11/28,373
2020/11/29,373
2020/11/30,373
2020/12/1,373
2020/12/2,373
2020/12/3,373
2020/12/4,373
2020/12/5,373
2020/12/6,373
2020/12/7,373
2020/12/8,373
2020/12/9,373
2020/12/10,373
2020/12/11,373
2020/12/12,373
2020/12/13,373
2020/12/14,373
2020/12/15,373
2020/12/16,373
2020/12/17,373
2020/12/18,373
2020/12/19,373
2020/12/20,373
2020/12/21,373
2020/12/22,373
2020/12/23,373
2020/12/24,373
2020/12/25,373
2020/12/26,373
2020/12/27,373
2020/12/28,373
2020/12/29,373
2020/12/30,373
2020/12/31,373
2021/1/1,373
2021/1/2,374
2021/1/3,378
2021/1/4,392
2021/1/5,412
2021/1/6,465
2021/1/7,498
2021/1/8,512
2021/1/9,558
2021/1/10,640
2021/1/11,680
2021/1/12,770
2021/1/13,851
2021/1/14,941
2021/1/15,1031
2021/1/16,1103
2021/1/17,1157
2021/1/18,1192
2021/1/19,1211
2021/1/20,1231
2021/1/21,1252
2021/1/22,1264
2021/1/23,1283
2021/1/24,1294
2021/1/25,1299
2021/1/26,1306
2021/1/27,1309
2021/1/28,1310
2021/1/29,1311
2021/1/30,1312
2021/1/31,1313
2021/2/1,1313
2021/2/2,1314
2021/2/3,1316
2021/2/4,1316
2021/2/5,1316
2021/2/6,1316
2021/2/7,1316
2021/2/8,1316
2021/2/9,1316
2021/2/10,1316
2021/2/11,1316
2021/2/12,1316
2021/2/13,1316
2021/2/14,1317
2021/2/15,1317
2021/2/16,1317
2021/2/17,1317
2021/2/18,1317
