date,cases
2020/1/22,0
2020/1/23,2
2020/1/24,4
2020/1/25,9
2020/1/26,15
2020/1/27,21
2020/1/28,33
2020/1/29,38
2020/1/30,44
2020/1/31,59
2020/2/1,80
2020/2/2,95
2020/2/3,121
2020/2/4,155
2020/2/5,190
2020/2/6,227
2020/2/7,277
2020/2/8,295
2020/2/9,307
2020/2/10,331
2020/2/11,360
2020/2/12,378
2020/2/13,395
2020/2/14,419
2020/2/15,425
2020/2/16,445
2020/2/17,457
2020/2/18,464
2020/2/19,470
2020/2/20,476
2020/2/21,479
2020/2/22,479
2020/2/23,480
2020/2/24,480
2020/2/25,480
2020/2/26,480
2020/2/27,480
2020/2/28,480
2020/2/29,480
2020/3/1,480
2020/3/2,480
2020/3/3,480
2020/3/4,480
2020/3/5,481
2020/3/6,481
2020/3/7,481
2020/3/8,481
2020/3/9,481
2020/3/10,481
2020/3/11,482
2020/3/12,482
2020/3/13,482
2020/3/14,482
2020/3/15,482
2020/3/16,482
2020/3/17,482
2020/3/18,482
2020/3/19,483
2020/3/20,484
2020/3/21,484
2020/3/22,484
2020/3/23,484
2020/3/24,484
2020/3/25,484
2020/3/26,484
2020/3/27,484
2020/3/28,484
2020/3/29,484
2020/3/30,484
2020/3/31,484
2020/4/1,484
2020/4/2,488
2020/4/3,489
2020/4/4,491
2020/4/5,504
2020/4/6,524
2020/4/7,544
2020/4/8,569
2020/4/9,609
2020/4/10,638
2020/4/11,661
2020/4/12,684
2020/4/13,740
2020/4/14,819
2020/4/15,841
2020/4/16,861
2020/4/17,872
2020/4/18,892
2020/4/19,898
2020/4/20,905
2020/4/21,913
2020/4/22,921
2020/4/23,928
2020/4/24,930
2020/4/25,935
2020/4/26,936
2020/4/27,939
2020/4/28,939
2020/4/29,939
2020/4/30,944
2020/5/1,944
2020/5/2,944
2020/5/3,944
2020/5/4,944
2020/5/5,944
2020/5/6,944
2020/5/7,944
2020/5/8,944
2020/5/9,944
2020/5/10,945
2020/5/11,945
2020/5/12,945
2020/5/13,945
2020/5/14,945
2020/5/15,945
2020/5/16,945
2020/5/17,945
2020/5/18,945
2020/5/19,945
2020/5/20,945
2020/5/21,945
2020/5/22,945
2020/5/23,945
2020/5/24,945
2020/5/25,945
2020/5/26,945
2020/5/27,945
2020/5/28,945
2020/5/29,945
2020/5/30,945
2020/5/31,945
2020/6/1,945
2020/6/2,945
2020/6/3,947
2020/6/4,947
2020/6/5,947
2020/6/6,947
2020/6/7,947
2020/6/8,947
2020/6/9,947
2020/6/10,947
2020/6/11,947
2020/6/12,947
2020/6/13,947
2020/6/14,947
2020/6/15,947
2020/6/16,947
2020/6/17,947
2020/6/18,947
2020/6/19,947
2020/6/20,947
2020/6/21,947
2020/6/22,947
2020/6/23,947
2020/6/24,947
2020/6/25,947
2020/6/26,947
2020/6/27,947
2020/6/28,947
2020/6/29,947
2020/6/30,947
2020/7/1,947
2020/7/2,947
2020/7/3,947
2020/7/4,947
2020/7/5,947
2020/7/6,947
2020/7/7,947
2020/7/8,947
2020/7/9,947
2020/7/10,947
2020/7/11,947
2020/7/12,947
2020/7/13,947
2020/7/14,947
2020/7/15,947
2020/7/16,947
2020/7/17,947
2020/7/18,947
2020/7/19,947
2020/7/20,947
2020/7/21,947
2020/7/22,947
2020/7/23,947
2020/7/24,947
2020/7/25,947
2020/7/26,947
2020/7/27,947
2020/7/28,947
2020/7/29,947
2020/7/30,947
2020/7/31,947
2020/8/1,947
2020/8/2,947
2020/8/3,947
2020/8/4,947
2020/8/5,947
2020/8/6,947
2020/8/7,947
2020/8/8,947
2020/8/9,947
2020/8/10,948
2020/8/11,948
2020/8/12,948
2020/8/13,948
2020/8/14,948
2020/8/15,948
2020/8/16,948
2020/8/17,948
2020/8/18,948
2020/8/19,948
2020/8/20,948
2020/8/21,948
2020/8/22,948
2020/8/23,948
2020/8/24,948
2020/8/25,948
2020/8/26,948
2020/8/27,948
2020/8/28,948
2020/8/29,948
2020/8/30,948
2020/8/31,948
2020/9/1,948
2020/9/2,948
2020/9/3,948
2020/9/4,948
2020/9/5,948
2020/9/6,948
2020/9/7,948
2020/9/8,948
2020/9/9,948
2020/9/10,948
2020/9/11,948
2020/9/12,948
2020/9/13,948
2020/9/14,948
2020/9/15,948
2020/9/16,948
2020/9/17,948
2020/9/18,948
2020/9/19,948
2020/9/20,948
2020/9/21,948
2020/9/22,948
2020/9/23,948
2020/9/24,948
2020/9/25,948
2020/9/26,948
2020/9/27,948
2020/9/28,948
2020/9/29,948
2020/9/30,948
2020/10/1,948
2020/10/2,948
2020/10/3,948
2020/10/4,948
2020/10/5,948
2020/10/6,948
2020/10/7,948
2020/10/8,948
2020/10/9,948
2020/10/10,948
2020/10/11,948
2020/10/12,948
2020/10/13,948
2020/10/14,948
2020/10/15,948
2020/10/16,948
2020/10/17,948
2020/10/18,948
2020/10/19,948
2020/10/20,948
2020/10/21,948
2020/10/22,948
2020/10/23,948
2020/10/24,948
2020/10/25,948
2020/10/26,949
2020/10/27,949
2020/10/28,949
2020/10/29,949
2020/10/30,949
2020/10/31,949
2020/11/1,949
2020/11/2,949
2020/11/3,949
2020/11/4,949
2020/11/5,949
2020/11/6,949
2020/11/7,949
2020/11/8,949
2020/11/9,949
2020/11/10,949
2020/11/11,949
2020/11/12,949
2020/11/13,949
2020/11/14,949
2020/11/15,949
2020/11/16,949
2020/11/17,949
2020/11/18,949
2020/11/19,949
2020/11/20,949
2020/11/21,949
2020/11/22,949
2020/11/23,949
2020/11/24,949
2020/11/25,949
2020/11/26,949
2020/11/27,949
2020/11/28,949
2020/11/29,949
2020/11/30,949
2020/12/1,949
2020/12/2,949
2020/12/3,949
2020/12/4,949
2020/12/5,949
2020/12/6,949
2020/12/7,949
2020/12/8,949
2020/12/9,949
2020/12/10,951
2020/12/11,951
2020/12/12,956
2020/12/13,958
2020/12/14,960
2020/12/15,960
2020/12/16,960
2020/12/17,960
2020/12/18,960
2020/12/19,960
2020/12/20,961
2020/12/21,961
2020/12/22,961
2020/12/23,961
2020/12/24,961
2020/12/25,961
2020/12/26,961
2020/12/27,961
2020/12/28,961
2020/12/29,962
2020/12/30,964
2020/12/31,964
2021/1/1,964
2021/1/2,968
2021/1/3,969
2021/1/4,969
2021/1/5,970
2021/1/6,970
2021/1/7,971
2021/1/8,971
2021/1/9,971
2021/1/10,971
2021/1/11,972
2021/1/12,988
2021/1/13,1031
2021/1/14,1074
2021/1/15,1097
2021/1/16,1109
2021/1/17,1116
2021/1/18,1143
2021/1/19,1159
2021/1/20,1227
2021/1/21,1274
2021/1/22,1330
2021/1/23,1359
2021/1/24,1394
2021/1/25,1447
2021/1/26,1476
2021/1/27,1504
2021/1/28,1525
2021/1/29,1552
2021/1/30,1561
2021/1/31,1583
2021/2/1,1591
2021/2/2,1597
2021/2/3,1601
2021/2/4,1606
2021/2/5,1609
2021/2/6,1609
2021/2/7,1609
2021/2/8,1609
2021/2/9,1609
2021/2/10,1609
2021/2/11,1609
2021/2/12,1609
2021/2/13,1609
2021/2/14,1609
2021/2/15,1609
2021/2/16,1609
2021/2/17,1610
2021/2/18,1610
2021/2/19,1610
2021/2/20,1610
2021/2/21,1610
2021/2/22,1610
2021/2/23,1610
2021/2/24,1610
2021/2/25,1610
2021/2/26,1610
2021/2/27,1610
2021/2/28,1610
2021/3/1,1610
2021/3/2,1610
2021/3/3,1610
2021/3/4,1610
2021/3/5,1610
2021/3/6,1610
2021/3/7,1610
2021/3/8,1610
2021/3/9,1610
2021/3/10,1610
2021/3/11,1610
2021/3/12,1610
2021/3/13,1610
2021/3/14,1610
2021/3/15,1610
2021/3/16,1610
2021/3/17,1610
2021/3/18,1610
2021/3/19,1610
2021/3/20,1610
2021/3/21,1610
2021/3/22,1610
2021/3/23,1610
2021/3/24,1610
2021/3/25,1610
2021/3/26,1610
2021/3/27,1610
2021/3/28,1610
2021/3/29,1610
2021/3/30,1610
2021/3/31,1610
2021/4/1,1610
2021/4/2,1610
2021/4/3,1610
2021/4/4,1610
2021/4/5,1610
2021/4/6,1610
2021/4/7,1610
2021/4/8,1610
2021/4/9,1610
2021/4/10,1610
2021/4/11,1610
2021/4/12,1610
2021/4/13,1610
2021/4/14,1610
2021/4/15,1610
2021/4/16,1610
2021/4/17,1610
2021/4/18,1610
2021/4/19,1610
2021/4/20,1610
2021/4/21,1610
2021/4/22,1610
2021/4/23,1610
2021/4/24,1610
2021/4/25,1610
2021/4/26,1610
2021/4/27,1610
2021/4/28,1610
2021/4/29,1610
2021/4/30,1610
2021/5/1,1610
2021/5/2,1610
2021/5/3,1610
2021/5/4,1610
2021/5/5,1610
2021/5/6,1610
2021/5/7,1610
2021/5/8,1610
2021/5/9,1610
2021/5/10,1610
2021/5/11,1610
2021/5/12,1610
2021/5/13,1610
2021/5/14,1610
2021/5/15,1610
2021/5/16,1610
2021/5/17,1611
2021/5/18,1611
2021/5/19,1611
2021/5/20,1611
2021/5/21,1611
2021/5/22,1611
2021/5/23,1612
2021/5/24,1612
2021/5/25,1612
2021/5/26,1612
2021/5/27,1612
2021/5/28,1612
2021/5/29,1612
2021/5/30,1612
2021/5/31,1612
2021/6/1,1612
2021/6/2,1612
2021/6/3,1612
2021/6/4,1612
2021/6/5,1612
2021/6/6,1612
2021/6/7,1612
2021/6/8,1612
2021/6/9,1612
2021/6/10,1612
2021/6/11,1612
2021/6/12,1612
2021/6/13,1612
2021/6/14,1612
2021/6/15,1612
2021/6/16,1612
2021/6/17,1612
2021/6/18,1612
2021/6/19,1612
2021/6/20,1612
2021/6/21,1612
2021/6/22,1612
2021/6/23,1612
2021/6/24,1612
2021/6/25,1612
2021/6/26,1612
2021/6/27,1612
2021/6/28,1612
2021/6/29,1612
2021/6/30,1612
2021/7/1,1612
2021/7/2,1612
2021/7/3,1612
2021/7/4,1612
2021/7/5,1612
2021/7/6,1612
2021/7/7,1612
2021/7/8,1612
2021/7/9,1612
2021/7/10,1612
2021/7/11,1612
2021/7/12,1612
2021/7/13,1612
2021/7/14,1612
2021/7/15,1612
2021/7/16,1612
2021/7/17,1612
2021/7/18,1612
2021/7/19,1612
2021/7/20,1612
2021/7/21,1612
2021/7/22,1612
2021/7/23,1612
2021/7/24,1612
2021/7/25,1612
2021/7/26,1612
2021/7/27,1612
2021/7/28,1612
2021/7/29,1612
2021/7/30,1612
2021/7/31,1612
2021/8/1,1612
2021/8/2,1612
2021/8/3,1612
2021/8/4,1612
2021/8/5,1612
2021/8/6,1612
2021/8/7,1612
2021/8/8,1612
2021/8/9,1612
2021/8/10,1612
2021/8/11,1612
2021/8/12,1612
2021/8/13,1612
2021/8/14,1612
2021/8/15,1613
2021/8/16,1613
2021/8/17,1613
2021/8/18,1613
2021/8/19,1614
2021/8/20,1614
2021/8/21,1614
2021/8/22,1614
2021/8/23,1614
2021/8/24,1614
2021/8/25,1614
2021/8/26,1615
2021/8/27,1615
2021/8/28,1615
2021/8/29,1615
2021/8/30,1615
2021/8/31,1615
2021/9/1,1615
2021/9/2,1616
2021/9/3,1616
