date,cases
2020/1/22,5
2020/1/23,5
2020/1/24,9
2020/1/25,32
2020/1/26,83
2020/1/27,128
2020/1/28,168
2020/1/29,206
2020/1/30,278
2020/1/31,352
2020/2/1,422
2020/2/2,493
2020/2/3,566
2020/2/4,675
2020/2/5,764
2020/2/6,851
2020/2/7,914
2020/2/8,981
2020/2/9,1033
2020/2/10,1073
2020/2/11,1105
2020/2/12,1135
2020/2/13,1169
2020/2/14,1184
2020/2/15,1212
2020/2/16,1231
2020/2/17,1246
2020/2/18,1257
2020/2/19,1262
2020/2/20,1265
2020/2/21,1267
2020/2/22,1270
2020/2/23,1271
2020/2/24,1271
2020/2/25,1271
2020/2/26,1271
2020/2/27,1272
2020/2/28,1272
2020/2/29,1272
2020/3/1,1272
2020/3/2,1272
2020/3/3,1272
2020/3/4,1272
2020/3/5,1272
2020/3/6,1272
2020/3/7,1272
2020/3/8,1272
2020/3/9,1272
2020/3/10,1272
2020/3/11,1273
2020/3/12,1273
2020/3/13,1273
2020/3/14,1273
2020/3/15,1273
2020/3/16,1273
2020/3/17,1273
2020/3/18,1273
2020/3/19,1273
2020/3/20,1273
2020/3/21,1273
2020/3/22,1274
2020/3/23,1274
2020/3/24,1274
2020/3/25,1274
2020/3/26,1275
2020/3/27,1275
2020/3/28,1275
2020/3/29,1276
2020/3/30,1276
2020/3/31,1276
2020/4/1,1276
2020/4/2,1276
2020/4/3,1276
2020/4/4,1276
2020/4/5,1276
2020/4/6,1276
2020/4/7,1276
2020/4/8,1276
2020/4/9,1276
2020/4/10,1276
2020/4/11,1276
2020/4/12,1276
2020/4/13,1276
2020/4/14,1276
2020/4/15,1276
2020/4/16,1276
2020/4/17,1276
2020/4/18,1276
2020/4/19,1276
2020/4/20,1276
2020/4/21,1276
2020/4/22,1276
2020/4/23,1276
2020/4/24,1276
2020/4/25,1276
2020/4/26,1276
2020/4/27,1276
2020/4/28,1276
2020/4/29,1276
2020/4/30,1276
2020/5/1,1276
2020/5/2,1276
2020/5/3,1276
2020/5/4,1276
2020/5/5,1276
2020/5/6,1276
2020/5/7,1276
2020/5/8,1276
2020/5/9,1276
2020/5/10,1276
2020/5/11,1276
2020/5/12,1276
2020/5/13,1276
2020/5/14,1276
2020/5/15,1276
2020/5/16,1276
2020/5/17,1276
2020/5/18,1276
2020/5/19,1276
2020/5/20,1276
2020/5/21,1276
2020/5/22,1276
2020/5/23,1276
2020/5/24,1276
2020/5/25,1276
2020/5/26,1276
2020/5/27,1276
2020/5/28,1276
2020/5/29,1276
2020/5/30,1276
2020/5/31,1276
2020/6/1,1276
2020/6/2,1276
2020/6/3,1276
2020/6/4,1276
2020/6/5,1276
2020/6/6,1276
2020/6/7,1276
2020/6/8,1276
2020/6/9,1276
2020/6/10,1276
2020/6/11,1276
2020/6/12,1276
2020/6/13,1276
2020/6/14,1276
2020/6/15,1276
2020/6/16,1276
2020/6/17,1276
2020/6/18,1276
2020/6/19,1276
2020/6/20,1276
2020/6/21,1276
2020/6/22,1276
2020/6/23,1276
2020/6/24,1276
2020/6/25,1276
2020/6/26,1276
2020/6/27,1276
2020/6/28,1276
2020/6/29,1276
2020/6/30,1276
2020/7/1,1276
2020/7/2,1276
2020/7/3,1276
2020/7/4,1276
2020/7/5,1276
2020/7/6,1276
2020/7/7,1276
2020/7/8,1276
2020/7/9,1276
2020/7/10,1276
2020/7/11,1276
2020/7/12,1276
2020/7/13,1276
2020/7/14,1276
2020/7/15,1276
2020/7/16,1276
2020/7/17,1276
2020/7/18,1276
2020/7/19,1276
2020/7/20,1276
2020/7/21,1276
2020/7/22,1276
2020/7/23,1276
2020/7/24,1276
2020/7/25,1276
2020/7/26,1276
2020/7/27,1276
2020/7/28,1276
2020/7/29,1276
2020/7/30,1276
2020/7/31,1276
2020/8/1,1276
2020/8/2,1276
2020/8/3,1276
2020/8/4,1276
2020/8/5,1276
2020/8/6,1276
2020/8/7,1276
2020/8/8,1276
2020/8/9,1276
2020/8/10,1276
2020/8/11,1276
2020/8/12,1276
2020/8/13,1276
2020/8/14,1276
2020/8/15,1276
2020/8/16,1276
2020/8/17,1276
2020/8/18,1276
2020/8/19,1276
2020/8/20,1276
2020/8/21,1276
2020/8/22,1276
2020/8/23,1276
2020/8/24,1276
2020/8/25,1276
2020/8/26,1276
2020/8/27,1276
2020/8/28,1276
2020/8/29,1276
2020/8/30,1276
2020/8/31,1276
2020/9/1,1276
2020/9/2,1276
2020/9/3,1276
