date,cases
2020/1/22,0
2020/1/23,2
2020/1/24,2
2020/1/25,5
2020/1/26,8
2020/1/27,8
2020/1/28,8
2020/1/29,10
2020/1/30,10
2020/1/31,12
2020/2/1,13
2020/2/2,15
2020/2/3,15
2020/2/4,17
2020/2/5,21
2020/2/6,24
2020/2/7,25
2020/2/8,26
2020/2/9,29
2020/2/10,38
2020/2/11,49
2020/2/12,50
2020/2/13,53
2020/2/14,56
2020/2/15,56
2020/2/16,57
2020/2/17,60
2020/2/18,62
2020/2/19,63
2020/2/20,68
2020/2/21,68
2020/2/22,69
2020/2/23,74
2020/2/24,79
2020/2/25,84
2020/2/26,91
2020/2/27,92
2020/2/28,94
2020/2/29,95
2020/3/1,96
2020/3/2,100
2020/3/3,100
2020/3/4,105
2020/3/5,105
2020/3/6,107
2020/3/7,108
2020/3/8,114
2020/3/9,115
2020/3/10,120
2020/3/11,126
2020/3/12,129
2020/3/13,134
2020/3/14,140
2020/3/15,145
2020/3/16,155
2020/3/17,162
2020/3/18,181
2020/3/19,208
2020/3/20,256
2020/3/21,273
2020/3/22,317
2020/3/23,351
2020/3/24,382
2020/3/25,407
2020/3/26,452
2020/3/27,494
2020/3/28,526
2020/3/29,577
2020/3/30,623
2020/3/31,680
2020/4/1,737
2020/4/2,784
2020/4/3,831
2020/4/4,853
2020/4/5,882
2020/4/6,914
2020/4/7,935
2020/4/8,960
2020/4/9,973
2020/4/10,989
2020/4/11,1000
2020/4/12,1004
2020/4/13,1009
2020/4/14,1012
2020/4/15,1016
2020/4/16,1017
2020/4/17,1021
2020/4/18,1023
2020/4/19,1025
2020/4/20,1025
2020/4/21,1029
2020/4/22,1033
2020/4/23,1035
2020/4/24,1035
2020/4/25,1037
2020/4/26,1037
2020/4/27,1037
2020/4/28,1037
2020/4/29,1037
2020/4/30,1037
2020/5/1,1039
2020/5/2,1039
2020/5/3,1039
2020/5/4,1040
2020/5/5,1040
2020/5/6,1040
2020/5/7,1044
2020/5/8,1044
2020/5/9,1044
2020/5/10,1047
2020/5/11,1047
2020/5/12,1047
2020/5/13,1050
2020/5/14,1051
2020/5/15,1052
2020/5/16,1052
2020/5/17,1055
2020/5/18,1055
2020/5/19,1055
2020/5/20,1055
2020/5/21,1063
2020/5/22,1065
2020/5/23,1065
2020/5/24,1065
2020/5/25,1065
2020/5/26,1065
2020/5/27,1066
2020/5/28,1066
2020/5/29,1079
2020/5/30,1082
2020/5/31,1084
2020/6/1,1087
2020/6/2,1093
2020/6/3,1093
2020/6/4,1099
2020/6/5,1102
2020/6/6,1105
2020/6/7,1106
2020/6/8,1107
2020/6/9,1107
2020/6/10,1107
2020/6/11,1107
2020/6/12,1108
2020/6/13,1109
2020/6/14,1109
2020/6/15,1112
2020/6/16,1112
2020/6/17,1120
2020/6/18,1124
2020/6/19,1127
2020/6/20,1128
2020/6/21,1131
2020/6/22,1161
2020/6/23,1177
2020/6/24,1179
2020/6/25,1193
2020/6/26,1196
2020/6/27,1197
2020/6/28,1199
2020/6/29,1203
2020/6/30,1205
2020/7/1,1233
2020/7/2,1242
2020/7/3,1247
2020/7/4,1258
2020/7/5,1268
2020/7/6,1285
2020/7/7,1299
2020/7/8,1323
2020/7/9,1365
2020/7/10,1403
2020/7/11,1431
2020/7/12,1469
2020/7/13,1521
2020/7/14,1569
2020/7/15,1588
2020/7/16,1655
2020/7/17,1713
2020/7/18,1777
2020/7/19,1885
2020/7/20,1958
2020/7/21,2018
2020/7/22,2131
2020/7/23,2249
2020/7/24,2372
2020/7/25,2505
2020/7/26,2633
2020/7/27,2778
2020/7/28,2884
2020/7/29,3002
2020/7/30,3151
2020/7/31,3272
2020/8/1,3396
2020/8/2,3511
2020/8/3,3589
2020/8/4,3669
2020/8/5,3754
2020/8/6,3849
2020/8/7,3938
2020/8/8,4007
2020/8/9,4079
2020/8/10,4148
2020/8/11,4181
2020/8/12,4243
2020/8/13,4312
2020/8/14,4360
2020/8/15,4406
2020/8/16,4480
2020/8/17,4524
2020/8/18,4560
2020/8/19,4586
2020/8/20,4604
2020/8/21,4631
2020/8/22,4657
2020/8/23,4682
2020/8/24,4691
2020/8/25,4710
2020/8/26,4734
2020/8/27,4755
2020/8/28,4768
2020/8/29,4786
2020/8/30,4801
2020/8/31,4810
2020/9/1,4822
2020/9/2,4830
2020/9/3,4838
2020/9/4,4850
2020/9/5,4857
2020/9/6,4878
2020/9/7,4889
2020/9/8,4895
2020/9/9,4901
2020/9/10,4913
2020/9/11,4925
2020/9/12,4938
2020/9/13,4957
2020/9/14,4971
2020/9/15,4975
2020/9/16,4984
2020/9/17,4993
2020/9/18,4996
2020/9/19,5009
2020/9/20,5032
2020/9/21,5038
2020/9/22,5046
2020/9/23,5049
2020/9/24,5056
2020/9/25,5058
2020/9/26,5059
2020/9/27,5065
2020/9/28,5075
2020/9/29,5079
2020/9/30,5087
2020/10/1,5097
2020/10/2,5104
2020/10/3,5108
2020/10/4,5113
2020/10/5,5124
2020/10/6,5132
2020/10/7,5143
2020/10/8,5161
2020/10/9,5169
2020/10/10,5175
2020/10/11,5182
2020/10/12,5193
2020/10/13,5201
2020/10/14,5201
2020/10/15,5213
2020/10/16,5220
2020/10/17,5237
2020/10/18,5241
2020/10/19,5256
2020/10/20,5261
2020/10/21,5269
2020/10/22,5280
2020/10/23,5284
2020/10/24,5289
2020/10/25,5295
2020/10/26,5303
2020/10/27,5308
2020/10/28,5310
2020/10/29,5313
2020/10/30,5320
2020/10/31,5323
2020/11/1,5330
2020/11/2,5336
2020/11/3,5345
2020/11/4,5348
2020/11/5,5355
2020/11/6,5361
2020/11/7,5364
2020/11/8,5374
2020/11/9,5380
2020/11/10,5389
2020/11/11,5407
2020/11/12,5430
2020/11/13,5436
2020/11/14,5444
2020/11/15,5458
2020/11/16,5466
2020/11/17,5470
2020/11/18,5479
2020/11/19,5491
2020/11/20,5517
2020/11/21,5560
2020/11/22,5628
2020/11/23,5701
2020/11/24,5781
2020/11/25,5866
2020/11/26,5947
2020/11/27,6039
2020/11/28,6123
2020/11/29,6238
2020/11/30,6314
2020/12/1,6396
2020/12/2,6499
2020/12/3,6589
2020/12/4,6701
2020/12/5,6802
2020/12/6,6897
2020/12/7,6975
2020/12/8,7075
2020/12/9,7179
2020/12/10,7291
2020/12/11,7377
2020/12/12,7446
2020/12/13,7541
2020/12/14,7623
2020/12/15,7721
2020/12/16,7803
2020/12/17,7899
2020/12/18,7969
2020/12/19,8078
2020/12/20,8152
2020/12/21,8237
2020/12/22,8300
2020/12/23,8353
2020/12/24,8424
2020/12/25,8481
2020/12/26,8540
2020/12/27,8610
2020/12/28,8671
2020/12/29,8724
2020/12/30,8778
2020/12/31,8846
2021/1/1,8888
2021/1/2,8923
2021/1/3,8964
2021/1/4,9017
2021/1/5,9049
2021/1/6,9074
2021/1/7,9107
2021/1/8,9152
2021/1/9,9211
2021/1/10,9242
2021/1/11,9283
2021/1/12,9343
2021/1/13,9385
2021/1/14,9414
2021/1/15,9452
2021/1/16,9502
2021/1/17,9557
2021/1/18,9664
2021/1/19,9720
2021/1/20,9797
2021/1/21,9867
2021/1/22,9928
2021/1/23,10009
2021/1/24,10085
2021/1/25,10158
2021/1/26,10222
2021/1/27,10282
2021/1/28,10321
2021/1/29,10371
2021/1/30,10399
2021/1/31,10452
2021/2/1,10486
2021/2/2,10511
2021/2/3,10530
2021/2/4,10552
2021/2/5,10589
2021/2/6,10608
2021/2/7,10635
2021/2/8,10667
2021/2/9,10693
2021/2/10,10710
2021/2/11,10731
2021/2/12,10755
2021/2/13,10767
2021/2/14,10779
2021/2/15,10788
2021/2/16,10796
2021/2/17,10812
2021/2/18,10820
2021/2/19,10833
2021/2/20,10848
2021/2/21,10868
2021/2/22,10884
2021/2/23,10896
2021/2/24,10913
2021/2/25,10926
2021/2/26,10951
2021/2/27,10983
2021/2/28,11005
2021/3/1,11019
2021/3/2,11032
2021/3/3,11046
2021/3/4,11055
2021/3/5,11066
2021/3/6,11074
2021/3/7,11090
2021/3/8,11099
2021/3/9,11120
2021/3/10,11128
2021/3/11,11150
2021/3/12,11210
2021/3/13,11257
2021/3/14,11281
2021/3/15,11311
2021/3/16,11329
2021/3/17,11340
2021/3/18,11350
2021/3/19,11363
2021/3/20,11371
2021/3/21,11379
2021/3/22,11397
2021/3/23,11409
2021/3/24,11419
2021/3/25,11428
2021/3/26,11439
2021/3/27,11445
2021/3/28,11446
2021/3/29,11454
2021/3/30,11461
2021/3/31,11467
2021/4/1,11480
2021/4/2,11499
2021/4/3,11501
2021/4/4,11508
2021/4/5,11524
2021/4/6,11531
2021/4/7,11539
2021/4/8,11549
2021/4/9,11563
2021/4/10,11568
2021/4/11,11581
2021/4/12,11594
2021/4/13,11607
2021/4/14,11612
2021/4/15,11618
2021/4/16,11635
2021/4/17,11653
2021/4/18,11683
2021/4/19,11695
2021/4/20,11703
2021/4/21,11704
2021/4/22,11718
2021/4/23,11727
2021/4/24,11730
2021/4/25,11736
2021/4/26,11740
2021/4/27,11748
2021/4/28,11755
2021/4/29,11770
2021/4/30,11774
2021/5/1,11782
2021/5/2,11784
2021/5/3,11786
2021/5/4,11790
2021/5/5,11796
2021/5/6,11798
2021/5/7,11801
2021/5/8,11806
2021/5/9,11807
2021/5/10,11811
2021/5/11,11812
2021/5/12,11814
2021/5/13,11817
2021/5/14,11818
2021/5/15,11821
2021/5/16,11824
2021/5/17,11825
2021/5/18,11826
2021/5/19,11827
2021/5/20,11828
2021/5/21,11829
2021/5/22,11830
2021/5/23,11832
2021/5/24,11833
2021/5/25,11835
2021/5/26,11836
2021/5/27,11836
2021/5/28,11836
2021/5/29,11837
2021/5/30,11837
2021/5/31,11841
2021/6/1,11848
2021/6/2,11848
2021/6/3,11849
2021/6/4,11850
2021/6/5,11851
2021/6/6,11858
2021/6/7,11865
2021/6/8,11868
2021/6/9,11872
2021/6/10,11874
2021/6/11,11874
2021/6/12,11877
2021/6/13,11877
2021/6/14,11878
2021/6/15,11880
2021/6/16,11881
2021/6/17,11881
2021/6/18,11884
2021/6/19,11885
2021/6/20,11886
2021/6/21,11889
2021/6/22,11896
2021/6/23,11898
2021/6/24,11905
2021/6/25,11909
2021/6/26,11911
2021/6/27,11917
2021/6/28,11920
2021/6/29,11921
2021/6/30,11923
2021/7/1,11927
2021/7/2,11938
2021/7/3,11939
2021/7/4,11942
2021/7/5,11943
2021/7/6,11944
2021/7/7,11945
2021/7/8,11948
2021/7/9,11949
2021/7/10,11950
2021/7/11,11951
2021/7/12,11951
2021/7/13,11952
2021/7/14,11955
2021/7/15,11955
2021/7/16,11956
2021/7/17,11956
2021/7/18,11958
2021/7/19,11958
2021/7/20,11965
2021/7/21,11970
2021/7/22,11971
2021/7/23,11973
2021/7/24,11975
2021/7/25,11978
2021/7/26,11978
2021/7/27,11979
2021/7/28,11980
2021/7/29,11982
2021/7/30,11984
2021/7/31,11984
2021/8/1,11987
2021/8/2,11990
2021/8/3,11994
2021/8/4,11996
2021/8/5,12002
2021/8/6,12004
