date,cases
2020/1/22,444
2020/1/23,444
2020/1/24,549
2020/1/25,761
2020/1/26,1058
2020/1/27,1423
2020/1/28,3554
2020/1/29,3554
2020/1/30,4903
2020/1/31,5806
2020/2/1,7153
2020/2/2,11177
2020/2/3,13522
2020/2/4,16678
2020/2/5,19665
2020/2/6,22112
2020/2/7,24953
2020/2/8,27100
2020/2/9,29631
2020/2/10,31728
2020/2/11,33366
2020/2/12,33366
2020/2/13,48206
2020/2/14,54406
2020/2/15,56249
2020/2/16,58182
2020/2/17,59989
2020/2/18,61682
2020/2/19,62031
2020/2/20,62442
2020/2/21,62662
2020/2/22,64084
2020/2/23,64084
2020/2/24,64287
2020/2/25,64786
2020/2/26,65187
2020/2/27,65596
2020/2/28,65914
2020/2/29,66337
2020/3/1,66907
2020/3/2,67103
2020/3/3,67217
2020/3/4,67332
2020/3/5,67466
2020/3/6,67592
2020/3/7,67666
2020/3/8,67707
2020/3/9,67743
2020/3/10,67760
2020/3/11,67773
2020/3/12,67781
2020/3/13,67786
2020/3/14,67790
2020/3/15,67794
2020/3/16,67798
2020/3/17,67799
2020/3/18,67800
2020/3/19,67800
2020/3/20,67800
2020/3/21,67800
2020/3/22,67800
2020/3/23,67800
2020/3/24,67801
2020/3/25,67801
2020/3/26,67801
2020/3/27,67801
2020/3/28,67801
2020/3/29,67801
2020/3/30,67801
2020/3/31,67801
2020/4/1,67802
2020/4/2,67802
2020/4/3,67802
2020/4/4,67803
2020/4/5,67803
2020/4/6,67803
2020/4/7,67803
2020/4/8,67803
2020/4/9,67803
2020/4/10,67803
2020/4/11,67803
2020/4/12,67803
2020/4/13,67803
2020/4/14,67803
2020/4/15,67803
2020/4/16,67803
2020/4/17,68128
2020/4/18,68128
2020/4/19,68128
2020/4/20,68128
2020/4/21,68128
2020/4/22,68128
2020/4/23,68128
2020/4/24,68128
2020/4/25,68128
2020/4/26,68128
2020/4/27,68128
2020/4/28,68128
2020/4/29,68128
2020/4/30,68128
2020/5/1,68128
2020/5/2,68128
2020/5/3,68128
2020/5/4,68128
2020/5/5,68128
2020/5/6,68128
2020/5/7,68128
2020/5/8,68128
2020/5/9,68129
2020/5/10,68134
2020/5/11,68134
2020/5/12,68134
2020/5/13,68134
2020/5/14,68134
2020/5/15,68134
2020/5/16,68134
2020/5/17,68134
2020/5/18,68135
2020/5/19,68135
2020/5/20,68135
2020/5/21,68135
2020/5/22,68135
2020/5/23,68135
2020/5/24,68135
2020/5/25,68135
2020/5/26,68135
2020/5/27,68135
2020/5/28,68135
2020/5/29,68135
2020/5/30,68135
2020/5/31,68135
2020/6/1,68135
2020/6/2,68135
2020/6/3,68135
2020/6/4,68135
2020/6/5,68135
2020/6/6,68135
2020/6/7,68135
2020/6/8,68135
2020/6/9,68135
2020/6/10,68135
2020/6/11,68135
2020/6/12,68135
2020/6/13,68135
2020/6/14,68135
2020/6/15,68135
2020/6/16,68135
2020/6/17,68135
2020/6/18,68135
2020/6/19,68135
2020/6/20,68135
2020/6/21,68135
2020/6/22,68135
2020/6/23,68135
2020/6/24,68135
2020/6/25,68135
2020/6/26,68135
2020/6/27,68135
2020/6/28,68135
2020/6/29,68135
2020/6/30,68135
2020/7/1,68135
2020/7/2,68135
2020/7/3,68135
2020/7/4,68135
2020/7/5,68135
2020/7/6,68135
2020/7/7,68135
2020/7/8,68135
2020/7/9,68135
2020/7/10,68135
2020/7/11,68135
2020/7/12,68135
2020/7/13,68135
2020/7/14,68135
2020/7/15,68135
2020/7/16,68135
2020/7/17,68135
2020/7/18,68135
2020/7/19,68135
2020/7/20,68135
2020/7/21,68135
2020/7/22,68135
2020/7/23,68135
2020/7/24,68135
2020/7/25,68135
2020/7/26,68135
2020/7/27,68135
2020/7/28,68135
2020/7/29,68135
2020/7/30,68135
2020/7/31,68135
2020/8/1,68138
2020/8/2,68138
2020/8/3,68138
2020/8/4,68138
2020/8/5,68138
2020/8/6,68138
2020/8/7,68139
2020/8/8,68139
2020/8/9,68139
2020/8/10,68139
2020/8/11,68139
2020/8/12,68139
2020/8/13,68139
2020/8/14,68139
2020/8/15,68139
2020/8/16,68139
2020/8/17,68139
2020/8/18,68139
2020/8/19,68139
2020/8/20,68139
2020/8/21,68139
2020/8/22,68139
2020/8/23,68139
2020/8/24,68139
2020/8/25,68139
2020/8/26,68139
2020/8/27,68139
2020/8/28,68139
2020/8/29,68139
2020/8/30,68139
2020/8/31,68139
2020/9/1,68139
2020/9/2,68139
2020/9/3,68139
2020/9/4,68139
2020/9/5,68139
2020/9/6,68139
2020/9/7,68139
2020/9/8,68139
2020/9/9,68139
2020/9/10,68139
2020/9/11,68139
2020/9/12,68139
2020/9/13,68139
2020/9/14,68139
2020/9/15,68139
2020/9/16,68139
2020/9/17,68139
2020/9/18,68139
2020/9/19,68139
2020/9/20,68139
2020/9/21,68139
2020/9/22,68139
2020/9/23,68139
2020/9/24,68139
2020/9/25,68139
2020/9/26,68139
2020/9/27,68139
2020/9/28,68139
2020/9/29,68139
2020/9/30,68139
2020/10/1,68139
2020/10/2,68139
2020/10/3,68139
2020/10/4,68139
2020/10/5,68139
2020/10/6,68139
2020/10/7,68139
2020/10/8,68139
2020/10/9,68139
2020/10/10,68139
2020/10/11,68139
2020/10/12,68139
2020/10/13,68139
2020/10/14,68139
2020/10/15,68139
2020/10/16,68139
2020/10/17,68139
2020/10/18,68139
2020/10/19,68139
2020/10/20,68139
2020/10/21,68139
2020/10/22,68139
2020/10/23,68139
2020/10/24,68139
2020/10/25,68139
2020/10/26,68139
2020/10/27,68139
2020/10/28,68139
2020/10/29,68139
2020/10/30,68139
2020/10/31,68139
2020/11/1,68139
2020/11/2,68143
2020/11/3,68143
2020/11/4,68143
2020/11/5,68143
2020/11/6,68143
2020/11/7,68147
2020/11/8,68147
2020/11/9,68147
2020/11/10,68147
2020/11/11,68147
2020/11/12,68147
2020/11/13,68147
2020/11/14,68148
2020/11/15,68148
2020/11/16,68148
2020/11/17,68148
2020/11/18,68148
2020/11/19,68148
2020/11/20,68148
2020/11/21,68148
2020/11/22,68148
2020/11/23,68148
2020/11/24,68148
2020/11/25,68148
2020/11/26,68148
2020/11/27,68148
2020/11/28,68148
2020/11/29,68148
2020/11/30,68148
2020/12/1,68148
2020/12/2,68149
2020/12/3,68149
2020/12/4,68149
2020/12/5,68149
2020/12/6,68149
2020/12/7,68149
2020/12/8,68149
2020/12/9,68149
2020/12/10,68149
2020/12/11,68149
2020/12/12,68149
2020/12/13,68149
2020/12/14,68149
2020/12/15,68149
2020/12/16,68149
2020/12/17,68149
2020/12/18,68149
2020/12/19,68149
2020/12/20,68149
2020/12/21,68149
2020/12/22,68149
2020/12/23,68149
2020/12/24,68149
2020/12/25,68149
2020/12/26,68149
2020/12/27,68149
2020/12/28,68149
2020/12/29,68149
2020/12/30,68149
2020/12/31,68149
2021/1/1,68149
2021/1/2,68149
2021/1/3,68149
2021/1/4,68149
2021/1/5,68149
2021/1/6,68149
2021/1/7,68149
2021/1/8,68149
2021/1/9,68149
2021/1/10,68149
2021/1/11,68149
2021/1/12,68149
2021/1/13,68149
2021/1/14,68149
2021/1/15,68149
2021/1/16,68149
2021/1/17,68149
2021/1/18,68149
2021/1/19,68149
2021/1/20,68150
2021/1/21,68150
2021/1/22,68150
2021/1/23,68150
2021/1/24,68150
2021/1/25,68150
2021/1/26,68150
2021/1/27,68150
2021/1/28,68150
2021/1/29,68150
2021/1/30,68150
2021/1/31,68150
2021/2/1,68150
2021/2/2,68150
2021/2/3,68150
2021/2/4,68150
2021/2/5,68150
2021/2/6,68150
2021/2/7,68150
2021/2/8,68150
2021/2/9,68150
2021/2/10,68150
2021/2/11,68150
2021/2/12,68150
2021/2/13,68150
2021/2/14,68150
2021/2/15,68150
2021/2/16,68150
2021/2/17,68151
2021/2/18,68151
2021/2/19,68151
2021/2/20,68151
2021/2/21,68151
2021/2/22,68151
2021/2/23,68151
2021/2/24,68151
2021/2/25,68151
2021/2/26,68151
2021/2/27,68151
2021/2/28,68151
2021/3/1,68151
2021/3/2,68151
2021/3/3,68151
2021/3/4,68151
2021/3/5,68151
2021/3/6,68151
2021/3/7,68151
2021/3/8,68151
2021/3/9,68151
2021/3/10,68151
2021/3/11,68151
2021/3/12,68151
2021/3/13,68151
2021/3/14,68151
2021/3/15,68151
2021/3/16,68151
2021/3/17,68151
2021/3/18,68151
2021/3/19,68151
2021/3/20,68151
2021/3/21,68151
2021/3/22,68151
2021/3/23,68151
2021/3/24,68152
2021/3/25,68152
2021/3/26,68152
2021/3/27,68152
2021/3/28,68152
2021/3/29,68152
2021/3/30,68152
2021/3/31,68152
2021/4/1,68152
2021/4/2,68152
2021/4/3,68152
2021/4/4,68152
2021/4/5,68152
2021/4/6,68153
2021/4/7,68153
2021/4/8,68153
2021/4/9,68154
2021/4/10,68154
2021/4/11,68154
2021/4/12,68154
2021/4/13,68154
2021/4/14,68155
2021/4/15,68155
2021/4/16,68155
2021/4/17,68155
2021/4/18,68155
2021/4/19,68156
2021/4/20,68156
2021/4/21,68157
2021/4/22,68157
2021/4/23,68157
2021/4/24,68157
2021/4/25,68157
2021/4/26,68157
2021/4/27,68157
2021/4/28,68158
2021/4/29,68158
2021/4/30,68158
2021/5/1,68158
2021/5/2,68158
2021/5/3,68158
2021/5/4,68158
2021/5/5,68158
2021/5/6,68158
2021/5/7,68158
2021/5/8,68158
2021/5/9,68158
2021/5/10,68158
2021/5/11,68158
2021/5/12,68158
2021/5/13,68158
2021/5/14,68158
2021/5/15,68158
2021/5/16,68158
2021/5/17,68158
2021/5/18,68159
2021/5/19,68159
2021/5/20,68159
2021/5/21,68159
2021/5/22,68159
2021/5/23,68159
2021/5/24,68159
2021/5/25,68159
2021/5/26,68159
2021/5/27,68159
2021/5/28,68159
2021/5/29,68159
2021/5/30,68159
2021/5/31,68159
2021/6/1,68159
2021/6/2,68159
2021/6/3,68159
2021/6/4,68159
2021/6/5,68159
2021/6/6,68159
2021/6/7,68159
2021/6/8,68159
2021/6/9,68159
2021/6/10,68159
2021/6/11,68159
2021/6/12,68159
2021/6/13,68159
2021/6/14,68159
2021/6/15,68159
2021/6/16,68160
2021/6/17,68160
2021/6/18,68160
2021/6/19,68160
2021/6/20,68160
2021/6/21,68160
2021/6/22,68160
2021/6/23,68160
2021/6/24,68160
2021/6/25,68160
2021/6/26,68160
2021/6/27,68160
2021/6/28,68160
2021/6/29,68162
2021/6/30,68162
2021/7/1,68162
2021/7/2,68162
2021/7/3,68162
2021/7/4,68162
2021/7/5,68162
2021/7/6,68187
2021/7/7,68187
2021/7/8,68187
2021/7/9,68187
2021/7/10,68187
2021/7/11,68187
2021/7/12,68188
2021/7/13,68188
2021/7/14,68188
2021/7/15,68188
2021/7/16,68188
2021/7/17,68189
2021/7/18,68189
2021/7/19,68192
2021/7/20,68192
2021/7/21,68192
2021/7/22,68193
2021/7/23,68194
2021/7/24,68194
2021/7/25,68194
2021/7/26,68194
2021/7/27,68195
2021/7/28,68195
2021/7/29,68195
2021/7/30,68195
2021/7/31,68196
2021/8/1,68198
2021/8/2,68201
2021/8/3,68210
2021/8/4,68211
2021/8/5,68217
2021/8/6,68226
2021/8/7,68232
2021/8/8,68235
2021/8/9,68250
2021/8/10,68264
2021/8/11,68274
2021/8/12,68278
2021/8/13,68282
2021/8/14,68282
2021/8/15,68282
2021/8/16,68285
2021/8/17,68286
2021/8/18,68286
2021/8/19,68286
2021/8/20,68287
2021/8/21,68289
2021/8/22,68289
2021/8/23,68289
2021/8/24,68289
2021/8/25,68289
2021/8/26,68290
2021/8/27,68290
2021/8/28,68290
2021/8/29,68290
2021/8/30,68290
2021/8/31,68290
2021/9/1,68291
2021/9/2,68291
2021/9/3,68291
2021/9/4,68291
2021/9/5,68291
2021/9/6,68291
2021/9/7,68291
2021/9/8,68292
2021/9/9,68292
2021/9/10,68292
2021/9/11,68292
2021/9/12,68292
2021/9/13,68292
2021/9/14,68292
2021/9/15,68292
2021/9/16,68292
2021/9/17,68292
2021/9/18,68295
2021/9/19,68295
2021/9/20,68295
2021/9/21,68295
2021/9/22,68297
2021/9/23,68297
2021/9/24,68298
2021/9/25,68298
2021/9/26,68298
2021/9/27,68298
2021/9/28,68298
2021/9/29,68298
2021/9/30,68298
2021/10/1,68298
2021/10/2,68298
2021/10/3,68298
2021/10/4,68298
2021/10/5,68298
2021/10/6,68299
2021/10/7,68299
2021/10/8,68299
2021/10/9,68299
2021/10/10,68299
2021/10/11,68299
2021/10/12,68299
2021/10/13,68300
2021/10/14,68300
2021/10/15,68303
2021/10/16,68303
2021/10/17,68303
2021/10/18,68303
2021/10/19,68303
2021/10/20,68305
2021/10/21,68305
2021/10/22,68305
2021/10/23,68305
2021/10/24,68305
2021/10/25,68305
2021/10/26,68305
2021/10/27,68306
2021/10/28,68306
2021/10/29,68308
2021/10/30,68309
2021/10/31,68309
2021/11/1,68309
2021/11/2,68309
2021/11/3,68309
2021/11/4,68309
2021/11/5,68309
2021/11/6,68309
2021/11/7,68309
2021/11/8,68309
2021/11/9,68309
2021/11/10,68311
2021/11/11,68311
2021/11/12,68311
2021/11/13,68311
2021/11/14,68311
2021/11/15,68311
2021/11/16,68311
