date,cases
2020/1/22,4
2020/1/23,9
2020/1/24,24
2020/1/25,43
2020/1/26,69
2020/1/27,100
2020/1/28,143
2020/1/29,221
2020/1/30,277
2020/1/31,332
2020/2/1,389
2020/2/2,463
2020/2/3,521
2020/2/4,593
2020/2/5,661
2020/2/6,711
2020/2/7,772
2020/2/8,803
2020/2/9,838
2020/2/10,879
2020/2/11,912
2020/2/12,946
2020/2/13,968
2020/2/14,988
2020/2/15,1001
2020/2/16,1004
2020/2/17,1006
2020/2/18,1007
2020/2/19,1008
2020/2/20,1010
2020/2/21,1011
2020/2/22,1013
2020/2/23,1016
2020/2/24,1016
2020/2/25,1016
2020/2/26,1016
2020/2/27,1017
2020/2/28,1017
2020/2/29,1018
2020/3/1,1018
2020/3/2,1018
2020/3/3,1018
2020/3/4,1018
2020/3/5,1018
2020/3/6,1018
2020/3/7,1018
2020/3/8,1018
2020/3/9,1018
2020/3/10,1018
2020/3/11,1018
2020/3/12,1018
2020/3/13,1018
2020/3/14,1018
2020/3/15,1018
2020/3/16,1018
2020/3/17,1018
2020/3/18,1018
2020/3/19,1018
2020/3/20,1018
2020/3/21,1018
2020/3/22,1018
2020/3/23,1018
2020/3/24,1018
2020/3/25,1018
2020/3/26,1018
2020/3/27,1018
2020/3/28,1018
2020/3/29,1018
2020/3/30,1018
2020/3/31,1018
2020/4/1,1018
2020/4/2,1019
2020/4/3,1019
2020/4/4,1019
2020/4/5,1019
2020/4/6,1019
2020/4/7,1019
2020/4/8,1019
2020/4/9,1019
2020/4/10,1019
2020/4/11,1019
2020/4/12,1019
2020/4/13,1019
2020/4/14,1019
2020/4/15,1019
2020/4/16,1019
2020/4/17,1019
2020/4/18,1019
2020/4/19,1019
2020/4/20,1019
2020/4/21,1019
2020/4/22,1019
2020/4/23,1019
2020/4/24,1019
2020/4/25,1019
2020/4/26,1019
2020/4/27,1019
2020/4/28,1019
2020/4/29,1019
2020/4/30,1019
2020/5/1,1019
2020/5/2,1019
2020/5/3,1019
2020/5/4,1019
2020/5/5,1019
2020/5/6,1019
2020/5/7,1019
2020/5/8,1019
2020/5/9,1019
2020/5/10,1019
2020/5/11,1019
2020/5/12,1019
2020/5/13,1019
2020/5/14,1019
2020/5/15,1019
2020/5/16,1019
2020/5/17,1019
2020/5/18,1019
2020/5/19,1019
2020/5/20,1019
2020/5/21,1019
2020/5/22,1019
2020/5/23,1019
2020/5/24,1019
2020/5/25,1019
2020/5/26,1019
2020/5/27,1019
2020/5/28,1019
2020/5/29,1019
2020/5/30,1019
2020/5/31,1019
2020/6/1,1019
2020/6/2,1019
2020/6/3,1019
2020/6/4,1019
2020/6/5,1019
2020/6/6,1019
2020/6/7,1019
2020/6/8,1019
2020/6/9,1019
2020/6/10,1019
2020/6/11,1019
2020/6/12,1019
2020/6/13,1019
2020/6/14,1019
2020/6/15,1019
2020/6/16,1019
2020/6/17,1019
2020/6/18,1019
2020/6/19,1019
2020/6/20,1019
2020/6/21,1019
2020/6/22,1019
2020/6/23,1019
2020/6/24,1019
2020/6/25,1019
2020/6/26,1019
2020/6/27,1019
2020/6/28,1019
2020/6/29,1019
2020/6/30,1019
2020/7/1,1019
2020/7/2,1019
2020/7/3,1019
2020/7/4,1019
2020/7/5,1019
2020/7/6,1019
2020/7/7,1019
2020/7/8,1019
2020/7/9,1019
2020/7/10,1019
2020/7/11,1019
2020/7/12,1019
2020/7/13,1019
2020/7/14,1019
2020/7/15,1019
2020/7/16,1019
2020/7/17,1019
2020/7/18,1019
2020/7/19,1019
