date,cases
2020/3/13,1
2020/3/14,5
2020/3/15,5
2020/3/16,5
2020/3/17,9
2020/3/18,11
2020/3/19,23
2020/3/20,31
2020/3/21,42
2020/3/22,47
2020/3/23,50
2020/3/24,73
2020/3/25,123
2020/3/26,189
2020/3/27,232
2020/3/28,262
2020/3/29,310
2020/3/30,415
2020/3/31,526
2020/4/1,669
2020/4/2,891
2020/4/3,1012
2020/4/4,1076
2020/4/5,1100
2020/4/6,1170
2020/4/7,1210
2020/4/8,1232
2020/4/9,1366
2020/4/10,1425
2020/4/11,1438
2020/4/12,1457
2020/4/13,1499
2020/4/14,1538
2020/4/15,1587
2020/4/16,1609
2020/4/17,1655
2020/4/18,1668
2020/4/19,1672
2020/4/20,1736
2020/4/21,1766
2020/4/22,1802
2020/4/23,1836
2020/4/24,1870
2020/4/25,1887
2020/4/26,1897
2020/4/27,1917
2020/4/28,1952
2020/4/29,1984
2020/4/30,2016
2020/5/1,2035
2020/5/2,2061
2020/5/3,2059
2020/5/4,2106
2020/5/5,2127
2020/5/6,2158
2020/5/7,2178
2020/5/8,2205
2020/5/9,2230
2020/5/10,2232
2020/5/11,2261
2020/5/12,2294
2020/5/13,2325
2020/5/14,2352
2020/5/15,2389
2020/5/16,2419
2020/5/17,2421
2020/5/18,2455
2020/5/19,2476
2020/5/20,2506
2020/5/21,2534
2020/5/22,2595
2020/5/23,2626
2020/5/24,2650
2020/5/25,2664
2020/5/26,2699
2020/5/27,2731
2020/5/28,2770
2020/5/29,2804
2020/5/30,2840
2020/5/31,2855
2020/6/1,2908
2020/6/2,2935
2020/6/3,2990
2020/6/4,3054
2020/6/5,3111
2020/6/6,3139
2020/6/7,3153
2020/6/8,3197
2020/6/9,3226
2020/6/10,3262
2020/6/11,3303
2020/6/12,3354
2020/6/13,3399
2020/6/14,3413
2020/6/15,3472
2020/6/16,3543
2020/6/17,3634
2020/6/18,3744
2020/6/19,3871
2020/6/20,4006
2020/6/21,4025
2020/6/22,4267
2020/6/23,4412
2020/6/24,4650
2020/6/25,4869
2020/6/26,5149
2020/6/27,5319
2020/6/28,5543
2020/6/29,5770
2020/6/30,6124
2020/7/1,6379
2020/7/2,6688
2020/7/3,7034
2020/7/4,7431
2020/7/5,7799
2020/7/6,8222
2020/7/7,8582
2020/7/8,9004
2020/7/9,9598
2020/7/10,10073
2020/7/11,10584
2020/7/12,10971
2020/7/13,11531
2020/7/14,11962
2020/7/15,12599
2020/7/16,13261
2020/7/17,13879
2020/7/18,14433
