date,cases
2020/1/24,1
2020/1/25,1
2020/1/26,1
2020/1/27,1
2020/1/28,1
2020/1/29,1
2020/1/30,2
2020/1/31,2
2020/2/1,2
2020/2/2,2
2020/2/3,2
2020/2/4,2
2020/2/5,2
2020/2/6,2
2020/2/7,2
2020/2/8,2
2020/2/9,2
2020/2/10,2
2020/2/11,2
2020/2/12,2
2020/2/13,2
2020/2/14,2
2020/2/15,2
2020/2/16,2
2020/2/17,2
2020/2/18,2
2020/2/19,2
2020/2/20,2
2020/2/21,2
2020/2/22,2
2020/2/23,2
2020/2/24,2
2020/2/25,2
2020/2/26,2
2020/2/27,2
2020/2/28,2
2020/2/29,3
2020/3/1,3
2020/3/2,4
2020/3/3,4
2020/3/4,4
2020/3/5,5
2020/3/6,6
2020/3/7,6
2020/3/8,7
2020/3/9,11
2020/3/10,19
2020/3/11,25
2020/3/12,32
2020/3/13,46
2020/3/14,66
2020/3/15,94
2020/3/16,104
2020/3/17,159
2020/3/18,286
2020/3/19,420
2020/3/20,583
2020/3/21,751
2020/3/22,1047
2020/3/23,1285
2020/3/24,1535
2020/3/25,1874
2020/3/26,2538
2020/3/27,3029
2020/3/28,3547
2020/3/29,4615
2020/3/30,5070
2020/3/31,5992
2020/4/1,6978
2020/4/2,7695
2020/4/3,8904
2020/4/4,10357
2020/4/5,11276
2020/4/6,12262
2020/4/7,13549
2020/4/8,15078
2020/4/9,16422
2020/4/10,17887
2020/4/11,19180
2020/4/12,20852
2020/4/13,22025
2020/4/14,23247
2020/4/15,24593
2020/4/16,25734
2020/4/17,27575
2020/4/18,29160
2020/4/19,30357
2020/4/20,31508
2020/4/21,33059
2020/4/22,35108
2020/4/23,36935
2020/4/24,39658
2020/4/25,41777
2020/4/26,43903
2020/4/27,45883
2020/4/28,48102
2020/4/29,50355
2020/4/30,52918
2020/5/1,56055
2020/5/2,58505
2020/5/3,61499
2020/5/4,63840
2020/5/5,65889
2020/5/6,68164
2020/5/7,70802
2020/5/8,73688
2020/5/9,76008
2020/5/10,77662
2020/5/11,79123
2020/5/12,83168
2020/5/13,84874
2020/5/14,88081
2020/5/15,90528
2020/5/16,92669
2020/5/17,94360
2020/5/18,96778
2020/5/19,98298
2020/5/20,100713
2020/5/21,102995
2020/5/22,105710
2020/5/23,108100
2020/5/24,110541
2020/5/25,112248
2020/5/26,113486
2020/5/27,114612
2020/5/28,116128
2020/5/29,117794
2020/5/30,119290
2020/5/31,120588
2020/6/1,121666
2020/6/2,123244
2020/6/3,124279
2020/6/4,125149
2020/6/5,126317
2020/6/6,127251
2020/6/7,128070
2020/6/8,129543
2020/6/9,130321
2020/6/10,130889
2020/6/11,131731
2020/6/12,132489
2020/6/13,133117
2020/6/14,133719
2020/6/15,134247
2020/6/16,134866
2020/6/17,135416
2020/6/18,136081
2020/6/19,136917
2020/6/20,137535
2020/6/21,138154
2020/6/22,138615
2020/6/23,139282
2020/6/24,140025
2020/6/25,140935
2020/6/26,141812
2020/6/27,142536
2020/6/28,143117
2020/6/29,143885
2020/6/30,144661
2020/7/1,145541
2020/7/2,146407
2020/7/3,147293
2020/7/4,148151
2020/7/5,148730
2020/7/6,149428
2020/7/7,150110
2020/7/8,151055
2020/7/9,152188
2020/7/10,153406
2020/7/11,154530
2020/7/12,155355
2020/7/13,156288
2020/7/14,157055
2020/7/15,158451
2020/7/16,159676
