date,cases
2020/3/6,1
2020/3/7,1
2020/3/8,2
2020/3/9,4
2020/3/10,6
2020/3/11,11
2020/3/12,12
2020/3/13,12
2020/3/14,15
2020/3/15,19
2020/3/16,24
2020/3/17,30
2020/3/18,39
2020/3/19,56
2020/3/20,81
2020/3/21,128
2020/3/22,204
2020/3/23,264
2020/3/24,371
2020/3/25,484
2020/3/26,661
2020/3/27,992
2020/3/28,1239
2020/3/29,1522
2020/3/30,1797
2020/3/31,2177
2020/4/1,2578
2020/4/2,3056
2020/4/3,3455
2020/4/4,3975
2020/4/5,4437
2020/4/6,4986
2020/4/7,5544
2020/4/8,5986
2020/4/9,6400
2020/4/10,6960
2020/4/11,7494
2020/4/12,7990
2020/4/13,8300
2020/4/14,8598
2020/4/15,9030
2020/4/16,9619
2020/4/17,10235
2020/4/18,10730
2020/4/19,11301
2020/4/20,11784
2020/4/21,12214
2020/4/22,12575
2020/4/23,13196
2020/4/24,13848
2020/4/25,14567
2020/4/26,15187
2020/4/27,16137
2020/4/28,16783
2020/4/29,17409
2020/4/30,18099
2020/5/1,18941
2020/5/2,19629
2020/5/3,20267
2020/5/4,20855
2020/5/5,21423
2020/5/6,22286
2020/5/7,22942
2020/5/8,23620
2020/5/9,24239
2020/5/10,24633
2020/5/11,25134
2020/5/12,25676
2020/5/13,26044
2020/5/14,26627
2020/5/15,27281
2020/5/16,27919
2020/5/17,28419
2020/5/18,28897
2020/5/19,29402
2020/5/20,29986
2020/5/21,30673
2020/5/22,31165
2020/5/23,31674
2020/5/24,32151
2020/5/25,32489
2020/5/26,32856
2020/5/27,33242
2020/5/28,33885
2020/5/29,34399
2020/5/30,35064
2020/5/31,35429
2020/6/1,35684
2020/6/2,36129
2020/6/3,36609
2020/6/4,37005
2020/6/5,37499
2020/6/6,37928
2020/6/7,38328
2020/6/8,38553
2020/6/9,38985
2020/6/10,39297
2020/6/11,39714
2020/6/12,40114
2020/6/13,40535
2020/6/14,40901
2020/6/15,41422
2020/6/16,41780
2020/6/17,42036
2020/6/18,42480
2020/6/19,42801
2020/6/20,43135
2020/6/21,43496
2020/6/22,43709
2020/6/23,43967
2020/6/24,44260
2020/6/25,44779
2020/6/26,45269
2020/6/27,45707
2020/6/28,46071
2020/6/29,46370
2020/6/30,46740
2020/7/1,47116
2020/7/2,47553
2020/7/3,48099
2020/7/4,48628
2020/7/5,49203
2020/7/6,49560
2020/7/7,49859
2020/7/8,50309
2020/7/9,50829
2020/7/10,51567
2020/7/11,52358
2020/7/12,52892
2020/7/13,53327
2020/7/14,54001
2020/7/15,54698
2020/7/16,55413
2020/7/17,56160
2020/7/18,57045
2020/7/19,57965
2020/7/20,58607
2020/7/21,59344
2020/7/22,60126
2020/7/23,61079
2020/7/24,62081
2020/7/25,63030
2020/7/26,63881
2020/7/27,64417
2020/7/28,65258
2020/7/29,65918
2020/7/30,66883
2020/7/31,67800
2020/8/1,68773
2020/8/2,69531
2020/8/3,70111
2020/8/4,70944
2020/8/5,71685
2020/8/6,72741
2020/8/7,73986
2020/8/8,75025
2020/8/9,76071
2020/8/10,76734
2020/8/11,77625
2020/8/12,78337
2020/8/13,79404
2020/8/14,80507
2020/8/15,81561
2020/8/16,82304
2020/8/17,82909
2020/8/18,83799
2020/8/19,84308
2020/8/20,85257
2020/8/21,86312
2020/8/22,87325
2020/8/23,87942
2020/8/24,89602
2020/8/25,90460
2020/8/26,91403
2020/8/27,92566
2020/8/28,93387
2020/8/29,94512
2020/8/30,95394
2020/8/31,96277
2020/9/1,96988
2020/9/2,97853
2020/9/3,98971
2020/9/4,100011
2020/9/5,101094
2020/9/6,101937
2020/9/7,102527
2020/9/8,102917
2020/9/9,103641
2020/9/10,104429
2020/9/11,105703
2020/9/12,106777
2020/9/13,108020
2020/9/14,108755
2020/9/15,109445
2020/9/16,110025
2020/9/17,110863
2020/9/18,111900
2020/9/19,112982
2020/9/20,113728
2020/9/21,114251
2020/9/22,114864
2020/9/23,115578
2020/9/24,116481
2020/9/25,117656
2020/9/26,118819
2020/9/27,119721
2020/9/28,120581
2020/9/29,121327
2020/9/30,122295
2020/10/1,123459
2020/10/2,124959
2020/10/3,126414
2020/10/4,127501
2020/10/5,128285
2020/10/6,129281
2020/10/7,130569
2020/10/8,132030
2020/10/9,133864
2020/10/10,135789
2020/10/11,137359
2020/10/12,138933
2020/10/13,140505
2020/10/14,141670
2020/10/15,143617
2020/10/16,145915
2020/10/17,148400
2020/10/18,150005
2020/10/19,151588
2020/10/20,153088
2020/10/21,154822
2020/10/22,157678
2020/10/23,160145
2020/10/24,162886
2020/10/25,165038
2020/10/26,167010
2020/10/27,168996
2020/10/28,171566
2020/10/29,175190
2020/10/30,178372
2020/10/31,181837
2020/11/1,184589
2020/11/2,187665
2020/11/3,190555
2020/11/4,194261
2020/11/5,198684
2020/11/6,203332
2020/11/7,208243
2020/11/8,212895
2020/11/9,217028
2020/11/10,221894
2020/11/11,226935
2020/11/12,233540
2020/11/13,239139
2020/11/14,247466
2020/11/15,254172
2020/11/16,259318
2020/11/17,264810
2020/11/18,270847
2020/11/19,278142
2020/11/20,284960
2020/11/21,291838
2020/11/22,298021
2020/11/23,303575
2020/11/24,309218
2020/11/25,315212
2020/11/26,321595
2020/11/27,327234
2020/11/28,331725
2020/11/29,336027
2020/11/30,341694
2020/12/1,347097
2020/12/2,353722
2020/12/3,362182
2020/12/4,370091
2020/12/5,377790
2020/12/6,384391
2020/12/7,390048
2020/12/8,395449
2020/12/9,401219
2020/12/10,407755
2020/12/11,414961
2020/12/12,422368
2020/12/13,428275
2020/12/14,433242
2020/12/15,437513
2020/12/16,443734
2020/12/17,450074
2020/12/18,456028
2020/12/19,460766
2020/12/20,467258
2020/12/21,471124
2020/12/22,474797
2020/12/23,479476
2020/12/24,485681
2020/12/25,491125
2020/12/26,494967
2020/12/27,496795
2020/12/28,499256
2020/12/29,503242
2020/12/30,507979
2020/12/31,514455
2021/1/1,520750
2021/1/2,526065
2021/1/3,529054
2021/1/4,532671
2021/1/5,536084
2021/1/6,542235
2021/1/7,549514
2021/1/8,555613
2021/1/9,561579
2021/1/10,566670
2021/1/11,570355
2021/1/12,573505
2021/1/13,577153
2021/1/14,581534
2021/1/15,586206
2021/1/16,590093
2021/1/17,593262
2021/1/18,595760
2021/1/19,598494
2021/1/20,601380
2021/1/21,605004
2021/1/22,608498
2021/1/23,611600
2021/1/24,614120
2021/1/25,616310
2021/1/26,618037
2021/1/27,620275
2021/1/28,623094
2021/1/29,625730
2021/1/30,628069
2021/1/31,629793
2021/2/1,631502
2021/2/2,633043
2021/2/3,634470
2021/2/4,636830
2021/2/5,638314
2021/2/6,641133
2021/2/7,642865
2021/2/8,643898
2021/2/9,645034
2021/2/10,646476
2021/2/11,648183
2021/2/12,649610
2021/2/13,650842
2021/2/14,652060
2021/2/15,652836
2021/2/16,653713
2021/2/17,654636
2021/2/18,655396
2021/2/19,656433
2021/2/20,657848
2021/2/21,658730
2021/2/22,659547
2021/2/23,660229
2021/2/24,661241
2021/2/25,662332
2021/2/26,663282
2021/2/27,664149
2021/2/28,664880
2021/3/1,665422
2021/3/2,665962
2021/3/3,666731
2021/3/4,667668
2021/3/5,668520
2021/3/6,669754
2021/3/7,670500
2021/3/8,670975
2021/3/9,671570
2021/3/10,672439
2021/3/11,673349
2021/3/12,674293
2021/3/13,675127
2021/3/14,675822
2021/3/15,676235
2021/3/16,676799
2021/3/17,677705
2021/3/18,678669
2021/3/19,679529
2021/3/20,680420
2021/3/21,681188
2021/3/22,681699
2021/3/23,682360
2021/3/24,683330
2021/3/25,684281
2021/3/26,685382
2021/3/27,686360
2021/3/28,687304
2021/3/29,688017
2021/3/30,688740
2021/3/31,689785
2021/4/1,691001
2021/4/2,692207
2021/4/3,693258
2021/4/4,694204
2021/4/5,694918
2021/4/6,695532
2021/4/7,696749
2021/4/8,698132
2021/4/9,699472
2021/4/10,700830
2021/4/11,701988
2021/4/12,703118
2021/4/13,704072
2021/4/14,705268
2021/4/15,706642
2021/4/16,707932
2021/4/17,710409
2021/4/18,711366
2021/4/19,712076
2021/4/20,712755
2021/4/21,713907
2021/4/22,715087
2021/4/23,716160
2021/4/24,717263
2021/4/25,718090
2021/4/26,718771
2021/4/27,719613
2021/4/28,720874
2021/4/29,722258
2021/4/30,723741
2021/5/1,724895
2021/5/2,725964
2021/5/3,726760
2021/5/4,727536
2021/5/5,728677
2021/5/6,729923
2021/5/7,731086
2021/5/8,732135
2021/5/9,733040
2021/5/10,733631
2021/5/11,734296
2021/5/12,735139
2021/5/13,736022
2021/5/14,736920
2021/5/15,738064
2021/5/16,738790
2021/5/17,739327
2021/5/18,739811
2021/5/19,740613
2021/5/20,741506
2021/5/21,742295
2021/5/22,742961
2021/5/23,743524
2021/5/24,743899
2021/5/25,744389
2021/5/26,745032
2021/5/27,745688
2021/5/28,746246
2021/5/29,746674
2021/5/30,747032
2021/5/31,747032
2021/6/1,747549
2021/6/2,747810
2021/6/3,749027
2021/6/4,749471
2021/6/5,749890
2021/6/6,749890
2021/6/7,750418
2021/6/8,750782
2021/6/9,751136
2021/6/10,751596
2021/6/11,751991
2021/6/12,752437
2021/6/13,752437
2021/6/14,752871
2021/6/15,753174
2021/6/16,753511
2021/6/17,753773
2021/6/18,754043
2021/6/19,754583
2021/6/20,754583
2021/6/21,754867
2021/6/22,755172
2021/6/23,755454
2021/6/24,755741
2021/6/25,756046
2021/6/26,756046
2021/6/27,756046
2021/6/28,756608
2021/6/29,756877
2021/6/30,757279
2021/7/1,757671
2021/7/2,758078
2021/7/3,758078
2021/7/4,758078
2021/7/5,758078
2021/7/6,759056
2021/7/7,759428
2021/7/8,759985
2021/7/9,760422
2021/7/10,760422
2021/7/11,760422
2021/7/12,761263
2021/7/13,761838
2021/7/14,762419
2021/7/15,762976
2021/7/16,763522
2021/7/17,763522
2021/7/18,763522
2021/7/19,764833
2021/7/20,765490
2021/7/21,766200
2021/7/22,767052
2021/7/23,767812
2021/7/24,767812
2021/7/25,767812
2021/7/26,769712
2021/7/27,770770
2021/7/28,771986
2021/7/29,773236
2021/7/30,774662
2021/7/31,774662
2021/8/1,774662
2021/8/2,777459
2021/8/3,779048
2021/8/4,780778
2021/8/5,782677
2021/8/6,784685
2021/8/7,784685
2021/8/8,784685
2021/8/9,789626
2021/8/10,791823
2021/8/11,794289
2021/8/12,797441
2021/8/13,800096
2021/8/14,800096
2021/8/15,800096
2021/8/16,806763
2021/8/17,809458
2021/8/18,812902
2021/8/19,816404
2021/8/20,820507
2021/8/21,820507
2021/8/22,820507
2021/8/23,828906
2021/8/24,832366
2021/8/25,837326
2021/8/26,842230
2021/8/27,847057
2021/8/28,847057
2021/8/29,847057
2021/8/30,858395
2021/8/31,861937
2021/9/1,866672
2021/9/2,871823
2021/9/3,876850
2021/9/4,876850
2021/9/5,876850
2021/9/6,876850
2021/9/7,889827
2021/9/8,892733
2021/9/9,897885
2021/9/10,903219
2021/9/11,903219
2021/9/12,903219
2021/9/13,913389
2021/9/14,916901
2021/9/15,921606
2021/9/16,925698
2021/9/17,929986
2021/9/18,929986
2021/9/19,929986
2021/9/20,937970
2021/9/21,940608
2021/9/22,944512
2021/9/23,948099
2021/9/24,951308
2021/9/25,951308
2021/9/26,951308
2021/9/27,957632
2021/9/28,959942
2021/9/29,962805
2021/9/30,966199
2021/10/1,969375
2021/10/2,969375
2021/10/3,969375
2021/10/4,975465
2021/10/5,977567
2021/10/6,980206
2021/10/7,982409
2021/10/8,985949
2021/10/9,985949
2021/10/10,985949
2021/10/11,990674
2021/10/12,992279
2021/10/13,994974
2021/10/14,997606
2021/10/15,999870
2021/10/16,999870
2021/10/17,999870
2021/10/18,1003698
2021/10/19,1005233
2021/10/20,1007186
2021/10/21,1009338
2021/10/22,1011223
2021/10/23,1011223
2021/10/24,1011223
2021/10/25,1014742
2021/10/26,1016155
2021/10/27,1018217
2021/10/28,1020286
2021/10/29,1022202
2021/10/30,1022202
2021/10/31,1022202
2021/11/1,1026177
2021/11/2,1027548
2021/11/3,1029520
2021/11/4,1031553
2021/11/5,1033866
2021/11/6,1033866
2021/11/7,1033866
2021/11/8,1038714
2021/11/9,1040685
2021/11/10,1043494
2021/11/11,1050377
2021/11/12,1053167
2021/11/13,1053167
2021/11/14,1053167
2021/11/15,1059162
2021/11/16,1061970
2021/11/17,1065388
2021/11/18,1069313
2021/11/19,1073046
2021/11/20,1073046
2021/11/21,1073046
2021/11/22,1080972
2021/11/23,1084111
2021/11/24,1088095
2021/11/25,1088095
2021/11/26,1088095
2021/11/27,1088095
2021/11/28,1088095
2021/11/29,1100744
2021/11/30,1104804
2021/12/1,1110812
2021/12/2,1116362
2021/12/3,1121965
2021/12/4,1121965
2021/12/5,1121965
2021/12/6,1134355
2021/12/7,1138535
2021/12/8,1143787
2021/12/9,1149275
2021/12/10,1154552
2021/12/11,1154552
2021/12/12,1154552
2021/12/13,1165936
2021/12/14,1169937
2021/12/15,1174614
2021/12/16,1180081
2021/12/17,1185226
2021/12/18,1185226
2021/12/19,1185226
2021/12/20,1196127
2021/12/21,1199840
2021/12/22,1204621
2021/12/23,1204621
2021/12/24,1204621
2021/12/25,1204621
2021/12/26,1204621
2021/12/27,1225001
2021/12/28,1230711
2021/12/29,1238628
2021/12/30,1250565
2021/12/31,1250565
2022/1/1,1250565
2022/1/2,1250565
2022/1/3,1282001
2022/1/4,1290307
2022/1/5,1303201
2022/1/6,1318412
2022/1/7,1333147
2022/1/8,1333147
2022/1/9,1333147
2022/1/10,1370535
2022/1/11,1382348
2022/1/12,1397361
2022/1/13,1413825
2022/1/14,1429683
2022/1/15,1429683
2022/1/16,1429683
2022/1/17,1466269
2022/1/18,1478101
2022/1/19,1494314
2022/1/20,1510684
2022/1/21,1528366
2022/1/22,1528366
2022/1/23,1528366
2022/1/24,1563959
2022/1/25,1573690
2022/1/26,1578651
2022/1/27,1590856
2022/1/28,1607951
2022/1/29,1607951
2022/1/30,1607951
2022/1/31,1627324
2022/2/1,1632993
2022/2/2,1639907
2022/2/3,1646533
2022/2/4,1650853
2022/2/5,1650853
2022/2/6,1650853
2022/2/7,1655907
2022/2/8,1659054
2022/2/9,1659054
2022/2/10,1665497
2022/2/11,1668288
2022/2/12,1668288
2022/2/13,1668288
2022/2/14,1672351
2022/2/15,1673820
2022/2/16,1675250
2022/2/17,1676718
2022/2/18,1678232
2022/2/19,1678232
2022/2/20,1678232
2022/2/21,1680769
2022/2/22,1681685
2022/2/23,1682604
2022/2/24,1683570
2022/2/25,1684310
2022/2/26,1684310
2022/2/27,1684310
2022/2/28,1685676
2022/3/1,1686214
2022/3/2,1686660
2022/3/3,1687170
2022/3/4,1687733
2022/3/5,1687733
2022/3/6,1687733
2022/3/7,1689177
2022/3/8,1689533
2022/3/9,1690000
2022/3/10,1690382
2022/3/11,1690675
2022/3/12,1690675
2022/3/13,1690675
2022/3/14,1691277
2022/3/15,1691600
2022/3/16,1691929
2022/3/17,1692255
2022/3/18,1692784
2022/3/19,1692784
2022/3/20,1692784
2022/3/21,1693159
2022/3/22,1693377
2022/3/23,1693683
2022/3/24,1693938
2022/3/25,1694163
2022/3/26,1694163
2022/3/27,1694163
2022/3/28,1694598
2022/3/29,1694848
2022/3/30,1690823
2022/3/31,1690823
2022/4/1,1691470
2022/4/2,1691470
2022/4/3,1691470
2022/4/4,1691874
2022/4/5,1691874
2022/4/6,1692248
2022/4/7,1692248
2022/4/8,1692704
2022/4/9,1692704
2022/4/10,1692704
2022/4/11,1693087
2022/4/12,1693087
