date,cases
2020/1/22,0
2020/1/23,0
2020/1/24,1
2020/1/25,7
2020/1/26,7
2020/1/27,11
2020/1/28,15
2020/1/29,16
2020/1/30,19
2020/1/31,20
2020/2/1,23
2020/2/2,27
2020/2/3,34
2020/2/4,35
2020/2/5,42
2020/2/6,46
2020/2/7,50
2020/2/8,52
2020/2/9,54
2020/2/10,58
2020/2/11,58
2020/2/12,60
2020/2/13,61
2020/2/14,65
2020/2/15,68
2020/2/16,70
2020/2/17,72
2020/2/18,73
2020/2/19,75
2020/2/20,75
2020/2/21,75
2020/2/22,75
2020/2/23,75
2020/2/24,75
2020/2/25,75
2020/2/26,75
2020/2/27,75
2020/2/28,75
2020/2/29,75
2020/3/1,75
2020/3/2,75
2020/3/3,75
2020/3/4,75
2020/3/5,75
2020/3/6,75
2020/3/7,75
2020/3/8,75
2020/3/9,75
2020/3/10,75
2020/3/11,75
2020/3/12,75
2020/3/13,75
2020/3/14,75
2020/3/15,75
2020/3/16,75
2020/3/17,75
2020/3/18,75
2020/3/19,75
2020/3/20,75
2020/3/21,75
2020/3/22,75
2020/3/23,75
2020/3/24,75
2020/3/25,77
2020/3/26,89
2020/3/27,92
2020/3/28,94
2020/3/29,95
2020/3/30,97
2020/3/31,107
2020/4/1,111
2020/4/2,117
2020/4/3,117
2020/4/4,117
2020/4/5,117
2020/4/6,118
2020/4/7,121
2020/4/8,124
2020/4/9,126
2020/4/10,128
2020/4/11,155
2020/4/12,189
2020/4/13,190
2020/4/14,190
2020/4/15,190
2020/4/16,193
2020/4/17,193
2020/4/18,193
2020/4/19,193
2020/4/20,194
2020/4/21,194
2020/4/22,194
2020/4/23,194
2020/4/24,197
2020/4/25,198
2020/4/26,198
2020/4/27,199
2020/4/28,199
2020/4/29,200
2020/4/30,201
2020/5/1,201
2020/5/2,201
2020/5/3,201
2020/5/4,201
2020/5/5,201
2020/5/6,201
2020/5/7,201
2020/5/8,201
2020/5/9,201
2020/5/10,208
2020/5/11,209
2020/5/12,209
2020/5/13,209
2020/5/14,209
2020/5/15,209
2020/5/16,209
2020/5/17,213
2020/5/18,216
2020/5/19,216
2020/5/20,216
2020/5/21,216
2020/5/22,217
2020/5/23,217
2020/5/24,227
2020/5/25,232
2020/5/26,232
2020/5/27,232
2020/5/28,232
2020/5/29,232
2020/5/30,232
2020/5/31,235
2020/6/1,235
2020/6/2,235
2020/6/3,235
2020/6/4,235
2020/6/5,235
2020/6/6,235
2020/6/7,235
2020/6/8,235
