date,cases
2020/3/8,3
2020/3/9,8
2020/3/10,13
2020/3/11,14
2020/3/12,16
2020/3/13,17
2020/3/14,18
2020/3/15,22
2020/3/16,22
2020/3/17,29
2020/3/18,38
2020/3/19,44
2020/3/20,45
2020/3/21,68
2020/3/22,90
2020/3/23,105
2020/3/24,124
2020/3/25,147
2020/3/26,179
2020/3/27,236
2020/3/28,298
2020/3/29,336
2020/3/30,424
2020/3/31,498
2020/4/1,549
2020/4/2,614
2020/4/3,699
2020/4/4,786
2020/4/5,868
2020/4/6,946
2020/4/7,1048
2020/4/8,1145
2020/4/9,1270
2020/4/10,1388
2020/4/11,1510
2020/4/12,1587
2020/4/13,1710
2020/4/14,1899
2020/4/15,1995
2020/4/16,2141
2020/4/17,2332
2020/4/18,2513
2020/4/19,2915
2020/4/20,3175
2020/4/21,3641
2020/4/22,3764
2020/4/23,3939
2020/4/24,4459
2020/4/25,5109
2020/4/26,5490
2020/4/27,5868
2020/4/28,6376
2020/4/29,6843
2020/4/30,7145
2020/5/1,7883
2020/5/2,8641
2020/5/3,9169
2020/5/4,9703
2020/5/5,10111
2020/5/6,10404
2020/5/7,11059
2020/5/8,11457
2020/5/9,11671
2020/5/10,11959
2020/5/11,12373
2020/5/12,12912
2020/5/13,13289
2020/5/14,13675
2020/5/15,14049
2020/5/16,14328
2020/5/17,14651
2020/5/18,14955
2020/5/19,15296
2020/5/20,15868
2020/5/21,16170
2020/5/22,16510
2020/5/23,16898
2020/5/24,17434
2020/5/25,17628
2020/5/26,17999
2020/5/27,18446
2020/5/28,18672
2020/5/29,19019
2020/5/30,19336
2020/5/31,19621
2020/6/1,19789
2020/6/2,20017
2020/6/3,20376
2020/6/4,20943
2020/6/5,21332
2020/6/6,21527
2020/6/7,21794
2020/6/8,22111
2020/6/9,22271
2020/6/10,22733
2020/6/11,23103
2020/6/12,23455
2020/6/13,23792
2020/6/14,23959
2020/6/15,24110
2020/6/16,24263
2020/6/17,24616
2020/6/18,24959
2020/6/19,25424
2020/6/20,25552
2020/6/21,26020
2020/6/22,26217
2020/6/23,26470
2020/6/24,26897
2020/6/25,27384
2020/6/26,27828
2020/6/27,28203
2020/6/28,28520
2020/6/29,28874
2020/6/30,29152
2020/7/1,29618
2020/7/2,30259
2020/7/3,30631
2020/7/4,31167
2020/7/5,31612
2020/7/6,31764
2020/7/7,32153
2020/7/8,32716
2020/7/9,33316
2020/7/10,34232
2020/7/11,34695
2020/7/12,35410
2020/7/13,35631
2020/7/14,35942
2020/7/15,36536
2020/7/16,37414
2020/7/17,37903
2020/7/18,38314
2020/7/19,38813
2020/7/20,39343
2020/7/21,39721
2020/7/22,40208
2020/7/23,40796
2020/7/24,41434
2020/7/25,41886
2020/7/26,42357
2020/7/27,42696
2020/7/28,42928
2020/7/29,43623
2020/7/30,44285
2020/7/31,44753
2020/8/1,45293
2020/8/2,45723
2020/8/3,45905
2020/8/4,46231
2020/8/5,46836
2020/8/6,47559
2020/8/7,47920
2020/8/8,48311
2020/8/9,48919
2020/8/10,49164
2020/8/11,49521
2020/8/12,49973
2020/8/13,50678
2020/8/14,51272
2020/8/15,52065
2020/8/16,52447
2020/8/17,52829
2020/8/18,53201
2020/8/19,53541
2020/8/20,54533
2020/8/21,55331
2020/8/22,55996
2020/8/23,56441
2020/8/24,56941
2020/8/25,57606
2020/8/26,58864
2020/8/27,61484
2020/8/28,62828
2020/8/29,63836
2020/8/30,64599
2020/8/31,65252
2020/9/1,65846
2020/9/2,66463
2020/9/3,67693
2020/9/4,68757
2020/9/5,69690
2020/9/6,70210
2020/9/7,70537
2020/9/8,71018
2020/9/9,71594
2020/9/10,72548
2020/9/11,73399
2020/9/12,74204
2020/9/13,74675
2020/9/14,75069
2020/9/15,75722
2020/9/16,76680
2020/9/17,77865
2020/9/18,78839
2020/9/19,79785
2020/9/20,80410
2020/9/21,81006
2020/9/22,81674
2020/9/23,82956
2020/9/24,83993
2020/9/25,85031
2020/9/26,85908
2020/9/27,86624
2020/9/28,87256
2020/9/29,88234
2020/9/30,89248
2020/10/1,90483
2020/10/2,91483
2020/10/3,92302
2020/10/4,92744
2020/10/5,93261
2020/10/6,93909
2020/10/7,95205
2020/10/8,96749
2020/10/9,98023
2020/10/10,99099
2020/10/11,99941
2020/10/12,100451
2020/10/13,101531
2020/10/14,102905
2020/10/15,104232
2020/10/16,105746
