date,cases
2020/1/22,1
2020/1/23,5
2020/1/24,9
2020/1/25,18
2020/1/26,33
2020/1/27,47
2020/1/28,70
2020/1/29,99
2020/1/30,129
2020/1/31,168
2020/2/1,202
2020/2/2,236
2020/2/3,271
2020/2/4,308
2020/2/5,341
2020/2/6,373
2020/2/7,408
2020/2/8,439
2020/2/9,468
2020/2/10,492
2020/2/11,515
2020/2/12,543
2020/2/13,570
2020/2/14,593
2020/2/15,604
2020/2/16,617
2020/2/17,626
2020/2/18,629
2020/2/19,631
2020/2/20,631
2020/2/21,631
2020/2/22,631
2020/2/23,631
2020/2/24,631
2020/2/25,631
2020/2/26,631
2020/2/27,631
2020/2/28,631
2020/2/29,631
2020/3/1,631
2020/3/2,631
2020/3/3,631
2020/3/4,631
2020/3/5,631
2020/3/6,631
2020/3/7,631
2020/3/8,631
2020/3/9,631
2020/3/10,631
2020/3/11,631
2020/3/12,631
2020/3/13,631
2020/3/14,631
2020/3/15,631
2020/3/16,631
2020/3/17,631
2020/3/18,631
2020/3/19,631
2020/3/20,631
2020/3/21,631
2020/3/22,633
2020/3/23,633
2020/3/24,636
2020/3/25,638
2020/3/26,640
2020/3/27,641
2020/3/28,641
2020/3/29,644
2020/3/30,645
2020/3/31,646
2020/4/1,646
2020/4/2,647
2020/4/3,651
2020/4/4,651
2020/4/5,651
2020/4/6,651
2020/4/7,651
2020/4/8,651
2020/4/9,651
2020/4/10,651
2020/4/11,652
2020/4/12,653
2020/4/13,653
2020/4/14,653
2020/4/15,653
2020/4/16,653
2020/4/17,653
2020/4/18,653
2020/4/19,653
2020/4/20,653
2020/4/21,653
2020/4/22,653
2020/4/23,653
2020/4/24,653
2020/4/25,653
2020/4/26,653
2020/4/27,653
2020/4/28,653
2020/4/29,653
2020/4/30,653
2020/5/1,653
2020/5/2,653
2020/5/3,653
2020/5/4,653
2020/5/5,653
2020/5/6,653
2020/5/7,653
2020/5/8,653
2020/5/9,653
2020/5/10,653
2020/5/11,653
2020/5/12,653
2020/5/13,653
2020/5/14,653
2020/5/15,653
2020/5/16,653
2020/5/17,653
2020/5/18,653
2020/5/19,653
2020/5/20,653
2020/5/21,653
2020/5/22,653
2020/5/23,653
2020/5/24,653
2020/5/25,653
2020/5/26,653
2020/5/27,653
2020/5/28,653
2020/5/29,653
2020/5/30,653
2020/5/31,653
2020/6/1,653
2020/6/2,653
2020/6/3,653
2020/6/4,653
2020/6/5,653
2020/6/6,653
2020/6/7,653
2020/6/8,653
2020/6/9,653
2020/6/10,653
2020/6/11,653
2020/6/12,653
2020/6/13,653
2020/6/14,653
2020/6/15,653
2020/6/16,653
2020/6/17,653
2020/6/18,653
2020/6/19,653
2020/6/20,653
2020/6/21,653
2020/6/22,654
2020/6/23,654
2020/6/24,654
2020/6/25,654
2020/6/26,654
2020/6/27,654
2020/6/28,654
2020/6/29,654
2020/6/30,654
2020/7/1,654
2020/7/2,654
2020/7/3,654
2020/7/4,654
2020/7/5,654
2020/7/6,654
2020/7/7,654
2020/7/8,654
2020/7/9,654
2020/7/10,654
2020/7/11,654
2020/7/12,654
2020/7/13,654
2020/7/14,654
2020/7/15,654
