date,cases
2020/1/22,2
2020/1/23,7
2020/1/24,18
2020/1/25,18
2020/1/26,36
2020/1/27,72
2020/1/28,109
2020/1/29,109
2020/1/30,162
2020/1/31,240
2020/2/1,286
2020/2/2,333
2020/2/3,391
2020/2/4,476
2020/2/5,548
2020/2/6,600
2020/2/7,661
2020/2/8,698
2020/2/9,740
2020/2/10,771
2020/2/11,804
2020/2/12,844
2020/2/13,872
2020/2/14,900
2020/2/15,913
2020/2/16,925
2020/2/17,930
2020/2/18,933
2020/2/19,934
2020/2/20,934
2020/2/21,934
2020/2/22,934
2020/2/23,934
2020/2/24,934
2020/2/25,934
2020/2/26,934
2020/2/27,934
2020/2/28,935
2020/2/29,935
2020/3/1,935
2020/3/2,935
2020/3/3,935
2020/3/4,935
2020/3/5,935
2020/3/6,935
2020/3/7,935
2020/3/8,935
2020/3/9,935
2020/3/10,935
2020/3/11,935
2020/3/12,935
2020/3/13,935
2020/3/14,935
2020/3/15,935
2020/3/16,935
2020/3/17,935
2020/3/18,935
2020/3/19,935
2020/3/20,935
2020/3/21,935
2020/3/22,936
2020/3/23,936
2020/3/24,936
2020/3/25,936
2020/3/26,936
2020/3/27,936
2020/3/28,936
2020/3/29,937
2020/3/30,937
2020/3/31,937
2020/4/1,937
2020/4/2,937
2020/4/3,937
2020/4/4,937
2020/4/5,937
2020/4/6,937
2020/4/7,937
2020/4/8,937
2020/4/9,937
2020/4/10,937
2020/4/11,937
2020/4/12,937
2020/4/13,937
2020/4/14,937
2020/4/15,937
2020/4/16,937
2020/4/17,937
2020/4/18,937
2020/4/19,937
2020/4/20,937
2020/4/21,937
2020/4/22,937
2020/4/23,937
2020/4/24,937
2020/4/25,937
2020/4/26,937
2020/4/27,937
2020/4/28,937
2020/4/29,937
2020/4/30,937
2020/5/1,937
2020/5/2,937
2020/5/3,937
2020/5/4,937
2020/5/5,937
2020/5/6,937
2020/5/7,937
2020/5/8,937
2020/5/9,937
2020/5/10,937
2020/5/11,937
2020/5/12,937
2020/5/13,937
2020/5/14,937
2020/5/15,937
2020/5/16,937
2020/5/17,937
2020/5/18,937
2020/5/19,937
2020/5/20,937
2020/5/21,937
2020/5/22,937
2020/5/23,937
2020/5/24,937
2020/5/25,937
2020/5/26,937
2020/5/27,937
2020/5/28,937
2020/5/29,937
2020/5/30,937
2020/5/31,937
2020/6/1,937
2020/6/2,937
2020/6/3,932
2020/6/4,932
2020/6/5,932
2020/6/6,932
2020/6/7,932
2020/6/8,932
2020/6/9,932
2020/6/10,932
2020/6/11,932
2020/6/12,932
2020/6/13,932
2020/6/14,932
2020/6/15,932
2020/6/16,932
2020/6/17,932
2020/6/18,932
2020/6/19,932
2020/6/20,932
2020/6/21,932
2020/6/22,932
2020/6/23,932
2020/6/24,932
2020/6/25,932
2020/6/26,932
2020/6/27,932
2020/6/28,932
2020/6/29,932
2020/6/30,932
2020/7/1,932
2020/7/2,932
2020/7/3,932
2020/7/4,932
2020/7/5,932
2020/7/6,932
2020/7/7,932
2020/7/8,932
2020/7/9,932
2020/7/10,932
2020/7/11,932
2020/7/12,932
2020/7/13,932
2020/7/14,932
2020/7/15,932
2020/7/16,932
2020/7/17,932
2020/7/18,932
2020/7/19,932
2020/7/20,932
2020/7/21,932
2020/7/22,932
2020/7/23,932
2020/7/24,932
2020/7/25,932
2020/7/26,932
2020/7/27,932
2020/7/28,932
2020/7/29,932
2020/7/30,932
2020/7/31,932
2020/8/1,932
2020/8/2,932
2020/8/3,932
2020/8/4,932
2020/8/5,932
2020/8/6,932
2020/8/7,932
2020/8/8,932
2020/8/9,932
2020/8/10,932
2020/8/11,932
2020/8/12,932
2020/8/13,932
2020/8/14,932
2020/8/15,932
2020/8/16,932
2020/8/17,932
2020/8/18,932
2020/8/19,935
2020/8/20,935
2020/8/21,935
2020/8/22,935
2020/8/23,935
2020/8/24,935
2020/8/25,935
2020/8/26,935
2020/8/27,935
2020/8/28,935
2020/8/29,935
2020/8/30,935
2020/8/31,935
2020/9/1,935
2020/9/2,935
2020/9/3,935
2020/9/4,935
2020/9/5,935
2020/9/6,935
2020/9/7,935
2020/9/8,935
2020/9/9,935
2020/9/10,935
2020/9/11,935
2020/9/12,935
2020/9/13,935
2020/9/14,935
2020/9/15,935
2020/9/16,935
2020/9/17,935
2020/9/18,935
2020/9/19,935
2020/9/20,935
2020/9/21,935
2020/9/22,935
2020/9/23,935
2020/9/24,935
2020/9/25,935
2020/9/26,935
2020/9/27,935
2020/9/28,935
2020/9/29,935
2020/9/30,935
2020/10/1,935
2020/10/2,935
2020/10/3,935
2020/10/4,935
2020/10/5,935
2020/10/6,935
2020/10/7,935
2020/10/8,935
2020/10/9,935
2020/10/10,935
2020/10/11,935
2020/10/12,935
2020/10/13,935
2020/10/14,935
2020/10/15,935
2020/10/16,935
2020/10/17,935
2020/10/18,935
2020/10/19,935
2020/10/20,935
2020/10/21,935
2020/10/22,935
2020/10/23,935
2020/10/24,935
2020/10/25,935
2020/10/26,935
2020/10/27,935
2020/10/28,935
2020/10/29,935
2020/10/30,935
2020/10/31,935
2020/11/1,935
2020/11/2,935
2020/11/3,935
2020/11/4,935
2020/11/5,935
2020/11/6,935
2020/11/7,935
2020/11/8,935
2020/11/9,935
2020/11/10,935
2020/11/11,935
2020/11/12,935
2020/11/13,935
2020/11/14,935
2020/11/15,935
2020/11/16,935
2020/11/17,935
2020/11/18,935
2020/11/19,935
2020/11/20,935
2020/11/21,935
2020/11/22,935
2020/11/23,935
2020/11/24,935
2020/11/25,935
2020/11/26,935
2020/11/27,935
2020/11/28,935
2020/11/29,935
2020/11/30,935
2020/12/1,935
2020/12/2,935
2020/12/3,935
2020/12/4,935
2020/12/5,935
2020/12/6,935
2020/12/7,935
2020/12/8,935
2020/12/9,935
2020/12/10,935
2020/12/11,935
2020/12/12,935
2020/12/13,935
2020/12/14,935
2020/12/15,935
2020/12/16,935
2020/12/17,935
2020/12/18,935
2020/12/19,935
2020/12/20,935
2020/12/21,935
2020/12/22,935
2020/12/23,935
2020/12/24,935
2020/12/25,935
2020/12/26,935
2020/12/27,935
2020/12/28,935
2020/12/29,935
2020/12/30,935
2020/12/31,935
2021/1/1,935
2021/1/2,935
2021/1/3,935
2021/1/4,935
2021/1/5,935
2021/1/6,935
2021/1/7,935
2021/1/8,935
2021/1/9,935
2021/1/10,935
2021/1/11,935
2021/1/12,935
2021/1/13,935
2021/1/14,935
2021/1/15,935
2021/1/16,935
