date,cases
2020/1/22,0
2020/1/23,1
2020/1/24,3
2020/1/25,4
2020/1/26,4
2020/1/27,6
2020/1/28,8
2020/1/29,9
2020/1/30,14
2020/1/31,14
2020/2/1,17
2020/2/2,23
2020/2/3,31
2020/2/4,42
2020/2/5,54
2020/2/6,59
2020/2/7,65
2020/2/8,69
2020/2/9,78
2020/2/10,80
2020/2/11,81
2020/2/12,83
2020/2/13,84
2020/2/14,86
2020/2/15,88
2020/2/16,89
2020/2/17,89
2020/2/18,89
2020/2/19,90
2020/2/20,91
2020/2/21,91
2020/2/22,91
2020/2/23,91
2020/2/24,93
2020/2/25,93
2020/2/26,93
2020/2/27,93
2020/2/28,93
2020/2/29,93
2020/3/1,93
2020/3/2,93
2020/3/3,93
2020/3/4,93
2020/3/5,93
2020/3/6,93
2020/3/7,93
2020/3/8,93
2020/3/9,93
2020/3/10,93
2020/3/11,93
2020/3/12,93
2020/3/13,93
2020/3/14,93
2020/3/15,93
2020/3/16,93
2020/3/17,93
2020/3/18,93
2020/3/19,93
2020/3/20,93
2020/3/21,93
2020/3/22,93
2020/3/23,93
2020/3/24,93
2020/3/25,94
2020/3/26,95
2020/3/27,95
2020/3/28,97
2020/3/29,98
2020/3/30,98
2020/3/31,98
2020/4/1,98
2020/4/2,98
2020/4/3,98
2020/4/4,98
2020/4/5,98
2020/4/6,98
2020/4/7,98
2020/4/8,98
2020/4/9,98
2020/4/10,98
2020/4/11,98
2020/4/12,99
2020/4/13,100
2020/4/14,100
2020/4/15,102
2020/4/16,102
2020/4/17,102
2020/4/18,102
2020/4/19,104
2020/4/20,104
2020/4/21,106
2020/4/22,106
2020/4/23,108
2020/4/24,109
2020/4/25,109
2020/4/26,110
2020/4/27,110
2020/4/28,110
2020/4/29,111
2020/4/30,111
2020/5/1,112
2020/5/2,112
2020/5/3,112
2020/5/4,112
2020/5/5,112
2020/5/6,112
2020/5/7,113
2020/5/8,113
2020/5/9,124
2020/5/10,127
2020/5/11,127
2020/5/12,133
2020/5/13,134
2020/5/14,138
2020/5/15,140
2020/5/16,144
2020/5/17,146
2020/5/18,151
2020/5/19,151
2020/5/20,151
2020/5/21,151
2020/5/22,154
2020/5/23,155
2020/5/24,155
2020/5/25,155
2020/5/26,155
2020/5/27,155
2020/5/28,155
2020/5/29,155
2020/5/30,155
2020/5/31,155
2020/6/1,155
2020/6/2,155
2020/6/3,155
2020/6/4,155
2020/6/5,155
2020/6/6,155
2020/6/7,155
2020/6/8,155
2020/6/9,155
2020/6/10,155
2020/6/11,155
2020/6/12,155
2020/6/13,155
2020/6/14,155
2020/6/15,155
2020/6/16,155
2020/6/17,155
2020/6/18,155
2020/6/19,155
2020/6/20,155
2020/6/21,155
2020/6/22,155
2020/6/23,155
2020/6/24,155
2020/6/25,155
2020/6/26,155
2020/6/27,155
2020/6/28,155
2020/6/29,155
2020/6/30,155
2020/7/1,155
2020/7/2,155
2020/7/3,155
2020/7/4,155
2020/7/5,155
2020/7/6,155
2020/7/7,155
2020/7/8,155
2020/7/9,155
2020/7/10,155
2020/7/11,155
2020/7/12,155
2020/7/13,155
2020/7/14,155
2020/7/15,155
2020/7/16,155
2020/7/17,155
2020/7/18,155
2020/7/19,155
2020/7/20,155
2020/7/21,155
2020/7/22,155
2020/7/23,155
2020/7/24,155
2020/7/25,155
2020/7/26,157
2020/7/27,157
2020/7/28,157
2020/7/29,157
2020/7/30,157
2020/7/31,157
2020/8/1,157
2020/8/2,157
2020/8/3,157
2020/8/4,157
2020/8/5,157
2020/8/6,157
2020/8/7,157
2020/8/8,157
2020/8/9,157
2020/8/10,157
2020/8/11,157
2020/8/12,157
2020/8/13,157
2020/8/14,157
2020/8/15,157
2020/8/16,157
2020/8/17,157
2020/8/18,157
2020/8/19,157
2020/8/20,157
2020/8/21,157
2020/8/22,157
2020/8/23,157
2020/8/24,157
2020/8/25,157
2020/8/26,157
2020/8/27,157
2020/8/28,157
2020/8/29,157
2020/8/30,157
2020/8/31,157
2020/9/1,157
2020/9/2,157
2020/9/3,157
2020/9/4,157
2020/9/5,157
2020/9/6,157
2020/9/7,157
2020/9/8,157
2020/9/9,157
2020/9/10,157
2020/9/11,157
2020/9/12,157
2020/9/13,157
2020/9/14,157
2020/9/15,157
2020/9/16,157
2020/9/17,157
2020/9/18,157
2020/9/19,157
2020/9/20,157
2020/9/21,157
2020/9/22,157
2020/9/23,157
2020/9/24,157
2020/9/25,157
2020/9/26,157
2020/9/27,157
2020/9/28,157
2020/9/29,157
2020/9/30,157
2020/10/1,157
2020/10/2,157
2020/10/3,157
2020/10/4,157
2020/10/5,157
2020/10/6,157
2020/10/7,157
2020/10/8,157
2020/10/9,157
2020/10/10,157
2020/10/11,157
2020/10/12,157
2020/10/13,157
2020/10/14,157
2020/10/15,157
2020/10/16,157
2020/10/17,157
2020/10/18,157
2020/10/19,157
2020/10/20,157
2020/10/21,157
2020/10/22,157
2020/10/23,157
2020/10/24,157
2020/10/25,157
2020/10/26,157
2020/10/27,157
2020/10/28,157
2020/10/29,157
2020/10/30,157
2020/10/31,157
2020/11/1,157
2020/11/2,157
2020/11/3,157
2020/11/4,157
2020/11/5,157
2020/11/6,157
2020/11/7,157
2020/11/8,157
2020/11/9,157
2020/11/10,157
2020/11/11,157
2020/11/12,157
2020/11/13,157
2020/11/14,157
2020/11/15,157
2020/11/16,157
2020/11/17,157
2020/11/18,157
2020/11/19,157
2020/11/20,157
2020/11/21,157
2020/11/22,157
2020/11/23,157
2020/11/24,157
2020/11/25,157
2020/11/26,157
2020/11/27,157
2020/11/28,157
2020/11/29,157
2020/11/30,157
2020/12/1,157
2020/12/2,157
2020/12/3,157
2020/12/4,157
2020/12/5,157
2020/12/6,157
2020/12/7,157
2020/12/8,157
2020/12/9,157
2020/12/10,157
2020/12/11,157
2020/12/12,157
2020/12/13,157
2020/12/14,157
2020/12/15,157
2020/12/16,157
2020/12/17,157
2020/12/18,157
2020/12/19,157
2020/12/20,157
2020/12/21,157
2020/12/22,157
2020/12/23,157
2020/12/24,157
2020/12/25,157
2020/12/26,157
2020/12/27,157
2020/12/28,157
2020/12/29,157
2020/12/30,157
2020/12/31,157
2021/1/1,157
2021/1/2,157
2021/1/3,157
2021/1/4,157
2021/1/5,157
2021/1/6,157
2021/1/7,157
2021/1/8,157
2021/1/9,157
2021/1/10,157
2021/1/11,157
2021/1/12,157
2021/1/13,157
2021/1/14,157
2021/1/15,157
2021/1/16,167
2021/1/17,197
2021/1/18,240
2021/1/19,286
2021/1/20,319
2021/1/21,342
2021/1/22,351
2021/1/23,363
2021/1/24,430
2021/1/25,437
2021/1/26,451
2021/1/27,460
2021/1/28,473
2021/1/29,478
2021/1/30,541
2021/1/31,551
2021/2/1,555
2021/2/2,563
2021/2/3,571
2021/2/4,571
2021/2/5,572
2021/2/6,573
2021/2/7,573
2021/2/8,573
2021/2/9,573
2021/2/10,573
2021/2/11,573
2021/2/12,573
2021/2/13,573
2021/2/14,573
2021/2/15,573
2021/2/16,573
2021/2/17,573
2021/2/18,573
2021/2/19,573
2021/2/20,573
2021/2/21,573
2021/2/22,573
2021/2/23,573
2021/2/24,573
2021/2/25,573
2021/2/26,573
2021/2/27,573
2021/2/28,573
2021/3/1,573
2021/3/2,573
2021/3/3,573
2021/3/4,573
2021/3/5,573
2021/3/6,573
2021/3/7,573
2021/3/8,573
2021/3/9,573
2021/3/10,573
2021/3/11,573
2021/3/12,573
2021/3/13,573
2021/3/14,573
2021/3/15,573
2021/3/16,573
2021/3/17,573
2021/3/18,573
2021/3/19,573
2021/3/20,573
2021/3/21,573
2021/3/22,573
2021/3/23,573
2021/3/24,573
2021/3/25,573
2021/3/26,573
2021/3/27,573
2021/3/28,573
2021/3/29,573
2021/3/30,573
2021/3/31,573
2021/4/1,573
2021/4/2,573
2021/4/3,573
2021/4/4,573
2021/4/5,573
2021/4/6,573
2021/4/7,573
2021/4/8,573
2021/4/9,573
2021/4/10,573
2021/4/11,573
2021/4/12,573
2021/4/13,573
2021/4/14,573
2021/4/15,573
2021/4/16,573
2021/4/17,573
2021/4/18,573
2021/4/19,573
2021/4/20,573
2021/4/21,573
2021/4/22,573
2021/4/23,573
2021/4/24,573
2021/4/25,573
2021/4/26,573
2021/4/27,573
2021/4/28,573
2021/4/29,573
2021/4/30,573
2021/5/1,573
2021/5/2,573
2021/5/3,573
2021/5/4,573
2021/5/5,573
2021/5/6,573
2021/5/7,573
2021/5/8,573
2021/5/9,573
2021/5/10,573
2021/5/11,573
2021/5/12,573
2021/5/13,573
2021/5/14,573
2021/5/15,573
2021/5/16,573
2021/5/17,573
2021/5/18,573
2021/5/19,573
2021/5/20,573
2021/5/21,573
2021/5/22,573
2021/5/23,573
2021/5/24,573
2021/5/25,573
2021/5/26,573
2021/5/27,573
2021/5/28,573
2021/5/29,573
2021/5/30,573
2021/5/31,573
2021/6/1,573
2021/6/2,573
2021/6/3,573
2021/6/4,573
2021/6/5,573
2021/6/6,573
2021/6/7,573
2021/6/8,573
2021/6/9,573
2021/6/10,573
2021/6/11,573
2021/6/12,573
2021/6/13,573
2021/6/14,573
2021/6/15,573
2021/6/16,573
2021/6/17,573
2021/6/18,573
2021/6/19,573
2021/6/20,573
2021/6/21,573
2021/6/22,573
2021/6/23,573
2021/6/24,573
2021/6/25,573
2021/6/26,573
2021/6/27,573
2021/6/28,573
2021/6/29,573
2021/6/30,573
2021/7/1,573
2021/7/2,573
2021/7/3,573
2021/7/4,573
2021/7/5,573
2021/7/6,573
2021/7/7,573
2021/7/8,573
2021/7/9,573
2021/7/10,573
2021/7/11,573
2021/7/12,573
2021/7/13,573
2021/7/14,573
2021/7/15,573
2021/7/16,573
2021/7/17,573
2021/7/18,573
2021/7/19,573
2021/7/20,573
2021/7/21,573
2021/7/22,573
2021/7/23,573
2021/7/24,573
2021/7/25,573
2021/7/26,573
2021/7/27,573
2021/7/28,574
2021/7/29,574
2021/7/30,574
2021/7/31,574
2021/8/1,574
2021/8/2,574
2021/8/3,574
2021/8/4,574
2021/8/5,574
2021/8/6,574
2021/8/7,574
2021/8/8,574
2021/8/9,574
2021/8/10,574
2021/8/11,574
2021/8/12,574
2021/8/13,574
2021/8/14,574
2021/8/15,574
2021/8/16,574
2021/8/17,574
2021/8/18,574
2021/8/19,574
2021/8/20,574
2021/8/21,574
2021/8/22,574
2021/8/23,574
2021/8/24,574
2021/8/25,574
2021/8/26,574
2021/8/27,574
2021/8/28,574
2021/8/29,574
2021/8/30,574
2021/8/31,574
2021/9/1,574
2021/9/2,574
2021/9/3,574
2021/9/4,574
2021/9/5,574
2021/9/6,574
2021/9/7,574
2021/9/8,574
2021/9/9,574
2021/9/10,574
2021/9/11,574
2021/9/12,574
2021/9/13,574
2021/9/14,574
2021/9/15,574
2021/9/16,574
2021/9/17,574
2021/9/18,574
2021/9/19,574
2021/9/20,574
2021/9/21,574
2021/9/22,574
2021/9/23,574
2021/9/24,574
2021/9/25,574
2021/9/26,574
2021/9/27,574
2021/9/28,574
2021/9/29,574
