date,cases
2020/3/7,1
2020/3/8,1
2020/3/9,1
2020/3/10,1
2020/3/11,1
2020/3/12,5
2020/3/13,6
2020/3/14,8
2020/3/15,9
2020/3/16,11
2020/3/17,17
2020/3/18,22
2020/3/19,35
2020/3/20,49
2020/3/21,57
2020/3/22,66
2020/3/23,82
2020/3/24,102
2020/3/25,134
2020/3/26,173
2020/3/27,213
2020/3/28,272
2020/3/29,333
2020/3/30,374
2020/3/31,435
2020/4/1,489
2020/4/2,554
2020/4/3,625
2020/4/4,702
2020/4/5,769
2020/4/6,854
2020/4/7,905
2020/4/8,1055
2020/4/9,1116
2020/4/10,1180
2020/4/11,1282
2020/4/12,1337
2020/4/13,1384
2020/4/14,1440
2020/4/15,1503
2020/4/16,1595
2020/4/17,1732
2020/4/18,1820
2020/4/19,1897
2020/4/20,2030
2020/4/21,2114
2020/4/22,2291
2020/4/23,2626
2020/4/24,2842
2020/4/25,3091
2020/4/26,3198
2020/4/27,3407
2020/4/28,3601
2020/4/29,3811
2020/4/30,4305
2020/5/1,4510
2020/5/2,4863
2020/5/3,5177
2020/5/4,5385
2020/5/5,5627
2020/5/6,5893
2020/5/7,6240
2020/5/8,6751
2020/5/9,6923
2020/5/10,7045
2020/5/11,7161
2020/5/12,7352
2020/5/13,7552
2020/5/14,7668
2020/5/15,8006
2020/5/16,8059
2020/5/17,8066
2020/5/18,8439
2020/5/19,8488
2020/5/20,8661
2020/5/21,8771
2020/5/22,9068
2020/5/23,9119
2020/5/24,9135
2020/5/25,9272
2020/5/26,9352
2020/5/27,9453
2020/5/28,9513
2020/5/29,9826
2020/5/30,9847
2020/5/31,9878
2020/6/1,10103
2020/6/2,10143
2020/6/3,10281
2020/6/4,10332
2020/6/5,10493
2020/6/6,10517
2020/6/7,10549
2020/6/8,10724
2020/6/9,10786
2020/6/10,10931
2020/6/11,10984
2020/6/12,11152
2020/6/13,11195
2020/6/14,11247
2020/6/15,11516
2020/6/16,11569
2020/6/17,11801
2020/6/18,11886
2020/6/19,12168
2020/6/20,12218
2020/6/21,12258
2020/6/22,12576
2020/6/23,12659
2020/6/24,13110
2020/6/25,13207
2020/6/26,13729
2020/6/27,13767
2020/6/28,14016
2020/6/29,14568
2020/6/30,14629
2020/7/1,15142
2020/7/2,15226
2020/7/3,16015
2020/7/4,16165
2020/7/5,16289
2020/7/6,17082
2020/7/7,17157
2020/7/8,17807
2020/7/9,18031
2020/7/10,18799
2020/7/11,18983
2020/7/12,19295
2020/7/13,20265
2020/7/14,20347
2020/7/15,21157
2020/7/16,21273
2020/7/17,22199
2020/7/18,22238
2020/7/19,22459
2020/7/20,23544
2020/7/21,23606
2020/7/22,24376
2020/7/23,24518
2020/7/24,25403
2020/7/25,25464
2020/7/26,25649
2020/7/27,26439
2020/7/28,26494
2020/7/29,27177
2020/7/30,27244
2020/7/31,28121
2020/8/1,28147
2020/8/2,28341
2020/8/3,29200
2020/8/4,29259
2020/8/5,30047
2020/8/6,30153
2020/8/7,30966
2020/8/8,30992
2020/8/9,31145
2020/8/10,32094
2020/8/11,32181
2020/8/12,32977
2020/8/13,33087
2020/8/14,34246
2020/8/15,34294
2020/8/16,34495
2020/8/17,35544
2020/8/18,35632
2020/8/19,36333
2020/8/20,36445
2020/8/21,37411
2020/8/22,37544
2020/8/23,37726
2020/8/24,39008
2020/8/25,39089
2020/8/26,40564
2020/8/27,40702
2020/8/28,41808
2020/8/29,41909
2020/8/30,42011
2020/8/31,43407
2020/9/1,43491
2020/9/2,44529
2020/9/3,44755
2020/9/4,46049
2020/9/5,46051
2020/9/6,46151
2020/9/7,47409
2020/9/8,47878
2020/9/9,48389
2020/9/10,48443
2020/9/11,49393
2020/9/12,49398
2020/9/13,49408
2020/9/14,50871
2020/9/15,51006
2020/9/16,51829
2020/9/17,52039
2020/9/18,53403
2020/9/19,53420
2020/9/20,53433
2020/9/21,54956
2020/9/22,55237
2020/9/23,56355
2020/9/24,56461
2020/9/25,57852
2020/9/26,57852
2020/9/27,57978
2020/9/28,59793
2020/9/29,59951
2020/9/30,60957
2020/10/1,61103
2020/10/2,62424
2020/10/3,62446
2020/10/4,62479
2020/10/5,63817
2020/10/6,64077
2020/10/7,65131
2020/10/8,65296
2020/10/9,67086
2020/10/10,67193
2020/10/11,67231
2020/10/12,69158
2020/10/13,69392
2020/10/14,70665
2020/10/15,70815
2020/10/16,72509
2020/10/17,72616
2020/10/18,72722
2020/10/19,74616
2020/10/20,74883
2020/10/21,76299
2020/10/22,76546
2020/10/23,78122
2020/10/24,78177
2020/10/25,78241
2020/10/26,80473
2020/10/27,80761
2020/10/28,83485
2020/10/29,83838
2020/10/30,86768
2020/10/31,86771
2020/11/1,86809
2020/11/2,90613
2020/11/3,91072
2020/11/4,93967
2020/11/5,94427
2020/11/6,99605
2020/11/7,99671
2020/11/8,99805
2020/11/9,105298
2020/11/10,105760
2020/11/11,110977
2020/11/12,111503
2020/11/13,117282
2020/11/14,117728
2020/11/15,117851
2020/11/16,124697
2020/11/17,125668
2020/11/18,131051
2020/11/19,131408
2020/11/20,137224
2020/11/21,137295
2020/11/22,137530
2020/11/23,144831
2020/11/24,145272
2020/11/25,150515
2020/11/26,150522
2020/11/27,155245
2020/11/28,155265
2020/11/29,155377
2020/11/30,160428
2020/12/1,160718
2020/12/2,164981
2020/12/3,165613
2020/12/4,171513
2020/12/5,171626
2020/12/6,171635
2020/12/7,177389
2020/12/8,177780
2020/12/9,183404
2020/12/10,183750
2020/12/11,188610
2020/12/12,188610
2020/12/13,188660
2020/12/14,193109
2020/12/15,193555
2020/12/16,197903
2020/12/17,198189
2020/12/18,203646
2020/12/19,203650
2020/12/20,203674
2020/12/21,207933
2020/12/22,208109
2020/12/23,212871
2020/12/24,212962
2020/12/25,213076
2020/12/26,213091
2020/12/27,213173
2020/12/28,219095
2020/12/29,219415
2020/12/30,225361
2020/12/31,225455
2021/1/1,230352
2021/1/2,230352
2021/1/3,230352
2021/1/4,234390
2021/1/5,234700
2021/1/6,239988
2021/1/7,240540
2021/1/8,245415
2021/1/9,245521
2021/1/10,245529
2021/1/11,250421
2021/1/12,250646
2021/1/13,255200
2021/1/14,255393
2021/1/15,259196
2021/1/16,259226
2021/1/17,259226
2021/1/18,262519
2021/1/19,262727
2021/1/20,266251
2021/1/21,266562
2021/1/22,269611
2021/1/23,269611
2021/1/24,269611
2021/1/25,272220
2021/1/26,272303
2021/1/27,275468
2021/1/28,275585
2021/1/29,277623
2021/1/30,277623
2021/1/31,277633
2021/2/1,279587
2021/2/2,279734
2021/2/3,281866
2021/2/4,281951
2021/2/5,284554
2021/2/6,284554
2021/2/7,284560
2021/2/8,286026
2021/2/9,286066
2021/2/10,287914
2021/2/11,288003
2021/2/12,289210
2021/2/13,289210
2021/2/14,289225
2021/2/15,290510
2021/2/16,290556
2021/2/17,291868
2021/2/18,291962
2021/2/19,293869
2021/2/20,294010
2021/2/21,294010
2021/2/22,294873
2021/2/23,294885
2021/2/24,295991
2021/2/25,296047
2021/2/26,296798
2021/2/27,296798
2021/2/28,296798
2021/3/1,297436
2021/3/2,297460
2021/3/3,298178
2021/3/4,298218
2021/3/5,298897
2021/3/6,298900
2021/3/7,298900
2021/3/8,299503
2021/3/9,299523
2021/3/10,300261
2021/3/11,300302
2021/3/12,300698
2021/3/13,300702
2021/3/14,300702
2021/3/15,301134
2021/3/16,301170
2021/3/17,301763
2021/3/18,301786
2021/3/19,302223
2021/3/20,302223
2021/3/21,302223
2021/3/22,302602
2021/3/23,302665
2021/3/24,303234
2021/3/25,303267
2021/3/26,303710
2021/3/27,303710
2021/3/28,303710
2021/3/29,304143
2021/3/30,304179
2021/3/31,304657
2021/4/1,304685
2021/4/2,305137
2021/4/3,305137
2021/4/4,305137
2021/4/5,305489
2021/4/6,305508
2021/4/7,306077
2021/4/8,306099
2021/4/9,306518
2021/4/10,306518
2021/4/11,306518
2021/4/12,306998
2021/4/13,306998
2021/4/14,307622
2021/4/15,307634
2021/4/16,308124
2021/4/17,308119
2021/4/18,308119
2021/4/19,308518
2021/4/20,308488
2021/4/21,309061
2021/4/22,309069
2021/4/23,309544
2021/4/24,309544
2021/4/25,309544
2021/4/26,310013
2021/4/27,310014
2021/4/28,310641
2021/4/29,310650
2021/4/30,311213
2021/5/1,311213
2021/5/2,311218
2021/5/3,311715
2021/5/4,311718
2021/5/5,312200
2021/5/6,312206
2021/5/7,312637
2021/5/8,312637
2021/5/9,312637
2021/5/10,312985
2021/5/11,312986
2021/5/12,313384
2021/5/13,313425
2021/5/14,313776
2021/5/15,313776
2021/5/16,313776
2021/5/17,314136
2021/5/18,314146
2021/5/19,314639
2021/5/20,314668
2021/5/21,315045
2021/5/22,315046
2021/5/23,315046
2021/5/24,315298
2021/5/25,315298
2021/5/26,315642
2021/5/27,315649
2021/5/28,315860
2021/5/29,315860
2021/5/30,315860
2021/5/31,315860
2021/6/1,315863
2021/6/2,316291
2021/6/3,316287
2021/6/4,316626
2021/6/5,316626
2021/6/6,316626
2021/6/7,316840
2021/6/8,316865
2021/6/9,317153
2021/6/10,317165
2021/6/11,317387
2021/6/12,317387
2021/6/13,317387
2021/6/14,317613
2021/6/15,317644
2021/6/16,317938
2021/6/17,317950
2021/6/18,318104
2021/6/19,318104
2021/6/20,318104
2021/6/21,318248
2021/6/22,318264
2021/6/23,318583
2021/6/24,318591
2021/6/25,318833
2021/6/26,318833
2021/6/27,318833
2021/6/28,319151
2021/6/29,319160
2021/6/30,319584
2021/7/1,319626
2021/7/2,319991
2021/7/3,319991
2021/7/4,319991
2021/7/5,319991
2021/7/6,320070
2021/7/7,321000
2021/7/8,321011
2021/7/9,321812
2021/7/10,321812
2021/7/11,321812
2021/7/12,322458
2021/7/13,322505
2021/7/14,322725
2021/7/15,322773
2021/7/16,324738
2021/7/17,324738
2021/7/18,324738
2021/7/19,325544
2021/7/20,325592
2021/7/21,327081
2021/7/22,327157
2021/7/23,328593
2021/7/24,328603
2021/7/25,328603
2021/7/26,329941
2021/7/27,330018
2021/7/28,332261
2021/7/29,332294
2021/7/30,334119
2021/7/31,334159
2021/8/1,334159
2021/8/2,335840
2021/8/3,335924
2021/8/4,338568
2021/8/5,338666
2021/8/6,340741
2021/8/7,340741
2021/8/8,340741
2021/8/9,343462
2021/8/10,343491
2021/8/11,346181
2021/8/12,346220
2021/8/13,349073
2021/8/14,349073
2021/8/15,349073
2021/8/16,351444
2021/8/17,351554
2021/8/18,354518
2021/8/19,354681
2021/8/20,357195
2021/8/21,357214
2021/8/22,357266
2021/8/23,359987
2021/8/24,360088
2021/8/25,363530
2021/8/26,363685
2021/8/27,366848
2021/8/28,366848
2021/8/29,366926
2021/8/30,370060
2021/8/31,370128
2021/9/1,374314
2021/9/2,374426
2021/9/3,378244
2021/9/4,378244
2021/9/5,378244
2021/9/6,378244
2021/9/7,378482
2021/9/8,383933
2021/9/9,384034
2021/9/10,388198
2021/9/11,388198
2021/9/12,388198
2021/9/13,390982
2021/9/14,391113
2021/9/15,394776
2021/9/16,394848
2021/9/17,398054
2021/9/18,398054
2021/9/19,398054
2021/9/20,400445
2021/9/21,400540
2021/9/22,402978
2021/9/23,403026
2021/9/24,405495
2021/9/25,405513
2021/9/26,405513
2021/9/27,407436
2021/9/28,407540
2021/9/29,409937
2021/9/30,410041
2021/10/1,412319
2021/10/2,412332
2021/10/3,412332
2021/10/4,414127
2021/10/5,414129
2021/10/6,416428
2021/10/7,416545
2021/10/8,418664
2021/10/9,418664
2021/10/10,418664
2021/10/11,420286
2021/10/12,420301
2021/10/13,422261
2021/10/14,422308
2021/10/15,424086
2021/10/16,424108
2021/10/17,424108
2021/10/18,425600
2021/10/19,425861
2021/10/20,427863
2021/10/21,428023
2021/10/22,429760
2021/10/23,429760
2021/10/24,429760
2021/10/25,431258
2021/10/26,431264
2021/10/27,433794
2021/10/28,433841
2021/10/29,435701
2021/10/30,435701
2021/10/31,435701
2021/11/1,436923
2021/11/2,436931
2021/11/3,439174
2021/11/4,439267
2021/11/5,441278
2021/11/6,441278
2021/11/7,441278
2021/11/8,443100
2021/11/9,443223
2021/11/10,446005
2021/11/11,446005
2021/11/12,448688
2021/11/13,448688
2021/11/14,448688
2021/11/15,450676
2021/11/16,450846
2021/11/17,453815
2021/11/18,453975
2021/11/19,456720
2021/11/20,456759
2021/11/21,456759
2021/11/22,459139
2021/11/23,459181
2021/11/24,462152
2021/11/25,462152
2021/11/26,462152
2021/11/27,462152
2021/11/28,462152
2021/11/29,466200
2021/11/30,466340
2021/12/1,470543
2021/12/2,470706
2021/12/3,475373
2021/12/4,475373
2021/12/5,475471
2021/12/6,478694
2021/12/7,478787
2021/12/8,483217
2021/12/9,483238
2021/12/10,486980
2021/12/11,486980
2021/12/12,486980
2021/12/13,490231
2021/12/14,490333
2021/12/15,494366
2021/12/16,494555
2021/12/17,498771
2021/12/18,498771
2021/12/19,498771
2021/12/20,501332
2021/12/21,501444
2021/12/22,506474
2021/12/23,506500
2021/12/24,506519
2021/12/25,506519
2021/12/26,506519
2021/12/27,512939
2021/12/28,512964
2021/12/29,520327
2021/12/30,520500
2021/12/31,520500
2022/1/1,520500
2022/1/2,520500
2022/1/3,534978
2022/1/4,535130
2022/1/5,550127
2022/1/6,550374
2022/1/7,566401
2022/1/8,566401
2022/1/9,566401
2022/1/10,580016
2022/1/11,580720
2022/1/12,602585
2022/1/13,603054
2022/1/14,621643
2022/1/15,621643
