date,cases
2020/3/6,1
2020/3/7,1
2020/3/8,4
2020/3/9,5
2020/3/10,7
2020/3/11,7
2020/3/12,11
2020/3/13,11
2020/3/14,18
2020/3/15,21
2020/3/16,22
2020/3/17,26
2020/3/18,35
2020/3/19,47
2020/3/20,63
2020/3/21,84
2020/3/22,103
2020/3/23,124
2020/3/24,157
2020/3/25,198
2020/3/26,248
2020/3/27,302
2020/3/28,394
2020/3/29,439
2020/3/30,480
2020/3/31,590
2020/4/1,674
2020/4/2,747
2020/4/3,762
2020/4/4,909
2020/4/5,1048
2020/4/6,1057
2020/4/7,1289
2020/4/8,1393
2020/4/9,1525
2020/4/10,1702
2020/4/11,1851
2020/4/12,1963
2020/4/13,2048
2020/4/14,2210
2020/4/15,2295
2020/4/16,2429
2020/4/17,2522
2020/4/18,2707
2020/4/19,2960
2020/4/20,3050
2020/4/21,3193
2020/4/22,3373
2020/4/23,3548
2020/4/24,3779
2020/4/25,3905
2020/4/26,4074
2020/4/27,4146
2020/4/28,4375
2020/4/29,4538
2020/4/30,4708
2020/5/1,4879
2020/5/2,4881
2020/5/3,5223
2020/5/4,5370
2020/5/5,5822
2020/5/6,5946
2020/5/7,6173
2020/5/8,6298
2020/5/9,6469
2020/5/10,6486
2020/5/11,6710
2020/5/12,7003
2020/5/13,7102
2020/5/14,7397
2020/5/15,7578
2020/5/16,7773
2020/5/17,7793
2020/5/18,8041
2020/5/19,8205
2020/5/20,8336
2020/5/21,8475
2020/5/22,8688
2020/5/23,8812
2020/5/24,8842
2020/5/25,8899
2020/5/26,9175
2020/5/27,9313
2020/5/28,9510
2020/5/29,9688
2020/5/30,9887
2020/5/31,9937
2020/6/1,10150
2020/6/2,10287
2020/6/3,10485
2020/6/4,10781
2020/6/5,11051
2020/6/6,11359
2020/6/7,11393
2020/6/8,11701
2020/6/9,11891
2020/6/10,12029
2020/6/11,12128
2020/6/12,12352
2020/6/13,12605
2020/6/14,12652
2020/6/15,12863
2020/6/16,12899
2020/6/17,13190
2020/6/18,13391
2020/6/19,13629
2020/6/20,13800
2020/6/21,13919
2020/6/22,14073
2020/6/23,14323
2020/6/24,14522
2020/6/25,14793
2020/6/26,15033
2020/6/27,15337
2020/6/28,15480
2020/6/29,15657
2020/6/30,15916
2020/7/1,16114
2020/7/2,16370
2020/7/3,16655
2020/7/4,16709
2020/7/5,16712
2020/7/6,17464
2020/7/7,17820
2020/7/8,18204
2020/7/9,18576
2020/7/10,19076
2020/7/11,19530
2020/7/12,19762
2020/7/13,20127
2020/7/14,20702
2020/7/15,21148
2020/7/16,21617
2020/7/17,22162
2020/7/18,22750
2020/7/19,23600
2020/7/20,23978
2020/7/21,24638
2020/7/22,25169
2020/7/23,25828
2020/7/24,26628
2020/7/25,27395
2020/7/26,27682
2020/7/27,28250
2020/7/28,28876
2020/7/29,29479
2020/7/30,30132
2020/7/31,30981
2020/8/1,31612
2020/8/2,31966
2020/8/3,32500
2020/8/4,33209
2020/8/5,33823
2020/8/6,34435
2020/8/7,35147
2020/8/8,35986
2020/8/9,36316
2020/8/10,36739
2020/8/11,37437
2020/8/12,38546
2020/8/13,39306
2020/8/14,40012
2020/8/15,40677
2020/8/16,40883
2020/8/17,41610
2020/8/18,42270
2020/8/19,42958
2020/8/20,43700
2020/8/21,44432
2020/8/22,45225
2020/8/23,45401
2020/8/24,46057
2020/8/25,46798
2020/8/26,47542
2020/8/27,48322
2020/8/28,48937
2020/8/29,49914
2020/8/30,50170
2020/8/31,50884
2020/9/1,51762
2020/9/2,52704
2020/9/3,54067
2020/9/4,55500
2020/9/5,56016
2020/9/6,56172
2020/9/7,56545
2020/9/8,56877
2020/9/9,57518
2020/9/10,58452
2020/9/11,59349
2020/9/12,60187
2020/9/13,60607
2020/9/14,61182
2020/9/15,61986
2020/9/16,62723
2020/9/17,63412
2020/9/18,64155
2020/9/19,65068
2020/9/20,65413
2020/9/21,65905
2020/9/22,66624
2020/9/23,67590
2020/9/24,68230
2020/9/25,69150
2020/9/26,70038
2020/9/27,70385
2020/9/28,71003
2020/9/29,71921
2020/9/30,72830
2020/10/1,73619
2020/10/2,74566
2020/10/3,75576
2020/10/4,76086
2020/10/5,76787
2020/10/6,77741
2020/10/7,78669
2020/10/8,79550
2020/10/9,80633
2020/10/10,81630
2020/10/11,82358
2020/10/12,83074
2020/10/13,83967
2020/10/14,85278
2020/10/15,86410
2020/10/16,87764
2020/10/17,88823
2020/10/18,89538
2020/10/19,90443
2020/10/20,91731
2020/10/21,93110
2020/10/22,94582
2020/10/23,96043
2020/10/24,97501
2020/10/25,98730
2020/10/26,99965
2020/10/27,101700
2020/10/28,103685
2020/10/29,105517
2020/10/30,107620
2020/10/31,109244
2020/11/1,110600
2020/11/2,111816
2020/11/3,113457
2020/11/4,115426
2020/11/5,117654
2020/11/6,119952
2020/11/7,122021
2020/11/8,123195
2020/11/9,125332
2020/11/10,127472
2020/11/11,130308
2020/11/12,132686
2020/11/13,135855
2020/11/14,138854
2020/11/15,140267
2020/11/16,142277
2020/11/17,145220
2020/11/18,148069
2020/11/19,151706
2020/11/20,155625
2020/11/21,159035
2020/11/22,161222
2020/11/23,163767
2020/11/24,166478
2020/11/25,169822
2020/11/26,170081
2020/11/27,174684
2020/11/28,177453
2020/11/29,180164
2020/11/30,183255
2020/12/1,187285
2020/12/2,191067
2020/12/3,194851
2020/12/4,198506
2020/12/5,202135
2020/12/6,204772
2020/12/7,207043
2020/12/8,210232
2020/12/9,212997
2020/12/10,217112
2020/12/11,220898
2020/12/12,224155
2020/12/13,226604
2020/12/14,228668
2020/12/15,231287
2020/12/16,234207
2020/12/17,237160
2020/12/18,240345
2020/12/19,243047
2020/12/20,244784
2020/12/21,247243
2020/12/22,250089
2020/12/23,252978
2020/12/24,253437
2020/12/25,253824
2020/12/26,257453
2020/12/27,258820
2020/12/28,261009
2020/12/29,264150
2020/12/30,267990
2020/12/31,268828
2021/1/1,269470
2021/1/2,275803
2021/1/3,278478
2021/1/4,282097
2021/1/5,284545
2021/1/6,289992
2021/1/7,294951
2021/1/8,299476
2021/1/9,303769
2021/1/10,306823
2021/1/11,309414
2021/1/12,312316
2021/1/13,316673
2021/1/14,320466
2021/1/15,324505
2021/1/16,327538
2021/1/17,329816
2021/1/18,331982
2021/1/19,334347
2021/1/20,337788
2021/1/21,341343
2021/1/22,344565
2021/1/23,348040
2021/1/24,349194
2021/1/25,351462
2021/1/26,354191
2021/1/27,356837
2021/1/28,359978
2021/1/29,362123
2021/1/30,365016
2021/1/31,366857
2021/2/1,368623
2021/2/2,370943
2021/2/3,372774
2021/2/4,375851
2021/2/5,378276
2021/2/6,380166
2021/2/7,381271
2021/2/8,382743
2021/2/9,384958
2021/2/10,387043
2021/2/11,388867
2021/2/12,390634
2021/2/13,391449
2021/2/14,392990
2021/2/15,393775
2021/2/16,394829
2021/2/17,395766
2021/2/18,396800
2021/2/19,398665
2021/2/20,400011
2021/2/21,400952
2021/2/22,401579
2021/2/23,402943
2021/2/24,404242
2021/2/25,405637
2021/2/26,406795
2021/2/27,407745
2021/2/28,408392
2021/3/1,408854
2021/3/2,409843
2021/3/3,410874
2021/3/4,411928
2021/3/5,412863
2021/3/6,413684
2021/3/7,414200
2021/3/8,414550
2021/3/9,415393
2021/3/10,416402
2021/3/11,417631
2021/3/12,418540
2021/3/13,419195
2021/3/14,419578
2021/3/15,420010
2021/3/16,420889
2021/3/17,421780
2021/3/18,422546
2021/3/19,423499
2021/3/20,423989
2021/3/21,424272
2021/3/22,424716
2021/3/23,425592
2021/3/24,426210
2021/3/25,427004
2021/3/26,427650
2021/3/27,428107
2021/3/28,428419
2021/3/29,428835
2021/3/30,429501
2021/3/31,430116
2021/4/1,431160
2021/4/2,431785
2021/4/3,432287
2021/4/4,432344
2021/4/5,432851
2021/4/6,433269
2021/4/7,434238
2021/4/8,434897
2021/4/9,435601
2021/4/10,435930
2021/4/11,436395
2021/4/12,436825
2021/4/13,437685
2021/4/14,438463
2021/4/15,439200
2021/4/16,439898
2021/4/17,440422
2021/4/18,440669
2021/4/19,441014
2021/4/20,441580
2021/4/21,442294
2021/4/22,442918
2021/4/23,443504
2021/4/24,443955
2021/4/25,444211
2021/4/26,444547
2021/4/27,445266
2021/4/28,445990
2021/4/29,446773
2021/4/30,447473
2021/5/1,448026
2021/5/2,448339
2021/5/3,448728
2021/5/4,449464
2021/5/5,450190
2021/5/6,450840
2021/5/7,451453
2021/5/8,451864
2021/5/9,452059
2021/5/10,452284
2021/5/11,452902
2021/5/12,453525
2021/5/13,454028
2021/5/14,454523
2021/5/15,454940
2021/5/16,455177
2021/5/17,455442
2021/5/18,455997
2021/5/19,456510
2021/5/20,457013
2021/5/21,457466
2021/5/22,457756
2021/5/23,457993
2021/5/24,458226
2021/5/25,458683
2021/5/26,459068
2021/5/27,459425
2021/5/28,459728
2021/5/29,460029
2021/5/30,460060
2021/5/31,460060
2021/6/1,460454
2021/6/2,460741
2021/6/3,461055
2021/6/4,461450
2021/6/5,461712
2021/6/6,461712
2021/6/7,461810
2021/6/8,462341
2021/6/9,462648
2021/6/10,462901
2021/6/11,463090
2021/6/12,463294
2021/6/13,463377
2021/6/14,463531
2021/6/15,463747
2021/6/16,463895
2021/6/17,464100
2021/6/18,464264
2021/6/19,464276
2021/6/20,464291
2021/6/21,464584
2021/6/22,464743
2021/6/23,464874
2021/6/24,465024
2021/6/25,465205
2021/6/26,465205
2021/6/27,465205
2021/6/28,465460
2021/6/29,465686
2021/6/30,465942
2021/7/1,466106
2021/7/2,466278
2021/7/3,466278
2021/7/4,466278
2021/7/5,466278
2021/7/6,466718
2021/7/7,467047
2021/7/8,467339
2021/7/9,467690
2021/7/10,467690
2021/7/11,467690
2021/7/12,468427
2021/7/13,468857
2021/7/14,469487
2021/7/15,470012
2021/7/16,470538
2021/7/17,470538
2021/7/18,470538
2021/7/19,471546
2021/7/20,472535
2021/7/21,473454
2021/7/22,474359
2021/7/23,475351
2021/7/24,475351
2021/7/25,475351
2021/7/26,477571
2021/7/27,478795
2021/7/28,480455
2021/7/29,481991
2021/7/30,483606
2021/7/31,483719
2021/8/1,483719
2021/8/2,487221
2021/8/3,488907
2021/8/4,491425
2021/8/5,493755
2021/8/6,496215
2021/8/7,496329
2021/8/8,496451
2021/8/9,501509
2021/8/10,503875
2021/8/11,506902
2021/8/12,509516
2021/8/13,513402
2021/8/14,513566
2021/8/15,513698
2021/8/16,520349
2021/8/17,523490
2021/8/18,527184
2021/8/19,531954
2021/8/20,536091
2021/8/21,536120
2021/8/22,536517
2021/8/23,544574
2021/8/24,549300
2021/8/25,554381
2021/8/26,559591
2021/8/27,564438
2021/8/28,564815
2021/8/29,565401
2021/8/30,575024
2021/8/31,579693
2021/9/1,584624
2021/9/2,589756
2021/9/3,595200
2021/9/4,595779
2021/9/5,595992
2021/9/6,596598
2021/9/7,608088
2021/9/8,613121
2021/9/9,618452
2021/9/10,623804
2021/9/11,624189
2021/9/12,624189
2021/9/13,633518
2021/9/14,638168
2021/9/15,643686
2021/9/16,648617
2021/9/17,653942
2021/9/18,654377
2021/9/19,654725
2021/9/20,662963
2021/9/21,666269
2021/9/22,670790
2021/9/23,675004
2021/9/24,678902
2021/9/25,679210
2021/9/26,679411
2021/9/27,685740
2021/9/28,690107
2021/9/29,694161
2021/9/30,696861
2021/10/1,700971
2021/10/2,701264
2021/10/3,701264
2021/10/4,705806
2021/10/5,708731
2021/10/6,711453
2021/10/7,714429
2021/10/8,716455
2021/10/9,716455
2021/10/10,716455
2021/10/11,720938
2021/10/12,723149
2021/10/13,725843
2021/10/14,727912
2021/10/15,729974
2021/10/16,730153
2021/10/17,730153
2021/10/18,733111
2021/10/19,735100
2021/10/20,736974
2021/10/21,738717
2021/10/22,740285
2021/10/23,740355
2021/10/24,740355
2021/10/25,742856
2021/10/26,744278
2021/10/27,745798
2021/10/28,747417
2021/10/29,748786
2021/10/30,748882
2021/10/31,748882
2021/11/1,751089
2021/11/2,752269
2021/11/3,753847
2021/11/4,755251
2021/11/5,756576
2021/11/6,756576
2021/11/7,756576
2021/11/8,758824
2021/11/9,760539
2021/11/10,762366
2021/11/11,762429
2021/11/12,765091
2021/11/13,765280
2021/11/14,765280
2021/11/15,768091
2021/11/16,769771
2021/11/17,771874
2021/11/18,773813
2021/11/19,774770
2021/11/20,774878
2021/11/21,774878
2021/11/22,778538
2021/11/23,780477
2021/11/24,782638
2021/11/25,782745
2021/11/26,782745
2021/11/27,782745
2021/11/28,782745
2021/11/29,788249
2021/11/30,790608
2021/12/1,793923
2021/12/2,796679
2021/12/3,799509
2021/12/4,799620
2021/12/5,799620
2021/12/6,804568
2021/12/7,807316
2021/12/8,810148
2021/12/9,812786
2021/12/10,815487
2021/12/11,815487
2021/12/12,815487
2021/12/13,819788
2021/12/14,822305
2021/12/15,825222
2021/12/16,827522
2021/12/17,830282
2021/12/18,830282
2021/12/19,830282
2021/12/20,835531
2021/12/21,838129
2021/12/22,841006
2021/12/23,841060
2021/12/24,841060
2021/12/25,841343
2021/12/26,841727
2021/12/27,850549
2021/12/28,855418
2021/12/29,861068
2021/12/30,862263
2021/12/31,864599
2022/1/1,866041
2022/1/2,866894
2022/1/3,885062
2022/1/4,891654
2022/1/5,901534
2022/1/6,913003
2022/1/7,922708
2022/1/8,925307
2022/1/9,927231
2022/1/10,941397
2022/1/11,950389
2022/1/12,961883
2022/1/13,971837
2022/1/14,984233
2022/1/15,985252
2022/1/16,990378
2022/1/17,992243
2022/1/18,1025593
2022/1/19,1038614
2022/1/20,1051719
2022/1/21,1067360
2022/1/22,1070343
2022/1/23,1071699
2022/1/24,1096736
2022/1/25,1110029
2022/1/26,1124483
2022/1/27,1137611
2022/1/28,1152288
2022/1/29,1154036
2022/1/30,1155055
2022/1/31,1172511
2022/2/1,1179699
2022/2/2,1188934
2022/2/3,1197175
2022/2/4,1204104
2022/2/5,1204762
2022/2/6,1205118
2022/2/7,1212237
2022/2/8,1218456
2022/2/9,1224302
2022/2/10,1230196
2022/2/11,1234992
2022/2/12,1235509
2022/2/13,1236374
2022/2/14,1250641
2022/2/15,1254560
2022/2/16,1260014
2022/2/17,1264778
2022/2/18,1269321
2022/2/19,1270477
2022/2/20,1270713
2022/2/21,1275660
2022/2/22,1278796
2022/2/23,1281460
2022/2/24,1281954
2022/2/25,1285192
2022/2/26,1285423
2022/2/27,1285538
2022/2/28,1288028
2022/3/1,1290555
2022/3/2,1292722
2022/3/3,1294942
2022/3/4,1296960
2022/3/5,1297193
2022/3/6,1297318
2022/3/7,1299116
2022/3/8,1299443
2022/3/9,1299733
2022/3/10,1300073
2022/3/11,1300413
2022/3/12,1300545
2022/3/13,1300607
2022/3/14,1308354
2022/3/15,1308560
2022/3/16,1309022
2022/3/17,1309941
2022/3/18,1310426
2022/3/19,1310496
2022/3/20,1310548
2022/3/21,1316644
2022/3/22,1316722
2022/3/23,1316778
2022/3/24,1316864
2022/3/25,1317366
2022/3/26,1317400
2022/3/27,1317446
2022/3/28,1322261
2022/3/29,1322323
2022/3/30,1322384
2022/3/31,1322449
2022/4/1,1322770
2022/4/2,1322805
2022/4/3,1322860
2022/4/4,1326159
2022/4/5,1326185
2022/4/6,1326271
2022/4/7,1326304
2022/4/8,1326505
2022/4/9,1326623
2022/4/10,1326658
2022/4/11,1329255
2022/4/12,1329383
2022/4/13,1329496
2022/4/14,1329565
2022/4/15,1329751
2022/4/16,1329879
2022/4/17,1329957
2022/4/18,1332709
2022/4/19,1332829
2022/4/20,1332898
2022/4/21,1332958
