date,cases
2020/1/22,2
2020/1/23,3
2020/1/24,4
2020/1/25,17
2020/1/26,21
2020/1/27,27
2020/1/28,34
2020/1/29,39
2020/1/30,41
2020/1/31,48
2020/2/1,64
2020/2/2,70
2020/2/3,74
2020/2/4,81
2020/2/5,89
2020/2/6,94
2020/2/7,99
2020/2/8,105
2020/2/9,107
2020/2/10,108
2020/2/11,111
2020/2/12,116
2020/2/13,117
2020/2/14,119
2020/2/15,119
2020/2/16,121
2020/2/17,121
2020/2/18,121
2020/2/19,121
2020/2/20,121
2020/2/21,121
2020/2/22,121
2020/2/23,121
2020/2/24,121
2020/2/25,121
2020/2/26,121
2020/2/27,121
2020/2/28,121
2020/2/29,121
2020/3/1,122
2020/3/2,122
2020/3/3,125
2020/3/4,125
2020/3/5,125
2020/3/6,125
2020/3/7,125
2020/3/8,125
2020/3/9,125
2020/3/10,125
2020/3/11,125
2020/3/12,125
2020/3/13,125
2020/3/14,125
2020/3/15,125
2020/3/16,125
2020/3/17,125
2020/3/18,125
2020/3/19,125
2020/3/20,126
2020/3/21,126
2020/3/22,127
2020/3/23,127
2020/3/24,127
2020/3/25,127
2020/3/26,128
2020/3/27,128
2020/3/28,132
2020/3/29,134
2020/3/30,136
2020/3/31,139
2020/4/1,140
2020/4/2,141
2020/4/3,141
2020/4/4,141
2020/4/5,142
2020/4/6,142
2020/4/7,144
2020/4/8,144
2020/4/9,144
2020/4/10,144
2020/4/11,145
2020/4/12,145
2020/4/13,145
2020/4/14,145
2020/4/15,145
2020/4/16,145
2020/4/17,146
2020/4/18,146
2020/4/19,146
2020/4/20,146
2020/4/21,146
2020/4/22,146
2020/4/23,146
2020/4/24,146
2020/4/25,146
2020/4/26,146
2020/4/27,146
2020/4/28,146
2020/4/29,146
2020/4/30,146
2020/5/1,146
2020/5/2,146
2020/5/3,146
2020/5/4,146
2020/5/5,146
2020/5/6,146
2020/5/7,146
2020/5/8,146
2020/5/9,146
2020/5/10,147
2020/5/11,147
2020/5/12,147
2020/5/13,149
2020/5/14,149
2020/5/15,149
2020/5/16,149
2020/5/17,149
2020/5/18,149
2020/5/19,149
2020/5/20,149
2020/5/21,149
2020/5/22,149
2020/5/23,149
2020/5/24,149
2020/5/25,149
2020/5/26,149
2020/5/27,149
2020/5/28,149
2020/5/29,149
2020/5/30,149
2020/5/31,149
2020/6/1,149
2020/6/2,149
2020/6/3,149
2020/6/4,149
2020/6/5,149
2020/6/6,149
2020/6/7,149
2020/6/8,149
2020/6/9,149
2020/6/10,149
2020/6/11,149
2020/6/12,149
2020/6/13,151
2020/6/14,151
2020/6/15,152
2020/6/16,152
2020/6/17,152
2020/6/18,153
2020/6/19,153
2020/6/20,153
2020/6/21,154
2020/6/22,154
2020/6/23,154
2020/6/24,154
2020/6/25,154
2020/6/26,154
2020/6/27,154
2020/6/28,155
2020/6/29,155
2020/6/30,155
2020/7/1,155
2020/7/2,156
2020/7/3,156
2020/7/4,156
2020/7/5,157
2020/7/6,157
2020/7/7,159
2020/7/8,162
2020/7/9,162
2020/7/10,162
2020/7/11,164
2020/7/12,164
2020/7/13,164
2020/7/14,164
2020/7/15,164
2020/7/16,164
2020/7/17,164
2020/7/18,164
2020/7/19,164
