date,cases
2020/3/9,1
2020/3/10,6
2020/3/11,13
2020/3/12,14
2020/3/13,36
2020/3/14,77
2020/3/15,103
2020/3/16,137
2020/3/17,196
2020/3/18,280
2020/3/19,392
2020/3/20,537
2020/3/21,763
2020/3/22,837
2020/3/23,1172
2020/3/24,1388
2020/3/25,1795
2020/3/26,2305
2020/3/27,2746
2020/3/28,3315
2020/3/29,3539
2020/3/30,4024
2020/3/31,5237
2020/4/1,6424
2020/4/2,9152
2020/4/3,10299
2020/4/4,12500
2020/4/5,13014
2020/4/6,14867
2020/4/7,16284
2020/4/8,17030
2020/4/9,18283
2020/4/10,19253
2020/4/11,20014
2020/4/12,20595
2020/4/13,21016
2020/4/14,21518
2020/4/15,21951
2020/4/16,22532
2020/4/17,23118
2020/4/18,23580
2020/4/19,23928
2020/4/20,24523
2020/4/21,24854
2020/4/22,25317
2020/4/23,25798
2020/4/24,26199
2020/4/25,26571
2020/4/26,26832
2020/4/27,27111
2020/4/28,27329
2020/4/29,27703
2020/4/30,28044
2020/5/1,28754
2020/5/2,29183
2020/5/3,29383
2020/5/4,29746
2020/5/5,30069
2020/5/6,30472
2020/5/7,30725
2020/5/8,30928
2020/5/9,31490
2020/5/10,31673
2020/5/11,31881
2020/5/12,32116
2020/5/13,32728
2020/5/14,33555
2020/5/15,33903
2020/5/16,34183
2020/5/17,34498
2020/5/18,34832
2020/5/19,35161
2020/5/20,35439
2020/5/21,36627
2020/5/22,37048
2020/5/23,37165
2020/5/24,37293
2020/5/25,37916
2020/5/26,38252
2020/5/27,38694
2020/5/28,38907
2020/5/29,38907
2020/5/30,39682
2020/5/31,40021
2020/6/1,40452
2020/6/2,40857
2020/6/3,41244
2020/6/4,41673
2020/6/5,42100
2020/6/6,42597
2020/6/7,42927
2020/6/8,43163
2020/6/9,43725
2020/6/10,44143
2020/6/11,44585
2020/6/12,45108
2020/6/13,46396
2020/6/14,46732
2020/6/15,47284
2020/6/16,47818
2020/6/17,48746
2020/6/18,49506
2020/6/19,48627
2020/6/20,49497
2020/6/21,49890
2020/6/22,50352
2020/6/23,51708
2020/6/24,52590
2020/6/25,53528
2020/6/26,54882
2020/6/27,54882
2020/6/28,56349
2020/6/29,57189
2020/6/30,58203
2020/7/1,60286
2020/7/2,61669
2020/7/3,63397
2020/7/4,63397
2020/7/5,65334
2020/7/6,66435
2020/7/7,68371
2020/7/8,70259
2020/7/9,72102
2020/7/10,74744
2020/7/11,76911
2020/7/12,78230
2020/7/13,79935
2020/7/14,82150
2020/7/15,84241
2020/7/16,86521
2020/7/17,88700
2020/7/18,88700
2020/7/19,91816
2020/7/20,95002
2020/7/21,96693
2020/7/22,99466
2020/7/23,101762
2020/7/24,103846
2020/7/25,103846
2020/7/26,107686
2020/7/27,110029
2020/7/28,111150
2020/7/29,112887
2020/7/30,114595
2020/7/31,116394
2020/8/1,116394
2020/8/2,119861
2020/8/3,120960
2020/8/4,124575
2020/8/5,126061
2020/8/6,127364
2020/8/7,128864
2020/8/8,128864
2020/8/9,131517
2020/8/10,132079
2020/8/11,133243
2020/8/12,134427
2020/8/13,135562
2020/8/14,136860
2020/8/15,136860
2020/8/16,138041
2020/8/17,138608
2020/8/18,139248
2020/8/19,140044
2020/8/20,140962
2020/8/21,141861
2020/8/22,141861
2020/8/23,143084
2020/8/24,143707
2020/8/25,144257
2020/8/26,145661
2020/8/27,146338
2020/8/28,146944
2020/8/29,146944
2020/8/30,148568
2020/8/31,148894
2020/9/1,149583
2020/9/2,150734
2020/9/3,151547
2020/9/4,152369
2020/9/5,152369
2020/9/6,153764
2020/9/7,154073
2020/9/8,154329
2020/9/9,155890
2020/9/10,156354
2020/9/11,157109
2020/9/12,157109
2020/9/13,158390
2020/9/14,158882
2020/9/15,159253
2020/9/16,159865
2020/9/17,160343
2020/9/18,161322
2020/9/19,161322
2020/9/20,162258
2020/9/21,162501
2020/9/22,163253
2020/9/23,163869
2020/9/24,164446
2020/9/25,165152
2020/9/26,165152
2020/9/27,166075
2020/9/28,166315
2020/9/29,166848
2020/9/30,167458
2020/10/1,168009
2020/10/2,168826
2020/10/3,168826
2020/10/4,169719
2020/10/5,169937
2020/10/6,170469
2020/10/7,172625
2020/10/8,173149
2020/10/9,173406
2020/10/10,173406
2020/10/11,174587
2020/10/12,174647
2020/10/13,175329
2020/10/14,176209
2020/10/15,176952
2020/10/16,177726
2020/10/17,177726
2020/10/18,178869
2020/10/19,179070
2020/10/20,179769
2020/10/21,181132
2020/10/22,181904
2020/10/23,182603
2020/10/24,182603
2020/10/25,183575
2020/10/26,183802
2020/10/27,184724
2020/10/28,185822
2020/10/29,186216
2020/10/30,186649
2020/10/31,186649
2020/11/1,187720
2020/11/2,187995
2020/11/3,189148
2020/11/4,190164
2020/11/5,190845
2020/11/6,191715
2020/11/7,191715
2020/11/8,192981
2020/11/9,193372
2020/11/10,194702
2020/11/11,194702
2020/11/12,198531
2020/11/13,201981
2020/11/14,201981
2020/11/15,204513
2020/11/16,205059
2020/11/17,207685
2020/11/18,209914
2020/11/19,211966
2020/11/20,216709
2020/11/21,216709
2020/11/22,220192
2020/11/23,221160
2020/11/24,224403
2020/11/25,225638
2020/11/26,225638
2020/11/27,230602
2020/11/28,230602
2020/11/29,232245
2020/11/30,232414
2020/12/1,237740
2020/12/2,241335
2020/12/3,244078
2020/12/4,247177
2020/12/5,247177
2020/12/6,251123
2020/12/7,252136
2020/12/8,254562
2020/12/9,258914
2020/12/10,261329
2020/12/11,264191
2020/12/12,264191
2020/12/13,268613
2020/12/14,269643
2020/12/15,272276
2020/12/16,275545
2020/12/17,279321
2020/12/18,282434
2020/12/19,282434
2020/12/20,286145
2020/12/21,287261
2020/12/22,290960
2020/12/23,293934
2020/12/24,296499
2020/12/25,296499
2020/12/26,296499
2020/12/27,299722
2020/12/28,300539
2020/12/29,304485
2020/12/30,311229
2020/12/31,315275
2021/1/1,315275
2021/1/2,315275
2021/1/3,321058
2021/1/4,322181
2021/1/5,326648
2021/1/6,333524
2021/1/7,338054
2021/1/8,341431
2021/1/9,341431
2021/1/10,346829
2021/1/11,348234
2021/1/12,352939
2021/1/13,355835
2021/1/14,361148
2021/1/15,364853
2021/1/16,364853
2021/1/17,368980
2021/1/18,369951
2021/1/19,372089
2021/1/20,374582
2021/1/21,378318
2021/1/22,380255
2021/1/23,380255
2021/1/24,383862
2021/1/25,385942
2021/1/26,388562
2021/1/27,392416
2021/1/28,394909
2021/1/29,397276
2021/1/30,397276
2021/1/31,400626
2021/2/1,401591
2021/2/2,404194
2021/2/3,406235
2021/2/4,408995
2021/2/5,409861
2021/2/6,409861
2021/2/7,411812
2021/2/8,412989
2021/2/9,414354
2021/2/10,414687
2021/2/11,417415
2021/2/12,418585
2021/2/13,418585
2021/2/14,419891
2021/2/15,420394
2021/2/16,420394
2021/2/17,421018
2021/2/18,421846
2021/2/19,422287
2021/2/20,422287
2021/2/21,424176
2021/2/22,424644
2021/2/23,426048
2021/2/24,426925
2021/2/25,427689
2021/2/26,428592
2021/2/27,428592
2021/2/28,430100
2021/3/1,430504
2021/3/2,431271
2021/3/3,431771
2021/3/4,432527
2021/3/5,433045
2021/3/6,433045
2021/3/7,433785
2021/3/8,434289
2021/3/9,434926
2021/3/10,435514
2021/3/11,435935
2021/3/12,436482
2021/3/13,436482
2021/3/14,437393
2021/3/15,437565
2021/3/16,438557
2021/3/17,439002
2021/3/18,439543
2021/3/19,439737
2021/3/20,439737
2021/3/21,439737
2021/3/22,441066
2021/3/23,441771
2021/3/24,442221
2021/3/25,442620
2021/3/26,443069
2021/3/27,443069
2021/3/28,443069
2021/3/29,443905
2021/3/30,444414
2021/3/31,444933
2021/4/1,445469
2021/4/2,445469
2021/4/3,445469
2021/4/4,445469
2021/4/5,446737
2021/4/6,446955
2021/4/7,447655
2021/4/8,448104
2021/4/9,448838
2021/4/10,448838
2021/4/11,448838
2021/4/12,449827
2021/4/13,450279
2021/4/14,450673
2021/4/15,451476
2021/4/16,451955
2021/4/17,451955
2021/4/18,451955
2021/4/19,453351
2021/4/20,453711
2021/4/21,454377
2021/4/22,455000
2021/4/23,455541
2021/4/24,455541
2021/4/25,455541
2021/4/26,456432
2021/4/27,456884
2021/4/28,457326
2021/4/29,457896
2021/4/30,458581
2021/5/1,458581
2021/5/2,458581
2021/5/3,459340
2021/5/4,460337
2021/5/5,460803
2021/5/6,461210
2021/5/7,461773
2021/5/8,461773
2021/5/9,461773
2021/5/10,462868
2021/5/11,463517
2021/5/12,463997
2021/5/13,464412
2021/5/14,464833
2021/5/15,464833
2021/5/16,464833
2021/5/17,465946
2021/5/18,466440
2021/5/19,467055
2021/5/20,467475
2021/5/21,467815
2021/5/22,467815
2021/5/23,467815
2021/5/24,468402
2021/5/25,469445
2021/5/26,469864
2021/5/27,470331
2021/5/28,470685
2021/5/29,470685
2021/5/30,470685
2021/5/31,470685
2021/6/1,471663
2021/6/2,472304
2021/6/3,472617
2021/6/4,472981
2021/6/5,472981
2021/6/6,472981
2021/6/7,473777
2021/6/8,473879
2021/6/9,474653
2021/6/10,475126
2021/6/11,475354
2021/6/12,475354
2021/6/13,475354
2021/6/14,475908
2021/6/15,476467
2021/6/16,476792
2021/6/17,477127
2021/6/18,477453
2021/6/19,477453
2021/6/20,477453
2021/6/21,478139
2021/6/22,478464
2021/6/23,478946
2021/6/24,479311
2021/6/25,479521
2021/6/26,479521
2021/6/27,479521
2021/6/28,480463
