date,cases
2020/1/22,1
2020/1/23,2
2020/1/24,2
2020/1/25,2
2020/1/26,5
2020/1/27,6
2020/1/28,7
2020/1/29,7
2020/1/30,7
2020/1/31,7
2020/2/1,7
2020/2/2,8
2020/2/3,8
2020/2/4,10
2020/2/5,10
2020/2/6,10
2020/2/7,10
2020/2/8,10
2020/2/9,10
2020/2/10,10
2020/2/11,10
2020/2/12,10
2020/2/13,10
2020/2/14,10
2020/2/15,10
2020/2/16,10
2020/2/17,10
2020/2/18,10
2020/2/19,10
2020/2/20,10
2020/2/21,10
2020/2/22,10
2020/2/23,10
2020/2/24,10
2020/2/25,10
2020/2/26,10
2020/2/27,10
2020/2/28,10
2020/2/29,10
2020/3/1,10
2020/3/2,10
2020/3/3,10
2020/3/4,10
2020/3/5,10
2020/3/6,10
2020/3/7,10
2020/3/8,10
2020/3/9,10
2020/3/10,10
2020/3/11,10
2020/3/12,10
2020/3/13,10
2020/3/14,10
2020/3/15,10
2020/3/16,11
2020/3/17,12
2020/3/18,15
2020/3/19,17
2020/3/20,17
2020/3/21,18
2020/3/22,24
2020/3/23,24
2020/3/24,25
2020/3/25,30
2020/3/26,31
2020/3/27,33
2020/3/28,37
2020/3/29,37
2020/3/30,38
2020/3/31,41
2020/4/1,41
2020/4/2,41
2020/4/3,43
2020/4/4,43
2020/4/5,44
2020/4/6,44
2020/4/7,44
2020/4/8,45
2020/4/9,45
2020/4/10,45
2020/4/11,45
2020/4/12,45
2020/4/13,45
2020/4/14,45
2020/4/15,45
2020/4/16,45
2020/4/17,45
2020/4/18,45
2020/4/19,45
2020/4/20,45
2020/4/21,45
2020/4/22,45
2020/4/23,45
2020/4/24,45
2020/4/25,45
2020/4/26,45
2020/4/27,45
2020/4/28,45
2020/4/29,45
2020/4/30,45
2020/5/1,45
2020/5/2,45
2020/5/3,45
2020/5/4,45
2020/5/5,45
2020/5/6,45
2020/5/7,45
2020/5/8,45
2020/5/9,45
2020/5/10,45
2020/5/11,45
2020/5/12,45
2020/5/13,45
2020/5/14,45
2020/5/15,45
2020/5/16,45
2020/5/17,45
2020/5/18,45
2020/5/19,45
2020/5/20,45
2020/5/21,45
2020/5/22,45
2020/5/23,45
2020/5/24,45
2020/5/25,45
2020/5/26,45
2020/5/27,45
2020/5/28,45
2020/5/29,45
2020/5/30,45
2020/5/31,45
2020/6/1,45
2020/6/2,45
2020/6/3,45
2020/6/4,45
2020/6/5,45
2020/6/6,45
