date,cases
2020/3/12,1
2020/3/13,2
2020/3/14,3
2020/3/15,12
2020/3/16,17
2020/3/17,32
2020/3/18,43
2020/3/19,52
2020/3/20,57
2020/3/21,70
2020/3/22,89
2020/3/23,107
2020/3/24,118
2020/3/25,142
2020/3/26,155
2020/3/27,168
2020/3/28,211
2020/3/29,253
2020/3/30,275
2020/3/31,303
2020/4/1,344
2020/4/2,376
2020/4/3,432
2020/4/4,456
2020/4/5,470
2020/4/6,499
2020/4/7,519
2020/4/8,537
2020/4/9,560
2020/4/10,586
2020/4/11,616
2020/4/12,633
2020/4/13,698
2020/4/14,734
2020/4/15,770
2020/4/16,796
2020/4/17,827
2020/4/18,847
2020/4/19,867
2020/4/20,875
2020/4/21,888
2020/4/22,907
2020/4/23,937
2020/4/24,965
2020/4/25,990
2020/4/26,1015
2020/4/27,1023
2020/4/28,1040
2020/4/29,1056
2020/4/30,1095
2020/5/1,1123
2020/5/2,1152
2020/5/3,1185
2020/5/4,1205
2020/5/5,1226
2020/5/6,1254
2020/5/7,1330
2020/5/8,1374
2020/5/9,1408
2020/5/10,1436
2020/5/11,1462
2020/5/12,1477
2020/5/13,1515
2020/5/14,1565
2020/5/15,1603
2020/5/16,1648
2020/5/17,1687
2020/5/18,1713
2020/5/19,1741
2020/5/20,1819
2020/5/21,1877
2020/5/22,1948
2020/5/23,2013
2020/5/24,2055
2020/5/25,2074
2020/5/26,2109
2020/5/27,2137
2020/5/28,2189
2020/5/29,2226
2020/5/30,2282
2020/5/31,2325
2020/6/1,2349
2020/6/2,2377
2020/6/3,2418
2020/6/4,2446
2020/6/5,2482
2020/6/6,2524
2020/6/7,2570
2020/6/8,2588
2020/6/9,2606
2020/6/10,2637
2020/6/11,2667
2020/6/12,2721
2020/6/13,2757
2020/6/14,2793
2020/6/15,2810
2020/6/16,2819
2020/6/17,2836
2020/6/18,2878
2020/6/19,2913
2020/6/20,2938
2020/6/21,2957
2020/6/22,2971
2020/6/23,2994
2020/6/24,3017
2020/6/25,3070
2020/6/26,3102
2020/6/27,3154
2020/6/28,3191
2020/6/29,3219
2020/6/30,3253
2020/7/1,3294
2020/7/2,3328
2020/7/3,3373
2020/7/4,3397
2020/7/5,3415
2020/7/6,3423
2020/7/7,3440
2020/7/8,3460
2020/7/9,3486
2020/7/10,3499
2020/7/11,3520
2020/7/12,3539
2020/7/13,3558
2020/7/14,3566
2020/7/15,3578
2020/7/16,3598
2020/7/17,3636
2020/7/18,3646
2020/7/19,3687
2020/7/20,3711
2020/7/21,3723
2020/7/22,3723
2020/7/23,3737
2020/7/24,3757
2020/7/25,3790
2020/7/26,3814
2020/7/27,3832
2020/7/28,3838
2020/7/29,3866
2020/7/30,3888
2020/7/31,3912
2020/8/1,3937
2020/8/2,3958
2020/8/3,3970
2020/8/4,3975
2020/8/5,3992
2020/8/6,3997
2020/8/7,4014
2020/8/8,4026
2020/8/9,4042
2020/8/10,4049
2020/8/11,4050
2020/8/12,4070
2020/8/13,4089
2020/8/14,4115
2020/8/15,4144
2020/8/16,4168
2020/8/17,4197
2020/8/18,4213
2020/8/19,4234
2020/8/20,4252
2020/8/21,4285
2020/8/22,4317
2020/8/23,4335
2020/8/24,4356
2020/8/25,4368
2020/8/26,4389
2020/8/27,4414
2020/8/28,4436
2020/8/29,4489
2020/8/30,4512
2020/8/31,4526
2020/9/1,4548
2020/9/2,4567
2020/9/3,4617
2020/9/4,4632
2020/9/5,4667
2020/9/6,4682
2020/9/7,4701
2020/9/8,4713
2020/9/9,4734
2020/9/10,4760
2020/9/11,4792
2020/9/12,4834
2020/9/13,4863
2020/9/14,4903
2020/9/15,4918
2020/9/16,4941
2020/9/17,4962
2020/9/18,5005
2020/9/19,5035
2020/9/20,5079
2020/9/21,5106
2020/9/22,5146
2020/9/23,5171
2020/9/24,5215
2020/9/25,5235
2020/9/26,5260
2020/9/27,5288
2020/9/28,5300
2020/9/29,5337
2020/9/30,5391
2020/10/1,5431
2020/10/2,5468
2020/10/3,5486
2020/10/4,5519
2020/10/5,5545
2020/10/6,5565
2020/10/7,5604
2020/10/8,5639
2020/10/9,5666
2020/10/10,5696
2020/10/11,5723
2020/10/12,5752
2020/10/13,5780
2020/10/14,5816
2020/10/15,5836
2020/10/16,5865
2020/10/17,5913
2020/10/18,5939
2020/10/19,5962
2020/10/20,5989
2020/10/21,6027
2020/10/22,6064
2020/10/23,6095
2020/10/24,6137
2020/10/25,6201
2020/10/26,6254
2020/10/27,6311
2020/10/28,6387
2020/10/29,6467
2020/10/30,6570
2020/10/31,6668
2020/11/1,6715
2020/11/2,6799
2020/11/3,6926
2020/11/4,7077
2020/11/5,7260
2020/11/6,7444
2020/11/7,7603
2020/11/8,7693
2020/11/9,7888
2020/11/10,8060
2020/11/11,8202
2020/11/12,8395
2020/11/13,8639
2020/11/14,8791
2020/11/15,8944
2020/11/16,9117
2020/11/17,9363
2020/11/18,9519
2020/11/19,9734
2020/11/20,9958
2020/11/21,10123
2020/11/22,10359
2020/11/23,10544
2020/11/24,10799
2020/11/25,11027
2020/11/26,11265
2020/11/27,11265
2020/11/28,11288
2020/11/29,11508
2020/11/30,11757
2020/12/1,11976
2020/12/2,12208
2020/12/3,12554
2020/12/4,12844
2020/12/5,13127
2020/12/6,13348
2020/12/7,13775
2020/12/8,14049
2020/12/9,14454
2020/12/10,14861
2020/12/11,15206
2020/12/12,15620
2020/12/13,15923
2020/12/14,16349
2020/12/15,16760
2020/12/16,17311
2020/12/17,17901
2020/12/18,18337
2020/12/19,18739
2020/12/20,18946
2020/12/21,19285
2020/12/22,19743
2020/12/23,20491
2020/12/24,21226
2020/12/25,21547
2020/12/26,21547
2020/12/27,21880
2020/12/28,22319
2020/12/29,22909
2020/12/30,23499
2020/12/31,24201
2021/1/1,24201
2021/1/2,25245
2021/1/3,25592
2021/1/4,25968
2021/1/5,26565
2021/1/6,27090
2021/1/7,27625
2021/1/8,28407
2021/1/9,29019
2021/1/10,29298
2021/1/11,29611
2021/1/12,30326
2021/1/13,31150
2021/1/14,31958
2021/1/15,32781
2021/1/16,33219
2021/1/17,33559
2021/1/18,33876
2021/1/19,34262
2021/1/20,34963
2021/1/21,35638
2021/1/22,36274
2021/1/23,36598
2021/1/24,36598
2021/1/25,37046
2021/1/26,37708
2021/1/27,38170
2021/1/28,38454
2021/1/29,38813
2021/1/30,39168
2021/1/31,39324
2021/2/1,39543
2021/2/2,39960
2021/2/3,40233
2021/2/4,40534
2021/2/5,40799
2021/2/6,41064
2021/2/7,41218
2021/2/8,41419
2021/2/9,41630
2021/2/10,41883
2021/2/11,42058
2021/2/12,42259
2021/2/13,42419
2021/2/14,42529
2021/2/15,42677
2021/2/16,42768
2021/2/17,42872
2021/2/18,43090
2021/2/19,43224
2021/2/20,43367
2021/2/21,43497
2021/2/22,43594
2021/2/23,43736
2021/2/24,43900
2021/2/25,44117
2021/2/26,44295
2021/2/27,44492
2021/2/28,44634
2021/3/1,44762
2021/3/2,44944
2021/3/3,45091
2021/3/4,45227
2021/3/5,45452
2021/3/6,45635
2021/3/7,45794
2021/3/8,45926
2021/3/9,46059
2021/3/10,46254
2021/3/11,46441
2021/3/12,46650
2021/3/13,46856
2021/3/14,47025
2021/3/15,47199
2021/3/16,47388
2021/3/17,47591
2021/3/18,47832
2021/3/19,48070
2021/3/20,48292
2021/3/21,48464
2021/3/22,48642
2021/3/23,48773
2021/3/24,48972
2021/3/25,49190
2021/3/26,49443
2021/3/27,49653
2021/3/28,49850
2021/3/29,50030
2021/3/30,50253
2021/3/31,50504
2021/4/1,50788
2021/4/2,51189
2021/4/3,51468
2021/4/4,51763
2021/4/5,51986
2021/4/6,52276
2021/4/7,52677
2021/4/8,52996
2021/4/9,53434
2021/4/10,53745
2021/4/11,53960
2021/4/12,54256
2021/4/13,54827
2021/4/14,55374
2021/4/15,55953
2021/4/16,56525
2021/4/17,56939
2021/4/18,57285
2021/4/19,57545
2021/4/20,57965
2021/4/21,58465
2021/4/22,58868
2021/4/23,59239
2021/4/24,59612
2021/4/25,59776
2021/4/26,60005
2021/4/27,60430
2021/4/28,60691
2021/4/29,60945
2021/4/30,61213
2021/5/1,61616
2021/5/2,61847
2021/5/3,62092
2021/5/4,62509
2021/5/5,62857
2021/5/6,63175
2021/5/7,63463
2021/5/8,63750
2021/5/9,63994
2021/5/10,64208
2021/5/11,64446
2021/5/12,64748
2021/5/13,65043
2021/5/14,65348
2021/5/15,65523
2021/5/16,65715
2021/5/17,65914
2021/5/18,66113
2021/5/19,66315
2021/5/20,66534
2021/5/21,66704
2021/5/22,66863
2021/5/23,66979
2021/5/24,67071
2021/5/25,67132
2021/5/26,67294
2021/5/27,67416
2021/5/28,67544
2021/5/29,67651
2021/5/30,67738
2021/5/31,67780
2021/6/1,67819
2021/6/2,67880
2021/6/3,67986
2021/6/4,68057
2021/6/5,68154
2021/6/6,68232
2021/6/7,68262
2021/6/8,68331
2021/6/9,68384
2021/6/10,68449
2021/6/11,68487
2021/6/12,68540
2021/6/13,68590
2021/6/14,68603
2021/6/15,68632
2021/6/16,68683
2021/6/17,68717
2021/6/18,68753
2021/6/19,68794
2021/6/20,68826
2021/6/21,68844
2021/6/22,68864
2021/6/23,68877
2021/6/24,68889
2021/6/25,68924
2021/6/26,68963
2021/6/27,68976
2021/6/28,68989
2021/6/29,69021
2021/6/30,69033
2021/7/1,69054
2021/7/2,69069
2021/7/3,69099
2021/7/4,69118
2021/7/5,69118
2021/7/6,69118
2021/7/7,69156
2021/7/8,69192
2021/7/9,69201
2021/7/10,69219
2021/7/11,69219
2021/7/12,69219
2021/7/13,69284
2021/7/14,69324
2021/7/15,69373
2021/7/16,69418
2021/7/17,69474
2021/7/18,69474
2021/7/19,69474
2021/7/20,69627
2021/7/21,69674
2021/7/22,69780
2021/7/23,69834
2021/7/24,69904
2021/7/25,69904
2021/7/26,69904
2021/7/27,70076
2021/7/28,70141
2021/7/29,70261
2021/7/30,70372
2021/7/31,70463
2021/8/1,70463
2021/8/2,70463
2021/8/3,70718
2021/8/4,70844
2021/8/5,70996
2021/8/6,71141
2021/8/7,71306
2021/8/8,71306
2021/8/9,71305
2021/8/10,71666
2021/8/11,71883
2021/8/12,72118
2021/8/13,72333
2021/8/14,72521
2021/8/15,72521
2021/8/16,72521
2021/8/17,72896
2021/8/18,73087
2021/8/19,73269
2021/8/20,73454
2021/8/21,73659
2021/8/22,73659
2021/8/23,73659
2021/8/24,74022
2021/8/25,74309
2021/8/26,74699
2021/8/27,74966
2021/8/28,75381
2021/8/29,75381
2021/8/30,75381
2021/8/31,75856
2021/9/1,76289
2021/9/2,76913
2021/9/3,77578
2021/9/4,78069
2021/9/5,78071
2021/9/6,78071
2021/9/7,78071
2021/9/8,78803
2021/9/9,79423
2021/9/10,79929
2021/9/11,80510
2021/9/12,80510
2021/9/13,80510
2021/9/14,81177
2021/9/15,81955
2021/9/16,82607
2021/9/17,83322
2021/9/18,83909
2021/9/19,83910
2021/9/20,83910
2021/9/21,84542
2021/9/22,85156
2021/9/23,85872
2021/9/24,86586
2021/9/25,87189
2021/9/26,87189
2021/9/27,87189
2021/9/28,88197
2021/9/29,89064
2021/9/30,89989
2021/10/1,90727
2021/10/2,91468
2021/10/3,91468
2021/10/4,91468
2021/10/5,92365
2021/10/6,93201
2021/10/7,93881
2021/10/8,94348
2021/10/9,94941
2021/10/10,94941
2021/10/11,94941
2021/10/12,94940
2021/10/13,95833
2021/10/14,96632
2021/10/15,97183
2021/10/16,97725
2021/10/17,97725
2021/10/18,97724
2021/10/19,98607
2021/10/20,99256
2021/10/21,99807
2021/10/22,100382
2021/10/23,100967
2021/10/24,100967
2021/10/25,100967
2021/10/26,101849
2021/10/27,102469
2021/10/28,103041
2021/10/29,103671
2021/10/30,104259
2021/10/31,104259
2021/11/1,104259
2021/11/2,105121
2021/11/3,105781
2021/11/4,106473
2021/11/5,107074
2021/11/6,107772
2021/11/7,107772
2021/11/8,107772
2021/11/9,108710
2021/11/10,109592
2021/11/11,110346
2021/11/12,110346
2021/11/13,111145
2021/11/14,111145
2021/11/15,111144
2021/11/16,112090
2021/11/17,113132
2021/11/18,114065
2021/11/19,115009
2021/11/20,115857
2021/11/21,115857
2021/11/22,115859
2021/11/23,116948
2021/11/24,117941
2021/11/25,118489
2021/11/26,118489
2021/11/27,118489
2021/11/28,118489
2021/11/29,118748
2021/11/30,119662
2021/12/1,120600
2021/12/2,121447
2021/12/3,122242
2021/12/4,123118
2021/12/5,123118
2021/12/6,123118
2021/12/7,124098
2021/12/8,125373
2021/12/9,126833
2021/12/10,128982
2021/12/11,129997
2021/12/12,129997
2021/12/13,129997
2021/12/14,131380
2021/12/15,132884
2021/12/16,134170
2021/12/17,135320
2021/12/18,136400
2021/12/19,136401
2021/12/20,136401
2021/12/21,137959
2021/12/22,139421
2021/12/23,140536
2021/12/24,141780
