date,cases
2020/3/5,3
2020/3/6,3
2020/3/7,3
2020/3/8,5
2020/3/9,6
2020/3/10,9
2020/3/11,13
2020/3/12,13
2020/3/13,18
2020/3/14,27
2020/3/15,32
2020/3/16,39
2020/3/17,57
2020/3/18,85
2020/3/19,108
2020/3/20,150
2020/3/21,195
2020/3/22,245
2020/3/23,290
2020/3/24,349
2020/3/25,423
2020/3/26,581
2020/3/27,790
2020/3/28,1066
2020/3/29,1244
2020/3/30,1415
2020/3/31,1662
2020/4/1,1985
2020/4/2,2331
2020/4/3,2758
2020/4/4,3125
2020/4/5,3609
2020/4/6,4045
2020/4/7,4371
2020/4/8,5529
2020/4/9,6185
2020/4/10,6968
2020/4/11,7694
2020/4/12,8225
2020/4/13,8936
2020/4/14,9472
2020/4/15,10096
2020/4/16,10851
2020/4/17,11641
2020/4/18,12379
2020/4/19,12892
2020/4/20,13750
2020/4/21,14261
2020/4/22,14842
2020/4/23,15805
2020/4/24,16693
2020/4/25,17844
2020/4/26,18664
2020/4/27,19574
2020/4/28,20200
2020/4/29,20942
2020/4/30,21825
2020/5/1,23566
2020/5/2,24568
2020/5/3,25561
2020/5/4,26509
2020/5/5,27217
2020/5/6,28263
2020/5/7,29476
2020/5/8,30592
2020/5/9,31638
2020/5/10,32693
2020/5/11,33483
2020/5/12,34174
2020/5/13,34927
2020/5/14,36021
2020/5/15,37105
2020/5/16,38083
2020/5/17,38920
2020/5/18,39882
2020/5/19,41664
2020/5/20,42442
2020/5/21,43645
2020/5/22,44539
2020/5/23,45608
2020/5/24,46919
2020/5/25,47754
2020/5/26,48290
2020/5/27,49042
2020/5/28,50334
2020/5/29,51631
2020/5/30,52662
2020/5/31,53456
2020/6/1,54035
2020/6/2,54831
2020/6/3,55617
2020/6/4,56490
2020/6/5,57407
2020/6/6,58099
2020/6/7,58593
2020/6/8,59024
2020/6/9,59543
2020/6/10,60114
2020/6/11,60823
2020/6/12,61262
2020/6/13,61935
2020/6/14,62328
2020/6/15,62653
2020/6/16,63004
2020/6/17,63565
2020/6/18,63839
2020/6/19,64150
2020/6/20,64565
2020/6/21,64903
2020/6/22,65202
2020/6/23,65602
2020/6/24,65934
2020/6/25,66397
2020/6/26,66704
2020/6/27,67032
2020/6/28,67360
2020/6/29,67837
2020/6/30,68152
2020/7/1,68502
2020/7/2,69015
2020/7/3,69422
2020/7/4,69724
2020/7/5,69957
2020/7/6,70497
2020/7/7,70986
2020/7/8,71455
2020/7/9,72037
2020/7/10,72503
2020/7/11,73060
2020/7/12,73705
2020/7/13,74124
2020/7/14,74836
2020/7/15,75576
2020/7/16,76237
2020/7/17,76941
2020/7/18,77773
2020/7/19,78698
2020/7/20,79251
2020/7/21,80111
