date,cases
2020/2/1,1
2020/2/2,1
2020/2/3,1
2020/2/4,1
2020/2/5,1
2020/2/6,1
2020/2/7,1
2020/2/8,1
2020/2/9,1
2020/2/10,1
2020/2/11,1
2020/2/12,1
2020/2/13,1
2020/2/14,1
2020/2/15,1
2020/2/16,1
2020/2/17,1
2020/2/18,1
2020/2/19,1
2020/2/20,1
2020/2/21,1
2020/2/22,1
2020/2/23,1
2020/2/24,1
2020/2/25,1
2020/2/26,1
2020/2/27,1
2020/2/28,1
2020/2/29,1
2020/3/1,1
2020/3/2,2
2020/3/3,2
2020/3/4,2
2020/3/5,3
2020/3/6,8
2020/3/7,13
2020/3/8,28
2020/3/9,41
2020/3/10,92
2020/3/11,95
2020/3/12,108
2020/3/13,123
2020/3/14,138
2020/3/15,164
2020/3/16,197
2020/3/17,218
2020/3/18,256
2020/3/19,328
2020/3/20,413
2020/3/21,525
2020/3/22,646
2020/3/23,777
2020/3/24,1159
2020/3/25,1838
2020/3/26,2417
2020/3/27,3240
2020/3/28,4257
2020/3/29,4955
2020/3/30,5752
2020/3/31,6620
2020/4/1,7738
2020/4/2,8966
2020/4/3,10402
2020/4/4,11736
2020/4/5,12500
2020/4/6,13837
2020/4/7,15202
2020/4/8,16790
2020/4/9,18941
2020/4/10,20974
2020/4/11,22860
2020/4/12,25475
2020/4/13,26867
2020/4/14,28163
2020/4/15,29918
2020/4/16,32181
2020/4/17,34402
2020/4/18,36372
2020/4/19,38077
2020/4/20,39643
2020/4/21,41199
2020/4/22,42944
2020/4/23,46023
2020/4/24,50969
2020/4/25,53348
2020/4/26,54938
2020/4/27,56462
2020/4/28,58302
2020/4/29,60265
2020/4/30,62205
2020/5/1,64311
2020/5/2,66263
2020/5/3,68087
2020/5/4,69087
2020/5/5,70271
2020/5/6,72025
2020/5/7,73721
2020/5/8,75333
2020/5/9,76743
2020/5/10,77793
2020/5/11,78462
2020/5/12,79332
2020/5/13,80497
2020/5/14,82182
2020/5/15,83421
2020/5/16,84933
2020/5/17,86010
2020/5/18,87052
2020/5/19,87925
2020/5/20,88970
2020/5/21,90084
2020/5/22,90889
2020/5/23,91662
2020/5/24,92675
2020/5/25,93271
2020/5/26,93693
2020/5/27,94220
2020/5/28,94895
2020/5/29,95512
