date,cases
2020/3/10,2
2020/3/11,2
2020/3/12,12
2020/3/13,25
2020/3/14,33
2020/3/15,53
2020/3/16,54
2020/3/17,65
2020/3/18,80
2020/3/19,334
2020/3/20,548
2020/3/21,787
2020/3/22,1033
2020/3/23,1324
2020/3/24,1791
2020/3/25,2293
2020/3/26,2877
2020/3/27,3655
2020/3/28,4634
2020/3/29,5486
2020/3/30,6508
2020/3/31,7629
2020/4/1,9292
2020/4/2,10791
2020/4/3,12669
2020/4/4,14225
2020/4/5,15633
2020/4/6,17129
2020/4/7,18851
2020/4/8,20220
2020/4/9,21375
2020/4/10,22646
2020/4/11,23855
2020/4/12,24496
2020/4/13,25490
2020/4/14,26845
2020/4/15,27894
2020/4/16,29120
2020/4/17,29954
2020/4/18,30718
2020/4/19,31349
2020/4/20,31929
2020/4/21,32936
2020/4/22,33973
2020/4/23,35253
2020/4/24,36628
2020/4/25,37302
2020/4/26,38003
2020/4/27,38457
2020/4/28,39469
2020/4/29,40443
2020/4/30,41348
2020/5/1,42348
2020/5/2,43191
2020/5/3,43803
2020/5/4,43996
2020/5/5,44391
2020/5/6,45079
2020/5/7,45643
2020/5/8,46319
2020/5/9,46735
2020/5/10,47116
2020/5/11,47526
2020/5/12,47946
2020/5/13,48307
2020/5/14,49489
2020/5/15,49982
2020/5/16,50416
2020/5/17,51054
2020/5/18,51853
2020/5/19,52337
2020/5/20,52988
2020/5/21,53468
2020/5/22,53865
2020/5/23,54304
2020/5/24,54616
2020/5/25,54816
2020/5/26,55040
2020/5/27,55544
2020/5/28,55944
2020/5/29,56589
2020/5/30,56848
2020/5/31,57355
2020/6/1,58435
2020/6/2,58680
2020/6/3,58990
2020/6/4,59215
2020/6/5,63744
2020/6/6,64196
2020/6/7,64615
2020/6/8,64911
2020/6/9,65190
2020/6/10,65377
2020/6/11,65627
2020/6/12,65881
2020/6/13,66024
2020/6/14,66246
2020/6/15,66302
2020/6/16,66466
2020/6/17,66694
2020/6/18,66980
2020/6/19,67300
2020/6/20,67721
2020/6/21,67873
2020/6/22,68144
2020/6/23,68373
2020/6/24,68711
2020/6/25,69159
2020/6/26,69473
2020/6/27,69802
2020/6/28,70042
2020/6/29,70356
2020/6/30,70850
2020/7/1,71279
2020/7/2,71853
2020/7/3,72306
2020/7/4,72702
2020/7/5,73027
2020/7/6,73403
2020/7/7,74011
2020/7/8,74660
2020/7/9,75247
2020/7/10,75871
2020/7/11,76499
2020/7/12,76936
2020/7/13,77354
2020/7/14,78045
2020/7/15,79081
2020/7/16,79977
2020/7/17,80752
2020/7/18,81384
2020/7/19,81935
2020/7/20,82486
2020/7/21,83184
2020/7/22,83891
2020/7/23,84585
2020/7/24,85238
2020/7/25,85665
2020/7/26,86750
2020/7/27,87329
2020/7/28,88025
2020/7/29,89026
2020/7/30,89926
2020/7/31,90752
2020/8/1,91450
2020/8/2,91857
2020/8/3,92503
2020/8/4,93293
2020/8/5,94045
2020/8/6,94819
2020/8/7,95632
2020/8/8,96328
2020/8/9,96835
2020/8/10,97472
2020/8/11,98361
2020/8/12,98825
2020/8/13,99963
2020/8/14,100813
2020/8/15,101831
2020/8/16,102323
2020/8/17,102872
2020/8/18,103527
2020/8/19,104235
2020/8/20,104771
2020/8/21,104829
2020/8/22,106141
2020/8/23,106875
2020/8/24,107816
2020/8/25,108742
2020/8/26,109645
2020/8/27,110491
2020/8/28,111303
2020/8/29,112104
2020/8/30,112598
2020/8/31,113163
2020/9/1,113969
2020/9/2,114603
2020/9/3,115393
2020/9/4,116470
2020/9/5,117267
2020/9/6,117310
2020/9/7,118388
2020/9/8,118984
2020/9/9,119952
2020/9/10,120896
2020/9/11,122319
2020/9/12,123048
2020/9/13,123075
2020/9/14,124276
2020/9/15,124978
2020/9/16,125782
2020/9/17,126794
2020/9/18,127558
2020/9/19,128112
2020/9/20,128148
2020/9/21,129655
2020/9/22,130406
2020/9/23,131292
2020/9/24,132400
2020/9/25,133443
2020/9/26,134372
2020/9/27,134409
2020/9/28,135782
2020/9/29,136899
2020/9/30,138074
2020/10/1,139064
2020/10/2,140057
2020/10/3,141236
2020/10/4,141287
2020/10/5,142757
2020/10/6,143901
2020/10/7,145131
2020/10/8,146548
2020/10/9,147880
2020/10/10,149406
2020/10/11,149448
2020/10/12,151284
2020/10/13,152842
2020/10/14,154409
2020/10/15,156926
2020/10/16,159144
2020/10/17,159259
2020/10/18,159337
2020/10/19,164055
2020/10/20,165949
2020/10/21,167857
2020/10/22,170102
2020/10/23,172128
2020/10/24,175385
2020/10/25,175515
2020/10/26,179624
2020/10/27,182284
2020/10/28,185818
2020/10/29,189926
2020/10/30,193360
2020/10/31,197164
2020/11/1,197501
2020/11/2,204135
2020/11/3,207799
2020/11/4,212126
2020/11/5,218136
2020/11/6,222423
2020/11/7,228706
2020/11/8,229085
2020/11/9,238136
2020/11/10,245005
2020/11/11,251499
2020/11/12,258973
2020/11/13,268072
2020/11/14,275393
2020/11/15,275892
2020/11/16,288543
2020/11/17,296436
2020/11/18,302541
2020/11/19,310396
2020/11/20,320621
2020/11/21,328178
2020/11/22,328833
2020/11/23,340223
2020/11/24,346926
2020/11/25,351831
2020/11/26,352121
2020/11/27,368890
2020/11/28,377209
2020/11/29,377526
2020/11/30,388102
2020/12/1,394554
2020/12/2,401953
2020/12/3,410052
2020/12/4,419370
2020/12/5,425496
2020/12/6,425844
2020/12/7,435461
2020/12/8,442126
2020/12/9,447434
2020/12/10,453792
2020/12/11,459398
2020/12/12,463961
2020/12/13,464199
2020/12/14,471738
2020/12/15,477174
2020/12/16,481772
2020/12/17,486375
2020/12/18,490881
2020/12/19,494847
2020/12/20,495023
2020/12/21,499988
2020/12/22,503497
2020/12/23,507291
2020/12/24,507545
2020/12/25,507687
2020/12/26,515022
2020/12/27,515114
2020/12/28,518788
2020/12/29,522563
2020/12/30,526401
2020/12/31,526668
2021/1/1,526845
2021/1/2,535355
2021/1/3,535582
2021/1/4,541158
2021/1/5,544276
2021/1/6,548875
2021/1/7,553222
2021/1/8,557079
2021/1/9,559830
2021/1/10,559886
2021/1/11,565231
2021/1/12,567901
