date,cases
2020/3/6,1
2020/3/7,1
2020/3/8,2
2020/3/9,2
2020/3/10,3
2020/3/11,5
2020/3/12,9
2020/3/13,14
2020/3/14,21
2020/3/15,35
2020/3/16,54
2020/3/17,60
2020/3/18,77
2020/3/19,89
2020/3/20,115
2020/3/21,138
2020/3/22,171
2020/3/23,235
2020/3/24,264
2020/3/25,289
2020/3/26,346
2020/3/27,398
2020/3/28,442
2020/3/29,504
2020/3/30,576
2020/3/31,629
2020/4/1,689
2020/4/2,742
2020/4/3,789
2020/4/4,865
2020/4/5,935
2020/4/6,986
2020/4/7,1069
2020/4/8,1154
2020/4/9,1242
2020/4/10,1335
2020/4/11,1427
2020/4/12,1621
2020/4/13,1650
2020/4/14,1695
2020/4/15,1809
2020/4/16,1912
2020/4/17,2071
2020/4/18,2213
2020/4/19,2356
2020/4/20,2470
2020/4/21,2567
2020/4/22,2721
2020/4/23,2942
2020/4/24,3185
2020/4/25,3446
2020/4/26,3602
2020/4/27,3816
2020/4/28,4181
2020/4/29,4644
2020/4/30,5136
2020/5/1,5730
2020/5/2,6228
2020/5/3,6663
2020/5/4,7234
2020/5/5,7851
2020/5/6,8579
2020/5/7,9364
2020/5/8,10087
2020/5/9,10789
2020/5/10,11270
2020/5/11,11798
2020/5/12,12493
2020/5/13,12916
2020/5/14,13443
2020/5/15,14240
2020/5/16,14969
2020/5/17,15677
2020/5/18,16372
2020/5/19,17038
2020/5/20,17679
2020/5/21,18209
2020/5/22,19014
2020/5/23,19854
2020/5/24,20582
2020/5/25,21324
2020/5/26,21969
2020/5/27,22474
2020/5/28,22957
2020/5/29,23541
2020/5/30,24200
2020/5/31,24860
2020/6/1,25218
2020/6/2,25518
2020/6/3,25881
2020/6/4,26284
2020/6/5,26991
2020/6/6,27512
2020/6/7,27897
2020/6/8,28235
2020/6/9,28534
2020/6/10,28900
2020/6/11,29347
2020/6/12,29826
2020/6/13,30203
2020/6/14,30502
2020/6/15,30724
2020/6/16,30913
2020/6/17,31328
2020/6/18,31707
2020/6/19,32063
2020/6/20,32499
2020/6/21,32952
2020/6/22,33259
2020/6/23,33501
2020/6/24,33798
2020/6/25,34158
2020/6/26,34651
2020/6/27,35068
2020/6/28,35584
2020/6/29,35896
2020/6/30,36338
2020/7/1,36753
2020/7/2,37247
2020/7/3,37661
2020/7/4,37661
2020/7/5,38173
2020/7/6,38606
2020/7/7,39170
2020/7/8,39627
2020/7/9,40201
2020/7/10,40805
2020/7/11,41609
2020/7/12,42319
2020/7/13,42810
2020/7/14,43208
2020/7/15,43782
2020/7/16,44387
2020/7/17,45053
2020/7/18,45510
2020/7/19,46244
2020/7/20,47147
2020/7/21,47497
2020/7/22,48001
2020/7/23,48761
2020/7/24,49528
2020/7/25,50331
2020/7/26,51193
2020/7/27,51843
2020/7/28,52321
2020/7/29,52987
2020/7/30,53732
2020/7/31,54503
2020/8/1,55228
2020/8/2,55987
2020/8/3,56600
2020/8/4,57202
2020/8/5,57820
2020/8/6,58681
2020/8/7,59226
2020/8/8,60142
2020/8/9,60939
2020/8/10,61557
2020/8/11,61880
2020/8/12,62349
2020/8/13,63039
2020/8/14,63769
2020/8/15,64459
2020/8/16,65198
2020/8/17,65762
2020/8/18,66107
2020/8/19,66664
2020/8/20,67354
2020/8/21,68179
2020/8/22,68913
2020/8/23,69630
2020/8/24,70344
2020/8/25,70753
2020/8/26,71285
2020/8/27,72439
2020/8/28,73289
2020/8/29,74306
2020/8/30,75238
2020/8/31,75913
2020/9/1,76404
2020/9/2,77137
2020/9/3,78175
2020/9/4,79018
2020/9/5,79932
2020/9/6,80639
2020/9/7,81277
2020/9/8,81660
2020/9/9,81920
2020/9/10,82301
2020/9/11,82768
2020/9/12,83640
2020/9/13,84363
2020/9/14,85001
2020/9/15,85403
2020/9/16,85865
2020/9/17,86774
2020/9/18,87859
2020/9/19,88773
2020/9/20,90069
2020/9/21,90994
2020/9/22,91474
2020/9/23,92152
2020/9/24,93064
2020/9/25,94241
2020/9/26,95711
2020/9/27,96786
2020/9/28,97690
2020/9/29,98499
2020/9/30,99187
2020/10/1,100253
2020/10/2,101419
2020/10/3,102840
2020/10/4,103879
2020/10/5,104852
2020/10/6,105793
2020/10/7,106704
2020/10/8,107975
2020/10/9,109365
2020/10/10,110881
2020/10/11,112321
2020/10/12,113492
2020/10/13,114627
2020/10/14,115996
2020/10/15,117159
2020/10/16,119449
2020/10/17,121143
2020/10/18,122865
2020/10/19,124492
2020/10/20,125584
2020/10/21,126644
2020/10/22,128205
2020/10/23,129916
2020/10/24,132175
2020/10/25,133855
2020/10/26,135425
2020/10/27,137589
2020/10/28,139497
2020/10/29,142364
2020/10/30,145519
2020/10/31,148526
2020/11/1,150726
2020/11/2,153674
2020/11/3,157150
2020/11/4,160977
2020/11/5,164919
2020/11/6,170361
2020/11/7,175008
2020/11/8,180916
2020/11/9,184842
2020/11/10,189735
2020/11/11,194626
2020/11/12,201851
2020/11/13,207395
2020/11/14,216084
2020/11/15,223637
2020/11/16,231074
2020/11/17,237005
2020/11/18,242099
2020/11/19,249962
2020/11/20,256756
2020/11/21,263008
2020/11/22,270213
2020/11/23,276556
2020/11/24,282972
2020/11/25,289362
2020/11/26,289362
2020/11/27,295060
2020/11/28,304082
2020/11/29,313028
2020/11/30,318822
2020/12/1,322371
2020/12/2,327536
2020/12/3,333685
2020/12/4,339032
2020/12/5,345340
2020/12/6,350921
2020/12/7,356211
2020/12/8,359262
2020/12/9,363778
2020/12/10,367277
2020/12/11,371027
2020/12/12,375457
2020/12/13,378882
2020/12/14,381900
2020/12/15,384223
2020/12/16,386471
2020/12/17,389230
2020/12/18,391948
2020/12/19,394694
2020/12/20,397378
2020/12/21,399370
2020/12/22,401070
2020/12/23,402578
2020/12/24,404462
2020/12/25,404462
2020/12/26,406604
2020/12/27,409120
2020/12/28,410197
2020/12/29,411169
2020/12/30,413166
2020/12/31,415361
2021/1/1,415361
2021/1/2,417891
2021/1/3,420603
2021/1/4,423747
2021/1/5,425320
2021/1/6,427655
2021/1/7,429638
2021/1/8,432012
2021/1/9,434481
2021/1/10,436640
2021/1/11,437620
2021/1/12,438935
2021/1/13,440422
2021/1/14,442003
2021/1/15,443630
2021/1/16,445115
2021/1/17,446448
2021/1/18,447417
2021/1/19,448336
2021/1/20,449560
2021/1/21,450830
2021/1/22,452336
2021/1/23,453876
2021/1/24,455057
2021/1/25,455851
2021/1/26,456558
2021/1/27,457385
2021/1/28,458701
2021/1/29,459815
2021/1/30,460887
2021/1/31,461875
2021/2/1,462596
2021/2/2,463200
2021/2/3,463834
2021/2/4,465244
2021/2/5,466292
2021/2/6,467285
2021/2/7,468186
2021/2/8,468750
2021/2/9,469322
2021/2/10,469973
2021/2/11,470871
2021/2/12,471919
2021/2/13,472859
2021/2/14,473635
2021/2/15,474237
2021/2/16,474689
2021/2/17,475447
2021/2/18,476360
2021/2/19,477355
2021/2/20,478225
2021/2/21,479104
2021/2/22,479659
2021/2/23,480159
2021/2/24,480913
2021/2/25,481899
2021/2/26,483046
2021/2/27,483858
2021/2/28,484662
2021/3/1,485298
2021/3/2,485723
2021/3/3,486502
2021/3/4,487442
2021/3/5,488238
2021/3/6,489184
2021/3/7,490079
2021/3/8,490551
2021/3/9,492176
2021/3/10,493081
2021/3/11,494174
2021/3/12,495276
2021/3/13,496463
2021/3/14,497460
2021/3/15,498286
2021/3/16,498994
2021/3/17,500030
2021/3/18,501526
2021/3/19,502961
2021/3/20,504341
2021/3/21,505292
2021/3/22,506444
2021/3/23,507299
2021/3/24,508609
2021/3/25,510476
2021/3/26,512175
2021/3/27,513911
2021/3/28,515136
2021/3/29,516686
2021/3/30,517959
2021/3/31,519607
2021/4/1,521745
2021/4/2,524281
2021/4/3,526345
2021/4/4,526345
2021/4/5,527728
2021/4/6,530740
2021/4/7,532736
2021/4/8,535260
2021/4/9,537906
2021/4/10,540355
2021/4/11,542131
2021/4/12,544124
2021/4/13,545482
2021/4/14,547179
2021/4/15,549908
2021/4/16,552195
2021/4/17,554614
2021/4/18,556459
2021/4/19,557743
2021/4/20,558928
2021/4/21,560528
2021/4/22,562498
2021/4/23,564662
2021/4/24,566765
2021/4/25,568321
2021/4/26,569518
2021/4/27,570596
2021/4/28,572103
2021/4/29,574031
2021/4/30,575905
2021/5/1,577617
2021/5/2,579328
2021/5/3,580433
2021/5/4,581428
2021/5/5,582669
2021/5/6,584320
2021/5/7,585770
2021/5/8,587052
2021/5/9,587855
2021/5/10,589045
2021/5/11,589620
2021/5/12,590529
2021/5/13,591538
2021/5/14,592843
2021/5/15,593715
2021/5/16,594520
2021/5/17,595109
2021/5/18,595625
2021/5/19,596279
2021/5/20,597145
2021/5/21,597824
2021/5/22,598420
2021/5/23,598859
2021/5/24,599327
2021/5/25,599570
2021/5/26,600002
2021/5/27,600501
2021/5/28,600860
2021/5/29,601198
2021/5/30,601477
2021/5/31,601477
2021/6/1,601610
2021/6/2,601738
2021/6/3,601974
2021/6/4,602227
2021/6/5,602521
2021/6/6,602779
2021/6/7,602973
2021/6/8,603098
2021/6/9,603237
2021/6/10,603398
2021/6/11,603559
2021/6/12,603707
2021/6/13,603853
2021/6/14,603969
2021/6/15,604059
2021/6/16,604145
2021/6/17,604277
2021/6/18,604384
2021/6/19,604499
2021/6/20,604602
2021/6/21,604701
2021/6/22,604780
2021/6/23,604851
2021/6/24,604972
2021/6/25,605064
2021/6/26,605133
2021/6/27,605230
2021/6/28,605311
2021/6/29,605390
2021/6/30,605458
2021/7/1,605541
2021/7/2,605642
2021/7/3,605753
2021/7/4,605753
2021/7/5,605753
2021/7/6,605896
2021/7/7,606127
2021/7/8,606251
2021/7/9,606390
2021/7/10,606390
2021/7/11,606390
2021/7/12,606577
2021/7/13,606963
2021/7/14,607162
2021/7/15,607371
2021/7/16,607617
2021/7/17,607617
2021/7/18,607617
2021/7/19,607877
2021/7/20,608498
2021/7/21,608771
2021/7/22,609109
2021/7/23,609480
2021/7/24,609480
2021/7/25,609480
2021/7/26,609903
2021/7/27,610932
2021/7/28,611551
2021/7/29,612094
2021/7/30,612794
2021/7/31,612794
2021/8/1,612794
2021/8/2,613418
2021/8/3,615083
2021/8/4,616016
2021/8/5,616877
2021/8/6,617881
2021/8/7,617881
2021/8/8,617881
2021/8/9,618999
2021/8/10,620684
2021/8/11,622309
2021/8/12,623620
2021/8/13,624944
2021/8/14,624944
2021/8/15,624944
2021/8/16,626403
2021/8/17,629447
2021/8/18,630605
2021/8/19,631951
2021/8/20,633649
2021/8/21,633649
2021/8/22,633649
2021/8/23,635315
2021/8/24,639152
2021/8/25,640552
2021/8/26,642381
2021/8/27,644283
2021/8/28,644283
2021/8/29,644283
2021/8/30,646187
2021/8/31,650057
2021/9/1,651481
2021/9/2,653381
2021/9/3,655511
2021/9/4,655511
2021/9/5,655511
2021/9/6,655511
2021/9/7,657585
2021/9/8,663341
2021/9/9,664552
2021/9/10,666589
2021/9/11,666589
2021/9/12,666589
2021/9/13,669269
2021/9/14,673867
2021/9/15,676598
2021/9/16,679071
2021/9/17,681706
2021/9/18,681706
2021/9/19,681706
2021/9/20,684163
2021/9/21,690484
2021/9/22,692122
2021/9/23,694413
2021/9/24,697275
2021/9/25,697275
2021/9/26,697275
2021/9/27,700059
2021/9/28,706261
2021/9/29,708323
2021/9/30,711197
2021/10/1,714893
2021/10/2,714893
2021/10/3,714893
2021/10/4,718430
2021/10/5,725564
2021/10/6,729447
2021/10/7,732114
2021/10/8,735759
2021/10/9,735759
2021/10/10,735759
2021/10/11,738956
2021/10/12,746892
2021/10/13,749268
2021/10/14,752184
2021/10/15,755525
2021/10/16,755525
2021/10/17,755525
2021/10/18,758376
2021/10/19,764039
2021/10/20,765885
2021/10/21,768236
2021/10/22,770370
2021/10/23,770370
2021/10/24,770370
2021/10/25,773351
2021/10/26,779873
2021/10/27,781672
2021/10/28,784357
2021/10/29,787674
2021/10/30,787674
2021/10/31,787674
2021/11/1,798108
2021/11/2,805139
2021/11/3,808080
2021/11/4,811778
2021/11/5,815132
2021/11/6,815132
2021/11/7,815132
2021/11/8,819363
2021/11/9,826528
2021/11/10,831793
2021/11/11,836911
2021/11/12,841749
2021/11/13,841749
2021/11/14,841749
2021/11/15,847011
2021/11/16,857915
2021/11/17,861359
2021/11/18,866179
2021/11/19,871327
2021/11/20,871327
2021/11/21,871327
2021/11/22,876041
2021/11/23,887492
2021/11/24,891223
2021/11/25,891223
2021/11/26,895353
2021/11/27,895353
2021/11/28,895353
2021/11/29,899863
2021/11/30,912494
2021/12/1,916066
2021/12/2,921373
2021/12/3,927055
2021/12/4,927055
2021/12/5,927055
2021/12/6,933149
2021/12/7,945569
2021/12/8,948614
2021/12/9,952356
2021/12/10,956903
2021/12/11,956903
2021/12/12,956903
2021/12/13,960549
2021/12/14,969574
2021/12/15,971791
2021/12/16,975571
2021/12/17,979407
2021/12/18,979407
2021/12/19,979407
2021/12/20,982788
2021/12/21,990171
2021/12/22,992975
2021/12/23,996358
2021/12/24,996358
2021/12/25,996358
2021/12/26,996358
2021/12/27,1000495
2021/12/28,1010359
2021/12/29,1015569
2021/12/30,1022352
2021/12/31,1022352
2022/1/1,1022352
2022/1/2,1022352
2022/1/3,1029126
2022/1/4,1045310
2022/1/5,1049450
2022/1/6,1056376
2022/1/7,1064205
2022/1/8,1064205
2022/1/9,1064205
2022/1/10,1075168
2022/1/11,1104634
2022/1/12,1115338
2022/1/13,1126837
2022/1/14,1138386
2022/1/15,1138386
2022/1/16,1138386
2022/1/17,1138386
2022/1/18,1149028
2022/1/19,1193644
2022/1/20,1205069
2022/1/21,1216874
2022/1/22,1216874
2022/1/23,1216874
2022/1/24,1229584
2022/1/25,1265075
2022/1/26,1280640
2022/1/27,1295267
2022/1/28,1309815
2022/1/29,1309815
2022/1/30,1309815
2022/1/31,1321903
2022/2/1,1343240
2022/2/2,1347150
2022/2/3,1352598
2022/2/4,1359208
2022/2/5,1359208
2022/2/6,1359208
2022/2/7,1365034
2022/2/8,1375429
2022/2/9,1379252
2022/2/10,1383715
2022/2/11,1388561
2022/2/12,1388561
2022/2/13,1388561
2022/2/14,1392891
2022/2/15,1399324
2022/2/16,1400784
2022/2/17,1402609
2022/2/18,1404832
2022/2/19,1404832
2022/2/20,1404832
2022/2/21,1404832
2022/2/22,1406824
2022/2/23,1410753
2022/2/24,1411773
2022/2/25,1412677
2022/2/26,1412677
2022/2/27,1412677
2022/2/28,1413756
2022/3/1,1415832
2022/3/2,1416371
2022/3/3,1417205
2022/3/4,1418001
2022/3/5,1418001
2022/3/6,1418001
2022/3/7,1418884
2022/3/8,1420339
2022/3/9,1420910
2022/3/10,1421512
2022/3/11,1422069
2022/3/12,1422069
2022/3/13,1422069
2022/3/14,1422544
2022/3/15,1423015
2022/3/16,1423893
2022/3/17,1424317
2022/3/18,1424823
2022/3/19,1424823
2022/3/20,1424823
2022/3/21,1425242
2022/3/22,1426266
2022/3/23,1426546
2022/3/24,1427007
2022/3/25,1427490
2022/3/26,1427490
2022/3/27,1427490
2022/3/28,1427954
2022/3/29,1428924
2022/3/30,1429271
2022/3/31,1429780
2022/4/1,1430319
2022/4/2,1430319
2022/4/3,1430319
2022/4/4,1430786
2022/4/5,1431873
2022/4/6,1432242
2022/4/7,1432857
2022/4/8,1433465
2022/4/9,1433465
2022/4/10,1433465
2022/4/11,1434138
2022/4/12,1435472
2022/4/13,1436154
2022/4/14,1437016
2022/4/15,1437888
2022/4/16,1437888
2022/4/17,1437888
2022/4/18,1438816
2022/4/19,1440553
