date,cases
2020/3/11,1
2020/3/12,1
2020/3/13,6
2020/3/14,6
2020/3/15,10
2020/3/16,12
2020/3/17,21
2020/3/18,34
2020/3/19,50
2020/3/20,80
2020/3/21,140
2020/3/22,207
2020/3/23,249
2020/3/24,320
2020/3/25,376
2020/3/26,486
2020/3/27,579
2020/3/28,669
2020/3/29,759
2020/3/30,848
2020/3/31,937
2020/4/1,1073
2020/4/2,1177
2020/4/3,1358
2020/4/4,1455
2020/4/5,1638
2020/4/6,1738
2020/4/7,1915
2020/4/8,2003
2020/4/9,2260
2020/4/10,2469
2020/4/11,2642
2020/4/12,2781
2020/4/13,2942
2020/4/14,3087
2020/4/15,3360
2020/4/16,3624
2020/4/17,3793
2020/4/18,3974
2020/4/19,4274
2020/4/20,4512
2020/4/21,4716
2020/4/22,4894
2020/4/23,5153
2020/4/24,5434
2020/4/25,5718
2020/4/26,5911
2020/4/27,6094
2020/4/28,6342
2020/4/29,6569
2020/4/30,6815
2020/5/1,7212
2020/5/2,7441
2020/5/3,7550
2020/5/4,7877
2020/5/5,8207
2020/5/6,8424
2020/5/7,8686
2020/5/8,9090
2020/5/9,9378
2020/5/10,9501
2020/5/11,9674
2020/5/12,9908
2020/5/13,10090
2020/5/14,10483
2020/5/15,10801
2020/5/16,11123
2020/5/17,11296
2020/5/18,11432
2020/5/19,11704
2020/5/20,11967
2020/5/21,12222
2020/5/22,12624
2020/5/23,13005
2020/5/24,13252
2020/5/25,13458
2020/5/26,13731
2020/5/27,14044
2020/5/28,14372
2020/5/29,14790
2020/5/30,15229
2020/5/31,15501
2020/6/1,15752
2020/6/2,16020
2020/6/3,16322
2020/6/4,16560
2020/6/5,16769
2020/6/6,17034
2020/6/7,17270
2020/6/8,17768
2020/6/9,18109
2020/6/10,18483
2020/6/11,18483
2020/6/12,19091
2020/6/13,19348
2020/6/14,19516
2020/6/15,19799
2020/6/16,20152
2020/6/17,20641
2020/6/18,21022
2020/6/19,21022
2020/6/20,21022
2020/6/21,21022
2020/6/22,22287
2020/6/23,22898
2020/6/24,23424
2020/6/25,24516
2020/6/26,25066
2020/6/27,25531
2020/6/28,25899
2020/6/29,26568
2020/6/30,27248
2020/7/1,27900
2020/7/2,28770
2020/7/3,29684
2020/7/4,30674
2020/7/5,30900
2020/7/6,31257
2020/7/7,32214
2020/7/8,32888
2020/7/9,33591
2020/7/10,34622
2020/7/11,35419
2020/7/12,36287
2020/7/13,36680
2020/7/14,37542
2020/7/15,38567
2020/7/16,39797
2020/7/17,40829
2020/7/18,41846
2020/7/19,42638
2020/7/20,43889
2020/7/21,45524
2020/7/22,47071
2020/7/23,48053
2020/7/24,49663
2020/7/25,51097
2020/7/26,52304
2020/7/27,52957
2020/7/28,54299
2020/7/29,55804
2020/7/30,57579
2020/7/31,58747
2020/8/1,59881
2020/8/2,60553
2020/8/3,61125
2020/8/4,62199
2020/8/5,63444
2020/8/6,64400
2020/8/7,65436
2020/8/8,66646
2020/8/9,67173
2020/8/10,67649
2020/8/11,68293
2020/8/12,69374
2020/8/13,69986
2020/8/14,70930
2020/8/15,71755
2020/8/16,72136
2020/8/17,72412
2020/8/18,73207
2020/8/19,74555
2020/8/20,75449
