date,cases
2020/3/7,1
2020/3/8,1
2020/3/9,1
2020/3/10,1
2020/3/11,1
2020/3/12,2
2020/3/13,4
2020/3/14,5
2020/3/15,5
2020/3/16,9
2020/3/17,16
2020/3/18,21
2020/3/19,35
2020/3/20,73
2020/3/21,93
2020/3/22,130
2020/3/23,183
2020/3/24,255
2020/3/25,384
2020/3/26,508
2020/3/27,670
2020/3/28,837
2020/3/29,902
2020/3/30,1049
2020/3/31,1350
2020/4/1,1580
2020/4/2,1834
2020/4/3,2113
2020/4/4,2291
2020/4/5,2367
2020/4/6,2722
2020/4/7,3037
2020/4/8,3327
2020/4/9,3539
2020/4/10,3799
2020/4/11,4024
2020/4/12,4160
2020/4/13,4388
2020/4/14,4686
2020/4/15,4895
2020/4/16,5111
2020/4/17,5283
2020/4/18,5517
2020/4/19,5667
2020/4/20,5807
2020/4/21,5941
2020/4/22,6137
2020/4/23,6321
2020/4/24,6625
2020/4/25,6826
2020/4/26,6997
2020/4/27,7171
2020/4/28,7306
2020/4/29,7426
2020/4/30,7563
2020/5/1,7840
2020/5/2,8154
2020/5/3,8454
2020/5/4,8776
2020/5/5,8919
2020/5/6,9164
2020/5/7,9409
2020/5/8,9573
2020/5/9,9737
2020/5/10,9906
2020/5/11,10025
2020/5/12,10124
2020/5/13,10369
2020/5/14,10490
2020/5/15,10567
2020/5/16,10794
2020/5/17,11069
2020/5/18,11225
2020/5/19,11369
2020/5/20,11510
2020/5/21,11657
2020/5/22,11797
2020/5/23,11922
2020/5/24,12114
2020/5/25,12296
2020/5/26,12437
2020/5/27,12624
2020/5/28,12815
2020/5/29,12949
2020/5/30,13118
2020/5/31,13297
2020/6/1,13523
2020/6/2,13822
2020/6/3,14020
2020/6/4,14286
2020/6/5,14515
2020/6/6,14659
2020/6/7,14985
2020/6/8,15159
2020/6/9,15396
2020/6/10,15662
2020/6/11,15924
2020/6/12,16111
2020/6/13,16327
2020/6/14,16384
2020/6/15,16712
2020/6/16,16930
2020/6/17,17151
2020/6/18,17488
2020/6/19,17780
2020/6/20,18155
2020/6/21,18552
2020/6/22,18733
2020/6/23,19148
2020/6/24,19478
2020/6/25,20076
2020/6/26,20567
2020/6/27,20909
2020/6/28,21254
2020/6/29,21748
2020/6/30,22275
2020/7/1,22595
2020/7/2,23085
2020/7/3,23620
2020/7/4,24061
2020/7/5,24334
2020/7/6,24850
2020/7/7,25566
2020/7/8,26343
2020/7/9,27301
2020/7/10,28060
2020/7/11,28649
2020/7/12,29173
2020/7/13,29781
2020/7/14,30817
2020/7/15,31737
2020/7/16,32596
2020/7/17,33536
2020/7/18,34363
2020/7/19,35154
2020/7/20,36044
2020/7/21,37248
2020/7/22,38454
2020/7/23,39923
2020/7/24,41224
2020/7/25,42310
2020/7/26,43477
2020/7/27,44813
2020/7/28,46225
2020/7/29,47683
2020/7/30,49671
2020/7/31,51074
2020/8/1,52012
2020/8/2,52577
2020/8/3,53676
2020/8/4,54890
2020/8/5,55951
2020/8/6,57175
2020/8/7,58321
2020/8/8,58710
2020/8/9,59895
2020/8/10,60882
2020/8/11,61949
2020/8/12,63372
2020/8/13,64933
2020/8/14,66305
2020/8/15,67442
2020/8/16,68493
2020/8/17,69888
2020/8/18,70759
2020/8/19,71802
2020/8/20,72912
2020/8/21,74221
2020/8/22,75468
2020/8/23,76339
2020/8/24,77254
2020/8/25,78246
2020/8/26,79588
2020/8/27,80913
2020/8/28,82449
2020/8/29,83973
2020/8/30,85133
2020/8/31,86328
2020/9/1,87414
2020/9/2,88974
2020/9/3,90392
2020/9/4,91994
2020/9/5,93713
2020/9/6,94923
2020/9/7,95795
2020/9/8,97044
2020/9/9,98446
2020/9/10,99677
2020/9/11,101285
2020/9/12,103085
2020/9/13,104603
2020/9/14,106057
2020/9/15,107687
2020/9/16,108997
2020/9/17,110554
2020/9/18,112547
2020/9/19,113794
2020/9/20,115000
2020/9/21,116814
2020/9/22,118574
2020/9/23,120124
2020/9/24,121485
2020/9/25,123544
2020/9/26,124939
2020/9/27,126115
2020/9/28,127894
2020/9/29,128816
2020/9/30,130065
2020/10/1,131778
2020/10/2,133725
2020/10/3,134826
2020/10/4,135691
2020/10/5,137297
2020/10/6,139172
2020/10/7,141262
2020/10/8,142732
2020/10/9,145034
2020/10/10,148199
2020/10/11,148481
2020/10/12,149460
2020/10/13,150496
2020/10/14,154213
2020/10/15,156142
2020/10/16,158764
2020/10/17,160654
2020/10/18,162156
2020/10/19,164249
2020/10/20,164891
2020/10/21,167435
2020/10/22,169311
2020/10/23,171871
2020/10/24,173746
2020/10/25,175243
2020/10/26,177733
2020/10/27,179457
2020/10/28,181877
2020/10/29,184847
2020/10/30,187830
2020/10/31,189925
2020/11/1,192141
2020/11/2,195938
2020/11/3,198312
2020/11/4,201515
2020/11/5,205036
2020/11/6,210054
2020/11/7,213645
2020/11/8,216654
2020/11/9,221874
2020/11/10,226372
2020/11/11,230003
2020/11/12,235341
2020/11/13,241236
2020/11/14,248400
2020/11/15,249608
2020/11/16,255942
2020/11/17,261105
2020/11/18,266079
2020/11/19,270387
2020/11/20,275917
2020/11/21,279987
2020/11/22,283756
2020/11/23,288308
2020/11/24,292786
2020/11/25,297374
2020/11/26,300825
2020/11/27,304234
2020/11/28,306526
2020/11/29,309420
2020/11/30,314981
2020/12/1,317903
2020/12/2,321411
2020/12/3,325519
2020/12/4,330445
2020/12/5,334637
2020/12/6,337927
2020/12/7,342244
2020/12/8,346161
2020/12/9,349046
2020/12/10,353082
2020/12/11,355147
2020/12/12,360623
2020/12/13,363246
2020/12/14,367510
2020/12/15,370869
2020/12/16,374010
2020/12/17,378014
2020/12/18,382181
2020/12/19,384522
2020/12/20,386259
2020/12/21,390512
2020/12/22,393488
2020/12/23,396409
2020/12/24,399528
2020/12/25,400714
2020/12/26,402344
2020/12/27,404201
2020/12/28,407193
2020/12/29,410334
2020/12/30,413764
2020/12/31,418637
2021/1/1,421217
2021/1/2,423894
2021/1/3,426489
2021/1/4,429745
2021/1/5,432830
2021/1/6,435687
2021/1/7,440563
2021/1/8,445310
2021/1/9,448586
2021/1/10,450886
2021/1/11,459493
2021/1/12,462085
2021/1/13,464620
2021/1/14,467633
2021/1/15,470284
2021/1/16,472057
2021/1/17,473268
2021/1/18,474403
2021/1/19,477420
2021/1/20,479480
2021/1/21,481962
2021/1/22,484370
2021/1/23,485926
2021/1/24,487640
2021/1/25,489865
2021/1/26,491544
2021/1/27,493392
2021/1/28,495619
2021/1/29,497838
2021/1/30,498808
2021/1/31,499530
2021/2/1,501226
2021/2/2,502819
2021/2/3,504315
2021/2/4,505891
2021/2/5,507708
2021/2/6,508465
2021/2/7,508990
2021/2/8,510376
2021/2/9,511167
2021/2/10,512440
2021/2/11,513568
2021/2/12,514627
2021/2/13,515162
2021/2/14,515507
2021/2/15,515870
2021/2/16,516710
2021/2/17,517798
2021/2/18,518605
2021/2/19,519441
2021/2/20,519922
2021/2/21,520226
2021/2/22,521050
2021/2/23,521782
2021/2/24,522611
2021/2/25,523311
2021/2/26,523958
2021/2/27,524325
2021/2/28,524600
2021/3/1,525206
2021/3/2,525664
2021/3/3,526191
2021/3/4,526806
2021/3/5,527396
2021/3/6,527836
2021/3/7,528102
2021/3/8,574365
2021/3/9,575066
2021/3/10,575719
2021/3/11,576523
2021/3/12,577371
2021/3/13,577932
2021/3/14,578274
2021/3/15,578559
2021/3/16,579229
2021/3/17,580040
2021/3/18,580761
2021/3/19,581380
2021/3/20,581859
2021/3/21,582185
2021/3/22,582710
2021/3/23,583286
2021/3/24,584084
2021/3/25,585299
2021/3/26,586353
2021/3/27,586829
2021/3/28,587107
2021/3/29,587619
2021/3/30,588199
2021/3/31,588900
2021/4/1,589546
2021/4/2,590234
2021/4/3,590697
2021/4/4,591087
2021/4/5,591607
2021/4/6,592195
2021/4/7,592986
2021/4/8,593771
2021/4/9,594557
2021/4/10,595098
2021/4/11,595502
2021/4/12,596027
2021/4/13,596651
2021/4/14,597506
2021/4/15,598251
2021/4/16,599136
2021/4/17,592651
2021/4/18,592954
2021/4/19,593452
2021/4/20,594129
2021/4/21,594860
2021/4/22,595623
2021/4/23,596543
2021/4/24,597228
2021/4/25,597547
2021/4/26,597967
2021/4/27,598538
2021/4/28,599445
2021/4/29,600190
2021/4/30,600910
2021/5/1,601861
2021/5/2,602466
2021/5/3,603024
2021/5/4,603560
2021/5/5,604140
2021/5/6,604806
2021/5/7,605406
2021/5/8,605885
2021/5/9,606180
2021/5/10,606513
2021/5/11,606922
2021/5/12,607269
2021/5/13,607836
2021/5/14,608351
2021/5/15,608719
2021/5/16,608962
2021/5/17,609296
2021/5/18,609741
2021/5/19,610209
2021/5/20,610827
2021/5/21,619279
2021/5/22,611807
2021/5/23,612035
2021/5/24,612340
2021/5/25,612815
2021/5/26,613366
2021/5/27,614040
2021/5/28,614659
2021/5/29,615075
2021/5/30,615279
2021/5/31,615408
2021/6/1,615552
2021/6/2,616056
2021/6/3,616722
2021/6/4,617349
2021/6/5,617754
2021/6/6,617768
2021/6/7,618233
2021/6/8,618901
2021/6/9,619528
2021/6/10,620200
2021/6/11,620940
2021/6/12,621385
2021/6/13,621670
2021/6/14,622197
2021/6/15,622790
2021/6/16,623594
2021/6/17,624399
2021/6/18,625417
2021/6/19,625880
2021/6/20,626206
2021/6/21,626799
2021/6/22,627617
2021/6/23,628434
2021/6/24,629625
2021/6/25,630716
2021/6/26,631292
2021/6/27,631715
2021/6/28,632504
2021/6/29,633549
2021/6/30,634733
2021/7/1,636120
2021/7/2,637390
2021/7/3,637613
2021/7/4,638583
2021/7/5,639225
2021/7/6,640488
2021/7/7,642064
2021/7/8,643666
2021/7/9,646210
2021/7/10,647348
2021/7/11,648163
2021/7/12,648835
2021/7/13,651166
2021/7/14,653318
2021/7/15,656203
2021/7/16,659027
2021/7/17,661038
2021/7/18,662027
2021/7/19,663552
2021/7/20,665981
2021/7/21,668695
2021/7/22,671940
2021/7/23,674977
2021/7/24,677560
2021/7/25,678909
2021/7/26,680646
2021/7/27,683116
2021/7/28,686177
2021/7/29,689392
2021/7/30,693384
2021/7/31,695726
2021/8/1,697481
2021/8/2,699242
2021/8/3,701784
2021/8/4,706153
2021/8/5,710194
2021/8/6,713623
2021/8/7,715882
2021/8/8,717419
2021/8/9,719236
2021/8/10,721795
2021/8/11,725729
2021/8/12,729404
2021/8/13,732545
2021/8/14,735210
2021/8/15,736739
2021/8/16,738745
2021/8/17,740846
2021/8/18,744002
2021/8/19,747448
2021/8/20,750664
2021/8/21,752688
2021/8/22,754268
2021/8/23,756277
2021/8/24,758724
2021/8/25,761494
2021/8/26,764431
2021/8/27,767331
2021/8/28,769507
2021/8/29,770568
2021/8/30,773082
2021/8/31,774864
2021/9/1,777724
2021/9/2,780710
2021/9/3,783703
2021/9/4,786097
2021/9/5,787315
2021/9/6,788286
2021/9/7,790128
2021/9/8,792710
2021/9/9,795415
2021/9/10,798664
2021/9/11,801140
2021/9/12,802696
2021/9/13,804615
2021/9/14,806899
2021/9/15,809525
2021/9/16,812106
2021/9/17,814194
2021/9/18,816310
2021/9/19,817466
2021/9/20,818899
2021/9/21,820910
2021/9/22,823165
2021/9/23,825376
2021/9/24,827467
2021/9/25,829333
2021/9/26,830228
2021/9/27,831356
2021/9/28,832995
2021/9/29,835028
2021/9/30,837141
2021/10/1,838961
2021/10/2,840370
2021/10/3,841387
2021/10/4,842382
2021/10/5,843678
2021/10/6,845632
2021/10/7,847182
2021/10/8,848730
2021/10/9,849751
2021/10/10,850474
2021/10/11,851372
2021/10/12,852341
2021/10/13,853982
2021/10/14,855422
2021/10/15,856850
2021/10/16,857726
2021/10/17,858373
2021/10/18,858937
2021/10/19,859909
2021/10/20,861355
2021/10/21,862643
2021/10/22,863696
2021/10/23,864637
2021/10/24,865148
2021/10/25,865878
2021/10/26,866899
2021/10/27,868264
2021/10/28,869457
2021/10/29,870554
2021/10/30,871417
2021/10/31,872395
2021/11/1,872696
2021/11/2,873952
2021/11/3,875380
2021/11/4,876603
2021/11/5,877809
2021/11/6,879020
2021/11/7,879627
2021/11/8,880652
2021/11/9,882090
2021/11/10,883940
2021/11/11,884064
2021/11/12,887074
2021/11/13,888494
2021/11/14,889234
2021/11/15,890464
2021/11/16,891994
2021/11/17,893829
2021/11/18,903377
2021/11/19,905060
2021/11/20,906343
2021/11/21,906999
2021/11/22,908790
2021/11/23,910885
2021/11/24,913081
2021/11/25,913078
2021/11/26,913351
2021/11/27,914006
2021/11/28,914175
2021/11/29,919579
2021/11/30,922361
2021/12/1,925527
2021/12/2,929229
2021/12/3,929949
2021/12/4,934110
2021/12/5,935394
2021/12/6,939019
2021/12/7,941558
2021/12/8,945149
2021/12/9,948588
2021/12/10,952160
2021/12/11,954118
2021/12/12,955497
2021/12/13,957697
2021/12/14,960537
2021/12/15,963760
2021/12/16,968296
2021/12/17,971666
2021/12/18,974702
2021/12/19,976201
2021/12/20,978761
2021/12/21,981776
2021/12/22,985700
2021/12/23,991117
2021/12/24,991121
2021/12/25,991121
2021/12/26,993359
2021/12/27,1001530
2021/12/28,1007268
2021/12/29,1014068
2021/12/30,1022471
2021/12/31,1023310
2022/1/1,1023310
2022/1/2,1029231
2022/1/3,1049387
2022/1/4,1057092
2022/1/5,1070390
2022/1/6,1083838
2022/1/7,1096061
2022/1/8,1107462
2022/1/9,1114122
2022/1/10,1124371
2022/1/11,1136678
2022/1/12,1150130
