date,cases
2020/3/13,4
2020/3/14,6
2020/3/15,6
2020/3/16,8
2020/3/17,8
2020/3/18,12
2020/3/19,19
2020/3/20,19
2020/3/21,29
2020/3/22,34
2020/3/23,45
2020/3/24,51
2020/3/25,65
2020/3/26,90
2020/3/27,121
2020/3/28,147
2020/3/29,161
2020/3/30,177
2020/3/31,198
2020/4/1,219
2020/4/2,241
2020/4/3,262
2020/4/4,281
2020/4/5,298
2020/4/6,319
2020/4/7,319
2020/4/8,332
2020/4/9,354
2020/4/10,365
2020/4/11,377
2020/4/12,387
2020/4/13,394
2020/4/14,399
2020/4/15,404
2020/4/16,415
2020/4/17,422
2020/4/18,426
2020/4/19,433
2020/4/20,433
2020/4/21,437
2020/4/22,439
2020/4/23,442
2020/4/24,444
2020/4/25,445
2020/4/26,448
2020/4/27,449
2020/4/28,451
2020/4/29,451
2020/4/30,452
2020/5/1,452
2020/5/2,454
2020/5/3,454
2020/5/4,456
2020/5/5,456
2020/5/6,456
2020/5/7,456
2020/5/8,458
2020/5/9,458
2020/5/10,458
2020/5/11,459
2020/5/12,461
2020/5/13,462
2020/5/14,462
2020/5/15,466
2020/5/16,468
2020/5/17,468
2020/5/18,470
2020/5/19,471
2020/5/20,478
2020/5/21,479
2020/5/22,479
2020/5/23,479
2020/5/24,479
2020/5/25,479
2020/5/26,479
2020/5/27,481
2020/5/28,485
2020/5/29,493
2020/5/30,505
2020/5/31,515
2020/6/1,519
2020/6/2,523
2020/6/3,525
2020/6/4,537
2020/6/5,539
2020/6/6,540
2020/6/7,545
2020/6/8,548
2020/6/9,554
2020/6/10,561
2020/6/11,563
2020/6/12,573
2020/6/13,588
2020/6/14,601
2020/6/15,609
2020/6/16,614
2020/6/17,630
2020/6/18,655
2020/6/19,666
2020/6/20,698
2020/6/21,717
2020/6/22,734
2020/6/23,743
2020/6/24,766
2020/6/25,803
2020/6/26,829
2020/6/27,852
2020/6/28,863
2020/6/29,919
2020/6/30,967
2020/7/1,1016
2020/7/2,1083
2020/7/3,1128
2020/7/4,1167
2020/7/5,1212
2020/7/6,1249
2020/7/7,1327
2020/7/8,1371
2020/7/9,1466
2020/7/10,1593
2020/7/11,1677
2020/7/12,1758
2020/7/13,1908
2020/7/14,2038
2020/7/15,2149
2020/7/16,2265
2020/7/17,2383
2020/7/18,2471
2020/7/19,2533
2020/7/20,2640
2020/7/21,2741
2020/7/22,2840
2020/7/23,2924
2020/7/24,3113
2020/7/25,3260
2020/7/26,3342
2020/7/27,3406
2020/7/28,3491
2020/7/29,3695
2020/7/30,3829
2020/7/31,3977
2020/8/1,4081
2020/8/2,4193
2020/8/3,4249
2020/8/4,4360
2020/8/5,4481
2020/8/6,4621
2020/8/7,4771
2020/8/8,4889
2020/8/9,4952
2020/8/10,5032
2020/8/11,5125
2020/8/12,5292
2020/8/13,5430
2020/8/14,5564
2020/8/15,5663
2020/8/16,5751
2020/8/17,5810
2020/8/18,5867
2020/8/19,5976
2020/8/20,6095
2020/8/21,6239
2020/8/22,6392
2020/8/23,6444
2020/8/24,6510
