date,cases
2020/2/17,10
2020/2/18,10
2020/2/19,10
2020/2/20,11
2020/2/21,11
2020/2/22,11
2020/2/23,11
2020/2/24,12
2020/2/25,13
2020/2/26,13
2020/2/27,13
2020/2/28,13
2020/2/29,13
2020/3/1,13
2020/3/2,13
2020/3/3,13
2020/3/4,13
2020/3/5,13
2020/3/6,14
2020/3/7,14
2020/3/8,16
2020/3/9,16
2020/3/10,17
2020/3/11,23
2020/3/12,24
2020/3/13,27
2020/3/14,29
2020/3/15,31
2020/3/16,33
2020/3/17,36
2020/3/18,43
2020/3/19,47
2020/3/20,53
2020/3/21,61
2020/3/22,62
2020/3/23,73
2020/3/24,77
2020/3/25,84
2020/3/26,91
2020/3/27,102
2020/3/28,122
2020/3/29,138
2020/3/30,185
2020/3/31,199
2020/4/1,249
2020/4/2,273
2020/4/3,297
2020/4/4,339
2020/4/5,377
2020/4/6,438
2020/4/7,491
2020/4/8,538
2020/4/9,594
2020/4/10,678
2020/4/11,718
2020/4/12,805
2020/4/13,870
2020/4/14,930
2020/4/15,994
2020/4/16,1094
2020/4/17,1216
2020/4/18,1348
2020/4/19,1473
2020/4/20,1646
2020/4/21,1726
2020/4/22,1826
2020/4/23,2190
2020/4/24,2474
2020/4/25,2898
2020/4/26,3126
2020/4/27,3487
2020/4/28,3613
2020/4/29,3876
2020/4/30,4332
2020/5/1,4838
2020/5/2,5332
2020/5/3,5686
2020/5/4,6123
2020/5/5,6442
2020/5/6,6771
2020/5/7,7190
2020/5/8,7830
2020/5/9,8233
2020/5/10,8328
2020/5/11,8575
2020/5/12,8732
2020/5/13,9072
2020/5/14,9411
2020/5/15,9766
2020/5/16,10220
2020/5/17,10348
2020/5/18,10625
2020/5/19,10846
2020/5/20,11119
2020/5/21,11423
2020/5/22,11661
2020/5/23,11988
2020/5/24,12133
2020/5/25,12354
2020/5/26,12618
2020/5/27,12975
2020/5/28,13260
2020/5/29,13654
2020/5/30,13905
2020/5/31,14101
2020/6/1,14345
2020/6/2,14611
2020/6/3,14866
2020/6/4,15117
2020/6/5,15379
2020/6/6,15543
2020/6/7,15634
2020/6/8,15752
2020/6/9,15888
2020/6/10,16025
2020/6/11,16315
2020/6/12,16513
2020/6/13,16634
2020/6/14,16735
2020/6/15,16860
2020/6/16,17031
2020/6/17,17226
2020/6/18,17415
2020/6/19,17591
2020/6/20,17707
2020/6/21,17810
2020/6/22,17957
2020/6/23,18091
2020/6/24,18220
2020/6/25,18346
2020/6/26,18524
2020/6/27,18775
2020/6/28,18900
2020/6/29,19064
2020/6/30,19194
2020/7/1,19325
2020/7/2,19476
2020/7/3,19660
2020/7/4,19826
2020/7/5,19937
2020/7/6,20052
2020/7/7,20205
2020/7/8,20437
2020/7/9,20658
2020/7/10,20834
2020/7/11,21035
2020/7/12,21214
2020/7/13,21444
2020/7/14,21717
2020/7/15,21979
2020/7/16,22178
2020/7/17,22361
2020/7/18,22545
2020/7/19,22637
2020/7/20,22847
2020/7/21,23190
2020/7/22,23486
2020/7/23,23818
2020/7/24,24174
2020/7/25,24412
2020/7/26,24618
2020/7/27,24899
2020/7/28,25140
2020/7/29,25448
2020/7/30,25766
2020/7/31,26211
2020/8/1,26391
2020/8/2,26702
2020/8/3,26956
2020/8/4,27178
2020/8/5,27489
2020/8/6,27821
2020/8/7,28104
2020/8/8,28245
2020/8/9,28432
2020/8/10,28696
2020/8/11,29030
2020/8/12,29244
2020/8/13,29660
2020/8/14,29988
2020/8/15,30241
2020/8/16,30372
2020/8/17,30563
2020/8/18,30825
2020/8/19,31040
2020/8/20,31348
2020/8/21,31626
2020/8/22,31780
2020/8/23,31889
2020/8/24,32047
2020/8/25,32379
2020/8/26,32727
2020/8/27,33101
2020/8/28,33436
2020/8/29,33753
2020/8/30,34046
2020/8/31,34287
2020/9/1,34574
2020/9/2,34995
2020/9/3,35469
2020/9/4,35661
2020/9/5,35805
2020/9/6,35891
2020/9/7,35975
2020/9/8,36477
2020/9/9,36917
2020/9/10,37373
2020/9/11,37841
2020/9/12,38108
2020/9/13,38188
2020/9/14,38642
2020/9/15,38970
2020/9/16,39419
2020/9/17,39921
2020/9/18,40387
2020/9/19,40797
2020/9/20,41083
2020/9/21,41388
2020/9/22,41828
2020/9/23,42278
2020/9/24,42731
2020/9/25,43162
2020/9/26,43596
2020/9/27,44063
2020/9/28,44578
2020/9/29,45044
2020/9/30,45564
2020/10/1,46185
2020/10/2,46977
2020/10/3,47403
2020/10/4,47807
2020/10/5,48259
2020/10/6,48757
2020/10/7,49396
2020/10/8,50059
2020/10/9,50168
2020/10/10,51887
2020/10/11,52382
2020/10/12,52839
2020/10/13,53543
2020/10/14,54467
2020/10/15,55428
2020/10/16,56724
2020/10/17,57334
2020/10/18,58068
2020/10/19,58817
2020/10/20,59409
2020/10/21,60308
2020/10/22,61285
2020/10/23,62677
2020/10/24,63264
2020/10/25,63849
2020/10/26,64692
2020/10/27,65552
2020/10/28,66682
2020/10/29,68150
2020/10/30,69699
2020/10/31,70761
2020/11/1,71666
2020/11/2,72905
2020/11/3,74120
2020/11/4,76145
2020/11/5,78061
2020/11/6,80693
2020/11/7,82395
2020/11/8,83969
2020/11/9,85551
2020/11/10,87743
2020/11/11,89977
2020/11/12,92737
2020/11/13,95010
2020/11/14,96834
2020/11/15,98161
2020/11/16,101707
2020/11/17,103805
2020/11/18,106617
2020/11/19,109325
2020/11/20,111915
2020/11/21,113225
2020/11/22,114061
2020/11/23,116434
2020/11/24,117929
2020/11/25,120459
2020/11/26,123124
2020/11/27,124664
2020/11/28,125820
2020/11/29,127022
2020/11/30,129043
2020/12/1,130796
2020/12/2,133139
2020/12/3,135123
2020/12/4,136968
2020/12/5,139103
2020/12/6,140318
2020/12/7,141918
2020/12/8,143328
2020/12/9,144755
2020/12/10,146456
2020/12/11,147727
2020/12/12,148467
2020/12/13,149695
2020/12/14,150322
2020/12/15,151901
2020/12/16,153244
2020/12/17,154425
2020/12/18,155764
2020/12/19,156433
2020/12/20,157171
2020/12/21,158119
2020/12/22,159267
2020/12/23,160586
2020/12/24,161338
2020/12/25,161960
2020/12/26,162272
2020/12/27,162886
2020/12/28,163903
2020/12/29,164892
2020/12/30,166385
2020/12/31,167795
2021/1/1,168567
2021/1/2,169330
2021/1/3,170037
2021/1/4,170778
2021/1/5,172067
2021/1/6,173625
2021/1/7,174590
2021/1/8,175655
2021/1/9,176645
2021/1/10,177001
2021/1/11,177655
2021/1/12,178690
2021/1/13,180160
2021/1/14,181091
2021/1/15,181895
2021/1/16,181895
2021/1/17,182914
2021/1/18,183228
2021/1/19,183687
2021/1/20,185656
2021/1/21,186472
2021/1/22,187496
2021/1/23,187974
2021/1/24,188241
2021/1/25,188850
2021/1/26,189151
2021/1/27,189847
2021/1/28,190585
2021/1/29,190709
2021/1/30,191569
2021/1/31,191763
2021/2/1,192112
2021/2/2,192553
2021/2/3,193128
2021/2/4,193612
2021/2/5,194089
2021/2/6,194422
2021/2/7,194707
2021/2/8,194957
2021/2/9,195327
2021/2/10,195828
2021/2/11,196172
2021/2/12,196616
2021/2/13,197449
2021/2/14,197658
2021/2/15,197761
2021/2/16,197904
2021/2/17,198215
2021/2/18,198481
2021/2/19,198949
2021/2/20,199162
