date,cases
2020/3/5,2
2020/3/6,2
2020/3/7,2
2020/3/8,4
2020/3/9,4
2020/3/10,4
2020/3/11,7
2020/3/12,11
2020/3/13,19
2020/3/14,21
2020/3/15,26
2020/3/16,45
2020/3/17,55
2020/3/18,82
2020/3/19,99
2020/3/20,165
2020/3/21,165
2020/3/22,190
2020/3/23,265
2020/3/24,315
2020/3/25,405
2020/3/26,535
2020/3/27,621
2020/3/28,738
2020/3/29,920
2020/3/30,1044
2020/3/31,1113
2020/4/1,1279
2020/4/2,1458
2020/4/3,1549
2020/4/4,1758
2020/4/5,1880
2020/4/6,1971
2020/4/7,2101
2020/4/8,2318
2020/4/9,2456
2020/4/10,2606
2020/4/11,2720
2020/4/12,2860
2020/4/13,3036
2020/4/14,3137
2020/4/15,3212
2020/4/16,3321
2020/4/17,3524
2020/4/18,3626
2020/4/19,3710
2020/4/20,3830
2020/4/21,3937
2020/4/22,4081
2020/4/23,4208
2020/4/24,4398
2020/4/25,4539
2020/4/26,4638
2020/4/27,4708
2020/4/28,4812
2020/4/29,4934
2020/4/30,5053
2020/5/1,5249
2020/5/2,5390
2020/5/3,5473
2020/5/4,5627
2020/5/5,5665
2020/5/6,5744
2020/5/7,5858
2020/5/8,5942
2020/5/9,6046
2020/5/10,6120
2020/5/11,6152
2020/5/12,6311
2020/5/13,6482
2020/5/14,6604
2020/5/15,6733
2020/5/16,6810
2020/5/17,6935
2020/5/18,7059
2020/5/19,7169
2020/5/20,7301
2020/5/21,7404
2020/5/22,7531
2020/5/23,7769
2020/5/24,7886
2020/5/25,7959
2020/5/26,8059
2020/5/27,8150
2020/5/28,8247
2020/5/29,8375
2020/5/30,8519
2020/5/31,8628
2020/6/1,8701
2020/6/2,8858
2020/6/3,8950
2020/6/4,9118
2020/6/5,9306
2020/6/6,9494
2020/6/7,9673
2020/6/8,9815
2020/6/9,10046
2020/6/10,10216
2020/6/11,10464
2020/6/12,10704
2020/6/13,10992
2020/6/14,11199
2020/6/15,11316
2020/6/16,11673
2020/6/17,11852
2020/6/18,12164
2020/6/19,12525
2020/6/20,12977
2020/6/21,13236
2020/6/22,13575
2020/6/23,14058
2020/6/24,14460
2020/6/25,14911
2020/6/26,15359
2020/6/27,16400
2020/6/28,17187
2020/6/29,17971
2020/6/30,18582
2020/7/1,19151
2020/7/2,19871
2020/7/3,20878
2020/7/4,21671
2020/7/5,22518
2020/7/6,22930
2020/7/7,23848
2020/7/8,24378
2020/7/9,25055
2020/7/10,25961
2020/7/11,26912
2020/7/12,27745
2020/7/13,28597
2020/7/14,29669
2020/7/15,30587
2020/7/16,32024
2020/7/17,33372
2020/7/18,34606
2020/7/19,35826
2020/7/20,36805
2020/7/21,37605
2020/7/22,38759
2020/7/23,40088
2020/7/24,41013
2020/7/25,41993
2020/7/26,42919
2020/7/27,43880
2020/7/28,44991
2020/7/29,45937
2020/7/30,47034
2020/7/31,48142
2020/8/1,49207
2020/8/2,50270
2020/8/3,51236
2020/8/4,52256
2020/8/5,52919
2020/8/6,53705
2020/8/7,54633
2020/8/8,55481
2020/8/9,56278
2020/8/10,57022
2020/8/11,57608
2020/8/12,58132
2020/8/13,58812
2020/8/14,59800
2020/8/15,60648
2020/8/16,61374
2020/8/17,62022
2020/8/18,62752
2020/8/19,63127
2020/8/20,63699
2020/8/21,64573
2020/8/22,65150
2020/8/23,65678
2020/8/24,66073
2020/8/25,66515
2020/8/26,66732
2020/8/27,67324
2020/8/28,67984
2020/8/29,68576
2020/8/30,68981
2020/8/31,69318
2020/9/1,69708
2020/9/2,69927
2020/9/3,70319
2020/9/4,70783
2020/9/5,71184
2020/9/6,71711
2020/9/7,72048
2020/9/8,72165
2020/9/9,72317
2020/9/10,72620
2020/9/11,72886
2020/9/12,73291
2020/9/13,73648
2020/9/14,73889
2020/9/15,74129
2020/9/16,74377
2020/9/17,74792
2020/9/18,75153
2020/9/19,75524
2020/9/20,75914
2020/9/21,76119
2020/9/22,76376
2020/9/23,76907
2020/9/24,77338
2020/9/25,77930
2020/9/26,78464
2020/9/27,78820
2020/9/28,79313
2020/9/29,79691
2020/9/30,80084
2020/10/1,80507
2020/10/2,81285
2020/10/3,81829
2020/10/4,82134
2020/10/5,82544
2020/10/6,83036
2020/10/7,83500
2020/10/8,83971
2020/10/9,84785
2020/10/10,85463
2020/10/11,85922
2020/10/12,86433
2020/10/13,86970
2020/10/14,87527
2020/10/15,88081
2020/10/16,88832
2020/10/17,89848
2020/10/18,90374
2020/10/19,90978
2020/10/20,91679
2020/10/21,92193
2020/10/22,93028
2020/10/23,94044
2020/10/24,94935
2020/10/25,95798
2020/10/26,96330
2020/10/27,97138
2020/10/28,97824
2020/10/29,98814
2020/10/30,100038
2020/10/31,100844
2020/11/1,101594
2020/11/2,102243
2020/11/3,103305
2020/11/4,104514
2020/11/5,105706
2020/11/6,107258
2020/11/7,109326
2020/11/8,110308
2020/11/9,111323
2020/11/10,112602
2020/11/11,113856
2020/11/12,115360
2020/11/13,117322
2020/11/14,119228
2020/11/15,120744
2020/11/16,122441
2020/11/17,124082
2020/11/18,126106
2020/11/19,128234
2020/11/20,130102
2020/11/21,132610
2020/11/22,134761
