date,cases
2020/3/2,1
2020/3/3,2
2020/3/4,2
2020/3/5,2
2020/3/6,2
2020/3/7,4
2020/3/8,4
2020/3/9,4
2020/3/10,5
2020/3/11,5
2020/3/12,6
2020/3/13,7
2020/3/14,7
2020/3/15,13
2020/3/16,17
2020/3/17,26
2020/3/18,39
2020/3/19,44
2020/3/20,55
2020/3/21,65
2020/3/22,78
2020/3/23,101
2020/3/24,108
2020/3/25,137
2020/3/26,158
2020/3/27,187
2020/3/28,214
2020/3/29,258
2020/3/30,314
2020/3/31,367
2020/4/1,415
2020/4/2,479
2020/4/3,540
2020/4/4,621
2020/4/5,669
2020/4/6,715
2020/4/7,747
2020/4/8,788
2020/4/9,819
2020/4/10,885
2020/4/11,929
2020/4/12,985
2020/4/13,1020
2020/4/14,1091
2020/4/15,1139
2020/4/16,1211
2020/4/17,1287
2020/4/18,1342
2020/4/19,1392
2020/4/20,1447
2020/4/21,1491
2020/4/22,1588
2020/4/23,1670
2020/4/24,1720
2020/4/25,1793
2020/4/26,1864
2020/4/27,1938
2020/4/28,2010
2020/4/29,2054
2020/4/30,2146
2020/5/1,2310
2020/5/2,2429
2020/5/3,2518
2020/5/4,2588
2020/5/5,2636
2020/5/6,2741
2020/5/7,2843
2020/5/8,2947
2020/5/9,3011
2020/5/10,3071
2020/5/11,3160
2020/5/12,3239
2020/5/13,3299
2020/5/14,3382
2020/5/15,3464
2020/5/16,3556
2020/5/17,3596
2020/5/18,3652
2020/5/19,3721
2020/5/20,3868
2020/5/21,3935
2020/5/22,4014
2020/5/23,4089
2020/5/24,4149
2020/5/25,4197
2020/5/26,4231
2020/5/27,4286
2020/5/28,4389
2020/5/29,4492
2020/5/30,4545
2020/5/31,4651
2020/6/1,4685
2020/6/2,4749
2020/6/3,4795
2020/6/4,4876
2020/6/5,4953
2020/6/6,5019
2020/6/7,5043
2020/6/8,5079
2020/6/9,5132
2020/6/10,5178
2020/6/11,5209
2020/6/12,5251
2020/6/13,5299
2020/6/14,5318
2020/6/15,5345
2020/6/16,5364
2020/6/17,5436
2020/6/18,5450
2020/6/19,5486
2020/6/20,5518
2020/6/21,5544
2020/6/22,5558
2020/6/23,5571
2020/6/24,5598
2020/6/25,5638
2020/6/26,5671
2020/6/27,5717
2020/6/28,5747
2020/6/29,5760
2020/6/30,5782
2020/7/1,5802
2020/7/2,5822
2020/7/3,5857
2020/7/4,5871
2020/7/5,5897
2020/7/6,5914
2020/7/7,5932
2020/7/8,5952
2020/7/9,5973
2020/7/10,5991
2020/7/11,6024
2020/7/12,6054
2020/7/13,6068
2020/7/14,6091
2020/7/15,6113
2020/7/16,6139
2020/7/17,6165
2020/7/18,6188
2020/7/19,6203
2020/7/20,6249
2020/7/21,6262
2020/7/22,6295
2020/7/23,6318
2020/7/24,6375
2020/7/25,6415
2020/7/26,6436
2020/7/27,6441
2020/7/28,6500
2020/7/29,6513
2020/7/30,6544
2020/7/31,6583
2020/8/1,6613
2020/8/2,6634
2020/8/3,6660
2020/8/4,6693
2020/8/5,6719
2020/8/6,6742
2020/8/7,6779
2020/8/8,6818
2020/8/9,6831
2020/8/10,6840
2020/8/11,6861
2020/8/12,6887
2020/8/13,6921
2020/8/14,6964
2020/8/15,6980
2020/8/16,6988
2020/8/17,7004
2020/8/18,7017
2020/8/19,7036
2020/8/20,7050
2020/8/21,7071
2020/8/22,7092
2020/8/23,7107
2020/8/24,7134
2020/8/25,7150
2020/8/26,7159
2020/8/27,7194
2020/8/28,7216
2020/8/29,7246
2020/8/30,7254
2020/8/31,7275
2020/9/1,7297
2020/9/2,7309
2020/9/3,7347
2020/9/4,7368
2020/9/5,7424
2020/9/6,7447
2020/9/7,7476
2020/9/8,7494
2020/9/9,7517
2020/9/10,7573
2020/9/11,7620
2020/9/12,7652
2020/9/13,7696
2020/9/14,7714
2020/9/15,7748
2020/9/16,7780
2020/9/17,7814
2020/9/18,7861
2020/9/19,7920
2020/9/20,7947
2020/9/21,7952
2020/9/22,7990
2020/9/23,8007
2020/9/24,8044
2020/9/25,8085
2020/9/26,8121
2020/9/27,8172
2020/9/28,8208
2020/9/29,8233
2020/9/30,8266
2020/10/1,8317
2020/10/2,8534
2020/10/3,8597
2020/10/4,8645
2020/10/5,8680
2020/10/6,8731
2020/10/7,8800
2020/10/8,8878
2020/10/9,8970
2020/10/10,9092
2020/10/11,9143
2020/10/12,9208
2020/10/13,9279
2020/10/14,9349
2020/10/15,9426
2020/10/16,9514
2020/10/17,9625
2020/10/18,9694
2020/10/19,9746
2020/10/20,9828
2020/10/21,9917
2020/10/22,9994
2020/10/23,10112
2020/10/24,10238
2020/10/25,10328
2020/10/26,10397
2020/10/27,10530
2020/10/28,10641
2020/10/29,10768
2020/10/30,10884
2020/10/31,11084
2020/11/1,11214
2020/11/2,11320
2020/11/3,11448
2020/11/4,11563
2020/11/5,11808
2020/11/6,12012
2020/11/7,12241
2020/11/8,12488
2020/11/9,12699
2020/11/10,12919
2020/11/11,13148
2020/11/12,13470
2020/11/13,13929
2020/11/14,14311
2020/11/15,14671
2020/11/16,15029
2020/11/17,15303
2020/11/18,15749
2020/11/19,16277
2020/11/20,16797
2020/11/21,17281
2020/11/22,17598
2020/11/23,18042
2020/11/24,18382
2020/11/25,18776
2020/11/26,18776
2020/11/27,19313
2020/11/28,20002
2020/11/29,20480
2020/11/30,20994
2020/12/1,21766
2020/12/2,22332
2020/12/3,22925
2020/12/4,23690
2020/12/5,24138
2020/12/6,24771
2020/12/7,25816
2020/12/8,26623
2020/12/9,27592
2020/12/10,28273
2020/12/11,29460
2020/12/12,30244
2020/12/13,30956
2020/12/14,31875
2020/12/15,32545
2020/12/16,33433
2020/12/17,34264
2020/12/18,34960
2020/12/19,35609
2020/12/20,36542
2020/12/21,37388
2020/12/22,38008
2020/12/23,38512
2020/12/24,38902
2020/12/25,38902
2020/12/26,39933
2020/12/27,40809
2020/12/28,41670
2020/12/29,42697
2020/12/30,43242
2020/12/31,44028
2021/1/1,44028
2021/1/2,45184
2021/1/3,46450
2021/1/4,47328
2021/1/5,47992
2021/1/6,48838
2021/1/7,49261
2021/1/8,50152
2021/1/9,50871
2021/1/10,51600
2021/1/11,52307
2021/1/12,53148
2021/1/13,54125
2021/1/14,54778
2021/1/15,55500
2021/1/16,55945
2021/1/17,56864
2021/1/18,57864
2021/1/19,58709
2021/1/20,59437
2021/1/21,60294
2021/1/22,60951
2021/1/23,61576
2021/1/24,62337
2021/1/25,62768
2021/1/26,63172
2021/1/27,63563
2021/1/28,64258
2021/1/29,64838
2021/1/30,65362
2021/1/31,65695
2021/2/1,66058
2021/2/2,66384
2021/2/3,66721
2021/2/4,67117
2021/2/5,67595
2021/2/6,68061
2021/2/7,68379
2021/2/8,68499
2021/2/9,68918
2021/2/10,69247
2021/2/11,69612
2021/2/12,70072
2021/2/13,70505
2021/2/14,70785
2021/2/15,71017
2021/2/16,71215
2021/2/17,71965
2021/2/18,72399
2021/2/19,72767
2021/2/20,73161
2021/2/21,73413
2021/2/22,73665
2021/2/23,73923
2021/2/24,74258
2021/2/25,74568
2021/2/26,74893
2021/2/27,75166
2021/2/28,75424
2021/3/1,75588
2021/3/2,75803
2021/3/3,75990
2021/3/4,76178
2021/3/5,76422
2021/3/6,76695
2021/3/7,76861
2021/3/8,77060
2021/3/9,77252
2021/3/10,77463
2021/3/11,77764
2021/3/12,78074
2021/3/13,78319
2021/3/14,78615
2021/3/15,78813
2021/3/16,79070
2021/3/17,79367
2021/3/18,79702
2021/3/19,79996
2021/3/20,80316
2021/3/21,80543
2021/3/22,80750
2021/3/23,81132
2021/3/24,81521
2021/3/25,82039
2021/3/26,82374
2021/3/27,82745
2021/3/28,83027
2021/3/29,83340
2021/3/30,83714
2021/3/31,84176
2021/4/1,84539
2021/4/2,85010
2021/4/3,85448
2021/4/4,85846
2021/4/5,86125
2021/4/6,86510
2021/4/7,86935
2021/4/8,87441
2021/4/9,87978
2021/4/10,88446
2021/4/11,88854
2021/4/12,89229
2021/4/13,89605
2021/4/14,89983
2021/4/15,90525
2021/4/16,90910
2021/4/17,91279
2021/4/18,91586
2021/4/19,91783
2021/4/20,92053
2021/4/21,92395
2021/4/22,92911
2021/4/23,93231
2021/4/24,93542
2021/4/25,93821
2021/4/26,93935
2021/4/27,94203
2021/4/28,94405
2021/4/29,94676
2021/4/30,94886
2021/5/1,95163
2021/5/2,95377
2021/5/3,95506
2021/5/4,95714
2021/5/5,95881
2021/5/6,96134
2021/5/7,96337
2021/5/8,96501
2021/5/9,96624
2021/5/10,96801
