date,cases
2020/3/4,1
2020/3/5,2
2020/3/6,4
2020/3/7,4
2020/3/8,6
2020/3/9,11
2020/3/10,15
2020/3/11,23
2020/3/12,29
2020/3/13,50
2020/3/14,75
2020/3/15,98
2020/3/16,176
2020/3/17,268
2020/3/18,427
2020/3/19,735
2020/3/20,896
2020/3/21,1336
2020/3/22,1914
2020/3/23,2844
2020/3/24,3675
2020/3/25,4402
2020/3/26,6876
2020/3/27,8825
2020/3/28,11124
2020/3/29,13386
2020/3/30,16636
2020/3/31,18696
2020/4/1,22255
2020/4/2,25590
2020/4/3,29895
2020/4/4,34124
2020/4/5,37505
2020/4/6,41090
2020/4/7,44416
2020/4/8,47437
2020/4/9,51027
2020/4/10,54588
2020/4/11,58151
2020/4/12,61850
2020/4/13,64584
2020/4/14,68824
2020/4/15,71030
2020/4/16,75317
2020/4/17,78467
2020/4/18,81420
2020/4/19,85301
2020/4/20,88806
2020/4/21,92387
2020/4/22,95865
2020/4/23,99989
2020/4/24,102196
2020/4/25,105523
2020/4/26,109038
2020/4/27,111188
2020/4/28,113856
2020/4/29,116264
2020/4/30,118652
2020/5/1,121190
2020/5/2,123717
2020/5/3,126744
2020/5/4,128269
2020/5/5,130593
2020/5/6,131890
2020/5/7,133635
2020/5/8,135454
2020/5/9,137085
2020/5/10,138532
2020/5/11,139945
2020/5/12,140743
2020/5/13,141560
2020/5/14,142704
2020/5/15,143905
2020/5/16,145089
2020/5/17,146334
2020/5/18,148039
2020/5/19,149013
2020/5/20,150399
2020/5/21,151472
2020/5/22,152719
2020/5/23,153104
2020/5/24,154154
2020/5/25,155092
2020/5/26,155764
2020/5/27,156628
2020/5/28,157815
2020/5/29,158844
2020/5/30,159608
2020/5/31,160445
2020/6/1,160918
2020/6/2,161545
2020/6/3,162068
2020/6/4,162530
2020/6/5,163336
2020/6/6,163893
2020/6/7,164164
2020/6/8,164497
2020/6/9,164796
2020/6/10,165346
2020/6/11,165816
2020/6/12,166164
2020/6/13,166605
2020/6/14,166881
2020/6/15,167103
2020/6/16,167426
2020/6/17,167703
2020/6/18,168107
2020/6/19,168496
2020/6/20,168834
2020/6/21,169142
2020/6/22,169415
2020/6/23,169734
2020/6/24,169892
2020/6/25,172050
2020/6/26,172438
2020/6/27,172727
2020/6/28,173036
2020/6/29,173126
2020/6/30,173521
2020/7/1,173782
2020/7/2,174212
2020/7/3,174598
2020/7/4,174889
2020/7/5,175258
2020/7/6,175467
2020/7/7,175734
2020/7/8,175986
2020/7/9,176217
2020/7/10,176575
2020/7/11,176906
2020/7/12,177245
2020/7/13,177469
2020/7/14,177862
2020/7/15,178252
2020/7/16,178475
2020/7/17,178525
2020/7/18,178788
2020/7/19,178757
2020/7/20,178937
2020/7/21,179230
2020/7/22,179565
2020/7/23,179807
2020/7/24,180265
2020/7/25,180778
2020/7/26,181283
2020/7/27,181732
2020/7/28,182215
2020/7/29,182641
2020/7/30,182845
2020/7/31,183535
2020/8/1,183904
2020/8/2,184225
2020/8/3,184489
2020/8/4,184845
2020/8/5,185180
2020/8/6,185554
2020/8/7,185914
2020/8/8,186282
2020/8/9,186626
2020/8/10,186884
2020/8/11,187328
2020/8/12,187777
2020/8/13,188433
2020/8/14,189003
2020/8/15,189281
2020/8/16,189294
2020/8/17,189606
2020/8/18,189937
2020/8/19,190256
2020/8/20,190356
2020/8/21,190646
2020/8/22,191175
2020/8/23,191323
2020/8/24,191548
2020/8/25,191850
2020/8/26,192086
2020/8/27,192393
2020/8/28,192751
2020/8/29,193100
2020/8/30,193391
2020/8/31,193740
2020/9/1,194070
2020/9/2,194378
2020/9/3,194756
2020/9/4,195205
2020/9/5,195530
2020/9/6,195841
2020/9/7,196173
2020/9/8,196450
2020/9/9,196779
2020/9/10,197203
2020/9/11,197677
2020/9/12,198126
2020/9/13,198423
2020/9/14,198757
2020/9/15,199193
2020/9/16,199583
2020/9/17,200152
2020/9/18,200639
2020/9/19,201100
2020/9/20,201553
2020/9/21,201945
2020/9/22,202371
2020/9/23,202779
2020/9/24,203343
2020/9/25,203891
2020/9/26,204641
2020/9/27,205339
2020/9/28,205898
2020/9/29,206354
2020/9/30,207062
2020/10/1,207676
2020/10/2,208416
2020/10/3,209363
2020/10/4,209989
2020/10/5,210500
2020/10/6,211129
2020/10/7,211638
2020/10/8,212936
2020/10/9,213801
2020/10/10,214665
2020/10/11,215416
2020/10/12,215885
2020/10/13,216873
2020/10/14,217812
2020/10/15,218783
2020/10/16,219593
2020/10/17,220527
2020/10/18,221802
2020/10/19,222994
2020/10/20,223982
2020/10/21,225012
2020/10/22,226174
2020/10/23,227219
2020/10/24,229128
2020/10/25,230257
2020/10/26,231473
2020/10/27,233120
2020/10/28,234790
2020/10/29,236340
2020/10/30,238316
2020/10/31,239679
2020/11/1,241422
2020/11/2,242790
2020/11/3,244614
2020/11/4,247057
2020/11/5,249019
2020/11/6,251180
2020/11/7,254382
2020/11/8,256395
2020/11/9,258453
2020/11/10,262230
2020/11/11,265295
2020/11/12,268787
2020/11/13,272184
2020/11/14,276537
2020/11/15,281075
2020/11/16,283294
2020/11/17,287320
2020/11/18,291374
2020/11/19,295556
2020/11/20,299182
2020/11/21,303851
2020/11/22,307819
2020/11/23,311400
2020/11/24,315675
2020/11/25,319734
2020/11/26,324207
2020/11/27,328302
2020/11/28,332104
2020/11/29,335943
2020/11/30,339133
2020/12/1,343739
2020/12/2,348042
2020/12/3,352835
2020/12/4,358498
2020/12/5,363822
2020/12/6,369852
2020/12/7,373415
2020/12/8,378891
2020/12/9,383354
2020/12/10,388474
2020/12/11,392124
2020/12/12,398364
2020/12/13,402518
2020/12/14,407316
2020/12/15,411282
2020/12/16,416983
2020/12/17,421238
2020/12/18,425134
2020/12/19,429325
2020/12/20,434500
2020/12/21,437671
2020/12/22,442274
2020/12/23,447083
2020/12/24,451787
2020/12/25,456847
2020/12/26,460846
2020/12/27,463166
2020/12/28,465910
2020/12/29,469567
2020/12/30,474285
2020/12/31,479381
2021/1/1,484882
2021/1/2,490393
2021/1/3,494063
2021/1/4,545155
2021/1/5,551419
2021/1/6,557271
2021/1/7,564750
2021/1/8,571771
2021/1/9,579182
2021/1/10,584828
2021/1/11,590165
2021/1/12,594751
2021/1/13,602629
2021/1/14,609721
2021/1/15,616086
2021/1/16,622085
2021/1/17,627221
2021/1/18,631074
2021/1/19,635701
2021/1/20,641140
2021/1/21,646188
2021/1/22,650388
2021/1/23,657536
2021/1/24,662808
2021/1/25,666951
2021/1/26,671727
2021/1/27,676537
2021/1/28,681283
2021/1/29,687269
2021/1/30,692543
2021/1/31,696831
2021/2/1,700346
2021/2/2,703496
2021/2/3,705807
2021/2/4,709096
2021/2/5,713324
2021/2/6,717834
2021/2/7,722166
2021/2/8,724727
2021/2/9,728304
2021/2/10,732674
2021/2/11,736330
2021/2/12,740062
2021/2/13,743819
2021/2/14,745987
2021/2/15,747432
2021/2/16,751065
2021/2/17,755174
2021/2/18,758450
2021/2/19,761496
2021/2/20,764374
2021/2/21,766405
2021/2/22,769109
2021/2/23,772267
2021/2/24,775385
2021/2/25,778960
2021/2/26,782829
2021/2/27,786964
2021/2/28,789354
2021/3/1,792496
2021/3/2,795785
2021/3/3,799476
2021/3/4,802669
2021/3/5,806367
2021/3/6,810089
2021/3/7,812609
2021/3/8,814916
2021/3/9,819042
2021/3/10,822817
2021/3/11,826631
2021/3/12,830847
2021/3/13,834714
