date,cases
2020/3/11,4
2020/3/12,6
2020/3/13,10
2020/3/14,13
2020/3/15,17
2020/3/16,21
2020/3/17,23
2020/3/18,28
2020/3/19,35
2020/3/20,43
2020/3/21,57
2020/3/22,65
2020/3/23,83
2020/3/24,100
2020/3/25,113
2020/3/26,136
2020/3/27,191
2020/3/28,210
2020/3/29,237
2020/3/30,282
2020/3/31,315
2020/4/1,363
2020/4/2,403
2020/4/3,495
2020/4/4,544
2020/4/5,624
2020/4/6,686
2020/4/7,794
2020/4/8,865
2020/4/9,989
2020/4/10,1090
2020/4/11,1174
2020/4/12,1245
2020/4/13,1345
2020/4/14,1407
2020/4/15,1484
2020/4/16,1597
2020/4/17,1711
2020/4/18,1798
2020/4/19,1845
2020/4/20,1971
2020/4/21,2072
2020/4/22,2210
2020/4/23,2379
2020/4/24,2524
2020/4/25,2662
2020/4/26,2728
2020/4/27,2825
2020/4/28,2975
2020/4/29,3213
2020/4/30,3411
2020/5/1,3513
2020/5/2,3732
2020/5/3,3850
2020/5/4,4030
2020/5/5,4137
2020/5/6,4290
2020/5/7,4492
2020/5/8,4673
2020/5/9,4778
2020/5/10,4863
2020/5/11,5069
2020/5/12,5212
2020/5/13,5364
2020/5/14,5503
2020/5/15,5662
2020/5/16,5847
2020/5/17,5938
2020/5/18,6096
2020/5/19,6192
2020/5/20,6338
2020/5/21,6472
2020/5/22,6625
2020/5/23,6795
2020/5/24,6943
2020/5/25,7026
2020/5/26,7130
2020/5/27,7252
2020/5/28,7364
2020/5/29,7493
2020/5/30,7624
2020/5/31,7689
2020/6/1,7800
2020/6/2,8024
2020/6/3,8140
2020/6/4,8353
2020/6/5,8672
2020/6/6,8800
2020/6/7,8940
2020/6/8,9062
2020/6/9,9105
2020/6/10,9250
2020/6/11,9368
2020/6/12,9526
2020/6/13,9621
2020/6/14,9723
2020/6/15,9845
2020/6/16,9933
2020/6/17,10065
2020/6/18,10153
2020/6/19,10260
2020/6/20,10430
2020/6/21,10565
2020/6/22,10694
2020/6/23,10838
2020/6/24,10990
2020/6/25,11192
2020/6/26,11408
2020/6/27,11619
2020/6/28,11809
2020/6/29,11982
2020/6/30,12147
2020/7/1,12276
2020/7/2,12520
2020/7/3,12776
2020/7/4,13063
2020/7/5,13256
2020/7/6,13507
2020/7/7,13727
2020/7/8,14017
2020/7/9,14251
2020/7/10,14549
2020/7/11,14773
2020/7/12,15028
2020/7/13,15291
2020/7/14,15514
2020/7/15,15841
2020/7/16,16138
2020/7/17,16456
2020/7/18,16736
2020/7/19,16971
2020/7/20,17215
2020/7/21,17517
2020/7/22,17828
2020/7/23,18163
2020/7/24,18475
2020/7/25,18788
2020/7/26,19053
2020/7/27,19502
2020/7/28,19791
2020/7/29,20136
2020/7/30,20388
2020/7/31,20600
2020/8/1,20796
2020/8/2,21016
2020/8/3,21130
2020/8/4,21340
2020/8/5,21566
2020/8/6,21773
2020/8/7,21965
2020/8/8,22115
2020/8/9,22315
2020/8/10,22444
2020/8/11,22643
2020/8/12,22816
2020/8/13,22987
2020/8/14,23160
2020/8/15,23302
2020/8/16,23408
2020/8/17,23500
2020/8/18,23579
2020/8/19,23749
2020/8/20,23951
2020/8/21,24095
2020/8/22,24302
2020/8/23,24396
2020/8/24,24469
2020/8/25,24535
2020/8/26,24732
2020/8/27,24920
2020/8/28,25042
2020/8/29,25178
2020/8/30,25283
2020/8/31,25352
2020/9/1,25460
2020/9/2,25612
2020/9/3,25812
2020/9/4,25902
2020/9/5,26048
2020/9/6,26107
2020/9/7,26144
2020/9/8,26181
2020/9/9,26268
2020/9/10,26429
2020/9/11,26563
2020/9/12,26661
2020/9/13,26761
2020/9/14,26842
2020/9/15,26923
2020/9/16,27041
2020/9/17,27199
2020/9/18,27350
2020/9/19,27512
2020/9/20,27579
2020/9/21,27683
2020/9/22,27790
2020/9/23,27987
2020/9/24,28224
2020/9/25,28487
2020/9/26,28692
2020/9/27,28844
2020/9/28,28985
2020/9/29,29157
2020/9/30,29435
2020/10/1,29661
2020/10/2,30000
2020/10/3,30296
2020/10/4,30477
2020/10/5,30632
2020/10/6,30947
2020/10/7,31372
2020/10/8,31756
2020/10/9,32241
2020/10/10,32722
2020/10/11,32983
2020/10/12,33362
2020/10/13,33713
2020/10/14,34290
2020/10/15,34958
2020/10/16,35770
2020/10/17,36343
2020/10/18,36788
2020/10/19,37302
2020/10/20,37896
2020/10/21,38715
2020/10/22,39377
2020/10/23,40168
2020/10/24,41040
2020/10/25,41863
2020/10/26,42586
2020/10/27,43169
