date,cases
2020/1/22,1
2020/1/23,1
2020/1/24,2
2020/1/25,3
2020/1/26,4
2020/1/27,7
2020/1/28,11
2020/1/29,12
2020/1/30,17
2020/1/31,21
2020/2/1,26
2020/2/2,28
2020/2/3,31
2020/2/4,34
2020/2/5,34
2020/2/6,40
2020/2/7,43
2020/2/8,45
2020/2/9,45
2020/2/10,49
2020/2/11,53
2020/2/12,58
2020/2/13,64
2020/2/14,67
2020/2/15,70
2020/2/16,70
2020/2/17,70
2020/2/18,70
2020/2/19,71
2020/2/20,71
2020/2/21,71
2020/2/22,71
2020/2/23,71
2020/2/24,71
2020/2/25,71
2020/2/26,71
2020/2/27,72
2020/2/28,72
2020/2/29,73
2020/3/1,73
2020/3/2,74
2020/3/3,74
2020/3/4,75
2020/3/5,75
2020/3/6,75
2020/3/7,75
2020/3/8,75
2020/3/9,75
2020/3/10,75
2020/3/11,75
2020/3/12,75
2020/3/13,75
2020/3/14,75
2020/3/15,75
2020/3/16,75
2020/3/17,75
2020/3/18,75
2020/3/19,75
2020/3/20,75
2020/3/21,75
2020/3/22,75
2020/3/23,75
2020/3/24,75
2020/3/25,75
2020/3/26,75
2020/3/27,75
2020/3/28,75
2020/3/29,75
2020/3/30,75
2020/3/31,75
2020/4/1,75
2020/4/2,75
2020/4/3,75
2020/4/4,75
2020/4/5,75
2020/4/6,75
2020/4/7,75
2020/4/8,75
2020/4/9,75
2020/4/10,75
2020/4/11,75
2020/4/12,75
2020/4/13,75
2020/4/14,75
2020/4/15,75
2020/4/16,75
2020/4/17,75
2020/4/18,75
2020/4/19,75
2020/4/20,75
2020/4/21,75
2020/4/22,75
2020/4/23,75
2020/4/24,75
2020/4/25,75
2020/4/26,75
2020/4/27,75
2020/4/28,75
2020/4/29,75
2020/4/30,75
2020/5/1,75
2020/5/2,75
2020/5/3,75
2020/5/4,75
2020/5/5,75
2020/5/6,75
2020/5/7,75
2020/5/8,75
2020/5/9,75
2020/5/10,75
2020/5/11,75
2020/5/12,75
2020/5/13,75
2020/5/14,75
2020/5/15,75
2020/5/16,75
2020/5/17,75
2020/5/18,75
2020/5/19,75
2020/5/20,75
2020/5/21,75
2020/5/22,75
2020/5/23,75
2020/5/24,75
2020/5/25,75
2020/5/26,75
2020/5/27,75
2020/5/28,75
2020/5/29,75
2020/5/30,75
2020/5/31,75
2020/6/1,75
2020/6/2,75
2020/6/3,75
2020/6/4,75
2020/6/5,75
2020/6/6,75
2020/6/7,75
2020/6/8,75
2020/6/9,75
2020/6/10,75
2020/6/11,75
2020/6/12,75
2020/6/13,75
2020/6/14,75
2020/6/15,75
2020/6/16,75
2020/6/17,75
2020/6/18,75
2020/6/19,75
2020/6/20,75
2020/6/21,75
2020/6/22,75
2020/6/23,75
2020/6/24,75
2020/6/25,75
2020/6/26,75
2020/6/27,75
2020/6/28,75
2020/6/29,75
2020/6/30,75
2020/7/1,75
2020/7/2,75
2020/7/3,75
2020/7/4,75
2020/7/5,75
2020/7/6,75
2020/7/7,75
2020/7/8,75
2020/7/9,75
2020/7/10,75
2020/7/11,75
2020/7/12,75
2020/7/13,75
2020/7/14,75
2020/7/15,75
2020/7/16,75
2020/7/17,75
2020/7/18,75
2020/7/19,75
2020/7/20,75
2020/7/21,75
2020/7/22,75
2020/7/23,75
2020/7/24,75
2020/7/25,75
2020/7/26,75
2020/7/27,75
2020/7/28,75
2020/7/29,75
2020/7/30,75
2020/7/31,75
2020/8/1,75
2020/8/2,75
2020/8/3,75
2020/8/4,75
2020/8/5,75
2020/8/6,75
2020/8/7,75
2020/8/8,75
2020/8/9,75
2020/8/10,75
2020/8/11,75
2020/8/12,75
2020/8/13,75
2020/8/14,75
2020/8/15,75
2020/8/16,75
2020/8/17,75
2020/8/18,75
2020/8/19,75
2020/8/20,75
2020/8/21,75
2020/8/22,75
2020/8/23,75
2020/8/24,75
2020/8/25,75
2020/8/26,75
2020/8/27,75
2020/8/28,75
2020/8/29,75
2020/8/30,75
2020/8/31,75
2020/9/1,75
2020/9/2,75
2020/9/3,75
2020/9/4,75
2020/9/5,75
2020/9/6,75
2020/9/7,75
2020/9/8,75
2020/9/9,75
2020/9/10,75
2020/9/11,75
2020/9/12,75
2020/9/13,75
2020/9/14,75
2020/9/15,75
2020/9/16,75
2020/9/17,75
2020/9/18,75
2020/9/19,75
2020/9/20,75
2020/9/21,75
2020/9/22,75
2020/9/23,75
2020/9/24,75
2020/9/25,75
2020/9/26,75
2020/9/27,75
2020/9/28,75
2020/9/29,75
2020/9/30,75
2020/10/1,75
2020/10/2,75
2020/10/3,75
2020/10/4,75
2020/10/5,75
2020/10/6,75
2020/10/7,75
2020/10/8,75
2020/10/9,75
2020/10/10,75
2020/10/11,75
2020/10/12,75
2020/10/13,75
2020/10/14,75
2020/10/15,75
2020/10/16,75
2020/10/17,75
2020/10/18,75
2020/10/19,75
2020/10/20,75
2020/10/21,75
2020/10/22,75
2020/10/23,75
2020/10/24,75
2020/10/25,75
2020/10/26,75
2020/10/27,75
2020/10/28,75
2020/10/29,75
2020/10/30,75
2020/10/31,75
2020/11/1,75
2020/11/2,75
2020/11/3,75
2020/11/4,75
2020/11/5,75
2020/11/6,75
2020/11/7,75
2020/11/8,75
2020/11/9,75
2020/11/10,75
2020/11/11,75
2020/11/12,75
2020/11/13,75
2020/11/14,75
2020/11/15,75
2020/11/16,75
2020/11/17,75
2020/11/18,75
2020/11/19,75
2020/11/20,75
2020/11/21,75
2020/11/22,75
2020/11/23,75
2020/11/24,75
2020/11/25,75
2020/11/26,75
2020/11/27,75
2020/11/28,75
2020/11/29,75
2020/11/30,75
2020/12/1,75
2020/12/2,75
2020/12/3,75
2020/12/4,75
2020/12/5,75
2020/12/6,75
2020/12/7,75
2020/12/8,75
2020/12/9,75
2020/12/10,75
2020/12/11,75
2020/12/12,75
2020/12/13,75
2020/12/14,75
2020/12/15,75
2020/12/16,75
2020/12/17,75
2020/12/18,75
2020/12/19,75
2020/12/20,75
2020/12/21,75
2020/12/22,75
2020/12/23,75
2020/12/24,75
2020/12/25,75
2020/12/26,75
2020/12/27,75
2020/12/28,75
2020/12/29,75
2020/12/30,75
2020/12/31,75
2021/1/1,75
2021/1/2,75
2021/1/3,75
2021/1/4,75
2021/1/5,75
2021/1/6,75
2021/1/7,75
2021/1/8,75
2021/1/9,75
2021/1/10,75
2021/1/11,75
2021/1/12,75
2021/1/13,75
2021/1/14,75
2021/1/15,75
2021/1/16,75
2021/1/17,75
2021/1/18,75
2021/1/19,75
2021/1/20,75
2021/1/21,75
2021/1/22,75
2021/1/23,75
2021/1/24,75
2021/1/25,75
2021/1/26,75
2021/1/27,75
2021/1/28,75
2021/1/29,75
2021/1/30,75
2021/1/31,75
2021/2/1,75
2021/2/2,75
2021/2/3,75
2021/2/4,75
2021/2/5,75
2021/2/6,75
2021/2/7,75
2021/2/8,75
2021/2/9,75
2021/2/10,75
2021/2/11,75
2021/2/12,75
2021/2/13,75
2021/2/14,75
2021/2/15,75
2021/2/16,75
2021/2/17,75
2021/2/18,75
2021/2/19,75
2021/2/20,75
2021/2/21,75
2021/2/22,75
