date,state,cases
2020/3/3,North Carolina,1
2020/3/4,North Carolina,1
2020/3/5,North Carolina,1
2020/3/6,North Carolina,2
2020/3/7,North Carolina,2
2020/3/8,North Carolina,2
2020/3/9,North Carolina,7
2020/3/10,North Carolina,7
2020/3/11,North Carolina,8
2020/3/12,North Carolina,16
2020/3/13,North Carolina,18
2020/3/14,North Carolina,25
2020/3/15,North Carolina,32
2020/3/16,North Carolina,34
2020/3/17,North Carolina,42
2020/3/18,North Carolina,66
2020/3/19,North Carolina,104
2020/3/20,North Carolina,144
2020/3/21,North Carolina,184
2020/3/22,North Carolina,269
2020/3/23,North Carolina,302
2020/3/24,North Carolina,397
2020/3/25,North Carolina,562
2020/3/26,North Carolina,639
2020/3/27,North Carolina,784
2020/3/28,North Carolina,972
2020/3/29,North Carolina,1166
2020/3/30,North Carolina,1303
2020/3/31,North Carolina,1527
2020/4/1,North Carolina,1591
2020/4/2,North Carolina,1858
2020/4/3,North Carolina,2093
2020/4/4,North Carolina,2402
2020/4/5,North Carolina,2585
2020/4/6,North Carolina,2870
2020/4/7,North Carolina,3220
2020/4/8,North Carolina,3423
2020/4/9,North Carolina,3651
2020/4/10,North Carolina,3906
2020/4/11,North Carolina,4310
2020/4/12,North Carolina,4520
2020/4/13,North Carolina,4788
2020/4/14,North Carolina,4992
2020/4/15,North Carolina,5123
2020/4/16,North Carolina,5463
2020/4/17,North Carolina,5859
2020/4/18,North Carolina,6140
2020/4/19,North Carolina,6493
2020/4/20,North Carolina,6764
2020/4/21,North Carolina,6951
2020/4/22,North Carolina,7220
2020/4/23,North Carolina,7608
2020/4/24,North Carolina,8052
2020/4/25,North Carolina,8548
2020/4/26,North Carolina,8830
2020/4/27,North Carolina,9035
2020/4/28,North Carolina,9568
2020/4/29,North Carolina,9947
2020/4/30,North Carolina,10507
2020/5/1,North Carolina,10922
2020/5/2,North Carolina,11514
2020/5/3,North Carolina,11668
2020/5/4,North Carolina,11871
2020/5/5,North Carolina,12283
2020/5/6,North Carolina,12783
2020/5/7,North Carolina,13431
2020/5/8,North Carolina,13879
2020/5/9,North Carolina,14387
2020/5/10,North Carolina,14783
2020/5/11,North Carolina,15069
2020/5/12,North Carolina,15402
2020/5/13,North Carolina,15850
2020/5/14,North Carolina,16593
2020/5/15,North Carolina,17190
2020/5/16,North Carolina,18009
2020/5/17,North Carolina,18537
2020/5/18,North Carolina,19121
2020/5/19,North Carolina,19762
2020/5/20,North Carolina,20221
2020/5/21,North Carolina,20934
2020/5/22,North Carolina,21661
2020/5/23,North Carolina,22731
2020/5/24,North Carolina,23231
2020/5/25,North Carolina,23997
2020/5/26,North Carolina,24188
2020/5/27,North Carolina,24787
2020/5/28,North Carolina,25616
2020/5/29,North Carolina,26735
2020/5/30,North Carolina,27761
2020/5/31,North Carolina,28686
2020/6/1,North Carolina,29368
2020/6/2,North Carolina,30052
2020/6/3,North Carolina,31013
2020/6/4,North Carolina,32276
2020/6/5,North Carolina,33417
2020/6/6,North Carolina,34809
2020/6/7,North Carolina,35663
2020/6/8,North Carolina,36581
2020/6/9,North Carolina,37393
2020/6/10,North Carolina,38305
2020/6/11,North Carolina,39735
2020/6/12,North Carolina,41467
2020/6/13,North Carolina,42911
2020/6/14,North Carolina,44199
2020/6/15,North Carolina,45257
2020/6/16,North Carolina,46105
2020/6/17,North Carolina,47142
2020/6/18,North Carolina,48426
2020/6/19,North Carolina,50014
2020/6/20,North Carolina,51640
2020/6/21,North Carolina,52854
2020/6/22,North Carolina,53840
2020/6/23,North Carolina,54826
2020/6/24,North Carolina,56263
2020/6/25,North Carolina,57540
2020/6/26,North Carolina,59257
2020/6/27,North Carolina,60709
2020/6/28,North Carolina,62178
2020/6/29,North Carolina,63692
2020/6/30,North Carolina,65064
2020/7/1,North Carolina,66815
2020/7/2,North Carolina,68512
2020/7/3,North Carolina,70451
2020/7/4,North Carolina,71735
2020/7/5,North Carolina,73096
2020/7/6,North Carolina,74933
2020/7/7,North Carolina,76188
2020/7/8,North Carolina,77661
2020/7/9,North Carolina,79564
2020/7/10,North Carolina,81737
2020/7/11,North Carolina,83996
2020/7/12,North Carolina,85831
2020/7/13,North Carolina,87653
2020/7/14,North Carolina,89767
2020/7/15,North Carolina,91573
2020/7/16,North Carolina,93657
2020/7/17,North Carolina,95633
2020/7/18,North Carolina,98067
2020/7/19,North Carolina,99841
2020/7/20,North Carolina,101176
2020/7/21,North Carolina,103047
2020/7/22,North Carolina,105138
2020/7/23,North Carolina,107050
2020/7/24,North Carolina,109206
