date,cases
2020/3/11,1
2020/3/12,1
2020/3/13,1
2020/3/14,1
2020/3/15,1
2020/3/16,1
2020/3/17,5
2020/3/18,7
2020/3/19,19
2020/3/20,27
2020/3/21,28
2020/3/22,30
2020/3/23,32
2020/3/24,37
2020/3/25,45
2020/3/26,58
2020/3/27,68
2020/3/28,93
2020/3/29,97
2020/3/30,109
2020/3/31,126
2020/4/1,147
2020/4/2,159
2020/4/3,173
2020/4/4,186
2020/4/5,207
2020/4/6,225
2020/4/7,237
2020/4/8,251
2020/4/9,269
2020/4/10,278
2020/4/11,293
2020/4/12,308
2020/4/13,331
2020/4/14,341
2020/4/15,365
2020/4/16,393
2020/4/17,439
2020/4/18,528
2020/4/19,585
2020/4/20,627
2020/4/21,644
2020/4/22,679
2020/4/23,709
2020/4/24,748
2020/4/25,803
2020/4/26,867
2020/4/27,942
2020/4/28,991
2020/4/29,1033
2020/4/30,1067
2020/5/1,1107
2020/5/2,1153
2020/5/3,1191
2020/5/4,1225
2020/5/5,1266
2020/5/6,1323
2020/5/7,1371
2020/5/8,1425
2020/5/9,1464
2020/5/10,1491
2020/5/11,1518
2020/5/12,1571
2020/5/13,1647
2020/5/14,1712
2020/5/15,1761
2020/5/16,1848
2020/5/17,1900
2020/5/18,1931
2020/5/19,1994
2020/5/20,2095
2020/5/21,2229
2020/5/22,2317
2020/5/23,2365
2020/5/24,2418
2020/5/25,2457
2020/5/26,2422
2020/5/27,2442
2020/5/28,2484
2020/5/29,2523
2020/5/30,2557
2020/5/31,2580
2020/6/1,2628
2020/6/2,2649
2020/6/3,2682
2020/6/4,2709
2020/6/5,2748
2020/6/6,2819
2020/6/7,2864
2020/6/8,2883
2020/6/9,2904
2020/6/10,2944
2020/6/11,2983
2020/6/12,3019
2020/6/13,3061
2020/6/14,3083
2020/6/15,3104
2020/6/16,3127
2020/6/17,3170
2020/6/18,3199
2020/6/19,3232
2020/6/20,3257
2020/6/21,3294
2020/6/22,3319
2020/6/23,3326
2020/6/24,3370
2020/6/25,3402
2020/6/26,3430
2020/6/27,3467
2020/6/28,3504
2020/6/29,3548
2020/6/30,3585
2020/7/1,3624
2020/7/2,3666
2020/7/3,3731
2020/7/4,3788
2020/7/5,3825
2020/7/6,3858
2020/7/7,3903
2020/7/8,3975
2020/7/9,4074
2020/7/10,4158
2020/7/11,4247
2020/7/12,4338
2020/7/13,4446
2020/7/14,4497
2020/7/15,4569
2020/7/16,4672
2020/7/17,4796
2020/7/18,4911
2020/7/19,5023
2020/7/20,5130
2020/7/21,5211
2020/7/22,5371
2020/7/23,5497
2020/7/24,5618
2020/7/25,5740
2020/7/26,5880
2020/7/27,5990
2020/7/28,6145
2020/7/29,6231
2020/7/30,6305
2020/7/31,6473
2020/8/1,6606
2020/8/2,6664
2020/8/3,6789
2020/8/4,6937
2020/8/5,7061
2020/8/6,7181
2020/8/7,7331
2020/8/8,7512
2020/8/9,7600
2020/8/10,7717
2020/8/11,7889
2020/8/12,7974
2020/8/13,8175
2020/8/14,8326
2020/8/15,8448
2020/8/16,8591
2020/8/17,8651
2020/8/18,8786
2020/8/19,8972
2020/8/20,9246
2020/8/21,9478
2020/8/22,9740
2020/8/23,9880
