date,cases
2020/3/6,1
2020/3/7,1
2020/3/8,1
2020/3/9,1
2020/3/10,2
2020/3/11,2
2020/3/12,2
2020/3/13,3
2020/3/14,4
2020/3/15,8
2020/3/16,10
2020/3/17,18
2020/3/18,29
2020/3/19,44
2020/3/20,49
2020/3/21,53
2020/3/22,67
2020/3/23,81
2020/3/24,106
2020/3/25,164
2020/3/26,248
2020/3/27,322
2020/3/28,377
2020/3/29,429
2020/3/30,481
2020/3/31,566
2020/4/1,719
2020/4/2,879
2020/4/3,989
2020/4/4,1159
2020/4/5,1251
2020/4/6,1326
2020/4/7,1470
2020/4/8,1523
2020/4/9,1683
2020/4/10,1794
2020/4/11,1868
2020/4/12,1970
2020/4/13,2069
2020/4/14,2184
2020/4/15,2263
2020/4/16,2357
2020/4/17,2465
2020/4/18,2570
2020/4/19,2599
2020/4/20,2680
2020/4/21,2807
2020/4/22,2894
2020/4/23,3017
2020/4/24,3120
2020/4/25,3193
2020/4/26,3253
2020/4/27,3280
2020/4/28,3410
2020/4/29,3473
2020/4/30,3618
2020/5/1,3748
2020/5/2,3851
2020/5/3,3972
2020/5/4,4044
2020/5/5,4127
2020/5/6,4201
2020/5/7,4330
2020/5/8,4424
2020/5/9,4490
2020/5/10,4589
2020/5/11,4613
2020/5/12,4731
2020/5/13,4852
2020/5/14,4962
2020/5/15,5086
2020/5/16,5237
2020/5/17,5310
2020/5/18,5398
2020/5/19,5489
2020/5/20,5532
2020/5/21,5680
2020/5/22,5849
2020/5/23,5960
2020/5/24,6037
2020/5/25,6090
2020/5/26,6137
2020/5/27,6229
2020/5/28,6270
2020/5/29,6338
2020/5/30,6418
2020/5/31,6506
2020/6/1,6573
2020/6/2,6692
2020/6/3,6805
2020/6/4,6907
2020/6/5,7004
2020/6/6,7060
2020/6/7,7151
2020/6/8,7206
2020/6/9,7364
2020/6/10,7480
2020/6/11,7626
2020/6/12,7848
2020/6/13,8073
2020/6/14,8231
2020/6/15,8417
2020/6/16,8645
2020/6/17,8903
2020/6/18,9354
2020/6/19,9706
2020/6/20,10037
2020/6/21,10515
2020/6/22,10733
2020/6/23,11028
2020/6/24,11509
2020/6/25,11947
2020/6/26,12343
2020/6/27,12642
2020/6/28,12944
2020/6/29,13172
2020/6/30,13757
2020/7/1,14112
2020/7/2,14539
2020/7/3,15065
2020/7/4,15645
2020/7/5,15928
2020/7/6,16362
2020/7/7,17220
2020/7/8,17893
2020/7/9,18496
2020/7/10,19092
2020/7/11,19779
2020/7/12,20235
2020/7/13,20745
2020/7/14,21738
2020/7/15,22813
2020/7/16,23441
2020/7/17,24140
2020/7/18,25056
2020/7/19,25265
2020/7/20,25433
2020/7/21,26326
2020/7/22,27301
2020/7/23,27969
2020/7/24,29116
2020/7/25,30081
2020/7/26,31285
2020/7/27,32529
2020/7/28,33757
2020/7/29,34605
2020/7/30,35710
2020/7/31,36456
2020/8/1,37706
2020/8/2,38201
2020/8/3,38586
2020/8/4,39452
2020/8/5,40555
2020/8/6,41395
2020/8/7,42234
2020/8/8,43070
2020/8/9,43561
2020/8/10,43962
2020/8/11,44725
2020/8/12,45392
2020/8/13,46101
2020/8/14,46893
2020/8/15,47798
2020/8/16,48342
2020/8/17,48711
2020/8/18,49326
2020/8/19,49923
2020/8/20,50669
2020/8/21,51746
2020/8/22,52599
2020/8/23,53165
2020/8/24,53522
2020/8/25,54172
2020/8/26,54838
2020/8/27,55550
2020/8/28,56260
2020/8/29,57353
2020/8/30,58020
2020/8/31,58733
2020/9/1,59399
2020/9/2,60118
2020/9/3,61027
2020/9/4,62040
2020/9/5,63187
2020/9/6,63607
2020/9/7,64220
2020/9/8,65053
2020/9/9,65929
2020/9/10,66700
2020/9/11,67642
2020/9/12,68659
2020/9/13,69354
2020/9/14,70223
2020/9/15,71314
2020/9/16,72284
2020/9/17,73318
2020/9/18,74567
2020/9/19,75804
2020/9/20,76807
2020/9/21,77908
2020/9/22,79072
2020/9/23,80161
2020/9/24,81244
2020/9/25,82520
2020/9/26,83510
2020/9/27,84333
2020/9/28,85194
2020/9/29,86219
2020/9/30,87199
2020/10/1,88369
2020/10/2,89559
2020/10/3,90748
2020/10/4,91317
2020/10/5,91982
2020/10/6,93346
2020/10/7,94352
2020/10/8,95564
2020/10/9,97088
2020/10/10,98621
2020/10/11,99387
2020/10/12,100184
2020/10/13,101493
2020/10/14,102615
2020/10/15,103836
2020/10/16,105308
2020/10/17,106503
2020/10/18,107299
2020/10/19,108073
2020/10/20,109548
2020/10/21,110855
2020/10/22,112483
2020/10/23,113856
2020/10/24,115685
2020/10/25,116736
2020/10/26,117399
2020/10/27,118409
2020/10/28,119152
2020/10/29,120193
2020/10/30,121495
2020/10/31,122762
2020/11/1,124111
2020/11/2,125195
2020/11/3,126526
2020/11/4,127772
2020/11/5,129873
2020/11/6,131751
2020/11/7,136258
2020/11/8,136258
2020/11/9,138455
2020/11/10,140157
2020/11/11,142334
2020/11/12,144691
2020/11/13,147358
2020/11/14,150205
2020/11/15,154128
2020/11/16,156857
2020/11/17,158408
2020/11/18,161425
2020/11/19,164340
2020/11/20,167261
2020/11/21,170924
2020/11/22,174330
2020/11/23,177874
2020/11/24,180610
2020/11/25,184342
2020/11/26,184342
2020/11/27,187567
2020/11/28,193824
2020/11/29,195545
2020/11/30,197745
2020/12/1,199482
2020/12/2,202341
2020/12/3,204048
2020/12/4,208875
2020/12/5,213245
2020/12/6,216486
2020/12/7,218389
2020/12/8,220686
2020/12/9,222993
2020/12/10,225453
2020/12/11,229353
2020/12/12,233336
2020/12/13,237668
2020/12/14,239767
2020/12/15,241991
2020/12/16,245229
2020/12/17,248204
2020/12/18,251760
2020/12/19,255868
2020/12/20,260838
2020/12/21,263434
2020/12/22,265620
2020/12/23,269276
2020/12/24,272553
2020/12/25,272553
2020/12/26,276508
2020/12/27,279139
2020/12/28,282587
2020/12/29,283781
2020/12/30,287030
2020/12/31,290936
2021/1/1,290936
2021/1/2,296055
2021/1/3,304072
2021/1/4,306771
2021/1/5,308268
2021/1/6,311573
2021/1/7,315354
2021/1/8,320586
2021/1/9,324875
2021/1/10,331362
2021/1/11,335247
2021/1/12,337457
2021/1/13,341364
2021/1/14,344506
2021/1/15,348044
2021/1/16,351665
2021/1/17,354979
2021/1/18,356816
2021/1/19,358374
2021/1/20,360360
2021/1/21,363046
2021/1/22,365992
2021/1/23,370149
2021/1/24,373090
2021/1/25,374853
2021/1/26,376424
2021/1/27,379110
2021/1/28,381430
2021/1/29,384217
2021/1/30,386590
2021/1/31,389472
2021/2/1,390868
2021/2/2,392164
2021/2/3,394283
2021/2/4,397065
2021/2/5,399727
2021/2/6,401780
2021/2/7,403954
2021/2/8,404994
2021/2/9,406064
2021/2/10,407724
2021/2/11,409401
2021/2/12,410818
2021/2/13,412276
2021/2/14,413542
2021/2/15,414272
2021/2/16,414780
2021/2/17,415858
2021/2/18,416476
2021/2/19,417345
2021/2/20,418318
2021/2/21,419354
2021/2/22,419853
2021/2/23,420212
2021/2/24,421010
2021/2/25,422156
2021/2/26,423023
2021/2/27,423802
2021/2/28,424508
2021/3/1,424888
2021/3/2,424999
2021/3/3,425746
2021/3/4,426641
2021/3/5,427558
2021/3/6,428536
2021/3/7,428997
2021/3/8,429162
2021/3/9,429432
2021/3/10,430250
2021/3/11,430944
2021/3/12,431366
2021/3/13,431991
2021/3/14,432483
2021/3/15,432793
2021/3/16,433025
2021/3/17,433516
2021/3/18,434075
2021/3/19,434491
2021/3/20,434491
2021/3/21,434491
2021/3/22,435450
2021/3/23,435634
2021/3/24,436135
2021/3/25,436504
2021/3/26,436971
2021/3/27,436971
2021/3/28,436971
2021/3/29,437853
2021/3/30,437974
2021/3/31,438364
2021/4/1,438777
2021/4/2,439149
2021/4/3,439149
2021/4/4,439149
2021/4/5,440022
2021/4/6,440142
2021/4/7,441906
2021/4/8,442389
2021/4/9,442805
2021/4/10,442805
2021/4/11,442805
2021/4/12,443773
2021/4/13,443882
2021/4/14,444288
2021/4/15,444590
2021/4/16,444863
2021/4/17,444863
2021/4/18,444863
2021/4/19,445650
2021/4/20,445725
2021/4/21,445963
2021/4/22,446246
2021/4/23,446550
2021/4/24,446550
2021/4/25,446550
2021/4/26,447278
2021/4/27,447393
2021/4/28,447642
2021/4/29,447931
2021/4/30,448305
2021/5/1,448305
2021/5/2,448305
2021/5/3,448872
2021/5/4,449014
2021/5/5,449266
2021/5/6,449414
2021/5/7,449648
2021/5/8,449648
2021/5/9,449648
2021/5/10,450315
2021/5/11,450400
2021/5/12,450543
2021/5/13,450696
2021/5/14,450847
2021/5/15,450847
2021/5/16,450847
2021/5/17,451278
2021/5/18,451349
2021/5/19,451473
2021/5/20,451645
2021/5/21,451830
2021/5/22,451830
2021/5/23,451830
2021/5/24,452288
2021/5/25,452377
2021/5/26,452496
2021/5/27,452633
2021/5/28,452777
2021/5/29,452777
2021/5/30,452777
2021/5/31,453172
2021/6/1,453243
2021/6/2,453285
2021/6/3,453400
2021/6/4,453552
2021/6/5,453552
2021/6/6,453552
2021/6/7,453890
2021/6/8,453970
2021/6/9,454094
2021/6/10,454216
2021/6/11,454394
2021/6/12,454394
2021/6/13,454394
2021/6/14,454884
2021/6/15,454929
2021/6/16,455145
2021/6/17,455354
2021/6/18,455535
2021/6/19,455535
2021/6/20,455535
2021/6/21,455986
2021/6/22,456148
2021/6/23,456413
2021/6/24,456686
2021/6/25,456910
2021/6/26,456910
2021/6/27,456910
2021/6/28,457490
2021/6/29,457575
2021/6/30,457851
2021/7/1,458150
2021/7/2,458483
2021/7/3,458483
2021/7/4,458483
2021/7/5,458483
2021/7/6,459524
2021/7/7,459675
2021/7/8,460131
2021/7/9,460682
2021/7/10,460682
2021/7/11,460682
2021/7/12,461893
2021/7/13,462070
2021/7/14,463152
2021/7/15,463857
2021/7/16,464607
2021/7/17,464607
2021/7/18,464607
2021/7/19,466733
2021/7/20,467198
2021/7/21,468401
2021/7/22,469982
2021/7/23,471176
2021/7/24,471176
2021/7/25,471176
2021/7/26,474845
2021/7/27,475578
2021/7/28,477052
2021/7/29,478858
2021/7/30,480635
2021/7/31,480635
2021/8/1,480635
2021/8/2,486232
2021/8/3,487178
2021/8/4,489338
2021/8/5,491680
2021/8/6,493983
2021/8/7,493983
2021/8/8,493983
2021/8/9,500311
2021/8/10,501353
2021/8/11,503552
2021/8/12,506020
2021/8/13,508834
2021/8/14,508834
2021/8/15,508834
2021/8/16,515801
2021/8/17,516663
2021/8/18,519023
2021/8/19,521525
2021/8/20,524376
2021/8/21,524376
2021/8/22,524376
2021/8/23,530594
2021/8/24,532388
2021/8/25,534922
2021/8/26,539074
2021/8/27,542412
2021/8/28,542412
2021/8/29,542412
2021/8/30,550239
2021/8/31,551958
2021/9/1,554496
2021/9/2,557770
2021/9/3,560850
2021/9/4,560850
2021/9/5,560850
2021/9/6,560850
2021/9/7,570923
2021/9/8,572223
2021/9/9,574685
2021/9/10,577312
2021/9/11,577312
2021/9/12,577312
2021/9/13,584692
2021/9/14,585721
2021/9/15,587687
2021/9/16,589950
2021/9/17,592074
2021/9/18,592074
2021/9/19,592074
2021/9/20,598072
2021/9/21,598556
2021/9/22,600800
2021/9/23,603161
2021/9/24,604391
2021/9/25,604391
2021/9/26,604391
2021/9/27,609737
2021/9/28,610385
2021/9/29,611885
2021/9/30,613765
2021/10/1,615217
2021/10/2,615217
2021/10/3,615217
2021/10/4,619056
2021/10/5,619738
2021/10/6,620834
2021/10/7,622335
2021/10/8,622780
2021/10/9,622780
2021/10/10,622780
2021/10/11,627669
2021/10/12,628294
2021/10/13,629512
2021/10/14,630693
2021/10/15,631872
2021/10/16,631872
2021/10/17,631872
2021/10/18,635443
2021/10/19,635865
2021/10/20,636760
2021/10/21,637908
2021/10/22,638957
2021/10/23,638957
2021/10/24,638957
2021/10/25,639720
2021/10/26,641497
2021/10/27,642362
2021/10/28,643058
2021/10/29,643978
2021/10/30,643978
2021/10/31,643978
2021/11/1,645352
2021/11/2,646132
2021/11/3,646763
2021/11/4,647633
2021/11/5,648209
2021/11/6,648209
2021/11/7,648209
2021/11/8,650004
2021/11/9,650269
2021/11/10,650689
2021/11/11,650689
2021/11/12,652731
2021/11/13,652731
2021/11/14,652731
2021/11/15,655512
2021/11/16,655857
2021/11/17,656574
2021/11/18,657630
2021/11/19,658600
2021/11/20,658600
2021/11/21,658600
2021/11/22,661289
2021/11/23,661675
2021/11/24,662220
2021/11/25,662220
2021/11/26,662220
2021/11/27,662220
2021/11/28,662220
2021/11/29,666040
2021/11/30,666927
2021/12/1,667512
2021/12/2,669132
2021/12/3,670420
2021/12/4,670420
2021/12/5,670420
2021/12/6,674758
2021/12/7,675733
2021/12/8,676890
2021/12/9,678343
2021/12/10,681346
2021/12/11,681346
2021/12/12,681346
2021/12/13,683719
2021/12/14,684340
2021/12/15,684579
2021/12/16,684579
2021/12/17,685906
2021/12/18,685906
2021/12/19,685906
2021/12/20,689236
2021/12/21,689800
2021/12/22,691282
2021/12/23,693199
2021/12/24,694210
2021/12/25,694210
2021/12/26,694210
2021/12/27,697590
2021/12/28,700033
2021/12/29,700798
2021/12/30,704964
2021/12/31,708938
2022/1/1,708938
2022/1/2,708938
2022/1/3,716851
2022/1/4,720961
2022/1/5,724875
2022/1/6,731155
2022/1/7,737593
2022/1/8,737593
2022/1/9,737593
2022/1/10,764651
2022/1/11,769662
2022/1/12,775169
2022/1/13,785671
2022/1/14,796986
2022/1/15,796986
2022/1/16,796986
2022/1/17,839143
2022/1/18,842996
2022/1/19,852997
2022/1/20,866403
2022/1/21,880342
2022/1/22,893913
2022/1/23,893913
2022/1/24,914063
2022/1/25,922873
2022/1/26,931033
2022/1/27,944461
2022/1/28,953116
2022/1/29,953116
2022/1/30,953116
2022/1/31,976914
2022/2/1,979349
2022/2/2,983937
2022/2/3,988190
2022/2/4,992932
2022/2/5,995546
2022/2/6,995546
2022/2/7,997783
2022/2/8,998769
2022/2/9,1000480
2022/2/10,1003158
2022/2/11,1005388
2022/2/12,1006846
2022/2/13,1006846
2022/2/14,1009129
2022/2/15,1009507
2022/2/16,1010554
2022/2/17,1012168
2022/2/18,1013287
2022/2/19,1013287
2022/2/20,1013287
2022/2/21,1013287
2022/2/22,1015935
2022/2/23,1016945
2022/2/24,1018328
2022/2/25,1019489
2022/2/26,1019489
2022/2/27,1019489
2022/2/28,1021595
2022/3/1,1021849
2022/3/2,1022769
2022/3/3,1023358
2022/3/4,1024471
2022/3/5,1024471
2022/3/6,1024471
2022/3/7,1024471
2022/3/8,1026472
2022/3/9,1026472
2022/3/10,1026650
2022/3/11,1027136
2022/3/12,1027663
2022/3/13,1027663
2022/3/14,1027663
2022/3/15,1028420
2022/3/16,1028420
2022/3/17,1029977
2022/3/18,1029977
2022/3/19,1029977
2022/3/20,1029977
2022/3/21,1029977
2022/3/22,1031145
2022/3/23,1031145
2022/3/24,1031896
2022/3/25,1031896
2022/3/26,1032520
2022/3/27,1032520
2022/3/28,1032520
2022/3/29,1033256
2022/3/30,1033256
2022/3/31,1033848
2022/4/1,1033848
2022/4/2,1034439
2022/4/3,1034439
2022/4/4,1034439
2022/4/5,1035301
2022/4/6,1035301
2022/4/7,1035301
2022/4/8,1035301
2022/4/9,1036133
2022/4/10,1036133
2022/4/11,1036133
2022/4/12,1036495
2022/4/13,1036495
2022/4/14,1036495
2022/4/15,1036495
2022/4/16,1037729
2022/4/17,1037729
2022/4/18,1037729
2022/4/19,1038301
2022/4/20,1038301
2022/4/21,1038801
2022/4/22,1038801
2022/4/23,1039415
