date,cases
2020/2/28,1
2020/2/29,1
2020/3/1,2
2020/3/2,2
2020/3/3,2
2020/3/4,2
2020/3/5,2
2020/3/6,2
2020/3/7,6
2020/3/8,13
2020/3/9,13
2020/3/10,14
2020/3/11,20
2020/3/12,30
2020/3/13,30
2020/3/14,36
2020/3/15,39
2020/3/16,46
2020/3/17,66
2020/3/18,74
2020/3/19,87
2020/3/20,114
2020/3/21,137
2020/3/22,161
2020/3/23,191
2020/3/24,209
2020/3/25,266
2020/3/26,316
2020/3/27,415
2020/3/28,480
2020/3/29,549
2020/3/30,607
2020/3/31,690
2020/4/1,737
2020/4/2,827
2020/4/3,899
2020/4/4,1000
2020/4/5,1068
2020/4/6,1132
2020/4/7,1181
2020/4/8,1239
2020/4/9,1321
2020/4/10,1371
2020/4/11,1447
2020/4/12,1527
2020/4/13,1584
2020/4/14,1633
2020/4/15,1663
2020/4/16,1736
2020/4/17,1785
2020/4/18,1844
2020/4/19,1910
2020/4/20,1956
2020/4/21,2002
2020/4/22,2059
2020/4/23,2127
2020/4/24,2177
2020/4/25,2253
2020/4/26,2311
2020/4/27,2354
2020/4/28,2385
2020/4/29,2446
2020/4/30,2510
2020/5/1,2579
2020/5/2,2635
2020/5/3,2680
2020/5/4,2759
2020/5/5,2839
2020/5/6,2916
2020/5/7,2989
2020/5/8,3068
2020/5/9,3160
2020/5/10,3228
2020/5/11,3286
2020/5/12,3359
2020/5/13,3416
2020/5/14,3479
2020/5/15,3541
2020/5/16,3612
2020/5/17,3623
2020/5/18,3687
2020/5/19,3726
2020/5/20,3801
2020/5/21,3817
2020/5/22,3864
2020/5/23,3888
2020/5/24,3927
2020/5/25,3949
2020/5/26,3968
2020/5/27,4041
2020/5/28,4087
2020/5/29,4133
2020/5/30,4185
2020/5/31,4243
2020/6/1,4303
2020/6/2,4338
2020/6/3,4399
2020/6/4,4475
2020/6/5,4585
2020/6/6,4672
2020/6/7,4809
2020/6/8,4927
2020/6/9,5027
2020/6/10,5099
2020/6/11,5252
2020/6/12,5388
2020/6/13,5543
2020/6/14,5644
2020/6/15,5831
2020/6/16,6111
2020/6/17,6235
2020/6/18,6390
2020/6/19,6592
2020/6/20,6682
2020/6/21,6945
2020/6/22,7115
2020/6/23,7317
2020/6/24,7462
2020/6/25,7605
2020/6/26,8008
2020/6/27,8110
2020/6/28,8348
2020/6/29,8509
2020/6/30,8695
2020/7/1,9019
2020/7/2,9344
2020/7/3,9643
2020/7/4,9937
2020/7/5,10237
2020/7/6,10413
2020/7/7,10654
2020/7/8,10872
2020/7/9,11247
2020/7/10,11501
2020/7/11,11851
2020/7/12,12170
2020/7/13,12511
2020/7/14,12834
2020/7/15,13129
2020/7/16,13541
2020/7/17,13842
2020/7/18,14231
2020/7/19,14586
2020/7/20,14907
2020/7/21,15257
2020/7/22,15436
2020/7/23,15765
2020/7/24,16172
2020/7/25,16492
2020/7/26,16764
2020/7/27,17122
2020/7/28,17419
2020/7/29,17805
2020/7/30,18166
2020/7/31,18510
2020/8/1,18817
2020/8/2,19097
2020/8/3,19395
2020/8/4,19700
2020/8/5,19979
2020/8/6,20250
2020/8/7,20658
2020/8/8,21011
2020/8/9,21272
2020/8/10,21488
2020/8/11,21782
2020/8/12,22029
2020/8/13,22315
2020/8/14,22614
2020/8/15,23018
2020/8/16,23262
2020/8/17,23461
2020/8/18,23685
2020/8/19,23887
2020/8/20,24176
2020/8/21,24435
2020/8/22,24711
2020/8/23,24938
2020/8/24,25174
2020/8/25,25408
2020/8/26,25575
2020/8/27,25775
2020/8/28,26069
2020/8/29,26293
2020/8/30,26554
2020/8/31,26723
2020/9/1,26958
2020/9/2,27085
2020/9/3,27356
2020/9/4,27605
2020/9/5,27857
2020/9/6,28045
2020/9/7,28191
2020/9/8,28355
2020/9/9,28474
2020/9/10,28661
2020/9/11,28888
2020/9/12,29156
2020/9/13,29337
2020/9/14,29488
2020/9/15,29664
2020/9/16,29856
2020/9/17,30068
2020/9/18,30351
2020/9/19,30600
2020/9/20,30802
2020/9/21,30999
2020/9/22,31323
2020/9/23,31513
2020/9/24,31869
2020/9/25,32328
2020/9/26,32581
2020/9/27,32820
2020/9/28,32995
2020/9/29,33297
2020/9/30,33554
2020/10/1,33865
2020/10/2,34180
2020/10/3,34512
2020/10/4,34771
2020/10/5,35056
2020/10/6,35347
2020/10/7,35646
2020/10/8,36121
2020/10/9,36538
2020/10/10,36925
2020/10/11,37263
2020/10/12,37472
2020/10/13,37788
2020/10/14,38175
2020/10/15,38536
2020/10/16,38947
2020/10/17,39316
2020/10/18,39532
2020/10/19,39799
2020/10/20,40149
2020/10/21,40458
2020/10/22,40825
2020/10/23,41357
2020/10/24,41739
2020/10/25,42101
2020/10/26,42454
2020/10/27,42821
2020/10/28,43228
2020/10/29,43793
2020/10/30,44388
2020/10/31,44923
2020/11/1,45419
2020/11/2,45978
2020/11/3,46460
2020/11/4,47049
2020/11/5,47839
2020/11/6,48608
2020/11/7,49587
2020/11/8,50448
2020/11/9,51155
2020/11/10,51909
2020/11/11,52770
2020/11/12,53879
2020/11/13,54937
2020/11/14,56018
2020/11/15,56880
2020/11/16,57646
2020/11/17,58570
2020/11/18,59670
2020/11/19,60874
2020/11/20,62176
2020/11/21,63668
2020/11/22,65170
2020/11/23,66334
2020/11/24,67337
2020/11/25,68504
2020/11/26,70006
2020/11/27,70833
2020/11/28,72506
2020/11/29,74120
2020/11/30,75454
2020/12/1,76655
2020/12/2,78206
2020/12/3,79294
2020/12/4,81441
2020/12/5,83243
2020/12/6,84496
2020/12/7,85803
2020/12/8,87082
2020/12/9,88308
2020/12/10,89838
2020/12/11,91434
2020/12/12,92839
2020/12/13,93853
2020/12/14,95042
2020/12/15,96093
2020/12/16,97625
2020/12/17,98937
2020/12/18,100309
2020/12/19,101814
2020/12/20,102930
2020/12/21,103880
2020/12/22,105091
2020/12/23,106020
2020/12/24,106822
2020/12/25,107833
2020/12/26,108348
2020/12/27,109734
2020/12/28,110303
2020/12/29,111258
2020/12/30,112301
2020/12/31,113929
2021/1/1,115377
2021/1/2,116348
2021/1/3,117745
2021/1/4,118473
2021/1/5,119508
2021/1/6,120243
2021/1/7,121087
2021/1/8,122847
2021/1/9,124476
2021/1/10,125683
2021/1/11,126607
2021/1/12,127791
2021/1/13,129109
2021/1/14,130246
2021/1/15,131296
2021/1/16,132412
2021/1/17,133205
2021/1/18,133851
2021/1/19,134468
2021/1/20,135143
2021/1/21,135973
2021/1/22,136839
2021/1/23,137600
2021/1/24,138168
2021/1/25,138587
2021/1/26,139355
2021/1/27,140063
2021/1/28,140783
2021/1/29,141729
2021/1/30,142417
2021/1/31,142417
2021/2/1,143373
2021/2/2,143978
2021/2/3,144605
2021/2/4,145322
2021/2/5,146137
2021/2/6,146741
2021/2/7,147122
2021/2/8,147419
2021/2/9,147932
2021/2/10,148475
2021/2/11,149082
2021/2/12,149576
2021/2/13,150034
2021/2/14,150281
2021/2/15,150464
2021/2/16,150875
2021/2/17,151257
2021/2/18,151713
2021/2/19,152190
2021/2/20,152711
2021/2/21,152818
2021/2/22,153139
2021/2/23,153645
2021/2/24,154069
2021/2/25,154581
2021/2/26,154902
2021/2/27,155315
2021/2/28,155597
2021/3/1,155873
2021/3/2,156088
2021/3/3,156387
2021/3/4,156714
2021/3/5,156985
2021/3/6,157163
2021/3/7,157350
2021/3/8,157611
2021/3/9,158029
2021/3/10,158360
2021/3/11,158649
2021/3/12,159130
2021/3/13,159427
2021/3/14,159617
2021/3/15,159872
2021/3/16,160084
2021/3/17,160348
2021/3/18,160642
2021/3/19,161068
2021/3/20,161342
2021/3/21,161532
2021/3/22,161800
2021/3/23,162101
2021/3/24,162461
2021/3/25,162878
2021/3/26,163368
2021/3/27,163737
2021/3/28,163952
2021/3/29,164256
2021/3/30,164582
2021/3/31,165013
2021/4/1,165524
2021/4/2,166014
2021/4/3,166480
2021/4/4,166882
2021/4/5,167219
2021/4/6,167685
2021/4/7,168129
2021/4/8,168795
2021/4/9,169338
2021/4/10,170085
2021/4/11,170568
2021/4/12,170937
2021/4/13,171404
2021/4/14,172206
2021/4/15,172932
2021/4/16,173707
2021/4/17,174501
2021/4/18,175121
2021/4/19,175680
2021/4/20,176164
2021/4/21,177138
2021/4/22,178110
2021/4/23,179124
2021/4/24,179930
2021/4/25,180700
2021/4/26,181413
2021/4/27,182040
2021/4/28,182960
2021/4/29,183830
2021/4/30,184838
2021/5/1,185621
2021/5/2,186344
2021/5/3,186923
2021/5/4,187611
2021/5/5,188460
2021/5/6,189162
2021/5/7,190064
2021/5/8,190804
2021/5/9,191405
2021/5/10,191837
2021/5/11,192416
2021/5/12,193014
2021/5/13,193732
2021/5/14,194542
2021/5/15,195179
2021/5/16,195684
2021/5/17,196004
2021/5/18,196405
2021/5/19,196845
2021/5/20,197356
2021/5/21,197851
2021/5/22,198356
2021/5/23,198689
2021/5/24,199046
2021/5/25,199408
2021/5/26,199858
2021/5/27,200219
2021/5/28,200632
2021/5/29,201005
2021/5/30,201260
2021/5/31,201561
2021/6/1,201701
2021/6/2,202078
2021/6/3,202286
2021/6/4,202762
2021/6/5,203033
2021/6/6,203252
2021/6/7,203411
2021/6/8,203679
2021/6/9,204016
2021/6/10,204317
2021/6/11,204653
2021/6/12,204898
2021/6/13,205030
2021/6/14,205154
2021/6/15,205459
2021/6/16,205780
2021/6/17,206038
2021/6/18,206299
2021/6/19,206581
2021/6/20,206777
2021/6/21,206854
2021/6/22,207106
2021/6/23,207417
2021/6/24,207617
2021/6/25,207884
