date,cases
2020/3/6,2
2020/3/7,4
2020/3/8,6
2020/3/9,10
2020/3/10,12
2020/3/11,16
2020/3/12,22
2020/3/13,41
2020/3/14,47
2020/3/15,68
2020/3/16,81
2020/3/17,101
2020/3/18,139
2020/3/19,187
2020/3/20,269
2020/3/21,388
2020/3/22,504
2020/3/23,644
2020/3/24,851
2020/3/25,1151
2020/3/26,1690
2020/3/27,2217
2020/3/28,2815
2020/3/29,3441
2020/3/30,4156
2020/3/31,4997
2020/4/1,5805
2020/4/2,7021
2020/4/3,8420
2020/4/4,10110
2020/4/5,11590
2020/4/6,13075
2020/4/7,14582
2020/4/8,16414
2020/4/9,18379
2020/4/10,20128
2020/4/11,21774
2020/4/12,22955
2020/4/13,24295
2020/4/14,25591
2020/4/15,26804
2020/4/16,28314
2020/4/17,30121
2020/4/18,31742
2020/4/19,32992
2020/4/20,34005
2020/4/21,35384
2020/4/22,36763
2020/4/23,38334
2020/4/24,40298
2020/4/25,41626
2020/4/26,42709
2020/4/27,43728
2020/4/28,45323
2020/4/29,46191
2020/4/30,48224
2020/5/1,49764
2020/5/2,51071
2020/5/3,52079
2020/5/4,52992
2020/5/5,53967
2020/5/6,54989
2020/5/7,56149
2020/5/8,57501
2020/5/9,58661
2020/5/10,60037
2020/5/11,60557
2020/5/12,61407
2020/5/13,62194
2020/5/14,63158
2020/5/15,64178
2020/5/16,65228
2020/5/17,65745
2020/5/18,66676
2020/5/19,67404
2020/5/20,68151
2020/5/21,69252
2020/5/22,70305
2020/5/23,71102
2020/5/24,71656
2020/5/25,72356
2020/5/26,72873
2020/5/27,73646
2020/5/28,74312
2020/5/29,75073
2020/5/30,75789
2020/5/31,76218
2020/6/1,76734
2020/6/2,77315
2020/6/3,77871
2020/6/4,78428
2020/6/5,78908
2020/6/6,79507
2020/6/7,80001
2020/6/8,80432
2020/6/9,80964
2020/6/10,81410
2020/6/11,81944
2020/6/12,82578
2020/6/13,82988
2020/6/14,83301
2020/6/15,83687
2020/6/16,84077
2020/6/17,84387
2020/6/18,84780
2020/6/19,85288
2020/6/20,85678
2020/6/21,86024
2020/6/22,86666
2020/6/23,87283
2020/6/24,87775
2020/6/25,88230
2020/6/26,88950
2020/6/27,89400
2020/6/28,89785
2020/6/29,90553
2020/6/30,91226
2020/7/1,91864
2020/7/2,92703
2020/7/3,93418
2020/7/4,93922
2020/7/5,94403
2020/7/6,95187
2020/7/7,95986
2020/7/8,96817
2020/7/9,97634
2020/7/10,98574
2020/7/11,99252
2020/7/12,99794
2020/7/13,100378
2020/7/14,101360
2020/7/15,102361
2020/7/16,103169
2020/7/17,104172
2020/7/18,104780
2020/7/19,105384
2020/7/20,106498
2020/7/21,107460
2020/7/22,108267
2020/7/23,109153
2020/7/24,110342
2020/7/25,111121
2020/7/26,111773
2020/7/27,112995
2020/7/28,114129
2020/7/29,114984
2020/7/30,115853
2020/7/31,116787
2020/8/1,117468
2020/8/2,118038
2020/8/3,118937
2020/8/4,119765
2020/8/5,120492
2020/8/6,121294
2020/8/7,122078
2020/8/8,122666
2020/8/9,123312
2020/8/10,124269
2020/8/11,125061
2020/8/12,125965
2020/8/13,126950
2020/8/14,127774
2020/8/15,128531
2020/8/16,129075
2020/8/17,129686
2020/8/18,130286
2020/8/19,130950
2020/8/20,131736
2020/8/21,132461
2020/8/22,133160
2020/8/23,133679
2020/8/24,134246
2020/8/25,134803
2020/8/26,135323
2020/8/27,135958
2020/8/28,136824
2020/8/29,137576
2020/8/30,138137
2020/8/31,138840
2020/9/1,139591
2020/9/2,140577
2020/9/3,141578
2020/9/4,142537
2020/9/5,143301
2020/9/6,143902
2020/9/7,144658
2020/9/8,145191
2020/9/9,146058
2020/9/10,146735
2020/9/11,147744
2020/9/12,148635
2020/9/13,148635
