date,cases
2020/1/22,0
2020/1/23,0
2020/1/24,0
2020/1/25,1
2020/1/26,1
2020/1/27,6
2020/1/28,6
2020/1/29,6
2020/1/30,8
2020/1/31,8
2020/2/1,9
2020/2/2,11
2020/2/3,13
2020/2/4,15
2020/2/5,17
2020/2/6,18
2020/2/7,18
2020/2/8,18
2020/2/9,18
2020/2/10,18
2020/2/11,18
2020/2/12,18
2020/2/13,18
2020/2/14,18
2020/2/15,18
2020/2/16,18
2020/2/17,18
2020/2/18,18
2020/2/19,18
2020/2/20,18
2020/2/21,18
2020/2/22,18
2020/2/23,18
2020/2/24,18
2020/2/25,18
2020/2/26,18
2020/2/27,18
2020/2/28,18
2020/2/29,18
2020/3/1,18
2020/3/2,18
2020/3/3,18
2020/3/4,18
2020/3/5,18
2020/3/6,18
2020/3/7,18
2020/3/8,18
2020/3/9,18
2020/3/10,18
2020/3/11,18
2020/3/12,18
2020/3/13,18
2020/3/14,18
2020/3/15,18
2020/3/16,18
2020/3/17,18
2020/3/18,18
2020/3/19,18
2020/3/20,18
2020/3/21,18
2020/3/22,18
2020/3/23,18
2020/3/24,18
2020/3/25,18
2020/3/26,18
2020/3/27,18
2020/3/28,18
2020/3/29,18
2020/3/30,18
2020/3/31,18
2020/4/1,18
2020/4/2,18
2020/4/3,18
2020/4/4,18
2020/4/5,18
2020/4/6,18
2020/4/7,18
2020/4/8,18
2020/4/9,18
2020/4/10,18
2020/4/11,18
2020/4/12,18
2020/4/13,18
2020/4/14,18
2020/4/15,18
2020/4/16,18
2020/4/17,18
2020/4/18,18
2020/4/19,18
2020/4/20,18
2020/4/21,18
2020/4/22,18
2020/4/23,18
2020/4/24,18
2020/4/25,18
2020/4/26,18
2020/4/27,18
2020/4/28,18
2020/4/29,18
2020/4/30,18
2020/5/1,18
2020/5/2,18
2020/5/3,18
2020/5/4,18
2020/5/5,18
2020/5/6,18
2020/5/7,18
2020/5/8,18
2020/5/9,18
2020/5/10,18
2020/5/11,18
2020/5/12,18
2020/5/13,18
2020/5/14,18
2020/5/15,18
2020/5/16,18
2020/5/17,18
2020/5/18,18
2020/5/19,18
2020/5/20,18
2020/5/21,18
2020/5/22,18
2020/5/23,18
2020/5/24,18
2020/5/25,18
2020/5/26,18
2020/5/27,18
2020/5/28,18
2020/5/29,18
2020/5/30,18
2020/5/31,18
2020/6/1,18
2020/6/2,18
2020/6/3,18
2020/6/4,18
2020/6/5,18
2020/6/6,18
2020/6/7,18
2020/6/8,18
