date,cases
2020/3/1,2
2020/3/2,2
2020/3/3,2
2020/3/4,2
2020/3/5,2
2020/3/6,3
2020/3/7,3
2020/3/8,3
2020/3/9,3
2020/3/10,5
2020/3/11,5
2020/3/12,5
2020/3/13,20
2020/3/14,20
2020/3/15,20
2020/3/16,21
2020/3/17,23
2020/3/18,33
2020/3/19,44
2020/3/20,44
2020/3/21,66
2020/3/22,83
2020/3/23,106
2020/3/24,124
2020/3/25,132
2020/3/26,165
2020/3/27,203
2020/3/28,239
2020/3/29,294
2020/3/30,408
2020/3/31,488
2020/4/1,566
2020/4/2,657
2020/4/3,711
2020/4/4,806
2020/4/5,922
2020/4/6,1082
2020/4/7,1229
2020/4/8,1450
2020/4/9,1727
2020/4/10,2015
2020/4/11,2349
2020/4/12,2665
2020/4/13,2976
2020/4/14,3251
2020/4/15,3529
2020/4/16,3838
2020/4/17,4177
2020/4/18,4491
2020/4/19,4706
2020/4/20,5090
2020/4/21,5500
2020/4/22,5841
2020/4/23,6256
2020/4/24,6699
2020/4/25,7129
2020/4/26,7439
2020/4/27,7708
2020/4/28,7926
2020/4/29,8247
2020/4/30,8621
2020/5/1,8962
2020/5/2,9289
2020/5/3,9477
2020/5/4,9652
2020/5/5,9933
2020/5/6,10205
2020/5/7,10530
2020/5/8,10779
2020/5/9,10989
2020/5/10,11274
2020/5/11,11450
2020/5/12,11614
2020/5/13,11835
2020/5/14,12016
2020/5/15,12219
2020/5/16,12434
2020/5/17,12674
2020/5/18,12795
2020/5/19,12951
2020/5/20,13356
2020/5/21,13571
2020/5/22,13736
2020/5/23,13952
2020/5/24,14065
2020/5/25,14065
2020/5/26,14210
2020/5/27,14353
2020/5/28,14494
2020/5/29,14635
2020/5/30,14819
2020/5/31,14928
2020/6/1,14991
2020/6/2,15112
2020/6/3,15219
2020/6/4,15325
2020/6/5,15441
2020/6/6,15441
2020/6/7,15441
2020/6/8,15642
2020/6/9,15691
2020/6/10,15756
2020/6/11,15862
2020/6/12,15947
2020/6/13,15947
2020/6/14,15947
2020/6/15,16093
2020/6/16,16164
2020/6/17,16213
2020/6/18,16269
2020/6/19,16337
2020/6/20,16337
2020/6/21,16337
2020/6/22,16459
2020/6/23,16533
2020/6/24,16606
2020/6/25,16640
2020/6/26,16661
2020/6/27,16661
2020/6/28,16661
2020/6/29,16764
2020/6/30,16813
2020/7/1,16853
2020/7/2,16941
2020/7/3,16991
2020/7/4,16991
2020/7/5,16991
2020/7/6,16991
2020/7/7,17154
2020/7/8,17204
2020/7/9,17243
2020/7/10,17312
2020/7/11,17312
2020/7/12,17312
2020/7/13,17487
