date,cases
2020/1/22,0
2020/1/23,3
2020/1/24,5
2020/1/25,15
2020/1/26,22
2020/1/27,35
2020/1/28,46
2020/1/29,56
2020/1/30,63
2020/1/31,87
2020/2/1,101
2020/2/2,116
2020/2/3,128
2020/2/4,142
2020/2/5,165
2020/2/6,173
2020/2/7,184
2020/2/8,195
2020/2/9,208
2020/2/10,213
2020/2/11,219
2020/2/12,225
2020/2/13,229
2020/2/14,230
2020/2/15,232
2020/2/16,236
2020/2/17,240
2020/2/18,240
2020/2/19,242
2020/2/20,245
2020/2/21,245
2020/2/22,245
2020/2/23,245
2020/2/24,245
2020/2/25,245
2020/2/26,245
2020/2/27,245
2020/2/28,245
2020/2/29,245
2020/3/1,245
2020/3/2,245
2020/3/3,245
2020/3/4,245
2020/3/5,245
2020/3/6,245
2020/3/7,245
2020/3/8,245
2020/3/9,245
2020/3/10,245
2020/3/11,245
2020/3/12,245
2020/3/13,245
2020/3/14,245
2020/3/15,245
2020/3/16,245
2020/3/17,246
2020/3/18,246
2020/3/19,246
2020/3/20,247
2020/3/21,248
2020/3/22,248
2020/3/23,248
2020/3/24,249
2020/3/25,250
2020/3/26,253
2020/3/27,253
2020/3/28,253
2020/3/29,253
2020/3/30,253
2020/3/31,253
2020/4/1,255
2020/4/2,255
2020/4/3,255
2020/4/4,256
2020/4/5,256
2020/4/6,256
2020/4/7,256
2020/4/8,256
2020/4/9,256
2020/4/10,256
2020/4/11,256
2020/4/12,256
2020/4/13,256
2020/4/14,256
2020/4/15,256
2020/4/16,256
2020/4/17,256
2020/4/18,256
2020/4/19,256
2020/4/20,256
2020/4/21,277
2020/4/22,279
2020/4/23,279
2020/4/24,286
2020/4/25,286
2020/4/26,286
2020/4/27,286
2020/4/28,306
2020/4/29,306
2020/4/30,306
2020/5/1,306
2020/5/2,306
2020/5/3,306
2020/5/4,306
2020/5/5,308
2020/5/6,308
2020/5/7,308
2020/5/8,308
2020/5/9,308
2020/5/10,308
2020/5/11,308
2020/5/12,308
2020/5/13,308
2020/5/14,308
2020/5/15,308
2020/5/16,308
2020/5/17,308
2020/5/18,308
2020/5/19,308
2020/5/20,308
2020/5/21,308
2020/5/22,308
2020/5/23,308
2020/5/24,308
2020/5/25,308
2020/5/26,308
2020/5/27,308
2020/5/28,308
2020/5/29,308
2020/5/30,308
2020/5/31,308
2020/6/1,309
2020/6/2,309
2020/6/3,309
2020/6/4,309
2020/6/5,309
2020/6/6,311
2020/6/7,311
2020/6/8,311
2020/6/9,311
2020/6/10,311
2020/6/11,311
2020/6/12,311
2020/6/13,311
2020/6/14,313
2020/6/15,313
2020/6/16,313
2020/6/17,314
2020/6/18,314
2020/6/19,314
2020/6/20,316
2020/6/21,317
2020/6/22,317
2020/6/23,319
2020/6/24,319
2020/6/25,319
2020/6/26,319
2020/6/27,320
2020/6/28,320
2020/6/29,320
2020/6/30,320
2020/7/1,320
2020/7/2,320
2020/7/3,320
2020/7/4,320
2020/7/5,321
2020/7/6,321
2020/7/7,321
2020/7/8,321
2020/7/9,321
2020/7/10,321
2020/7/11,321
2020/7/12,321
2020/7/13,321
2020/7/14,321
2020/7/15,321
2020/7/16,322
2020/7/17,322
2020/7/18,322
2020/7/19,322
2020/7/20,322
2020/7/21,322
2020/7/22,323
2020/7/23,323
2020/7/24,323
2020/7/25,323
2020/7/26,323
2020/7/27,323
2020/7/28,323
2020/7/29,324
2020/7/30,324
2020/7/31,324
2020/8/1,326
2020/8/2,326
2020/8/3,326
2020/8/4,327
2020/8/5,328
2020/8/6,328
2020/8/7,328
2020/8/8,328
2020/8/9,331
2020/8/10,340
2020/8/11,341
2020/8/12,341
2020/8/13,346
2020/8/14,348
2020/8/15,351
2020/8/16,354
2020/8/17,356
2020/8/18,358
2020/8/19,358
2020/8/20,358
2020/8/21,360
2020/8/22,362
2020/8/23,362
2020/8/24,364
2020/8/25,364
2020/8/26,364
2020/8/27,364
2020/8/28,364
2020/8/29,364
2020/8/30,365
2020/8/31,365
2020/9/1,365
2020/9/2,371
2020/9/3,373
2020/9/4,374
2020/9/5,377
2020/9/6,377
2020/9/7,377
2020/9/8,378
2020/9/9,378
2020/9/10,379
2020/9/11,380
2020/9/12,381
2020/9/13,381
2020/9/14,381
2020/9/15,382
2020/9/16,384
2020/9/17,397
2020/9/18,399
2020/9/19,399
2020/9/20,401
2020/9/21,401
2020/9/22,401
2020/9/23,402
2020/9/24,402
2020/9/25,403
2020/9/26,403
2020/9/27,403
2020/9/28,406
2020/9/29,408
2020/9/30,409
2020/10/1,410
2020/10/2,411
2020/10/3,413
2020/10/4,413
2020/10/5,414
2020/10/6,414
2020/10/7,414
2020/10/8,425
2020/10/9,428
2020/10/10,428
2020/10/11,428
2020/10/12,428
2020/10/13,431
2020/10/14,433
2020/10/15,433
2020/10/16,434
2020/10/17,436
2020/10/18,438
2020/10/19,438
2020/10/20,438
2020/10/21,438
2020/10/22,438
2020/10/23,444
2020/10/24,445
2020/10/25,444
2020/10/26,447
2020/10/27,453
2020/10/28,454
2020/10/29,454
2020/10/30,454
2020/10/31,455
2020/11/1,455
2020/11/2,455
2020/11/3,456
2020/11/4,459
2020/11/5,459
2020/11/6,463
2020/11/7,472
2020/11/8,478
2020/11/9,479
2020/11/10,480
2020/11/11,482
2020/11/12,483
2020/11/13,484
2020/11/14,486
2020/11/15,487
2020/11/16,487
2020/11/17,487
2020/11/18,487
2020/11/19,490
2020/11/20,490
2020/11/21,492
2020/11/22,493
2020/11/23,495
2020/11/24,496
2020/11/25,496
2020/11/26,497
2020/11/27,497
2020/11/28,498
2020/11/29,498
2020/11/30,499
2020/12/1,500
2020/12/2,501
2020/12/3,501
2020/12/4,501
2020/12/5,502
2020/12/6,502
2020/12/7,502
2020/12/8,502
2020/12/9,502
2020/12/10,502
2020/12/11,502
2020/12/12,502
2020/12/13,502
2020/12/14,502
2020/12/15,502
2020/12/16,502
2020/12/17,502
2020/12/18,502
2020/12/19,504
2020/12/20,504
2020/12/21,504
2020/12/22,504
2020/12/23,504
2020/12/24,504
2020/12/25,505
2020/12/26,505
2020/12/27,505
2020/12/28,505
2020/12/29,505
2020/12/30,506
2020/12/31,507
2021/1/1,508
2021/1/2,510
2021/1/3,516
2021/1/4,516
2021/1/5,519
2021/1/6,521
2021/1/7,521
2021/1/8,521
2021/1/9,522
2021/1/10,523
2021/1/11,524
2021/1/12,524
2021/1/13,524
2021/1/14,526
2021/1/15,527
2021/1/16,527
2021/1/17,530
2021/1/18,531
2021/1/19,533
2021/1/20,533
2021/1/21,533
2021/1/22,533
2021/1/23,534
2021/1/24,534
2021/1/25,535
2021/1/26,535
2021/1/27,536
2021/1/28,536
2021/1/29,537
2021/1/30,539
2021/1/31,539
2021/2/1,540
2021/2/2,541
2021/2/3,541
2021/2/4,541
2021/2/5,542
2021/2/6,542
2021/2/7,542
2021/2/8,542
2021/2/9,543
2021/2/10,543
2021/2/11,543
2021/2/12,543
2021/2/13,544
2021/2/14,545
2021/2/15,547
2021/2/16,547
2021/2/17,547
2021/2/18,547
2021/2/19,547
2021/2/20,547
2021/2/21,547
2021/2/22,547
2021/2/23,549
2021/2/24,549
2021/2/25,549
2021/2/26,551
2021/2/27,551
2021/2/28,551
2021/3/1,552
2021/3/2,553
2021/3/3,553
2021/3/4,553
