date,cases
2020/1/22,2
2020/1/23,6
2020/1/24,15
2020/1/25,27
2020/1/26,46
2020/1/27,75
2020/1/28,95
2020/1/29,130
2020/1/30,158
2020/1/31,184
2020/2/1,206
2020/2/2,230
2020/2/3,259
2020/2/4,275
2020/2/5,307
2020/2/6,347
2020/2/7,386
2020/2/8,416
2020/2/9,444
2020/2/10,466
2020/2/11,487
2020/2/12,497
2020/2/13,509
2020/2/14,523
2020/2/15,532
2020/2/16,537
2020/2/17,541
2020/2/18,543
2020/2/19,544
2020/2/20,546
2020/2/21,749
2020/2/22,750
2020/2/23,754
2020/2/24,755
2020/2/25,756
2020/2/26,756
2020/2/27,756
2020/2/28,756
2020/2/29,756
2020/3/1,758
2020/3/2,758
2020/3/3,758
2020/3/4,758
2020/3/5,758
2020/3/6,758
2020/3/7,758
2020/3/8,758
2020/3/9,758
2020/3/10,758
2020/3/11,760
2020/3/12,760
2020/3/13,760
2020/3/14,760
2020/3/15,760
2020/3/16,760
2020/3/17,761
2020/3/18,761
2020/3/19,761
2020/3/20,762
2020/3/21,764
2020/3/22,767
2020/3/23,768
2020/3/24,768
2020/3/25,769
2020/3/26,771
2020/3/27,772
2020/3/28,772
2020/3/29,772
2020/3/30,773
2020/3/31,774
2020/4/1,774
2020/4/2,775
2020/4/3,778
2020/4/4,778
2020/4/5,779
2020/4/6,780
2020/4/7,781
2020/4/8,783
2020/4/9,783
2020/4/10,783
2020/4/11,784
2020/4/12,784
2020/4/13,784
2020/4/14,784
2020/4/15,784
2020/4/16,784
2020/4/17,787
2020/4/18,787
2020/4/19,787
2020/4/20,787
2020/4/21,787
2020/4/22,787
2020/4/23,787
2020/4/24,787
2020/4/25,787
2020/4/26,787
2020/4/27,787
2020/4/28,787
2020/4/29,787
2020/4/30,787
2020/5/1,787
2020/5/2,787
2020/5/3,788
2020/5/4,788
2020/5/5,788
2020/5/6,788
2020/5/7,788
2020/5/8,788
2020/5/9,788
2020/5/10,788
2020/5/11,788
2020/5/12,788
2020/5/13,788
2020/5/14,788
2020/5/15,788
2020/5/16,788
2020/5/17,788
2020/5/18,788
2020/5/19,788
2020/5/20,788
2020/5/21,788
2020/5/22,788
2020/5/23,788
2020/5/24,788
2020/5/25,788
2020/5/26,788
2020/5/27,788
2020/5/28,788
2020/5/29,790
2020/5/30,792
2020/5/31,792
2020/6/1,792
2020/6/2,792
2020/6/3,792
2020/6/4,792
2020/6/5,792
2020/6/6,792
2020/6/7,792
2020/6/8,792
2020/6/9,792
2020/6/10,792
2020/6/11,792
2020/6/12,792
2020/6/13,792
2020/6/14,792
2020/6/15,792
2020/6/16,792
2020/6/17,792
2020/6/18,792
2020/6/19,792
2020/6/20,792
2020/6/21,792
2020/6/22,792
2020/6/23,792
2020/6/24,792
2020/6/25,792
2020/6/26,792
2020/6/27,792
2020/6/28,792
2020/6/29,792
2020/6/30,792
