date,cases
2020/1/22,9
2020/1/23,16
2020/1/24,20
2020/1/25,33
2020/1/26,40
2020/1/27,53
2020/1/28,66
2020/1/29,96
2020/1/30,112
2020/1/31,135
2020/2/1,169
2020/2/2,182
2020/2/3,203
2020/2/4,219
2020/2/5,243
2020/2/6,257
2020/2/7,277
2020/2/8,286
2020/2/9,293
2020/2/10,299
2020/2/11,303
2020/2/12,311
2020/2/13,315
2020/2/14,318
2020/2/15,326
2020/2/16,328
2020/2/17,333
2020/2/18,333
2020/2/19,333
2020/2/20,334
2020/2/21,334
2020/2/22,335
2020/2/23,335
2020/2/24,335
2020/2/25,336
2020/2/26,337
2020/2/27,337
2020/2/28,337
2020/2/29,337
2020/3/1,337
2020/3/2,337
2020/3/3,338
2020/3/4,338
2020/3/5,339
2020/3/6,342
2020/3/7,342
2020/3/8,342
2020/3/9,342
2020/3/10,344
2020/3/11,344
2020/3/12,344
2020/3/13,346
2020/3/14,353
2020/3/15,353
2020/3/16,355
2020/3/17,358
2020/3/18,361
2020/3/19,363
2020/3/20,371
2020/3/21,380
2020/3/22,404
2020/3/23,404
2020/3/24,414
2020/3/25,433
2020/3/26,451
2020/3/27,468
2020/3/28,485
2020/3/29,492
2020/3/30,498
2020/3/31,509
2020/4/1,516
2020/4/2,522
2020/4/3,526
2020/4/4,529
2020/4/5,531
2020/4/6,536
2020/4/7,538
2020/4/8,543
2020/4/9,552
2020/4/10,555
2020/4/11,555
2020/4/12,607
2020/4/13,618
2020/4/14,618
2020/4/15,622
2020/4/16,628
2020/4/17,628
2020/4/18,628
2020/4/19,635
2020/4/20,638
2020/4/21,638
2020/4/22,639
2020/4/23,641
2020/4/24,641
2020/4/25,642
2020/4/26,642
2020/4/27,644
2020/4/28,645
2020/4/29,647
2020/4/30,652
2020/5/1,652
2020/5/2,652
2020/5/3,655
2020/5/4,656
2020/5/5,656
2020/5/6,657
2020/5/7,657
2020/5/8,657
2020/5/9,659
2020/5/10,659
2020/5/11,659
2020/5/12,660
2020/5/13,660
2020/5/14,660
2020/5/15,665
2020/5/16,665
2020/5/17,666
2020/5/18,666
2020/5/19,666
2020/5/20,666
2020/5/21,666
2020/5/22,667
2020/5/23,668
2020/5/24,668
2020/5/25,669
2020/5/26,670
2020/5/27,671
2020/5/28,671
2020/5/29,672
2020/5/30,672
2020/5/31,672
2020/6/1,673
2020/6/2,673
2020/6/3,673
2020/6/4,677
2020/6/5,677
2020/6/6,677
2020/6/7,678
2020/6/8,678
2020/6/9,678
2020/6/10,684
2020/6/11,689
2020/6/12,690
2020/6/13,691
2020/6/14,692
2020/6/15,695
2020/6/16,695
2020/6/17,697
2020/6/18,697
2020/6/19,697
2020/6/20,698
2020/6/21,701
2020/6/22,701
2020/6/23,703
2020/6/24,703
2020/6/25,705
2020/6/26,706
2020/6/27,707
2020/6/28,708
2020/6/29,712
2020/6/30,712
2020/7/1,713
2020/7/2,714
2020/7/3,715
2020/7/4,716
2020/7/5,716
2020/7/6,716
2020/7/7,718
2020/7/8,721
2020/7/9,721
2020/7/10,721
2020/7/11,724
2020/7/12,725
2020/7/13,725
2020/7/14,731
2020/7/15,732
2020/7/16,733
2020/7/17,733
2020/7/18,733
2020/7/19,733
2020/7/20,735
2020/7/21,737
2020/7/22,738
2020/7/23,739
2020/7/24,741
2020/7/25,741
2020/7/26,741
2020/7/27,743
2020/7/28,744
2020/7/29,744
2020/7/30,744
2020/7/31,748
2020/8/1,749
2020/8/2,749
2020/8/3,750
2020/8/4,752
2020/8/5,757
2020/8/6,764
2020/8/7,766
2020/8/8,768
2020/8/9,786
2020/8/10,794
2020/8/11,798
