date,cases
2020/1/22,1
2020/1/23,1
2020/1/24,1
2020/1/25,6
2020/1/26,9
2020/1/27,13
2020/1/28,27
2020/1/29,27
2020/1/30,35
2020/1/31,39
2020/2/1,47
2020/2/2,66
2020/2/3,74
2020/2/4,81
2020/2/5,81
2020/2/6,96
2020/2/7,104
2020/2/8,115
2020/2/9,119
2020/2/10,119
2020/2/11,124
2020/2/12,126
2020/2/13,126
2020/2/14,127
2020/2/15,128
2020/2/16,129
2020/2/17,130
2020/2/18,131
2020/2/19,131
2020/2/20,132
2020/2/21,132
2020/2/22,132
2020/2/23,132
2020/2/24,133
2020/2/25,133
2020/2/26,133
2020/2/27,133
2020/2/28,133
2020/2/29,133
2020/3/1,133
2020/3/2,133
2020/3/3,133
2020/3/4,133
2020/3/5,133
2020/3/6,133
2020/3/7,133
2020/3/8,133
2020/3/9,133
2020/3/10,133
2020/3/11,133
2020/3/12,133
2020/3/13,133
2020/3/14,133
2020/3/15,133
2020/3/16,133
2020/3/17,133
2020/3/18,133
2020/3/19,133
2020/3/20,133
2020/3/21,133
2020/3/22,133
2020/3/23,134
2020/3/24,134
2020/3/25,134
2020/3/26,135
2020/3/27,135
2020/3/28,135
2020/3/29,136
2020/3/30,136
2020/3/31,136
2020/4/1,137
2020/4/2,137
2020/4/3,137
2020/4/4,137
2020/4/5,138
2020/4/6,138
2020/4/7,138
2020/4/8,163
2020/4/9,166
2020/4/10,168
2020/4/11,172
2020/4/12,172
2020/4/13,173
2020/4/14,173
2020/4/15,186
2020/4/16,194
2020/4/17,197
2020/4/18,197
2020/4/19,197
2020/4/20,197
2020/4/21,197
2020/4/22,197
2020/4/23,197
2020/4/24,197
2020/4/25,197
2020/4/26,197
2020/4/27,197
2020/4/28,197
2020/4/29,197
2020/4/30,197
2020/5/1,197
2020/5/2,197
2020/5/3,198
2020/5/4,198
2020/5/5,198
2020/5/6,198
2020/5/7,198
2020/5/8,198
2020/5/9,198
2020/5/10,198
2020/5/11,198
2020/5/12,198
2020/5/13,198
2020/5/14,198
2020/5/15,198
2020/5/16,198
2020/5/17,198
2020/5/18,198
2020/5/19,198
2020/5/20,198
2020/5/21,198
2020/5/22,198
2020/5/23,198
2020/5/24,198
2020/5/25,198
2020/5/26,198
2020/5/27,198
2020/5/28,198
2020/5/29,198
2020/5/30,198
2020/5/31,198
2020/6/1,198
2020/6/2,198
2020/6/3,198
2020/6/4,198
2020/6/5,198
2020/6/6,198
2020/6/7,198
2020/6/8,198
2020/6/9,198
2020/6/10,198
2020/6/11,198
2020/6/12,198
2020/6/13,198
2020/6/14,198
2020/6/15,198
2020/6/16,198
2020/6/17,198
2020/6/18,198
2020/6/19,198
2020/6/20,198
2020/6/21,198
2020/6/22,198
2020/6/23,198
2020/6/24,198
2020/6/25,198
2020/6/26,198
2020/6/27,198
2020/6/28,198
2020/6/29,198
2020/6/30,198
2020/7/1,198
2020/7/2,198
2020/7/3,198
2020/7/4,198
2020/7/5,198
2020/7/6,198
2020/7/7,199
2020/7/8,199
2020/7/9,199
2020/7/10,199
2020/7/11,200
2020/7/12,200
2020/7/13,200
2020/7/14,201
2020/7/15,201
2020/7/16,201
2020/7/17,201
2020/7/18,201
2020/7/19,201
2020/7/20,201
2020/7/21,201
2020/7/22,201
2020/7/23,201
2020/7/24,201
2020/7/25,201
2020/7/26,201
2020/7/27,201
2020/7/28,201
2020/7/29,201
2020/7/30,201
2020/7/31,201
2020/8/1,201
2020/8/2,201
2020/8/3,201
2020/8/4,201
2020/8/5,201
2020/8/6,201
2020/8/7,201
2020/8/8,201
2020/8/9,201
2020/8/10,201
2020/8/11,201
2020/8/12,201
2020/8/13,201
2020/8/14,201
2020/8/15,201
2020/8/16,201
2020/8/17,201
2020/8/18,201
2020/8/19,201
2020/8/20,201
2020/8/21,201
2020/8/22,201
2020/8/23,202
2020/8/24,202
2020/8/25,202
2020/8/26,202
2020/8/27,202
2020/8/28,202
2020/8/29,202
2020/8/30,203
2020/8/31,203
2020/9/1,203
2020/9/2,203
2020/9/3,203
2020/9/4,203
2020/9/5,203
2020/9/6,203
2020/9/7,203
2020/9/8,203
2020/9/9,203
2020/9/10,203
2020/9/11,203
2020/9/12,203
2020/9/13,203
2020/9/14,203
2020/9/15,203
2020/9/16,203
2020/9/17,203
2020/9/18,203
2020/9/19,203
2020/9/20,203
2020/9/21,203
2020/9/22,203
2020/9/23,203
2020/9/24,203
2020/9/25,203
2020/9/26,203
2020/9/27,204
2020/9/28,204
2020/9/29,204
2020/9/30,204
2020/10/1,204
2020/10/2,204
2020/10/3,204
2020/10/4,205
2020/10/5,205
2020/10/6,206
2020/10/7,206
2020/10/8,206
2020/10/9,206
2020/10/10,206
2020/10/11,208
2020/10/12,208
2020/10/13,208
2020/10/14,208
2020/10/15,208
2020/10/16,208
2020/10/17,208
2020/10/18,209
2020/10/19,209
2020/10/20,209
2020/10/21,209
2020/10/22,209
2020/10/23,209
2020/10/24,211
2020/10/25,212
2020/10/26,212
2020/10/27,212
2020/10/28,212
2020/10/29,212
2020/10/30,212
2020/10/31,212
2020/11/1,215
2020/11/2,215
2020/11/3,215
2020/11/4,215
2020/11/5,216
2020/11/6,216
2020/11/7,217
2020/11/8,218
2020/11/9,218
2020/11/10,218
2020/11/11,218
2020/11/12,218
2020/11/13,218
2020/11/14,218
2020/11/15,219
2020/11/16,219
2020/11/17,220
2020/11/18,220
2020/11/19,220
2020/11/20,220
2020/11/21,220
2020/11/22,220
2020/11/23,220
2020/11/24,220
2020/11/25,220
2020/11/26,220
2020/11/27,220
2020/11/28,220
2020/11/29,221
2020/11/30,221
2020/12/1,221
2020/12/2,221
2020/12/3,221
2020/12/4,222
2020/12/5,222
2020/12/6,222
2020/12/7,222
2020/12/8,222
2020/12/9,222
2020/12/10,222
2020/12/11,222
2020/12/12,222
2020/12/13,222
2020/12/14,222
2020/12/15,222
2020/12/16,222
2020/12/17,223
2020/12/18,223
2020/12/19,223
2020/12/20,224
2020/12/21,224
2020/12/22,224
2020/12/23,224
2020/12/24,224
2020/12/25,224
2020/12/26,224
2020/12/27,224
2020/12/28,224
2020/12/29,224
2020/12/30,224
2020/12/31,224
2021/1/1,224
2021/1/2,224
2021/1/3,225
2021/1/4,225
2021/1/5,225
2021/1/6,225
2021/1/7,225
2021/1/8,225
2021/1/9,226
2021/1/10,226
2021/1/11,226
2021/1/12,227
2021/1/13,227
2021/1/14,227
2021/1/15,227
2021/1/16,227
2021/1/17,227
2021/1/18,228
2021/1/19,228
2021/1/20,230
2021/1/21,231
2021/1/22,235
2021/1/23,237
2021/1/24,237
2021/1/25,237
2021/1/26,237
2021/1/27,238
2021/1/28,238
2021/1/29,238
2021/1/30,238
2021/1/31,238
2021/2/1,239
2021/2/2,239
2021/2/3,239
2021/2/4,239
2021/2/5,239
2021/2/6,239
2021/2/7,239
2021/2/8,239
2021/2/9,239
2021/2/10,239
2021/2/11,239
2021/2/12,239
2021/2/13,239
2021/2/14,239
2021/2/15,239
2021/2/16,239
2021/2/17,239
2021/2/18,239
2021/2/19,239
2021/2/20,239
2021/2/21,239
2021/2/22,240
