date,cases
2020/1/22,5
2020/1/23,8
2020/1/24,15
2020/1/25,28
2020/1/26,44
2020/1/27,69
2020/1/28,90
2020/1/29,108
2020/1/30,142
2020/1/31,177
2020/2/1,207
2020/2/2,231
2020/2/3,254
2020/2/4,282
2020/2/5,301
2020/2/6,321
2020/2/7,344
2020/2/8,364
2020/2/9,386
2020/2/10,405
2020/2/11,417
2020/2/12,436
2020/2/13,451
2020/2/14,463
2020/2/15,470
2020/2/16,481
2020/2/17,495
2020/2/18,508
2020/2/19,514
2020/2/20,520
2020/2/21,525
2020/2/22,526
2020/2/23,526
2020/2/24,527
2020/2/25,529
2020/2/26,531
2020/2/27,534
2020/2/28,538
2020/2/29,538
2020/3/1,538
2020/3/2,538
2020/3/3,538
2020/3/4,538
2020/3/5,539
2020/3/6,539
2020/3/7,539
2020/3/8,539
2020/3/9,539
2020/3/10,539
2020/3/11,539
2020/3/12,539
2020/3/13,539
2020/3/14,539
2020/3/15,539
2020/3/16,539
2020/3/17,540
2020/3/18,540
2020/3/19,540
2020/3/20,541
2020/3/21,542
2020/3/22,543
2020/3/23,543
2020/3/24,545
2020/3/25,547
2020/3/26,547
2020/3/27,548
2020/3/28,548
2020/3/29,550
2020/3/30,550
2020/3/31,550
2020/4/1,552
2020/4/2,554
2020/4/3,555
2020/4/4,557
2020/4/5,558
2020/4/6,559
2020/4/7,560
2020/4/8,560
2020/4/9,560
2020/4/10,560
2020/4/11,560
2020/4/12,560
2020/4/13,560
2020/4/14,560
2020/4/15,560
2020/4/16,560
2020/4/17,560
2020/4/18,561
2020/4/19,561
2020/4/20,561
2020/4/21,561
2020/4/22,561
2020/4/23,561
2020/4/24,561
2020/4/25,561
2020/4/26,561
2020/4/27,561
2020/4/28,561
2020/4/29,561
2020/4/30,561
2020/5/1,561
2020/5/2,561
2020/5/3,561
2020/5/4,561
2020/5/5,561
2020/5/6,561
2020/5/7,561
2020/5/8,561
2020/5/9,561
2020/5/10,561
2020/5/11,561
2020/5/12,561
2020/5/13,561
2020/5/14,561
2020/5/15,561
2020/5/16,561
2020/5/17,561
2020/5/18,561
2020/5/19,561
2020/5/20,561
2020/5/21,561
2020/5/22,563
2020/5/23,563
2020/5/24,564
2020/5/25,564
2020/5/26,564
2020/5/27,564
2020/5/28,564
2020/5/29,564
2020/5/30,564
2020/5/31,575
2020/6/1,577
2020/6/2,577
2020/6/3,577
2020/6/4,578
2020/6/5,578
2020/6/6,578
2020/6/7,581
2020/6/8,582
2020/6/9,582
2020/6/10,582
2020/6/11,582
2020/6/12,583
2020/6/13,583
2020/6/14,587
2020/6/15,588
2020/6/16,589
2020/6/17,589
2020/6/18,589
2020/6/19,589
2020/6/20,589
2020/6/21,589
2020/6/22,589
2020/6/23,589
2020/6/24,589
2020/6/25,589
2020/6/26,589
2020/6/27,589
2020/6/28,592
2020/6/29,595
2020/6/30,595
2020/7/1,595
2020/7/2,595
2020/7/3,595
2020/7/4,596
2020/7/5,596
2020/7/6,596
2020/7/7,598
2020/7/8,599
2020/7/9,599
2020/7/10,599
2020/7/11,599
2020/7/12,599
2020/7/13,599
2020/7/14,599
2020/7/15,599
2020/7/16,599
2020/7/17,599
2020/7/18,599
2020/7/19,602
2020/7/20,603
2020/7/21,603
2020/7/22,603
2020/7/23,603
2020/7/24,603
2020/7/25,603
2020/7/26,604
2020/7/27,604
2020/7/28,604
2020/7/29,604
2020/7/30,604
2020/7/31,604
2020/8/1,608
2020/8/2,608
2020/8/3,609
2020/8/4,610
2020/8/5,610
2020/8/6,611
2020/8/7,611
2020/8/8,611
2020/8/9,615
2020/8/10,615
2020/8/11,616
2020/8/12,618
2020/8/13,619
2020/8/14,623
2020/8/15,624
2020/8/16,626
2020/8/17,626
2020/8/18,626
2020/8/19,627
2020/8/20,628
2020/8/21,628
2020/8/22,628
2020/8/23,631
2020/8/24,635
2020/8/25,640
2020/8/26,644
2020/8/27,648
2020/8/28,650
2020/8/29,652
2020/8/30,652
2020/8/31,652
2020/9/1,653
2020/9/2,655
2020/9/3,656
2020/9/4,656
2020/9/5,656
2020/9/6,658
2020/9/7,663
2020/9/8,664
2020/9/9,664
2020/9/10,665
2020/9/11,665
2020/9/12,665
2020/9/13,665
2020/9/14,666
2020/9/15,670
2020/9/16,670
2020/9/17,670
2020/9/18,672
2020/9/19,672
2020/9/20,672
2020/9/21,672
2020/9/22,675
2020/9/23,675
2020/9/24,676
2020/9/25,685
2020/9/26,688
2020/9/27,688
2020/9/28,691
2020/9/29,692
2020/9/30,693
2020/10/1,696
2020/10/2,698
2020/10/3,701
